frequency,raw
20.00,10.15
20.20,10.15
20.40,10.15
20.61,10.15
20.81,10.15
21.02,10.15
21.23,10.14
21.44,10.14
21.66,10.14
21.87,10.15
22.09,10.15
22.31,10.16
22.54,10.17
22.76,10.18
22.99,10.18
23.22,10.19
23.45,10.19
23.69,10.18
23.92,10.18
24.16,10.18
24.40,10.17
24.65,10.16
24.89,10.16
25.14,10.15
25.39,10.15
25.65,10.15
25.91,10.15
26.16,10.14
26.43,10.14
26.69,10.14
26.96,10.13
27.23,10.13
27.50,10.12
27.77,10.11
28.05,10.10
28.33,10.09
28.62,10.08
28.90,10.07
29.19,10.07
29.48,10.06
29.78,10.06
30.08,10.05
30.38,10.04
30.68,10.03
30.99,10.02
31.30,10.01
31.61,9.99
31.93,9.98
32.24,9.97
32.57,9.96
32.89,9.95
33.22,9.94
33.55,9.92
33.89,9.91
34.23,9.90
34.57,9.88
34.92,9.87
35.27,9.86
35.62,9.84
35.97,9.82
36.33,9.81
36.70,9.79
37.06,9.77
37.43,9.76
37.81,9.74
38.19,9.73
38.57,9.71
38.95,9.69
39.34,9.67
39.74,9.65
40.14,9.63
40.54,9.61
40.94,9.59
41.35,9.57
41.76,9.54
42.18,9.53
42.60,9.51
43.03,9.49
43.46,9.47
43.90,9.44
44.33,9.42
44.78,9.39
45.23,9.37
45.68,9.35
46.13,9.33
46.60,9.30
47.06,9.27
47.53,9.24
48.01,9.22
48.49,9.19
48.97,9.17
49.46,9.14
49.96,9.12
50.46,9.09
50.96,9.06
51.47,9.03
51.99,9.00
52.51,8.96
53.03,8.92
53.56,8.90
54.10,8.87
54.64,8.86
55.18,8.83
55.74,8.79
56.29,8.76
56.86,8.73
57.42,8.70
58.00,8.67
58.58,8.63
59.16,8.60
59.76,8.58
60.35,8.55
60.96,8.51
61.57,8.46
62.18,8.42
62.80,8.39
63.43,8.36
64.07,8.32
64.71,8.28
65.35,8.24
66.01,8.21
66.67,8.17
67.33,8.13
68.01,8.10
68.69,8.06
69.37,8.02
70.07,7.98
70.77,7.94
71.48,7.90
72.19,7.86
72.91,7.82
73.64,7.78
74.38,7.74
75.12,7.70
75.87,7.66
76.63,7.61
77.40,7.57
78.17,7.53
78.95,7.49
79.74,7.45
80.54,7.40
81.35,7.36
82.16,7.31
82.98,7.27
83.81,7.23
84.65,7.18
85.50,7.13
86.35,7.09
87.22,7.04
88.09,7.00
88.97,6.95
89.86,6.91
90.76,6.86
91.66,6.81
92.58,6.76
93.51,6.72
94.44,6.67
95.39,6.62
96.34,6.57
97.30,6.53
98.28,6.48
99.26,6.43
100.25,6.38
101.25,6.33
102.27,6.28
103.29,6.23
104.32,6.18
105.37,6.13
106.42,6.07
107.48,6.03
108.56,5.98
109.64,5.93
110.74,5.88
111.85,5.82
112.97,5.77
114.10,5.72
115.24,5.67
116.39,5.62
117.55,5.57
118.73,5.51
119.92,5.46
121.12,5.41
122.33,5.36
123.55,5.30
124.79,5.25
126.03,5.20
127.29,5.15
128.57,5.09
129.85,5.04
131.15,4.99
132.46,4.93
133.79,4.88
135.12,4.83
136.48,4.77
137.84,4.72
139.22,4.67
140.61,4.61
142.02,4.56
143.44,4.50
144.87,4.45
146.32,4.40
147.78,4.34
149.26,4.29
150.75,4.23
152.26,4.18
153.78,4.12
155.32,4.07
156.88,4.01
158.44,3.96
160.03,3.91
161.63,3.85
163.24,3.80
164.88,3.75
166.53,3.69
168.19,3.63
169.87,3.58
171.57,3.52
173.29,3.47
175.02,3.41
176.77,3.36
178.54,3.30
180.32,3.25
182.13,3.19
183.95,3.13
185.79,3.08
187.65,3.02
189.52,2.97
191.42,2.91
193.33,2.86
195.27,2.80
197.22,2.74
199.19,2.69
201.18,2.63
203.19,2.57
205.23,2.51
207.28,2.46
209.35,2.40
211.44,2.34
213.56,2.29
215.69,2.23
217.85,2.18
220.03,2.13
222.23,2.09
224.45,2.06
226.70,2.03
228.96,2.01
231.25,1.99
233.57,1.97
235.90,1.94
238.26,1.90
240.64,1.86
243.05,1.82
245.48,1.77
247.93,1.72
250.41,1.67
252.92,1.62
255.45,1.58
258.00,1.52
260.58,1.47
263.19,1.42
265.82,1.38
268.48,1.33
271.16,1.28
273.87,1.23
276.61,1.19
279.38,1.14
282.17,1.09
284.99,1.05
287.84,1.01
290.72,0.96
293.63,0.92
296.57,0.87
299.53,0.81
302.53,0.78
305.55,0.74
308.61,0.69
311.69,0.65
314.81,0.60
317.96,0.56
321.14,0.51
324.35,0.47
327.59,0.43
330.87,0.39
334.18,0.34
337.52,0.30
340.90,0.26
344.30,0.22
347.75,0.18
351.23,0.14
354.74,0.10
358.28,0.06
361.87,0.02
365.49,-0.02
369.14,-0.05
372.83,-0.09
376.56,-0.12
380.33,-0.16
384.13,-0.19
387.97,-0.23
391.85,-0.26
395.77,-0.30
399.73,-0.33
403.72,-0.37
407.76,-0.40
411.84,-0.44
415.96,-0.48
420.12,-0.51
424.32,-0.55
428.56,-0.58
432.85,-0.61
437.18,-0.64
441.55,-0.67
445.96,-0.71
450.42,-0.74
454.93,-0.77
459.48,-0.79
464.07,-0.82
468.71,-0.85
473.40,-0.88
478.13,-0.90
482.91,-0.93
487.74,-0.95
492.62,-0.98
497.55,-1.00
502.52,-1.02
507.55,-1.05
512.62,-1.07
517.75,-1.09
522.93,-1.11
528.16,-1.13
533.44,-1.15
538.77,-1.16
544.16,-1.17
549.60,-1.19
555.10,-1.20
560.65,-1.21
566.25,-1.22
571.92,-1.23
577.64,-1.23
583.41,-1.24
589.25,-1.24
595.14,-1.24
601.09,-1.24
607.10,-1.24
613.17,-1.24
619.30,-1.24
625.50,-1.24
631.75,-1.23
638.07,-1.23
644.45,-1.22
650.89,-1.21
657.40,-1.21
663.98,-1.20
670.62,-1.19
677.32,-1.19
684.10,-1.18
690.94,-1.17
697.85,-1.16
704.83,-1.15
711.87,-1.15
718.99,-1.14
726.18,-1.13
733.44,-1.12
740.78,-1.11
748.19,-1.09
755.67,-1.08
763.23,-1.07
770.86,-1.05
778.57,-1.04
786.35,-1.02
794.22,-1.00
802.16,-0.98
810.18,-0.96
818.28,-0.94
826.46,-0.92
834.73,-0.89
843.08,-0.86
851.51,-0.83
860.02,-0.80
868.62,-0.76
877.31,-0.73
886.08,-0.69
894.94,-0.64
903.89,-0.59
912.93,-0.55
922.06,-0.50
931.28,-0.45
940.59,-0.40
950.00,-0.34
959.50,-0.28
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.30
1049.39,0.38
1059.88,0.47
1070.48,0.56
1081.19,0.65
1092.00,0.74
1102.92,0.84
1113.95,0.93
1125.09,1.03
1136.34,1.13
1147.70,1.22
1159.18,1.32
1170.77,1.42
1182.48,1.51
1194.30,1.61
1206.25,1.71
1218.31,1.81
1230.49,1.91
1242.80,2.00
1255.22,2.10
1267.78,2.19
1280.45,2.29
1293.26,2.38
1306.19,2.47
1319.25,2.56
1332.45,2.65
1345.77,2.74
1359.23,2.84
1372.82,2.92
1386.55,3.01
1400.41,3.11
1414.42,3.20
1428.56,3.29
1442.85,3.37
1457.28,3.47
1471.85,3.56
1486.57,3.65
1501.43,3.74
1516.45,3.84
1531.61,3.93
1546.93,4.03
1562.40,4.13
1578.02,4.22
1593.80,4.33
1609.74,4.43
1625.84,4.53
1642.10,4.64
1658.52,4.74
1675.10,4.85
1691.85,4.96
1708.77,5.07
1725.86,5.18
1743.12,5.30
1760.55,5.41
1778.15,5.53
1795.94,5.65
1813.90,5.77
1832.03,5.89
1850.36,6.01
1868.86,6.13
1887.55,6.25
1906.42,6.38
1925.49,6.50
1944.74,6.62
1964.19,6.74
1983.83,6.85
2003.67,6.97
2023.71,7.08
2043.94,7.19
2064.38,7.30
2085.03,7.40
2105.88,7.50
2126.94,7.59
2148.20,7.67
2169.69,7.75
2191.38,7.82
2213.30,7.88
2235.43,7.93
2257.78,7.98
2280.36,8.01
2303.17,8.04
2326.20,8.05
2349.46,8.05
2372.95,8.05
2396.68,8.03
2420.65,8.01
2444.86,7.97
2469.31,7.93
2494.00,7.87
2518.94,7.81
2544.13,7.74
2569.57,7.67
2595.27,7.59
2621.22,7.50
2647.43,7.41
2673.90,7.31
