frequency,raw
20.00,11.08
20.20,11.09
20.40,11.09
20.61,11.10
20.81,11.11
21.02,11.11
21.23,11.11
21.44,11.12
21.66,11.12
21.87,11.12
22.09,11.13
22.31,11.13
22.54,11.12
22.76,11.12
22.99,11.12
23.22,11.13
23.45,11.13
23.69,11.13
23.92,11.12
24.16,11.12
24.40,11.12
24.65,11.11
24.89,11.10
25.14,11.10
25.39,11.10
25.65,11.10
25.91,11.10
26.16,11.10
26.43,11.10
26.69,11.09
26.96,11.08
27.23,11.07
27.50,11.06
27.77,11.05
28.05,11.04
28.33,11.04
28.62,11.03
28.90,11.02
29.19,11.01
29.48,11.01
29.78,11.00
30.08,10.99
30.38,10.98
30.68,10.97
30.99,10.96
31.30,10.95
31.61,10.94
31.93,10.93
32.24,10.91
32.57,10.90
32.89,10.89
33.22,10.88
33.55,10.86
33.89,10.85
34.23,10.84
34.57,10.82
34.92,10.81
35.27,10.79
35.62,10.78
35.97,10.76
36.33,10.74
36.70,10.73
37.06,10.71
37.43,10.69
37.81,10.67
38.19,10.66
38.57,10.64
38.95,10.62
39.34,10.60
39.74,10.58
40.14,10.56
40.54,10.54
40.94,10.52
41.35,10.50
41.76,10.48
42.18,10.46
42.60,10.43
43.03,10.41
43.46,10.39
43.90,10.37
44.33,10.35
44.78,10.32
45.23,10.29
45.68,10.27
46.13,10.25
46.60,10.22
47.06,10.19
47.53,10.16
48.01,10.13
48.49,10.11
48.97,10.08
49.46,10.06
49.96,10.03
50.46,10.00
50.96,9.97
51.47,9.95
51.99,9.92
52.51,9.88
53.03,9.85
53.56,9.82
54.10,9.79
54.64,9.76
55.18,9.73
55.74,9.70
56.29,9.67
56.86,9.63
57.42,9.60
58.00,9.57
58.58,9.53
59.16,9.49
59.76,9.45
60.35,9.41
60.96,9.39
61.57,9.37
62.18,9.33
62.80,9.29
63.43,9.25
64.07,9.22
64.71,9.18
65.35,9.14
66.01,9.11
66.67,9.07
67.33,9.03
68.01,8.99
68.69,8.95
69.37,8.91
70.07,8.87
70.77,8.83
71.48,8.79
72.19,8.75
72.91,8.71
73.64,8.67
74.38,8.62
75.12,8.58
75.87,8.54
76.63,8.50
77.40,8.45
78.17,8.41
78.95,8.36
79.74,8.32
80.54,8.28
81.35,8.23
82.16,8.19
82.98,8.14
83.81,8.10
84.65,8.05
85.50,8.00
86.35,7.96
87.22,7.91
88.09,7.86
88.97,7.82
89.86,7.77
90.76,7.72
91.66,7.67
92.58,7.62
93.51,7.58
94.44,7.53
95.39,7.48
96.34,7.43
97.30,7.38
98.28,7.33
99.26,7.28
100.25,7.23
101.25,7.18
102.27,7.13
103.29,7.08
104.32,7.03
105.37,6.98
106.42,6.93
107.48,6.88
108.56,6.82
109.64,6.77
110.74,6.72
111.85,6.67
112.97,6.61
114.10,6.56
115.24,6.51
116.39,6.46
117.55,6.40
118.73,6.35
119.92,6.30
121.12,6.25
122.33,6.19
123.55,6.14
124.79,6.09
126.03,6.03
127.29,5.98
128.57,5.92
129.85,5.86
131.15,5.81
132.46,5.76
133.79,5.70
135.12,5.65
136.48,5.60
137.84,5.54
139.22,5.49
140.61,5.43
142.02,5.38
143.44,5.33
144.87,5.27
146.32,5.22
147.78,5.16
149.26,5.11
150.75,5.05
152.26,5.00
153.78,4.94
155.32,4.89
156.88,4.83
158.44,4.78
160.03,4.72
161.63,4.67
163.24,4.61
164.88,4.54
166.53,4.49
168.19,4.44
169.87,4.39
171.57,4.33
173.29,4.28
175.02,4.22
176.77,4.17
178.54,4.11
180.32,4.05
182.13,4.00
183.95,3.95
185.79,3.89
187.65,3.84
189.52,3.78
191.42,3.73
193.33,3.67
195.27,3.61
197.22,3.56
199.19,3.50
201.18,3.45
203.19,3.39
205.23,3.34
207.28,3.28
209.35,3.22
211.44,3.17
213.56,3.11
215.69,3.06
217.85,3.00
220.03,2.95
222.23,2.90
224.45,2.85
226.70,2.81
228.96,2.77
231.25,2.73
233.57,2.69
235.90,2.65
238.26,2.60
240.64,2.55
243.05,2.51
245.48,2.46
247.93,2.42
250.41,2.38
252.92,2.34
255.45,2.30
258.00,2.25
260.58,2.20
263.19,2.15
265.82,2.10
268.48,2.06
271.16,2.00
273.87,1.96
276.61,1.92
279.38,1.87
282.17,1.81
284.99,1.76
287.84,1.72
290.72,1.67
293.63,1.63
296.57,1.58
299.53,1.53
302.53,1.49
305.55,1.45
308.61,1.39
311.69,1.34
314.81,1.31
317.96,1.27
321.14,1.23
324.35,1.17
327.59,1.12
330.87,1.07
334.18,1.03
337.52,1.00
340.90,0.96
344.30,0.92
347.75,0.87
351.23,0.83
354.74,0.80
358.28,0.75
361.87,0.70
365.49,0.66
369.14,0.63
372.83,0.58
376.56,0.54
380.33,0.51
384.13,0.47
387.97,0.43
391.85,0.38
395.77,0.34
399.73,0.30
403.72,0.28
407.76,0.26
411.84,0.22
415.96,0.17
420.12,0.13
424.32,0.11
428.56,0.07
432.85,0.03
437.18,-0.01
441.55,-0.05
445.96,-0.09
450.42,-0.12
454.93,-0.15
459.48,-0.19
464.07,-0.22
468.71,-0.24
473.40,-0.27
478.13,-0.30
482.91,-0.33
487.74,-0.36
492.62,-0.39
497.55,-0.42
502.52,-0.44
507.55,-0.47
512.62,-0.49
517.75,-0.51
522.93,-0.53
528.16,-0.55
533.44,-0.58
538.77,-0.60
544.16,-0.61
549.60,-0.63
555.10,-0.65
560.65,-0.66
566.25,-0.68
571.92,-0.69
577.64,-0.70
583.41,-0.71
589.25,-0.71
595.14,-0.72
601.09,-0.73
607.10,-0.73
613.17,-0.74
619.30,-0.74
625.50,-0.74
631.75,-0.75
638.07,-0.75
644.45,-0.75
650.89,-0.75
657.40,-0.76
663.98,-0.76
670.62,-0.75
677.32,-0.75
684.10,-0.75
690.94,-0.75
697.85,-0.75
704.83,-0.75
711.87,-0.74
718.99,-0.74
726.18,-0.74
733.44,-0.74
740.78,-0.74
748.19,-0.74
755.67,-0.73
763.23,-0.73
770.86,-0.73
778.57,-0.72
786.35,-0.71
794.22,-0.70
802.16,-0.70
810.18,-0.68
818.28,-0.67
826.46,-0.66
834.73,-0.65
843.08,-0.63
851.51,-0.61
860.02,-0.59
868.62,-0.57
877.31,-0.55
886.08,-0.52
894.94,-0.49
903.89,-0.46
912.93,-0.43
922.06,-0.39
931.28,-0.35
940.59,-0.31
950.00,-0.27
959.50,-0.22
969.09,-0.17
978.78,-0.12
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.18
1039.00,0.25
1049.39,0.31
1059.88,0.39
1070.48,0.46
1081.19,0.54
1092.00,0.61
1102.92,0.69
1113.95,0.77
1125.09,0.85
1136.34,0.93
1147.70,1.00
1159.18,1.08
1170.77,1.16
1182.48,1.24
1194.30,1.32
1206.25,1.40
1218.31,1.47
1230.49,1.55
