frequency,raw
20.00,9.74
20.20,9.76
20.40,9.78
20.61,9.80
20.81,9.81
21.02,9.83
21.23,9.85
21.44,9.86
21.66,9.87
21.87,9.88
22.09,9.90
22.31,9.91
22.54,9.92
22.76,9.93
22.99,9.94
23.22,9.95
23.45,9.97
23.69,9.98
23.92,9.99
24.16,10.00
24.40,10.00
24.65,10.01
24.89,10.01
25.14,10.02
25.39,10.02
25.65,10.02
25.91,10.03
26.16,10.03
26.43,10.04
26.69,10.04
26.96,10.04
27.23,10.04
27.50,10.04
27.77,10.04
28.05,10.04
28.33,10.04
28.62,10.04
28.90,10.04
29.19,10.04
29.48,10.04
29.78,10.04
30.08,10.04
30.38,10.04
30.68,10.03
30.99,10.02
31.30,10.02
31.61,10.01
31.93,10.00
32.24,9.99
32.57,9.99
32.89,9.98
33.22,9.97
33.55,9.96
33.89,9.95
34.23,9.94
34.57,9.93
34.92,9.92
35.27,9.91
35.62,9.90
35.97,9.88
36.33,9.87
36.70,9.86
37.06,9.85
37.43,9.84
37.81,9.82
38.19,9.81
38.57,9.79
38.95,9.78
39.34,9.76
39.74,9.75
40.14,9.73
40.54,9.71
40.94,9.69
41.35,9.67
41.76,9.65
42.18,9.63
42.60,9.61
43.03,9.59
43.46,9.57
43.90,9.55
44.33,9.53
44.78,9.51
45.23,9.49
45.68,9.46
46.13,9.44
46.60,9.42
47.06,9.40
47.53,9.37
48.01,9.35
48.49,9.32
48.97,9.30
49.46,9.27
49.96,9.24
50.46,9.21
50.96,9.18
51.47,9.16
51.99,9.14
52.51,9.11
53.03,9.08
53.56,9.04
54.10,9.01
54.64,8.97
55.18,8.93
55.74,8.91
56.29,8.89
56.86,8.86
57.42,8.83
58.00,8.79
58.58,8.77
59.16,8.74
59.76,8.70
60.35,8.66
60.96,8.63
61.57,8.60
62.18,8.56
62.80,8.52
63.43,8.49
64.07,8.45
64.71,8.41
65.35,8.38
66.01,8.35
66.67,8.30
67.33,8.26
68.01,8.22
68.69,8.19
69.37,8.15
70.07,8.11
70.77,8.06
71.48,8.03
72.19,7.99
72.91,7.95
73.64,7.91
74.38,7.87
75.12,7.83
75.87,7.79
76.63,7.74
77.40,7.70
78.17,7.66
78.95,7.62
79.74,7.57
80.54,7.53
81.35,7.48
82.16,7.44
82.98,7.40
83.81,7.35
84.65,7.30
85.50,7.26
86.35,7.22
87.22,7.17
88.09,7.12
88.97,7.08
89.86,7.03
90.76,6.98
91.66,6.94
92.58,6.89
93.51,6.84
94.44,6.79
95.39,6.75
96.34,6.70
97.30,6.65
98.28,6.60
99.26,6.55
100.25,6.50
101.25,6.45
102.27,6.40
103.29,6.35
104.32,6.30
105.37,6.25
106.42,6.20
107.48,6.15
108.56,6.10
109.64,6.05
110.74,6.00
111.85,5.95
112.97,5.89
114.10,5.84
115.24,5.79
116.39,5.74
117.55,5.69
118.73,5.64
119.92,5.59
121.12,5.54
122.33,5.49
123.55,5.43
124.79,5.38
126.03,5.33
127.29,5.28
128.57,5.23
129.85,5.18
131.15,5.13
132.46,5.07
133.79,5.02
135.12,4.97
136.48,4.92
137.84,4.86
139.22,4.81
140.61,4.75
142.02,4.70
143.44,4.64
144.87,4.59
146.32,4.53
147.78,4.48
149.26,4.42
150.75,4.37
152.26,4.31
153.78,4.25
155.32,4.19
156.88,4.14
158.44,4.08
160.03,4.02
161.63,3.97
163.24,3.92
164.88,3.87
166.53,3.83
168.19,3.80
169.87,3.76
171.57,3.72
173.29,3.68
175.02,3.64
176.77,3.60
178.54,3.56
180.32,3.52
182.13,3.47
183.95,3.43
185.79,3.39
187.65,3.35
189.52,3.30
191.42,3.26
193.33,3.21
195.27,3.16
197.22,3.12
199.19,3.07
201.18,3.02
203.19,2.97
205.23,2.92
207.28,2.87
209.35,2.82
211.44,2.77
213.56,2.72
215.69,2.67
217.85,2.62
220.03,2.58
222.23,2.53
224.45,2.48
226.70,2.43
228.96,2.39
231.25,2.34
233.57,2.30
235.90,2.25
238.26,2.21
240.64,2.17
243.05,2.12
245.48,2.08
247.93,2.04
250.41,2.00
252.92,1.95
255.45,1.91
258.00,1.87
260.58,1.82
263.19,1.78
265.82,1.74
268.48,1.69
271.16,1.65
273.87,1.61
276.61,1.57
279.38,1.53
282.17,1.49
284.99,1.45
287.84,1.42
290.72,1.38
293.63,1.34
296.57,1.30
299.53,1.26
302.53,1.23
305.55,1.19
308.61,1.16
311.69,1.12
314.81,1.08
317.96,1.05
321.14,1.02
324.35,0.99
327.59,0.96
330.87,0.93
334.18,0.90
337.52,0.88
340.90,0.85
344.30,0.83
347.75,0.80
351.23,0.78
354.74,0.76
358.28,0.74
361.87,0.72
365.49,0.69
369.14,0.67
372.83,0.64
376.56,0.62
380.33,0.59
384.13,0.57
387.97,0.54
391.85,0.52
395.77,0.49
399.73,0.47
403.72,0.45
407.76,0.42
411.84,0.40
415.96,0.38
420.12,0.36
424.32,0.34
428.56,0.32
432.85,0.30
437.18,0.28
441.55,0.26
445.96,0.24
