frequency,raw
20.00,7.46
20.20,7.48
20.40,7.49
20.61,7.51
20.81,7.52
21.02,7.53
21.23,7.54
21.44,7.55
21.66,7.56
21.87,7.57
22.09,7.59
22.31,7.60
22.54,7.62
22.76,7.63
22.99,7.64
23.22,7.65
23.45,7.66
23.69,7.67
23.92,7.68
24.16,7.69
24.40,7.69
24.65,7.70
24.89,7.70
25.14,7.71
25.39,7.71
25.65,7.72
25.91,7.72
26.16,7.73
26.43,7.73
26.69,7.74
26.96,7.74
27.23,7.74
27.50,7.74
27.77,7.75
28.05,7.75
28.33,7.75
28.62,7.75
28.90,7.75
29.19,7.74
29.48,7.72
29.78,7.71
30.08,7.70
30.38,7.69
30.68,7.69
30.99,7.69
31.30,7.70
31.61,7.70
31.93,7.70
32.24,7.70
32.57,7.69
32.89,7.69
33.22,7.68
33.55,7.68
33.89,7.67
34.23,7.66
34.57,7.65
34.92,7.63
35.27,7.62
35.62,7.61
35.97,7.60
36.33,7.59
36.70,7.58
37.06,7.57
37.43,7.55
37.81,7.54
38.19,7.53
38.57,7.51
38.95,7.50
39.34,7.48
39.74,7.47
40.14,7.45
40.54,7.43
40.94,7.42
41.35,7.40
41.76,7.38
42.18,7.36
42.60,7.34
43.03,7.32
43.46,7.31
43.90,7.29
44.33,7.28
44.78,7.25
45.23,7.23
45.68,7.20
46.13,7.18
46.60,7.16
47.06,7.14
47.53,7.12
48.01,7.10
48.49,7.08
48.97,7.05
49.46,7.02
49.96,7.00
50.46,6.98
50.96,6.95
51.47,6.93
51.99,6.88
52.51,6.83
53.03,6.79
53.56,6.78
54.10,6.77
54.64,6.76
55.18,6.73
55.74,6.70
56.29,6.67
56.86,6.64
57.42,6.60
58.00,6.56
58.58,6.54
59.16,6.52
59.76,6.50
60.35,6.47
60.96,6.42
61.57,6.37
62.18,6.34
62.80,6.31
63.43,6.28
64.07,6.24
64.71,6.21
65.35,6.18
66.01,6.14
66.67,6.11
67.33,6.07
68.01,6.03
68.69,6.00
69.37,5.96
70.07,5.92
70.77,5.88
71.48,5.85
72.19,5.81
72.91,5.77
73.64,5.73
74.38,5.69
75.12,5.65
75.87,5.61
76.63,5.57
77.40,5.54
78.17,5.50
78.95,5.46
79.74,5.41
80.54,5.37
81.35,5.32
82.16,5.28
82.98,5.24
83.81,5.20
84.65,5.15
85.50,5.11
86.35,5.07
87.22,5.02
88.09,4.98
88.97,4.94
89.86,4.89
90.76,4.85
91.66,4.80
92.58,4.76
93.51,4.71
94.44,4.67
95.39,4.62
96.34,4.57
97.30,4.53
98.28,4.48
99.26,4.43
100.25,4.39
101.25,4.34
102.27,4.29
103.29,4.24
104.32,4.20
105.37,4.15
106.42,4.10
107.48,4.05
108.56,4.00
109.64,3.95
110.74,3.90
111.85,3.86
112.97,3.81
114.10,3.76
115.24,3.71
116.39,3.66
117.55,3.61
118.73,3.56
119.92,3.51
121.12,3.46
122.33,3.41
123.55,3.36
124.79,3.31
126.03,3.26
127.29,3.21
128.57,3.16
129.85,3.11
131.15,3.06
132.46,3.01
133.79,2.96
135.12,2.91
136.48,2.85
137.84,2.80
139.22,2.75
140.61,2.70
142.02,2.64
143.44,2.59
144.87,2.54
146.32,2.49
147.78,2.43
149.26,2.38
150.75,2.33
152.26,2.27
153.78,2.22
155.32,2.17
156.88,2.12
158.44,2.07
160.03,2.01
161.63,1.96
163.24,1.91
164.88,1.86
166.53,1.81
168.19,1.76
169.87,1.71
171.57,1.68
173.29,1.64
175.02,1.60
176.77,1.58
178.54,1.55
180.32,1.52
182.13,1.49
183.95,1.46
185.79,1.42
187.65,1.38
189.52,1.34
191.42,1.29
193.33,1.25
195.27,1.20
197.22,1.15
199.19,1.10
201.18,1.05
203.19,1.00
205.23,0.95
207.28,0.90
209.35,0.86
211.44,0.81
213.56,0.76
215.69,0.71
217.85,0.67
220.03,0.62
222.23,0.58
224.45,0.53
226.70,0.49
228.96,0.45
231.25,0.41
233.57,0.38
235.90,0.34
238.26,0.30
240.64,0.26
243.05,0.22
245.48,0.18
247.93,0.15
250.41,0.11
252.92,0.07
255.45,0.03
258.00,-0.01
260.58,-0.05
263.19,-0.10
265.82,-0.14
268.48,-0.17
271.16,-0.21
273.87,-0.25
276.61,-0.28
279.38,-0.32
282.17,-0.36
284.99,-0.39
287.84,-0.43
290.72,-0.46
293.63,-0.49
296.57,-0.52
299.53,-0.55
302.53,-0.59
305.55,-0.62
308.61,-0.65
311.69,-0.69
314.81,-0.72
317.96,-0.75
321.14,-0.77
324.35,-0.80
327.59,-0.83
330.87,-0.85
334.18,-0.87
337.52,-0.89
340.90,-0.91
344.30,-0.94
347.75,-0.96
351.23,-0.97
354.74,-0.99
358.28,-1.01
361.87,-1.03
365.49,-1.04
369.14,-1.06
372.83,-1.08
376.56,-1.09
380.33,-1.11
384.13,-1.13
387.97,-1.15
391.85,-1.16
395.77,-1.18
399.73,-1.20
403.72,-1.21
407.76,-1.23
411.84,-1.24
415.96,-1.26
420.12,-1.27
424.32,-1.28
428.56,-1.29
432.85,-1.30
437.18,-1.31
441.55,-1.32
445.96,-1.33
450.42,-1.34
454.93,-1.35
459.48,-1.35
464.07,-1.36
468.71,-1.36
473.40,-1.37
478.13,-1.37
482.91,-1.38
487.74,-1.38
492.62,-1.38
497.55,-1.38
502.52,-1.38
507.55,-1.38
512.62,-1.38
517.75,-1.38
522.93,-1.37
528.16,-1.37
533.44,-1.37
538.77,-1.36
544.16,-1.36
549.60,-1.35
555.10,-1.34
