frequency,raw
20.00,8.87
20.20,8.88
20.40,8.89
20.61,8.90
20.81,8.91
21.02,8.92
21.23,8.93
21.44,8.94
21.66,8.96
21.87,8.98
22.09,8.99
22.31,9.01
22.54,9.03
22.76,9.05
22.99,9.06
23.22,9.08
23.45,9.09
23.69,9.10
23.92,9.10
24.16,9.11
24.40,9.11
24.65,9.12
24.89,9.12
25.14,9.13
25.39,9.13
25.65,9.14
25.91,9.15
26.16,9.15
26.43,9.16
26.69,9.16
26.96,9.17
27.23,9.17
27.50,9.18
27.77,9.18
28.05,9.18
28.33,9.18
28.62,9.17
28.90,9.17
29.19,9.17
29.48,9.17
29.78,9.17
30.08,9.17
30.38,9.17
30.68,9.16
30.99,9.16
31.30,9.15
31.61,9.15
31.93,9.14
32.24,9.14
32.57,9.13
32.89,9.13
33.22,9.12
33.55,9.12
33.89,9.11
34.23,9.10
34.57,9.09
34.92,9.07
35.27,9.06
35.62,9.06
35.97,9.05
36.33,9.03
36.70,9.02
37.06,9.01
37.43,9.00
37.81,8.99
38.19,8.97
38.57,8.96
38.95,8.94
39.34,8.93
39.74,8.91
40.14,8.90
40.54,8.88
40.94,8.86
41.35,8.85
41.76,8.83
42.18,8.81
42.60,8.80
43.03,8.78
43.46,8.76
43.90,8.74
44.33,8.71
44.78,8.69
45.23,8.67
45.68,8.65
46.13,8.63
46.60,8.61
47.06,8.59
47.53,8.57
48.01,8.54
48.49,8.51
48.97,8.48
49.46,8.45
49.96,8.43
50.46,8.40
50.96,8.38
51.47,8.36
51.99,8.34
52.51,8.32
53.03,8.30
53.56,8.27
54.10,8.23
54.64,8.19
55.18,8.15
55.74,8.13
56.29,8.10
56.86,8.07
57.42,8.04
58.00,8.01
58.58,7.97
59.16,7.94
59.76,7.90
60.35,7.87
60.96,7.84
61.57,7.81
62.18,7.77
62.80,7.74
63.43,7.71
64.07,7.68
64.71,7.65
65.35,7.61
66.01,7.57
66.67,7.54
67.33,7.50
68.01,7.47
68.69,7.43
69.37,7.39
70.07,7.35
70.77,7.31
71.48,7.27
72.19,7.24
72.91,7.20
73.64,7.16
74.38,7.12
75.12,7.07
75.87,7.04
76.63,6.99
77.40,6.95
78.17,6.91
78.95,6.88
79.74,6.83
80.54,6.79
81.35,6.75
82.16,6.70
82.98,6.66
83.81,6.62
84.65,6.57
85.50,6.53
86.35,6.49
87.22,6.44
88.09,6.40
88.97,6.35
89.86,6.31
90.76,6.26
91.66,6.22
92.58,6.17
93.51,6.13
94.44,6.08
95.39,6.03
96.34,5.99
97.30,5.94
98.28,5.89
99.26,5.84
100.25,5.80
101.25,5.75
102.27,5.70
103.29,5.65
104.32,5.60
105.37,5.55
106.42,5.50
107.48,5.45
108.56,5.41
109.64,5.36
110.74,5.31
111.85,5.26
112.97,5.21
114.10,5.16
115.24,5.11
116.39,5.06
117.55,5.01
118.73,4.96
119.92,4.91
121.12,4.85
122.33,4.80
123.55,4.75
124.79,4.70
126.03,4.65
127.29,4.60
128.57,4.55
129.85,4.50
131.15,4.44
132.46,4.39
133.79,4.34
135.12,4.29
136.48,4.24
137.84,4.18
139.22,4.13
140.61,4.08
142.02,4.03
143.44,3.97
144.87,3.92
146.32,3.86
147.78,3.81
149.26,3.75
150.75,3.70
152.26,3.64
153.78,3.59
155.32,3.53
156.88,3.47
158.44,3.41
160.03,3.36
161.63,3.30
163.24,3.24
164.88,3.19
166.53,3.13
168.19,3.08
169.87,3.04
171.57,3.01
173.29,2.98
175.02,2.96
176.77,2.93
178.54,2.90
180.32,2.87
182.13,2.84
183.95,2.80
185.79,2.76
187.65,2.72
189.52,2.69
191.42,2.64
193.33,2.60
195.27,2.55
