frequency,raw
20.00,9.76
20.20,9.78
20.40,9.79
20.61,9.81
20.81,9.82
21.02,9.83
21.23,9.84
21.44,9.85
21.66,9.86
21.87,9.88
22.09,9.89
22.31,9.90
22.54,9.92
22.76,9.93
22.99,9.94
23.22,9.95
23.45,9.96
23.69,9.97
23.92,9.98
24.16,9.99
24.40,9.99
24.65,9.99
24.89,10.00
25.14,10.00
25.39,10.00
25.65,10.01
25.91,10.01
26.16,10.02
26.43,10.03
26.69,10.03
26.96,10.04
27.23,10.04
27.50,10.04
27.77,10.04
28.05,10.04
28.33,10.03
28.62,10.03
28.90,10.03
29.19,10.03
29.48,10.03
29.78,10.03
30.08,10.03
30.38,10.04
30.68,10.03
30.99,10.03
31.30,10.02
31.61,10.01
31.93,10.00
32.24,9.99
32.57,9.98
32.89,9.97
33.22,9.97
33.55,9.96
33.89,9.95
34.23,9.94
34.57,9.93
34.92,9.92
35.27,9.91
35.62,9.90
35.97,9.89
36.33,9.88
36.70,9.87
37.06,9.85
37.43,9.84
37.81,9.82
38.19,9.81
38.57,9.79
38.95,9.78
39.34,9.77
39.74,9.75
40.14,9.73
40.54,9.72
40.94,9.70
41.35,9.69
41.76,9.67
42.18,9.65
42.60,9.63
43.03,9.61
43.46,9.59
43.90,9.57
44.33,9.55
44.78,9.53
45.23,9.51
45.68,9.49
46.13,9.47
46.60,9.45
47.06,9.43
47.53,9.40
48.01,9.37
48.49,9.34
48.97,9.30
49.46,9.27
49.96,9.24
50.46,9.21
50.96,9.18
51.47,9.16
51.99,9.14
52.51,9.12
53.03,9.09
53.56,9.06
54.10,9.03
54.64,9.00
55.18,8.96
55.74,8.93
56.29,8.90
56.86,8.87
57.42,8.84
58.00,8.81
58.58,8.77
59.16,8.74
59.76,8.70
60.35,8.67
60.96,8.63
61.57,8.60
62.18,8.57
62.80,8.53
63.43,8.49
64.07,8.46
64.71,8.42
65.35,8.38
66.01,8.34
66.67,8.31
67.33,8.27
68.01,8.23
68.69,8.19
69.37,8.15
70.07,8.11
70.77,8.07
71.48,8.03
72.19,7.99
72.91,7.95
73.64,7.91
74.38,7.87
75.12,7.83
75.87,7.78
76.63,7.74
77.40,7.70
78.17,7.65
78.95,7.61
79.74,7.57
80.54,7.53
81.35,7.48
82.16,7.43
82.98,7.39
83.81,7.35
84.65,7.30
85.50,7.26
86.35,7.21
87.22,7.16
88.09,7.12
88.97,7.07
89.86,7.02
90.76,6.98
91.66,6.93
92.58,6.88
93.51,6.83
94.44,6.79
95.39,6.74
