frequency,raw
20.00,10.24
20.20,10.25
20.40,10.25
20.61,10.25
20.81,10.25
21.02,10.24
21.23,10.24
21.44,10.24
21.66,10.23
21.87,10.23
22.09,10.22
22.31,10.22
22.54,10.21
22.76,10.21
22.99,10.20
23.22,10.20
23.45,10.19
23.69,10.19
23.92,10.18
24.16,10.17
24.40,10.16
24.65,10.15
24.89,10.14
25.14,10.13
25.39,10.12
25.65,10.11
25.91,10.11
26.16,10.10
26.43,10.10
26.69,10.09
26.96,10.09
27.23,10.08
27.50,10.06
27.77,10.05
28.05,10.03
28.33,10.02
28.62,10.00
28.90,9.99
29.19,9.97
29.48,9.96
29.78,9.95
30.08,9.93
30.38,9.92
30.68,9.90
30.99,9.88
31.30,9.87
31.61,9.85
31.93,9.83
32.24,9.81
32.57,9.80
32.89,9.78
33.22,9.76
33.55,9.74
33.89,9.71
34.23,9.69
34.57,9.67
34.92,9.65
35.27,9.63
35.62,9.61
35.97,9.59
36.33,9.56
36.70,9.54
37.06,9.51
37.43,9.49
37.81,9.47
38.19,9.44
38.57,9.42
38.95,9.39
39.34,9.36
39.74,9.34
40.14,9.31
40.54,9.29
40.94,9.26
41.35,9.23
41.76,9.20
42.18,9.17
42.60,9.14
43.03,9.11
43.46,9.08
43.90,9.05
44.33,9.02
44.78,8.99
45.23,8.95
45.68,8.92
46.13,8.89
46.60,8.86
47.06,8.82
47.53,8.79
48.01,8.76
48.49,8.72
48.97,8.68
49.46,8.65
49.96,8.61
50.46,8.58
50.96,8.54
51.47,8.51
51.99,8.46
52.51,8.42
53.03,8.38
53.56,8.35
54.10,8.32
54.64,8.28
55.18,8.25
55.74,8.21
56.29,8.17
56.86,8.13
57.42,8.08
58.00,8.03
58.58,7.99
59.16,7.95
59.76,7.92
60.35,7.88
60.96,7.84
61.57,7.80
62.18,7.75
62.80,7.70
63.43,7.66
64.07,7.62
64.71,7.58
65.35,7.53
66.01,7.49
66.67,7.44
67.33,7.39
68.01,7.35
68.69,7.31
69.37,7.26
70.07,7.22
70.77,7.17
71.48,7.12
72.19,7.07
72.91,7.03
73.64,6.98
74.38,6.93
75.12,6.88
75.87,6.83
76.63,6.79
77.40,6.74
78.17,6.69
78.95,6.64
79.74,6.59
80.54,6.54
81.35,6.49
82.16,6.44
82.98,6.39
83.81,6.35
84.65,6.30
85.50,6.25
86.35,6.20
87.22,6.15
88.09,6.09
88.97,6.04
89.86,5.99
90.76,5.94
91.66,5.89
92.58,5.84
93.51,5.79
94.44,5.73
95.39,5.68
96.34,5.63
97.30,5.58
98.28,5.53
99.26,5.47
100.25,5.42
101.25,5.37
102.27,5.32
103.29,5.26
104.32,5.21
105.37,5.16
106.42,5.11
107.48,5.05
108.56,5.00
109.64,4.95
110.74,4.90
111.85,4.84
112.97,4.79
114.10,4.73
115.24,4.68
116.39,4.63
117.55,4.58
118.73,4.52
119.92,4.47
121.12,4.42
122.33,4.36
123.55,4.31
124.79,4.26
126.03,4.21
127.29,4.15
128.57,4.10
129.85,4.05
131.15,4.00
132.46,3.94
133.79,3.88
135.12,3.83
136.48,3.78
137.84,3.73
139.22,3.67
140.61,3.62
142.02,3.57
143.44,3.51
144.87,3.46
146.32,3.41
147.78,3.36
149.26,3.31
150.75,3.26
152.26,3.20
153.78,3.15
155.32,3.10
156.88,3.05
158.44,3.00
160.03,2.95
161.63,2.90
163.24,2.86
164.88,2.84
166.53,2.77
168.19,2.70
169.87,2.66
171.57,2.61
173.29,2.57
175.02,2.52
176.77,2.47
178.54,2.43
180.32,2.39
182.13,2.35
183.95,2.31
185.79,2.26
187.65,2.22
189.52,2.17
191.42,2.13
193.33,2.08
195.27,2.03
197.22,1.99
199.19,1.94
201.18,1.90
203.19,1.85
205.23,1.80
207.28,1.76
209.35,1.71
211.44,1.66
213.56,1.62
215.69,1.57
217.85,1.53
220.03,1.49
222.23,1.44
224.45,1.40
226.70,1.36
228.96,1.31
231.25,1.27
233.57,1.23
235.90,1.19
238.26,1.14
240.64,1.10
243.05,1.06
245.48,1.02
247.93,0.98
250.41,0.94
252.92,0.90
255.45,0.86
258.00,0.82
260.58,0.78
263.19,0.74
265.82,0.70
268.48,0.66
271.16,0.62
273.87,0.59
276.61,0.55
279.38,0.52
282.17,0.48
284.99,0.45
287.84,0.43
290.72,0.40
293.63,0.38
296.57,0.35
299.53,0.32
302.53,0.29
305.55,0.27
308.61,0.23
311.69,0.20
314.81,0.17
317.96,0.13
321.14,0.10
324.35,0.07
327.59,0.03
330.87,0.00
334.18,-0.03
337.52,-0.06
340.90,-0.09
344.30,-0.12
347.75,-0.15
351.23,-0.18
354.74,-0.20
358.28,-0.23
361.87,-0.25
365.49,-0.28
369.14,-0.31
372.83,-0.33
376.56,-0.36
380.33,-0.39
384.13,-0.41
387.97,-0.43
391.85,-0.46
395.77,-0.49
399.73,-0.51
403.72,-0.54
407.76,-0.56
411.84,-0.59
415.96,-0.61
420.12,-0.64
424.32,-0.66
428.56,-0.68
432.85,-0.71
437.18,-0.73
441.55,-0.75
445.96,-0.77
450.42,-0.79
454.93,-0.81
459.48,-0.83
464.07,-0.85
468.71,-0.87
473.40,-0.89
478.13,-0.91
482.91,-0.93
487.74,-0.95
492.62,-0.97
497.55,-0.98
502.52,-1.00
