frequency,raw
20.00,7.81
20.20,7.83
20.40,7.84
20.61,7.85
20.81,7.86
21.02,7.86
21.23,7.87
21.44,7.87
21.66,7.87
21.87,7.87
22.09,7.86
22.31,7.86
22.54,7.87
22.76,7.87
22.99,7.87
23.22,7.88
23.45,7.88
23.69,7.89
23.92,7.89
24.16,7.88
24.40,7.88
24.65,7.87
24.89,7.86
25.14,7.85
25.39,7.85
25.65,7.84
25.91,7.83
26.16,7.82
26.43,7.83
26.69,7.83
26.96,7.83
27.23,7.84
27.50,7.83
27.77,7.83
28.05,7.82
28.33,7.80
28.62,7.78
28.90,7.76
29.19,7.75
29.48,7.75
29.78,7.74
30.08,7.74
30.38,7.74
30.68,7.74
30.99,7.73
31.30,7.72
31.61,7.72
31.93,7.72
32.24,7.71
32.57,7.70
32.89,7.69
33.22,7.67
33.55,7.65
33.89,7.64
34.23,7.62
34.57,7.61
34.92,7.60
35.27,7.60
35.62,7.59
35.97,7.58
36.33,7.57
36.70,7.55
37.06,7.54
37.43,7.51
37.81,7.49
38.19,7.47
38.57,7.47
38.95,7.47
39.34,7.49
39.74,7.49
40.14,7.48
40.54,7.45
40.94,7.42
41.35,7.38
41.76,7.35
42.18,7.34
42.60,7.33
43.03,7.31
43.46,7.29
43.90,7.27
44.33,7.25
44.78,7.24
45.23,7.22
45.68,7.19
46.13,7.16
46.60,7.14
47.06,7.14
47.53,7.14
48.01,7.11
48.49,7.07
48.97,7.02
49.46,6.99
49.96,6.98
50.46,6.97
50.96,6.96
51.47,6.92
51.99,6.83
52.51,6.77
53.03,6.73
53.56,6.78
54.10,6.82
54.64,6.81
55.18,6.73
55.74,6.69
56.29,6.67
56.86,6.67
57.42,6.62
58.00,6.54
58.58,6.55
59.16,6.55
59.76,6.53
60.35,6.49
60.96,6.44
61.57,6.42
62.18,6.38
62.80,6.33
63.43,6.31
64.07,6.29
64.71,6.28
65.35,6.24
66.01,6.19
66.67,6.16
67.33,6.14
68.01,6.11
68.69,6.08
69.37,6.05
70.07,6.01
70.77,5.97
71.48,5.94
72.19,5.90
72.91,5.87
73.64,5.84
74.38,5.80
75.12,5.76
75.87,5.72
76.63,5.68
77.40,5.65
78.17,5.61
78.95,5.58
79.74,5.53
80.54,5.50
81.35,5.47
82.16,5.43
82.98,5.39
83.81,5.35
84.65,5.31
85.50,5.27
86.35,5.24
87.22,5.20
88.09,5.15
88.97,5.11
89.86,5.08
90.76,5.04
91.66,4.99
92.58,4.95
93.51,4.90
94.44,4.87
95.39,4.83
96.34,4.78
97.30,4.74
98.28,4.70
99.26,4.66
100.25,4.62
101.25,4.57
102.27,4.53
103.29,4.49
104.32,4.44
105.37,4.40
106.42,4.36
107.48,4.31
108.56,4.27
109.64,4.23
110.74,4.18
111.85,4.14
112.97,4.09
114.10,4.04
115.24,4.00
116.39,3.96
117.55,3.91
118.73,3.86
119.92,3.81
121.12,3.77
122.33,3.73
123.55,3.68
124.79,3.63
126.03,3.59
127.29,3.54
128.57,3.50
129.85,3.45
131.15,3.40
132.46,3.36
133.79,3.31
135.12,3.26
136.48,3.21
137.84,3.16
139.22,3.12
140.61,3.08
142.02,3.03
143.44,2.98
144.87,2.93
146.32,2.88
147.78,2.83
149.26,2.77
150.75,2.73
152.26,2.69
153.78,2.64
155.32,2.60
156.88,2.55
158.44,2.51
160.03,2.47
161.63,2.43
163.24,2.40
164.88,2.36
166.53,2.32
168.19,2.28
169.87,2.25
171.57,2.20
173.29,2.16
175.02,2.12
176.77,2.09
178.54,2.03
180.32,1.98
182.13,1.96
183.95,1.94
185.79,1.90
187.65,1.85
189.52,1.81
191.42,1.77
193.33,1.73
195.27,1.68
197.22,1.64
199.19,1.59
201.18,1.55
203.19,1.51
205.23,1.47
207.28,1.43
209.35,1.38
211.44,1.34
213.56,1.30
215.69,1.26
217.85,1.21
220.03,1.17
222.23,1.13
224.45,1.09
226.70,1.05
228.96,1.00
231.25,0.96
233.57,0.92
235.90,0.88
238.26,0.85
240.64,0.82
243.05,0.77
245.48,0.73
247.93,0.69
250.41,0.65
252.92,0.62
255.45,0.58
258.00,0.54
260.58,0.50
263.19,0.46
265.82,0.43
268.48,0.39
271.16,0.35
273.87,0.32
276.61,0.28
279.38,0.24
282.17,0.21
284.99,0.17
287.84,0.14
290.72,0.11
293.63,0.08
296.57,0.05
299.53,0.01
302.53,-0.01
305.55,-0.04
308.61,-0.07
311.69,-0.09
314.81,-0.12
317.96,-0.15
321.14,-0.18
324.35,-0.21
327.59,-0.24
330.87,-0.27
334.18,-0.30
337.52,-0.33
340.90,-0.36
344.30,-0.39
347.75,-0.42
351.23,-0.45
354.74,-0.47
358.28,-0.50
361.87,-0.52
365.49,-0.56
369.14,-0.58
372.83,-0.60
376.56,-0.63
380.33,-0.66
384.13,-0.68
387.97,-0.70
391.85,-0.73
395.77,-0.75
399.73,-0.77
403.72,-0.79
407.76,-0.81
411.84,-0.83
415.96,-0.86
420.12,-0.88
424.32,-0.90
428.56,-0.92
432.85,-0.94
437.18,-0.96
441.55,-0.98
445.96,-0.99
450.42,-1.01
454.93,-1.03
459.48,-1.05
464.07,-1.07
468.71,-1.08
473.40,-1.10
478.13,-1.12
482.91,-1.14
487.74,-1.15
492.62,-1.16
497.55,-1.18
502.52,-1.19
507.55,-1.20
512.62,-1.22
517.75,-1.23
522.93,-1.24
528.16,-1.26
533.44,-1.27
538.77,-1.28
544.16,-1.29
549.60,-1.30
555.10,-1.31
560.65,-1.31
566.25,-1.32
571.92,-1.33
577.64,-1.34
583.41,-1.34
589.25,-1.35
595.14,-1.36
601.09,-1.36
607.10,-1.37
613.17,-1.37
619.30,-1.37
625.50,-1.37
631.75,-1.37
638.07,-1.37
644.45,-1.37
650.89,-1.37
657.40,-1.36
663.98,-1.36
670.62,-1.36
677.32,-1.36
684.10,-1.35
690.94,-1.34
697.85,-1.33
704.83,-1.32
711.87,-1.32
718.99,-1.30
726.18,-1.29
733.44,-1.28
740.78,-1.27
748.19,-1.26
755.67,-1.24
763.23,-1.22
770.86,-1.20
778.57,-1.18
786.35,-1.16
794.22,-1.14
802.16,-1.12
810.18,-1.09
818.28,-1.06
826.46,-1.03
834.73,-1.00
843.08,-0.97
851.51,-0.93
860.02,-0.90
868.62,-0.85
877.31,-0.81
886.08,-0.77
894.94,-0.72
903.89,-0.67
912.93,-0.62
922.06,-0.56
931.28,-0.51
940.59,-0.45
950.00,-0.38
959.50,-0.31
969.09,-0.24
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.34
1049.39,0.43
1059.88,0.52
1070.48,0.62
1081.19,0.72
1092.00,0.81
1102.92,0.90
1113.95,1.00
1125.09,1.09
1136.34,1.18
1147.70,1.26
1159.18,1.35
1170.77,1.44
1182.48,1.53
1194.30,1.63
1206.25,1.72
1218.31,1.83
1230.49,1.94
1242.80,2.05
1255.22,2.17
1267.78,2.28
1280.45,2.40
1293.26,2.51
1306.19,2.62
1319.25,2.73
1332.45,2.81
1345.77,2.89
1359.23,2.95
1372.82,2.98
1386.55,2.98
1400.41,2.95
1414.42,2.88
1428.56,2.81
1442.85,2.73
1457.28,2.65
1471.85,2.57
1486.57,2.52
1501.43,2.49
1516.45,2.49
1531.61,2.52
1546.93,2.58
1562.40,2.67
1578.02,2.77
1593.80,2.89
1609.74,3.01
1625.84,3.14
1642.10,3.28
1658.52,3.41
1675.10,3.55
1691.85,3.69
1708.77,3.83
1725.86,3.98
1743.12,4.13
1760.55,4.30
1778.15,4.48
1795.94,4.69
1813.90,4.94
1832.03,5.23
1850.36,5.55
1868.86,5.87
1887.55,6.17
1906.42,6.42
1925.49,6.63
1944.74,6.77
1964.19,6.87
1983.83,6.95
2003.67,7.01
2023.71,7.05
2043.94,7.09
2064.38,7.13
2085.03,7.16
2105.88,7.18
2126.94,7.18
2148.20,7.16
2169.69,7.10
2191.38,7.00
2213.30,6.84
2235.43,6.66
2257.78,6.45
2280.36,6.24
2303.17,6.02
2326.20,5.81
2349.46,5.59
2372.95,5.33
2396.68,5.04
2420.65,4.73
2444.86,4.44
2469.31,4.18
2494.00,4.04
2518.94,3.97
2544.13,3.93
2569.57,3.93
2595.27,3.92
2621.22,3.92
2647.43,3.90
2673.90,3.87
2700.64,3.84
2727.65,3.80
2754.93,3.77
2782.48,3.72
2810.30,3.66
2838.40,3.59
2866.79,3.51
2895.46,3.42
2924.41,3.32
2953.65,3.22
2983.19,3.11
3013.02,2.99
3043.15,2.87
3073.58,2.77
3104.32,2.69
3135.36,2.62
3166.72,2.57
3198.38,2.52
3230.37,2.47
3262.67,2.43
3295.30,2.40
3328.25,2.41
3361.53,2.45
3395.15,2.51
3429.10,2.58
3463.39,2.64
3498.03,2.66
3533.01,2.57
3568.34,2.39
3604.02,2.15
3640.06,1.92
3676.46,1.77
3713.22,1.70
3750.36,1.71
3787.86,1.76
3825.74,1.81
3864.00,1.85
3902.64,1.92
3941.66,2.01
3981.08,2.16
4020.89,2.34
4061.10,2.52
4101.71,2.68
4142.73,2.82
4184.15,2.94
4226.00,3.04
4268.26,3.12
4310.94,3.20
4354.05,3.25
4397.59,3.25
4441.56,3.20
4485.98,2.92
4530.84,2.58
4576.15,2.46
4621.91,2.51
4668.13,2.70
4714.81,2.91
4761.96,3.12
4809.58,3.37
4857.67,3.62
4906.25,3.87
4955.31,4.08
5004.87,4.23
5054.91,4.24
5105.46,4.18
5156.52,4.07
5208.08,4.02
5260.16,4.12
5312.77,4.28
5365.89,4.46
5419.55,4.65
5473.75,4.81
5528.49,4.95
5583.77,5.06
5639.61,5.17
5696.00,5.26
5752.96,5.31
5810.49,5.35
5868.60,5.32
5927.28,5.25
5986.56,5.13
6046.42,4.98
6106.89,4.83
6167.96,4.73
6229.64,4.63
6291.93,4.51
6354.85,4.43
6418.40,4.37
6482.58,4.37
6547.41,4.42
6612.88,4.49
6679.01,4.56
6745.80,4.54
6813.26,4.49
6881.39,4.46
6950.21,4.64
7019.71,4.92
7089.91,5.24
7160.81,5.59
7232.41,5.95
7304.74,6.33
7377.79,6.71
7451.56,7.11
7526.08,7.54
7601.34,8.01
7677.35,8.52
7754.13,9.04
7831.67,9.59
7909.98,10.05
7989.08,10.36
8068.98,10.33
8149.67,10.11
8231.16,9.67
8313.47,9.05
8396.61,8.33
8480.57,7.49
8565.38,6.61
8651.03,5.71
8737.54,4.81
8824.92,3.98
8913.17,3.22
9002.30,2.49
9092.32,1.80
9183.25,1.14
9275.08,0.54
9367.83,0.11
9461.51,-0.14
9556.12,-0.29
9651.68,-0.37
9748.20,-0.40
9845.68,-0.47
9944.14,-0.51
10043.58,-0.51
10144.02,-0.49
10245.46,-0.49
10347.91,-0.50
10451.39,-0.54
10555.91,-0.62
10661.46,-0.77
10768.08,-1.01
10875.76,-1.42
10984.52,-1.95
11094.36,-2.54
11205.31,-3.22
11317.36,-3.97
11430.53,-4.76
11544.84,-5.60
11660.29,-6.44
11776.89,-7.20
11894.66,-7.70
12013.60,-8.16
12133.74,-8.60
