frequency,raw
20.00,9.78
20.20,9.78
20.40,9.78
20.61,9.78
20.81,9.77
21.02,9.77
21.23,9.76
21.44,9.76
21.66,9.76
21.87,9.76
22.09,9.76
22.31,9.76
22.54,9.75
22.76,9.75
22.99,9.75
23.22,9.74
23.45,9.74
23.69,9.74
23.92,9.73
24.16,9.73
24.40,9.72
24.65,9.72
24.89,9.71
25.14,9.71
25.39,9.70
25.65,9.69
25.91,9.69
26.16,9.68
26.43,9.67
26.69,9.67
26.96,9.66
27.23,9.66
27.50,9.65
27.77,9.64
28.05,9.63
28.33,9.62
28.62,9.61
28.90,9.61
29.19,9.60
29.48,9.59
29.78,9.58
30.08,9.57
30.38,9.56
30.68,9.55
30.99,9.54
31.30,9.53
31.61,9.52
31.93,9.51
32.24,9.50
32.57,9.49
32.89,9.47
33.22,9.46
33.55,9.45
33.89,9.44
34.23,9.42
34.57,9.41
34.92,9.40
35.27,9.38
35.62,9.37
35.97,9.35
36.33,9.34
36.70,9.32
37.06,9.31
37.43,9.29
37.81,9.28
38.19,9.26
38.57,9.25
38.95,9.23
39.34,9.22
39.74,9.20
40.14,9.19
40.54,9.17
40.94,9.15
41.35,9.13
41.76,9.11
42.18,9.10
42.60,9.08
43.03,9.06
43.46,9.04
43.90,9.02
44.33,9.00
44.78,8.98
45.23,8.96
45.68,8.94
46.13,8.92
46.60,8.90
47.06,8.87
47.53,8.85
48.01,8.83
48.49,8.80
48.97,8.78
49.46,8.76
49.96,8.74
50.46,8.71
50.96,8.69
51.47,8.66
51.99,8.64
52.51,8.61
53.03,8.59
53.56,8.56
54.10,8.53
54.64,8.51
55.18,8.48
55.74,8.46
56.29,8.43
56.86,8.40
57.42,8.36
58.00,8.33
58.58,8.31
59.16,8.29
59.76,8.27
60.35,8.24
60.96,8.20
61.57,8.16
62.18,8.13
62.80,8.10
63.43,8.06
64.07,8.03
64.71,8.00
65.35,7.96
66.01,7.93
66.67,7.89
67.33,7.86
68.01,7.82
68.69,7.79
69.37,7.75
70.07,7.71
70.77,7.67
71.48,7.63
72.19,7.59
72.91,7.56
73.64,7.52
74.38,7.48
75.12,7.44
75.87,7.40
76.63,7.35
77.40,7.31
78.17,7.27
78.95,7.23
79.74,7.18
80.54,7.14
81.35,7.10
82.16,7.05
82.98,7.00
83.81,6.96
84.65,6.91
85.50,6.86
86.35,6.82
87.22,6.77
88.09,6.72
88.97,6.67
89.86,6.62
90.76,6.57
91.66,6.52
92.58,6.47
93.51,6.42
94.44,6.37
95.39,6.31
96.34,6.26
97.30,6.21
98.28,6.15
99.26,6.10
100.25,6.04
101.25,5.98
102.27,5.93
103.29,5.87
104.32,5.82
105.37,5.76
106.42,5.70
107.48,5.64
108.56,5.59
109.64,5.53
110.74,5.47
111.85,5.41
112.97,5.34
114.10,5.28
115.24,5.22
116.39,5.16
117.55,5.10
118.73,5.04
119.92,4.98
121.12,4.92
122.33,4.86
123.55,4.79
124.79,4.73
126.03,4.67
127.29,4.61
128.57,4.54
129.85,4.48
131.15,4.42
132.46,4.35
133.79,4.29
135.12,4.23
136.48,4.17
137.84,4.10
139.22,4.04
140.61,3.98
142.02,3.92
143.44,3.86
144.87,3.80
146.32,3.73
147.78,3.67
149.26,3.61
150.75,3.55
152.26,3.49
153.78,3.43
155.32,3.37
156.88,3.31
158.44,3.26
160.03,3.20
161.63,3.14
163.24,3.09
164.88,3.04
166.53,2.98
168.19,2.92
169.87,2.87
171.57,2.82
173.29,2.77
175.02,2.72
176.77,2.67
178.54,2.62
180.32,2.56
182.13,2.53
183.95,2.49
185.79,2.44
187.65,2.40
189.52,2.36
191.42,2.32
193.33,2.28
195.27,2.25
197.22,2.21
199.19,2.18
201.18,2.14
203.19,2.11
205.23,2.08
207.28,2.05
209.35,2.02
211.44,1.99
213.56,1.96
215.69,1.94
217.85,1.93
220.03,1.91
222.23,1.90
224.45,1.88
226.70,1.87
228.96,1.85
231.25,1.84
233.57,1.83
235.90,1.81
238.26,1.79
240.64,1.77
243.05,1.78
245.48,1.76
247.93,1.75
250.41,1.74
252.92,1.73
255.45,1.72
258.00,1.71
260.58,1.71
263.19,1.70
265.82,1.69
268.48,1.69
271.16,1.69
273.87,1.68
276.61,1.68
279.38,1.68
282.17,1.67
284.99,1.67
287.84,1.67
290.72,1.67
293.63,1.66
296.57,1.66
299.53,1.64
302.53,1.65
305.55,1.66
308.61,1.66
311.69,1.66
314.81,1.66
317.96,1.66
321.14,1.66
324.35,1.66
327.59,1.66
330.87,1.66
334.18,1.66
337.52,1.66
340.90,1.66
344.30,1.66
347.75,1.66
351.23,1.66
354.74,1.65
358.28,1.65
361.87,1.64
365.49,1.64
369.14,1.64
372.83,1.64
376.56,1.63
380.33,1.63
384.13,1.62
387.97,1.62
391.85,1.61
395.77,1.60
399.73,1.60
403.72,1.59
407.76,1.58
411.84,1.58
415.96,1.56
420.12,1.55
424.32,1.54
428.56,1.54
432.85,1.53
437.18,1.51
441.55,1.50
445.96,1.48
450.42,1.47
454.93,1.45
459.48,1.44
464.07,1.42
468.71,1.40
