frequency,raw
20.00,-3.56
20.20,-3.53
20.40,-3.51
20.61,-3.48
20.81,-3.45
21.02,-3.43
21.23,-3.40
21.44,-3.38
21.66,-3.37
21.87,-3.37
22.09,-3.37
22.31,-3.38
22.54,-3.39
22.76,-3.39
22.99,-3.39
23.22,-3.36
23.45,-3.31
23.69,-3.24
23.92,-3.17
24.16,-3.08
24.40,-3.00
24.65,-2.91
24.89,-2.85
25.14,-2.79
25.39,-2.75
25.65,-2.73
25.91,-2.71
26.16,-2.71
26.43,-2.71
26.69,-2.71
26.96,-2.71
27.23,-2.70
27.50,-2.70
27.77,-2.69
28.05,-2.68
28.33,-2.66
28.62,-2.63
28.90,-2.58
29.19,-2.51
29.48,-2.43
29.78,-2.34
30.08,-2.27
30.38,-2.21
30.68,-2.17
30.99,-2.14
31.30,-2.11
31.61,-2.07
31.93,-2.01
32.24,-1.96
32.57,-1.91
32.89,-1.88
33.22,-1.88
33.55,-1.90
33.89,-1.92
34.23,-1.92
34.57,-1.90
34.92,-1.86
35.27,-1.81
35.62,-1.77
35.97,-1.74
36.33,-1.74
36.70,-1.74
37.06,-1.74
37.43,-1.72
37.81,-1.69
38.19,-1.66
38.57,-1.63
38.95,-1.61
39.34,-1.58
39.74,-1.56
40.14,-1.53
40.54,-1.50
40.94,-1.49
41.35,-1.47
41.76,-1.46
42.18,-1.46
42.60,-1.46
43.03,-1.45
43.46,-1.45
43.90,-1.44
44.33,-1.42
44.78,-1.39
45.23,-1.36
45.68,-1.35
46.13,-1.35
46.60,-1.37
47.06,-1.37
47.53,-1.35
48.01,-1.32
48.49,-1.32
48.97,-1.32
49.46,-1.31
49.96,-1.28
50.46,-1.25
50.96,-1.23
51.47,-1.23
51.99,-1.22
52.51,-1.20
53.03,-1.18
53.56,-1.22
54.10,-1.26
54.64,-1.30
55.18,-1.27
55.74,-1.22
56.29,-1.19
56.86,-1.18
57.42,-1.17
58.00,-1.16
58.58,-1.17
59.16,-1.17
59.76,-1.19
60.35,-1.18
60.96,-1.17
61.57,-1.16
62.18,-1.17
62.80,-1.16
63.43,-1.15
64.07,-1.14
64.71,-1.12
65.35,-1.13
66.01,-1.17
66.67,-1.21
67.33,-1.21
68.01,-1.19
68.69,-1.23
69.37,-1.26
70.07,-1.27
70.77,-1.22
71.48,-1.22
72.19,-1.24
72.91,-1.25
73.64,-1.26
74.38,-1.28
75.12,-1.30
75.87,-1.28
76.63,-1.28
77.40,-1.31
78.17,-1.31
78.95,-1.31
79.74,-1.34
80.54,-1.39
81.35,-1.43
82.16,-1.43
82.98,-1.43
83.81,-1.42
84.65,-1.46
85.50,-1.47
86.35,-1.48
87.22,-1.51
88.09,-1.55
88.97,-1.58
89.86,-1.58
90.76,-1.59
91.66,-1.61
92.58,-1.64
93.51,-1.68
94.44,-1.70
95.39,-1.72
96.34,-1.73
97.30,-1.74
98.28,-1.77
99.26,-1.80
100.25,-1.84
101.25,-1.86
102.27,-1.89
103.29,-1.92
104.32,-1.96
105.37,-1.98
106.42,-2.01
107.48,-2.04
108.56,-2.08
109.64,-2.11
110.74,-2.14
111.85,-2.17
112.97,-2.20
114.10,-2.23
115.24,-2.26
116.39,-2.30
117.55,-2.34
118.73,-2.37
119.92,-2.40
121.12,-2.43
122.33,-2.45
123.55,-2.49
124.79,-2.52
126.03,-2.55
127.29,-2.58
128.57,-2.62
129.85,-2.65
131.15,-2.68
132.46,-2.71
133.79,-2.75
135.12,-2.78
136.48,-2.81
137.84,-2.85
139.22,-2.87
140.61,-2.90
142.02,-2.93
143.44,-2.95
144.87,-2.98
146.32,-3.00
147.78,-3.01
149.26,-3.04
150.75,-3.06
152.26,-3.08
153.78,-3.10
155.32,-3.12
156.88,-3.13
158.44,-3.15
160.03,-3.16
161.63,-3.18
163.24,-3.20
164.88,-3.21
166.53,-3.22
168.19,-3.22
169.87,-3.22
171.57,-3.23
173.29,-3.24
175.02,-3.24
176.77,-3.24
178.54,-3.24
180.32,-3.24
182.13,-3.23
183.95,-3.22
185.79,-3.22
187.65,-3.21
189.52,-3.20
191.42,-3.19
193.33,-3.18
195.27,-3.15
197.22,-3.15
199.19,-3.14
201.18,-3.12
203.19,-3.09
205.23,-3.09
207.28,-3.07
209.35,-3.05
211.44,-3.04
213.56,-3.01
215.69,-3.00
217.85,-2.99
220.03,-2.97
222.23,-2.95
224.45,-2.93
226.70,-2.92
228.96,-2.90
231.25,-2.89
233.57,-2.87
235.90,-2.86
238.26,-2.84
240.64,-2.83
243.05,-2.80
245.48,-2.78
247.93,-2.76
250.41,-2.74
252.92,-2.72
255.45,-2.70
258.00,-2.68
260.58,-2.66
263.19,-2.64
265.82,-2.62
268.48,-2.60
271.16,-2.58
273.87,-2.56
276.61,-2.53
279.38,-2.51
282.17,-2.49
284.99,-2.46
287.84,-2.44
290.72,-2.41
293.63,-2.38
296.57,-2.35
299.53,-2.32
302.53,-2.29
305.55,-2.26
308.61,-2.24
311.69,-2.21
314.81,-2.18
317.96,-2.16
321.14,-2.13
324.35,-2.11
327.59,-2.08
330.87,-2.06
334.18,-2.04
337.52,-2.02
340.90,-1.99
344.30,-1.97
347.75,-1.95
351.23,-1.92
354.74,-1.90
358.28,-1.88
361.87,-1.85
365.49,-1.83
369.14,-1.81
372.83,-1.79
376.56,-1.76
380.33,-1.74
384.13,-1.72
387.97,-1.69
391.85,-1.67
395.77,-1.65
399.73,-1.63
403.72,-1.60
407.76,-1.58
411.84,-1.56
415.96,-1.54
420.12,-1.52
424.32,-1.50
428.56,-1.48
432.85,-1.46
437.18,-1.44
441.55,-1.43
445.96,-1.41
450.42,-1.39
454.93,-1.38
459.48,-1.36
464.07,-1.34
468.71,-1.33
473.40,-1.31
478.13,-1.30
482.91,-1.28
487.74,-1.27
492.62,-1.25
497.55,-1.24
502.52,-1.23
507.55,-1.21
512.62,-1.20
517.75,-1.19
522.93,-1.18
528.16,-1.17
533.44,-1.15
538.77,-1.14
544.16,-1.13
549.60,-1.12
555.10,-1.11
560.65,-1.10
566.25,-1.10
571.92,-1.09
577.64,-1.08
583.41,-1.07
589.25,-1.06
595.14,-1.05
601.09,-1.05
607.10,-1.04
613.17,-1.03
619.30,-1.03
625.50,-1.02
631.75,-1.01
638.07,-1.01
644.45,-1.00
650.89,-0.99
657.40,-0.99
663.98,-0.98
670.62,-0.98
677.32,-0.97
684.10,-0.96
690.94,-0.96
697.85,-0.95
704.83,-0.94
711.87,-0.94
718.99,-0.93
726.18,-0.92
733.44,-0.91
740.78,-0.91
748.19,-0.90
755.67,-0.89
763.23,-0.88
770.86,-0.87
778.57,-0.85
786.35,-0.84
794.22,-0.83
802.16,-0.81
810.18,-0.79
818.28,-0.78
826.46,-0.76
834.73,-0.74
843.08,-0.71
851.51,-0.69
860.02,-0.67
868.62,-0.64
877.31,-0.61
886.08,-0.58
894.94,-0.54
903.89,-0.51
912.93,-0.47
922.06,-0.43
931.28,-0.39
940.59,-0.34
950.00,-0.29
959.50,-0.24
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.06
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.34
1059.88,0.41
1070.48,0.49
1081.19,0.57
1092.00,0.65
1102.92,0.73
1113.95,0.82
1125.09,0.90
1136.34,0.98
1147.70,1.06
1159.18,1.15
1170.77,1.23
1182.48,1.31
1194.30,1.39
1206.25,1.47
1218.31,1.55
1230.49,1.62
1242.80,1.70
1255.22,1.77
1267.78,1.84
1280.45,1.91
1293.26,1.97
1306.19,2.04
1319.25,2.10
1332.45,2.16
1345.77,2.22
1359.23,2.28
1372.82,2.34
1386.55,2.39
1400.41,2.45
1414.42,2.51
1428.56,2.56
1442.85,2.61
1457.28,2.67
1471.85,2.72
1486.57,2.77
1501.43,2.82
1516.45,2.88
1531.61,2.93
1546.93,2.99
1562.40,3.04
1578.02,3.10
1593.80,3.15
1609.74,3.21
1625.84,3.27
1642.10,3.33
1658.52,3.39
1675.10,3.46
1691.85,3.53
1708.77,3.60
1725.86,3.68
1743.12,3.76
1760.55,3.84
1778.15,3.92
1795.94,4.00
1813.90,4.08
1832.03,4.16
1850.36,4.25
1868.86,4.33
1887.55,4.42
1906.42,4.50
1925.49,4.59
1944.74,4.68
1964.19,4.77
1983.83,4.86
2003.67,4.95
2023.71,5.05
2043.94,5.14
2064.38,5.23
2085.03,5.32
2105.88,5.40
2126.94,5.49
2148.20,5.57
2169.69,5.65
2191.38,5.73
