frequency,raw
20.00,11.45
20.20,11.45
20.40,11.45
20.61,11.45
20.81,11.44
21.02,11.44
21.23,11.43
21.44,11.43
21.66,11.43
21.87,11.43
22.09,11.43
22.31,11.43
22.54,11.44
22.76,11.44
22.99,11.44
23.22,11.44
23.45,11.44
23.69,11.44
23.92,11.44
24.16,11.43
24.40,11.43
24.65,11.43
24.89,11.43
25.14,11.42
25.39,11.41
25.65,11.41
25.91,11.40
26.16,11.40
26.43,11.41
26.69,11.41
26.96,11.41
27.23,11.41
27.50,11.41
27.77,11.40
28.05,11.39
28.33,11.38
28.62,11.36
28.90,11.35
29.19,11.34
29.48,11.33
29.78,11.32
30.08,11.31
30.38,11.31
30.68,11.30
30.99,11.29
31.30,11.28
31.61,11.28
31.93,11.27
32.24,11.26
32.57,11.25
32.89,11.23
33.22,11.21
33.55,11.20
33.89,11.19
34.23,11.18
34.57,11.17
34.92,11.16
35.27,11.14
35.62,11.13
35.97,11.12
36.33,11.10
36.70,11.08
37.06,11.07
37.43,11.05
37.81,11.04
38.19,11.02
38.57,11.01
38.95,10.99
39.34,10.97
39.74,10.95
40.14,10.94
40.54,10.92
40.94,10.90
41.35,10.88
41.76,10.86
42.18,10.84
42.60,10.82
43.03,10.79
43.46,10.77
43.90,10.75
44.33,10.73
44.78,10.71
45.23,10.69
45.68,10.67
46.13,10.65
46.60,10.62
47.06,10.59
47.53,10.56
48.01,10.54
48.49,10.51
48.97,10.48
49.46,10.46
49.96,10.44
50.46,10.41
50.96,10.39
51.47,10.35
51.99,10.33
52.51,10.30
53.03,10.27
53.56,10.24
54.10,10.20
54.64,10.17
55.18,10.15
55.74,10.11
56.29,10.08
56.86,10.04
57.42,10.01
58.00,9.98
58.58,9.95
59.16,9.92
59.76,9.88
60.35,9.85
60.96,9.81
61.57,9.77
62.18,9.74
62.80,9.70
63.43,9.66
64.07,9.62
64.71,9.58
65.35,9.54
66.01,9.50
66.67,9.46
67.33,9.42
68.01,9.38
68.69,9.34
69.37,9.30
70.07,9.25
70.77,9.21
71.48,9.17
72.19,9.12
72.91,9.08
73.64,9.03
74.38,8.99
75.12,8.94
75.87,8.89
76.63,8.85
77.40,8.80
78.17,8.75
78.95,8.71
79.74,8.65
80.54,8.60
81.35,8.55
82.16,8.50
82.98,8.45
83.81,8.40
84.65,8.34
85.50,8.29
86.35,8.24
87.22,8.18
88.09,8.13
88.97,8.08
89.86,8.01
90.76,7.95
91.66,7.90
92.58,7.85
93.51,7.79
94.44,7.73
95.39,7.67
96.34,7.61
97.30,7.54
98.28,7.48
99.26,7.42
100.25,7.36
101.25,7.30
102.27,7.24
103.29,7.18
104.32,7.11
105.37,7.04
106.42,6.98
107.48,6.91
108.56,6.84
109.64,6.77
110.74,6.70
111.85,6.64
112.97,6.57
114.10,6.49
115.24,6.43
116.39,6.36
117.55,6.28
118.73,6.22
119.92,6.16
121.12,6.09
122.33,6.00
123.55,5.93
124.79,5.87
126.03,5.79
127.29,5.72
128.57,5.65
129.85,5.57
131.15,5.49
132.46,5.42
133.79,5.34
135.12,5.26
136.48,5.18
137.84,5.11
139.22,5.04
140.61,4.96
142.02,4.89
143.44,4.81
144.87,4.74
146.32,4.67
147.78,4.59
149.26,4.50
150.75,4.42
152.26,4.35
153.78,4.27
155.32,4.18
156.88,4.11
158.44,4.03
160.03,3.94
161.63,3.87
163.24,3.80
164.88,3.73
166.53,3.65
168.19,3.57
169.87,3.49
171.57,3.41
173.29,3.32
175.02,3.23
176.77,3.16
178.54,3.08
180.32,2.99
182.13,2.91
183.95,2.82
185.79,2.74
187.65,2.66
189.52,2.57
191.42,2.49
193.33,2.41
195.27,2.33
197.22,2.25
199.19,2.17
201.18,2.08
203.19,2.00
205.23,1.91
207.28,1.83
209.35,1.75
211.44,1.68
213.56,1.61
215.69,1.53
217.85,1.45
220.03,1.38
222.23,1.30
224.45,1.23
226.70,1.15
228.96,1.08
231.25,1.00
233.57,0.93
235.90,0.86
238.26,0.79
240.64,0.72
243.05,0.65
245.48,0.58
247.93,0.52
250.41,0.46
252.92,0.39
255.45,0.33
258.00,0.27
260.58,0.21
263.19,0.15
265.82,0.09
268.48,0.03
271.16,-0.03
