frequency,raw
20.00,11.21
20.20,11.20
20.40,11.19
20.61,11.19
20.81,11.18
21.02,11.17
21.23,11.16
21.44,11.15
21.66,11.14
21.87,11.13
22.09,11.12
22.31,11.11
22.54,11.10
22.76,11.09
22.99,11.08
23.22,11.07
23.45,11.06
23.69,11.04
23.92,11.03
24.16,11.02
24.40,11.00
24.65,10.99
24.89,10.98
25.14,10.96
25.39,10.95
25.65,10.94
25.91,10.92
26.16,10.91
26.43,10.89
26.69,10.88
26.96,10.86
27.23,10.85
27.50,10.83
27.77,10.81
28.05,10.79
28.33,10.78
28.62,10.76
28.90,10.75
29.19,10.73
29.48,10.71
29.78,10.69
30.08,10.67
30.38,10.64
30.68,10.62
30.99,10.60
31.30,10.58
31.61,10.55
31.93,10.53
32.24,10.51
32.57,10.49
32.89,10.46
33.22,10.44
33.55,10.41
33.89,10.39
34.23,10.36
34.57,10.34
34.92,10.31
35.27,10.29
35.62,10.26
35.97,10.23
36.33,10.21
36.70,10.18
37.06,10.15
37.43,10.12
37.81,10.09
38.19,10.07
38.57,10.04
38.95,10.01
39.34,9.98
39.74,9.95
40.14,9.91
40.54,9.88
40.94,9.85
41.35,9.82
41.76,9.79
42.18,9.75
42.60,9.72
43.03,9.68
43.46,9.65
43.90,9.61
44.33,9.58
44.78,9.54
45.23,9.51
45.68,9.47
46.13,9.44
46.60,9.40
47.06,9.36
47.53,9.32
48.01,9.29
48.49,9.25
48.97,9.21
49.46,9.17
49.96,9.13
50.46,9.09
50.96,9.05
51.47,9.01
51.99,8.97
52.51,8.93
53.03,8.89
53.56,8.84
54.10,8.80
54.64,8.76
55.18,8.72
55.74,8.68
56.29,8.63
56.86,8.58
57.42,8.54
58.00,8.50
58.58,8.45
59.16,8.40
59.76,8.35
60.35,8.31
60.96,8.27
61.57,8.22
62.18,8.17
62.80,8.12
63.43,8.07
64.07,8.03
64.71,7.98
65.35,7.93
66.01,7.88
66.67,7.83
67.33,7.78
68.01,7.73
68.69,7.68
69.37,7.63
70.07,7.58
70.77,7.53
71.48,7.48
72.19,7.43
72.91,7.37
73.64,7.32
74.38,7.27
75.12,7.22
75.87,7.16
76.63,7.11
77.40,7.05
78.17,7.00
78.95,6.95
79.74,6.89
80.54,6.84
81.35,6.78
82.16,6.73
82.98,6.67
83.81,6.62
84.65,6.56
85.50,6.51
86.35,6.45
87.22,6.39
88.09,6.34
88.97,6.28
89.86,6.22
90.76,6.17
91.66,6.11
92.58,6.05
93.51,6.00
94.44,5.94
95.39,5.88
96.34,5.82
97.30,5.77
98.28,5.71
99.26,5.65
100.25,5.59
101.25,5.54
102.27,5.48
103.29,5.42
104.32,5.36
105.37,5.30
106.42,5.24
107.48,5.18
108.56,5.12
109.64,5.07
110.74,5.01
111.85,4.95
112.97,4.89
114.10,4.83
115.24,4.77
116.39,4.71
117.55,4.65
118.73,4.59
119.92,4.53
121.12,4.47
122.33,4.41
123.55,4.35
124.79,4.29
126.03,4.23
127.29,4.17
128.57,4.11
129.85,4.06
131.15,4.00
132.46,3.95
133.79,3.89
135.12,3.83
136.48,3.77
137.84,3.71
139.22,3.65
140.61,3.59
142.02,3.53
143.44,3.47
144.87,3.42
146.32,3.36
147.78,3.31
149.26,3.25
150.75,3.21
152.26,3.16
153.78,3.13
155.32,3.10
156.88,3.07
158.44,3.04
160.03,3.00
161.63,2.96
163.24,2.92
164.88,2.87
166.53,2.82
168.19,2.77
169.87,2.71
171.57,2.66
173.29,2.60
175.02,2.55
176.77,2.49
178.54,2.44
180.32,2.40
182.13,2.35
183.95,2.31
185.79,2.28
187.65,2.24
189.52,2.19
191.42,2.14
193.33,2.09
195.27,2.04
197.22,1.99
199.19,1.94
201.18,1.89
203.19,1.84
205.23,1.79
207.28,1.74
209.35,1.69
211.44,1.64
213.56,1.59
215.69,1.54
217.85,1.50
220.03,1.45
222.23,1.40
224.45,1.36
226.70,1.32
228.96,1.27
231.25,1.22
233.57,1.18
235.90,1.14
238.26,1.11
240.64,1.07
243.05,1.01
245.48,0.96
247.93,0.92
250.41,0.88
252.92,0.84
255.45,0.80
258.00,0.77
260.58,0.73
263.19,0.70
265.82,0.66
268.48,0.63
271.16,0.59
273.87,0.56
276.61,0.52
279.38,0.49
282.17,0.45
284.99,0.41
287.84,0.38
290.72,0.34
293.63,0.31
296.57,0.27
299.53,0.23
302.53,0.21
305.55,0.18
308.61,0.14
311.69,0.11
314.81,0.08
317.96,0.05
321.14,0.01
324.35,-0.01
327.59,-0.04
330.87,-0.07
334.18,-0.10
337.52,-0.13
340.90,-0.16
344.30,-0.19
347.75,-0.21
351.23,-0.23
354.74,-0.25
358.28,-0.27
361.87,-0.30
365.49,-0.32
369.14,-0.34
372.83,-0.36
376.56,-0.39
380.33,-0.41
384.13,-0.43
387.97,-0.46
391.85,-0.48
395.77,-0.50
399.73,-0.52
403.72,-0.55
407.76,-0.57
411.84,-0.59
415.96,-0.61
420.12,-0.63
424.32,-0.65
428.56,-0.67
432.85,-0.69
437.18,-0.70
441.55,-0.72
445.96,-0.74
450.42,-0.76
454.93,-0.77
459.48,-0.79
464.07,-0.81
468.71,-0.82
473.40,-0.84
478.13,-0.85
482.91,-0.87
487.74,-0.88
492.62,-0.90
497.55,-0.91
502.52,-0.92
507.55,-0.94
512.62,-0.95
517.75,-0.96
522.93,-0.98
528.16,-0.99
533.44,-1.00
538.77,-1.01
544.16,-1.02
549.60,-1.03
555.10,-1.04
560.65,-1.05
566.25,-1.06
571.92,-1.06
577.64,-1.07
583.41,-1.08
589.25,-1.09
595.14,-1.09
601.09,-1.09
607.10,-1.10
613.17,-1.10
619.30,-1.10
625.50,-1.11
631.75,-1.11
638.07,-1.11
644.45,-1.11
650.89,-1.11
657.40,-1.11
663.98,-1.11
670.62,-1.11
677.32,-1.11
684.10,-1.10
690.94,-1.10
697.85,-1.10
704.83,-1.09
711.87,-1.09
718.99,-1.09
726.18,-1.08
733.44,-1.07
740.78,-1.06
748.19,-1.05
755.67,-1.04
763.23,-1.03
770.86,-1.01
778.57,-1.00
786.35,-0.98
794.22,-0.97
802.16,-0.95
810.18,-0.93
818.28,-0.91
826.46,-0.89
834.73,-0.86
843.08,-0.83
851.51,-0.80
860.02,-0.77
868.62,-0.74
877.31,-0.71
886.08,-0.67
894.94,-0.63
903.89,-0.58
912.93,-0.54
922.06,-0.49
931.28,-0.44
940.59,-0.39
950.00,-0.33
959.50,-0.28
969.09,-0.21
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.29
1049.39,0.37
1059.88,0.46
1070.48,0.54
1081.19,0.62
1092.00,0.71
1102.92,0.80
1113.95,0.89
1125.09,0.99
1136.34,1.09
1147.70,1.20
1159.18,1.30
1170.77,1.41
1182.48,1.51
1194.30,1.60
1206.25,1.69
1218.31,1.78
1230.49,1.86
1242.80,1.94
1255.22,2.02
1267.78,2.10
1280.45,2.18
1293.26,2.26
1306.19,2.34
1319.25,2.41
1332.45,2.49
1345.77,2.55
1359.23,2.62
1372.82,2.68
1386.55,2.74
1400.41,2.80
1414.42,2.86
1428.56,2.91
1442.85,2.97
1457.28,3.03
1471.85,3.08
1486.57,3.14
1501.43,3.19
1516.45,3.25
1531.61,3.31
1546.93,3.36
1562.40,3.42
1578.02,3.47
1593.80,3.52
1609.74,3.58
1625.84,3.63
1642.10,3.69
1658.52,3.75
1675.10,3.80
1691.85,3.86
1708.77,3.92
1725.86,3.97
1743.12,4.03
1760.55,4.09
1778.15,4.15
1795.94,4.21
1813.90,4.27
1832.03,4.33
1850.36,4.39
1868.86,4.45
1887.55,4.52
1906.42,4.60
1925.49,4.70
1944.74,4.84
1964.19,5.02
1983.83,5.22
2003.67,5.40
2023.71,5.56
2043.94,5.68
2064.38,5.79
2085.03,5.88
2105.88,5.97
2126.94,6.06
2148.20,6.15
2169.69,6.24
2191.38,6.35
2213.30,6.47
2235.43,6.60
2257.78,6.74
2280.36,6.88
2303.17,6.99
2326.20,7.09
2349.46,7.17
2372.95,7.23
2396.68,7.29
2420.65,7.33
2444.86,7.36
2469.31,7.39
2494.00,7.41
2518.94,7.42
2544.13,7.43
2569.57,7.44
2595.27,7.47
2621.22,7.50
2647.43,7.53
2673.90,7.55
2700.64,7.57
2727.65,7.58
2754.93,7.58
2782.48,7.58
2810.30,7.57
2838.40,7.54
2866.79,7.51
2895.46,7.47
2924.41,7.42
2953.65,7.37
2983.19,7.31
3013.02,7.24
3043.15,7.17
3073.58,7.10
3104.32,7.03
3135.36,6.96
3166.72,6.89
3198.38,6.82
3230.37,6.75
3262.67,6.69
3295.30,6.64
3328.25,6.60
3361.53,6.56
3395.15,6.54
3429.10,6.51
3463.39,6.48
3498.03,6.47
3533.01,6.46
3568.34,6.45
3604.02,6.46
3640.06,6.46
3676.46,6.46
3713.22,6.46
3750.36,6.46
3787.86,6.47
3825.74,6.49
3864.00,6.51
3902.64,6.54
3941.66,6.58
3981.08,6.61
4020.89,6.65
4061.10,6.69
4101.71,6.74
4142.73,6.79
4184.15,6.85
4226.00,6.92
4268.26,6.99
4310.94,7.06
4354.05,7.13
4397.59,7.21
4441.56,7.29
4485.98,7.37
4530.84,7.46
4576.15,7.56
4621.91,7.65
4668.13,7.76
4714.81,7.87
4761.96,7.98
4809.58,8.09
4857.67,8.20
4906.25,8.30
4955.31,8.40
5004.87,8.50
5054.91,8.57
5105.46,8.64
5156.52,8.69
5208.08,8.72
5260.16,8.72
5312.77,8.71
5365.89,8.67
5419.55,8.59
5473.75,8.47
5528.49,8.31
5583.77,8.10
5639.61,7.87
5696.00,7.62
5752.96,7.36
5810.49,7.10
5868.60,6.83
5927.28,6.56
5986.56,6.30
6046.42,6.04
6106.89,5.79
6167.96,5.55
6229.64,5.32
6291.93,5.10
6354.85,4.90
6418.40,4.72
6482.58,4.55
6547.41,4.41
6612.88,4.28
6679.01,4.19
6745.80,4.13
6813.26,4.09
6881.39,4.09
6950.21,4.15
7019.71,4.24
7089.91,4.41
7160.81,4.69
7232.41,5.03
7304.74,5.44
7377.79,5.85
7451.56,6.15
7526.08,6.35
7601.34,6.41
7677.35,6.41
7754.13,6.39
7831.67,6.34
7909.98,6.28
7989.08,6.20
8068.98,6.08
8149.67,5.94
8231.16,5.79
8313.47,5.62
8396.61,5.45
8480.57,5.27
8565.38,5.04
8651.03,4.79
8737.54,4.48
8824.92,4.14
8913.17,3.81
9002.30,3.48
9092.32,3.13
9183.25,2.75
9275.08,2.37
9367.83,2.04
9461.51,1.67
9556.12,1.28
9651.68,0.91
9748.20,0.58
9845.68,0.36
9944.14,0.15
10043.58,-0.03
10144.02,-0.18
10245.46,-0.28
10347.91,-0.34
10451.39,-0.37
10555.91,-0.34
10661.46,-0.29
10768.08,-0.23
10875.76,-0.19
10984.52,-0.19
11094.36,-0.24
11205.31,-0.34
11317.36,-0.53
11430.53,-0.76
11544.84,-1.06
11660.29,-1.39
11776.89,-1.73
11894.66,-2.06
12013.60,-2.40
12133.74,-2.70
12255.08,-2.95
12377.63,-3.16
12501.41,-3.33
12626.42,-3.42
12752.68,-3.49
12880.21,-3.57
13009.01,-3.66
13139.10,-3.75
13270.49,-3.88
13403.20,-4.02
13537.23,-4.14
13672.60,-4.24
13809.33,-4.33
13947.42,-4.41
14086.90,-4.52
14227.77,-4.65
14370.04,-4.82
14513.74,-5.04
14658.88,-5.40
14805.47,-5.79
14953.52,-6.26
15103.06,-6.75
15254.09,-7.27
15406.63,-7.74
15560.70,-8.18
15716.30,-8.57
15873.47,-8.86
16032.20,-9.10
16192.52,-9.23
16354.45,-9.27
16517.99,-9.25
16683.17,-9.18
16850.01,-9.13
17018.51,-9.11
17188.69,-9.19
17360.58,-9.40
17534.18,-9.71
17709.53,-10.20
17886.62,-10.92
18065.49,-11.83
18246.14,-12.99
18428.60,-14.41
18612.89,-16.01
18799.02,-17.93
18987.01,-20.46
19176.88,-22.10
19368.65,-23.60
19562.33,-25.11
19757.96,-26.76
19955.54,-28.42
