frequency,raw
20.00,9.15
20.20,9.14
20.40,9.13
20.61,9.12
20.81,9.11
21.02,9.10
21.23,9.09
21.44,9.08
21.66,9.07
21.87,9.07
22.09,9.05
22.31,9.04
22.54,9.03
22.76,9.02
22.99,9.00
23.22,8.99
23.45,8.97
23.69,8.96
23.92,8.95
24.16,8.94
24.40,8.93
24.65,8.91
24.89,8.90
25.14,8.88
25.39,8.87
25.65,8.85
25.91,8.83
26.16,8.82
26.43,8.80
26.69,8.79
26.96,8.77
27.23,8.76
27.50,8.74
27.77,8.72
28.05,8.71
28.33,8.69
28.62,8.67
28.90,8.65
29.19,8.63
29.48,8.61
29.78,8.59
30.08,8.57
30.38,8.55
30.68,8.53
30.99,8.51
31.30,8.49
31.61,8.47
31.93,8.45
32.24,8.42
32.57,8.40
32.89,8.38
33.22,8.35
33.55,8.33
33.89,8.31
34.23,8.28
34.57,8.26
34.92,8.24
35.27,8.21
35.62,8.19
35.97,8.16
36.33,8.14
36.70,8.11
37.06,8.09
37.43,8.06
37.81,8.04
38.19,8.01
38.57,7.99
38.95,7.96
39.34,7.93
39.74,7.90
40.14,7.87
40.54,7.85
40.94,7.82
41.35,7.79
41.76,7.76
42.18,7.73
42.60,7.70
43.03,7.67
43.46,7.64
43.90,7.61
44.33,7.58
44.78,7.55
45.23,7.52
45.68,7.49
46.13,7.46
46.60,7.43
47.06,7.40
47.53,7.37
48.01,7.33
48.49,7.30
48.97,7.26
49.46,7.23
49.96,7.20
50.46,7.17
50.96,7.14
51.47,7.11
51.99,7.07
52.51,7.04
53.03,7.00
53.56,6.96
54.10,6.93
54.64,6.89
55.18,6.86
55.74,6.84
56.29,6.80
56.86,6.76
57.42,6.72
58.00,6.67
58.58,6.64
59.16,6.61
59.76,6.57
60.35,6.54
60.96,6.50
61.57,6.46
62.18,6.43
62.80,6.39
63.43,6.35
64.07,6.31
64.71,6.27
65.35,6.23
66.01,6.19
66.67,6.16
67.33,6.12
68.01,6.08
68.69,6.04
69.37,6.00
70.07,5.96
70.77,5.92
71.48,5.88
72.19,5.84
72.91,5.80
73.64,5.76
74.38,5.72
75.12,5.68
75.87,5.64
76.63,5.60
77.40,5.56
78.17,5.52
78.95,5.48
79.74,5.43
80.54,5.39
81.35,5.35
82.16,5.31
82.98,5.27
83.81,5.23
84.65,5.18
85.50,5.14
86.35,5.10
87.22,5.06
88.09,5.01
88.97,4.97
89.86,4.93
90.76,4.89
91.66,4.84
92.58,4.80
93.51,4.76
94.44,4.72
95.39,4.67
96.34,4.63
97.30,4.58
98.28,4.54
99.26,4.50
100.25,4.46
101.25,4.41
102.27,4.37
103.29,4.32
104.32,4.28
105.37,4.24
106.42,4.19
107.48,4.15
108.56,4.10
109.64,4.06
110.74,4.02
111.85,3.97
112.97,3.93
114.10,3.88
115.24,3.84
116.39,3.79
117.55,3.75
118.73,3.71
119.92,3.66
121.12,3.62
122.33,3.57
123.55,3.53
124.79,3.48
126.03,3.44
127.29,3.39
128.57,3.35
129.85,3.30
131.15,3.26
132.46,3.21
133.79,3.17
135.12,3.12
136.48,3.08
137.84,3.03
139.22,2.99
140.61,2.94
142.02,2.90
143.44,2.85
144.87,2.81
146.32,2.76
147.78,2.71
149.26,2.67
150.75,2.63
152.26,2.59
153.78,2.55
155.32,2.52
156.88,2.48
158.44,2.45
160.03,2.41
161.63,2.38
163.24,2.35
164.88,2.32
166.53,2.29
168.19,2.26
169.87,2.24
171.57,2.20
173.29,2.17
175.02,2.14
176.77,2.11
178.54,2.07
180.32,2.03
182.13,1.99
183.95,1.95
185.79,1.91
187.65,1.88
189.52,1.84
191.42,1.80
193.33,1.76
195.27,1.72
197.22,1.68
199.19,1.64
201.18,1.60
203.19,1.56
205.23,1.52
207.28,1.48
209.35,1.44
211.44,1.41
213.56,1.37
215.69,1.33
217.85,1.29
220.03,1.26
222.23,1.22
224.45,1.18
226.70,1.15
228.96,1.11
231.25,1.08
233.57,1.04
235.90,1.01
238.26,0.95
240.64,0.91
243.05,0.90
245.48,0.87
247.93,0.83
250.41,0.80
252.92,0.77
255.45,0.73
258.00,0.70
260.58,0.67
263.19,0.63
265.82,0.60
268.48,0.57
271.16,0.54
273.87,0.51
276.61,0.48
279.38,0.45
282.17,0.42
284.99,0.38
287.84,0.35
290.72,0.32
293.63,0.29
296.57,0.27
299.53,0.24
302.53,0.21
305.55,0.18
308.61,0.15
311.69,0.12
314.81,0.09
317.96,0.06
321.14,0.04
324.35,0.01
327.59,-0.01
330.87,-0.04
334.18,-0.06
337.52,-0.08
340.90,-0.10
344.30,-0.12
347.75,-0.14
351.23,-0.16
354.74,-0.18
358.28,-0.20
361.87,-0.21
365.49,-0.24
369.14,-0.25
372.83,-0.27
376.56,-0.29
380.33,-0.31
384.13,-0.33
387.97,-0.35
391.85,-0.38
395.77,-0.40
399.73,-0.42
403.72,-0.44
407.76,-0.46
411.84,-0.48
415.96,-0.50
420.12,-0.52
424.32,-0.54
428.56,-0.56
432.85,-0.58
437.18,-0.60
441.55,-0.62
445.96,-0.64
450.42,-0.65
454.93,-0.67
459.48,-0.69
464.07,-0.71
468.71,-0.73
473.40,-0.75
478.13,-0.77
482.91,-0.78
487.74,-0.80
492.62,-0.82
497.55,-0.84
502.52,-0.86
507.55,-0.87
512.62,-0.89
517.75,-0.91
522.93,-0.93
528.16,-0.95
533.44,-0.96
538.77,-0.98
544.16,-1.00
549.60,-1.02
555.10,-1.04
560.65,-1.06
566.25,-1.07
571.92,-1.09
577.64,-1.11
583.41,-1.13
589.25,-1.14
595.14,-1.16
601.09,-1.17
607.10,-1.20
613.17,-1.21
619.30,-1.23
625.50,-1.25
631.75,-1.27
638.07,-1.28
644.45,-1.30
650.89,-1.31
657.40,-1.33
663.98,-1.34
670.62,-1.36
677.32,-1.37
684.10,-1.38
690.94,-1.39
697.85,-1.40
704.83,-1.41
711.87,-1.41
718.99,-1.41
726.18,-1.41
733.44,-1.41
740.78,-1.40
748.19,-1.39
755.67,-1.37
763.23,-1.35
770.86,-1.33
778.57,-1.31
786.35,-1.28
794.22,-1.24
802.16,-1.21
810.18,-1.17
818.28,-1.13
826.46,-1.09
834.73,-1.05
843.08,-1.01
851.51,-0.96
860.02,-0.91
868.62,-0.86
877.31,-0.81
886.08,-0.76
894.94,-0.71
903.89,-0.66
912.93,-0.60
922.06,-0.54
931.28,-0.48
940.59,-0.42
950.00,-0.36
959.50,-0.29
969.09,-0.23
978.78,-0.16
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.31
1049.39,0.39
1059.88,0.48
1070.48,0.57
1081.19,0.66
1092.00,0.75
1102.92,0.85
1113.95,0.94
1125.09,1.04
1136.34,1.13
1147.70,1.23
1159.18,1.32
1170.77,1.42
1182.48,1.51
1194.30,1.61
1206.25,1.71
1218.31,1.80
1230.49,1.89
1242.80,1.98
1255.22,2.07
1267.78,2.16
1280.45,2.25
1293.26,2.33
1306.19,2.41
1319.25,2.50
1332.45,2.58
1345.77,2.66
1359.23,2.74
1372.82,2.82
1386.55,2.90
1400.41,2.97
1414.42,3.05
1428.56,3.13
1442.85,3.20
1457.28,3.28
1471.85,3.35
1486.57,3.43
1501.43,3.50
1516.45,3.58
1531.61,3.66
1546.93,3.74
1562.40,3.82
1578.02,3.91
1593.80,3.99
1609.74,4.08
1625.84,4.16
1642.10,4.25
1658.52,4.35
1675.10,4.44
1691.85,4.54
1708.77,4.65
1725.86,4.75
1743.12,4.87
1760.55,4.98
1778.15,5.10
1795.94,5.23
1813.90,5.35
1832.03,5.48
1850.36,5.60
1868.86,5.73
1887.55,5.87
1906.42,6.00
1925.49,6.13
1944.74,6.27
1964.19,6.40
1983.83,6.54
2003.67,6.68
2023.71,6.83
2043.94,6.97
2064.38,7.11
2085.03,7.26
2105.88,7.40
2126.94,7.54
2148.20,7.67
2169.69,7.80
2191.38,7.92
2213.30,8.03
2235.43,8.14
2257.78,8.23
2280.36,8.31
2303.17,8.37
2326.20,8.43
2349.46,8.47
2372.95,8.50
2396.68,8.51
2420.65,8.51
2444.86,8.48
2469.31,8.45
2494.00,8.39
2518.94,8.32
2544.13,8.23
2569.57,8.14
2595.27,8.04
2621.22,7.95
2647.43,7.86
2673.90,7.79
2700.64,7.73
2727.65,7.67
2754.93,7.61
2782.48,7.54
2810.30,7.46
2838.40,7.37
2866.79,7.27
2895.46,7.17
2924.41,7.06
2953.65,6.96
2983.19,6.87
3013.02,6.78
3043.15,6.69
3073.58,6.61
3104.32,6.54
3135.36,6.46
3166.72,6.40
3198.38,6.33
3230.37,6.27
3262.67,6.22
3295.30,6.17
3328.25,6.13
3361.53,6.09
3395.15,6.07
3429.10,6.06
3463.39,6.07
3498.03,6.10
3533.01,6.14
3568.34,6.20
3604.02,6.27
3640.06,6.37
3676.46,6.47
3713.22,6.59
3750.36,6.72
3787.86,6.87
3825.74,7.02
3864.00,7.18
3902.64,7.35
3941.66,7.52
3981.08,7.69
4020.89,7.85
4061.10,8.01
4101.71,8.15
4142.73,8.27
4184.15,8.36
4226.00,8.41
4268.26,8.43
4310.94,8.40
4354.05,8.29
4397.59,8.13
4441.56,7.93
4485.98,7.64
4530.84,7.31
4576.15,6.93
4621.91,6.52
4668.13,6.07
4714.81,5.59
4761.96,5.11
4809.58,4.61
4857.67,4.11
4906.25,3.62
4955.31,3.14
5004.87,2.68
5054.91,2.26
5105.46,1.87
5156.52,1.51
5208.08,1.20
5260.16,0.96
5312.77,0.76
5365.89,0.63
5419.55,0.57
5473.75,0.58
5528.49,0.66
5583.77,0.82
5639.61,1.05
5696.00,1.30
5752.96,1.62
5810.49,1.94
5868.60,2.26
5927.28,2.58
5986.56,2.88
6046.42,3.13
6106.89,3.35
6167.96,3.52
6229.64,3.64
6291.93,3.72
6354.85,3.76
6418.40,3.79
6482.58,3.80
6547.41,3.81
6612.88,3.82
6679.01,3.85
6745.80,3.90
6813.26,3.97
6881.39,4.08
6950.21,4.23
7019.71,4.41
7089.91,4.63
7160.81,4.92
7232.41,5.25
7304.74,5.63
7377.79,6.07
7451.56,6.57
7526.08,7.10
7601.34,7.67
7677.35,8.24
7754.13,8.79
7831.67,9.22
7909.98,9.53
7989.08,9.66
8068.98,9.50
8149.67,9.19
8231.16,8.71
8313.47,8.15
8396.61,7.56
8480.57,6.98
8565.38,6.44
8651.03,5.94
8737.54,5.48
8824.92,5.10
8913.17,4.79
9002.30,4.51
9092.32,4.32
9183.25,4.16
9275.08,4.00
9367.83,3.83
9461.51,3.57
9556.12,3.18
9651.68,2.66
9748.20,2.02
9845.68,1.22
9944.14,0.36
10043.58,-0.52
10144.02,-1.38
10245.46,-2.14
10347.91,-2.81
10451.39,-3.37
10555.91,-3.76
10661.46,-4.04
10768.08,-4.21
10875.76,-4.25
10984.52,-4.17
11094.36,-4.03
11205.31,-3.79
11317.36,-3.45
11430.53,-3.08
11544.84,-2.64
11660.29,-2.15
11776.89,-1.66
11894.66,-1.22
12013.60,-0.79
12133.74,-0.35
12255.08,0.10
12377.63,0.54
12501.41,0.91
12626.42,1.18
12752.68,1.37
12880.21,1.49
13009.01,1.58
13139.10,1.67
13270.49,1.73
13403.20,1.77
13537.23,1.69
13672.60,1.40
13809.33,0.90
13947.42,0.09
14086.90,-0.36
14227.77,-0.58
14370.04,-0.42
14513.74,0.13
14658.88,0.66
14805.47,1.13
14953.52,1.50
15103.06,1.66
15254.09,1.73
15406.63,1.43
15560.70,1.06
15716.30,0.59
15873.47,0.18
16032.20,-0.17
16192.52,-0.35
16354.45,-0.30
16517.99,-0.10
16683.17,0.35
16850.01,0.55
17018.51,0.48
17188.69,-0.44
17360.58,-2.49
17534.18,-5.20
17709.53,-8.14
17886.62,-10.89
18065.49,-13.51
18246.14,-16.00
18428.60,-18.37
18612.89,-20.05
18799.02,-20.89
18987.01,-20.64
19176.88,-19.87
19368.65,-19.61
19562.33,-19.78
19757.96,-20.18
19955.54,-20.57
