frequency,raw
20.00,8.58
20.20,8.57
20.40,8.56
20.61,8.56
20.81,8.56
21.02,8.56
21.23,8.57
21.44,8.58
21.66,8.60
21.87,8.62
22.09,8.64
22.31,8.66
22.54,8.67
22.76,8.67
22.99,8.67
23.22,8.66
23.45,8.65
23.69,8.64
23.92,8.63
24.16,8.63
24.40,8.63
24.65,8.64
24.89,8.64
25.14,8.65
25.39,8.65
25.65,8.65
25.91,8.65
26.16,8.64
26.43,8.64
26.69,8.63
26.96,8.62
27.23,8.60
27.50,8.58
27.77,8.55
28.05,8.53
28.33,8.50
28.62,8.49
28.90,8.48
29.19,8.47
29.48,8.48
29.78,8.49
30.08,8.50
30.38,8.50
30.68,8.50
30.99,8.48
31.30,8.46
31.61,8.44
31.93,8.42
32.24,8.41
32.57,8.39
32.89,8.38
33.22,8.36
33.55,8.34
33.89,8.30
34.23,8.27
34.57,8.25
34.92,8.23
35.27,8.21
35.62,8.19
35.97,8.17
36.33,8.14
36.70,8.12
37.06,8.10
37.43,8.08
37.81,8.05
38.19,8.03
38.57,7.98
38.95,7.95
39.34,7.92
39.74,7.92
40.14,7.94
40.54,7.94
40.94,7.90
41.35,7.84
41.76,7.78
42.18,7.76
42.60,7.75
43.03,7.75
43.46,7.72
43.90,7.68
44.33,7.63
44.78,7.60
45.23,7.58
45.68,7.54
46.13,7.50
46.60,7.47
47.06,7.44
47.53,7.43
48.01,7.41
48.49,7.37
48.97,7.33
49.46,7.28
49.96,7.24
50.46,7.19
50.96,7.15
51.47,7.12
51.99,7.11
52.51,7.11
53.03,7.11
53.56,7.06
54.10,7.01
54.64,6.95
55.18,6.92
55.74,6.92
56.29,6.90
56.86,6.88
57.42,6.84
58.00,6.80
58.58,6.76
59.16,6.72
59.76,6.67
60.35,6.63
60.96,6.59
61.57,6.55
62.18,6.51
62.80,6.48
63.43,6.44
64.07,6.41
64.71,6.37
65.35,6.32
66.01,6.28
66.67,6.24
67.33,6.21
68.01,6.17
68.69,6.14
69.37,6.11
70.07,6.07
70.77,6.03
71.48,5.98
72.19,5.93
72.91,5.90
73.64,5.86
74.38,5.82
75.12,5.77
75.87,5.73
76.63,5.68
77.40,5.64
78.17,5.59
78.95,5.55
79.74,5.51
80.54,5.46
81.35,5.41
82.16,5.37
82.98,5.33
83.81,5.28
84.65,5.24
85.50,5.19
86.35,5.14
87.22,5.10
88.09,5.06
88.97,5.01
89.86,4.96
90.76,4.91
91.66,4.87
92.58,4.82
93.51,4.78
94.44,4.73
95.39,4.69
96.34,4.65
97.30,4.60
