frequency,raw
20.00,-31.16
20.20,-29.59
20.40,-28.01
20.61,-26.46
20.81,-25.38
21.02,-24.55
21.23,-23.95
21.44,-23.73
21.66,-23.83
21.87,-24.06
22.09,-24.65
22.31,-25.41
22.54,-26.48
22.76,-27.51
22.99,-27.87
23.22,-26.69
23.45,-25.85
23.69,-25.39
23.92,-25.21
24.16,-25.16
24.40,-25.15
24.65,-25.12
24.89,-25.17
25.14,-25.55
25.39,-26.16
25.65,-25.53
25.91,-24.89
26.16,-24.30
26.43,-24.42
26.69,-24.75
26.96,-24.99
27.23,-24.71
27.50,-24.18
27.77,-23.71
28.05,-23.31
28.33,-22.97
28.62,-22.66
28.90,-22.38
29.19,-22.14
29.48,-21.92
29.78,-21.74
30.08,-21.60
30.38,-21.52
30.68,-21.47
30.99,-21.38
31.30,-21.24
31.61,-21.09
31.93,-20.96
32.24,-20.88
32.57,-20.82
32.89,-20.78
33.22,-20.63
33.55,-20.42
33.89,-20.11
34.23,-19.83
34.57,-19.60
34.92,-19.45
35.27,-19.33
35.62,-19.21
35.97,-19.07
36.33,-18.95
36.70,-18.87
37.06,-18.82
37.43,-18.77
37.81,-18.62
38.19,-18.44
38.57,-18.18
38.95,-18.01
39.34,-17.89
39.74,-17.81
40.14,-17.71
40.54,-17.53
40.94,-17.33
41.35,-17.17
41.76,-17.08
42.18,-17.03
42.60,-16.94
43.03,-16.74
43.46,-16.49
43.90,-16.32
44.33,-16.23
44.78,-16.23
45.23,-16.15
45.68,-15.90
46.13,-15.52
46.60,-15.13
47.06,-14.84
47.53,-14.62
48.01,-14.61
48.49,-14.63
48.97,-14.61
49.46,-14.53
49.96,-14.34
50.46,-14.10
50.96,-13.88
51.47,-13.70
51.99,-13.67
52.51,-13.68
53.03,-13.69
53.56,-13.43
54.10,-13.09
54.64,-12.73
55.18,-12.48
55.74,-12.47
56.29,-12.51
56.86,-12.59
57.42,-12.45
58.00,-12.23
58.58,-11.83
59.16,-11.48
59.76,-11.26
60.35,-11.18
60.96,-11.19
61.57,-11.18
62.18,-11.01
62.80,-10.72
63.43,-10.49
64.07,-10.32
64.71,-10.28
65.35,-10.19
66.01,-10.05
66.67,-9.84
67.33,-9.67
68.01,-9.55
68.69,-9.41
69.37,-9.27
70.07,-9.12
70.77,-8.92
71.48,-8.73
72.19,-8.58
72.91,-8.52
73.64,-8.37
74.38,-8.22
75.12,-8.08
75.87,-7.97
76.63,-7.82
77.40,-7.64
78.17,-7.48
78.95,-7.34
79.74,-7.26
80.54,-7.13
81.35,-6.97
82.16,-6.83
82.98,-6.67
83.81,-6.51
84.65,-6.42
85.50,-6.31
86.35,-6.17
87.22,-6.02
88.09,-5.90
88.97,-5.79
89.86,-5.68
90.76,-5.53
91.66,-5.39
92.58,-5.27
93.51,-5.16
94.44,-5.06
95.39,-4.94
96.34,-4.80
97.30,-4.69
98.28,-4.61
99.26,-4.49
100.25,-4.32
101.25,-4.20
102.27,-4.11
103.29,-4.02
104.32,-3.90
105.37,-3.79
106.42,-3.68
107.48,-3.58
108.56,-3.46
109.64,-3.36
110.74,-3.28
111.85,-3.18
112.97,-3.07
114.10,-2.96
115.24,-2.87
116.39,-2.76
117.55,-2.66
118.73,-2.60
119.92,-2.55
121.12,-2.46
122.33,-2.34
123.55,-2.26
124.79,-2.16
126.03,-2.07
127.29,-1.98
128.57,-1.90
129.85,-1.83
131.15,-1.76
132.46,-1.69
133.79,-1.60
135.12,-1.52
136.48,-1.45
137.84,-1.38
139.22,-1.30
140.61,-1.23
142.02,-1.17
143.44,-1.12
144.87,-1.06
146.32,-0.98
147.78,-0.91
149.26,-0.87
150.75,-0.82
152.26,-0.74
153.78,-0.68
155.32,-0.62
156.88,-0.57
158.44,-0.52
160.03,-0.47
161.63,-0.41
163.24,-0.36
164.88,-0.34
166.53,-0.29
168.19,-0.23
169.87,-0.18
171.57,-0.13
173.29,-0.09
175.02,-0.05
176.77,-0.01
178.54,0.03
180.32,0.07
182.13,0.10
183.95,0.14
185.79,0.18
187.65,0.21
189.52,0.27
191.42,0.27
193.33,0.29
195.27,0.33
197.22,0.37
199.19,0.40
201.18,0.43
203.19,0.45
205.23,0.47
207.28,0.50
209.35,0.53
211.44,0.54
213.56,0.56
215.69,0.58
217.85,0.59
220.03,0.60
222.23,0.62
224.45,0.63
226.70,0.63
228.96,0.63
231.25,0.64
233.57,0.64
235.90,0.63
238.26,0.64
240.64,0.64
243.05,0.60
245.48,0.59
247.93,0.57
250.41,0.54
252.92,0.52
255.45,0.49
258.00,0.46
260.58,0.44
263.19,0.42
265.82,0.41
268.48,0.41
271.16,0.41
273.87,0.41
276.61,0.41
279.38,0.40
282.17,0.39
284.99,0.37
287.84,0.35
290.72,0.33
293.63,0.30
296.57,0.27
299.53,0.24
302.53,0.22
305.55,0.19
308.61,0.18
311.69,0.17
314.81,0.16
317.96,0.15
321.14,0.13
324.35,0.12
327.59,0.11
330.87,0.10
334.18,0.10
337.52,0.10
340.90,0.09
344.30,0.07
347.75,0.04
351.23,0.01
354.74,-0.00
358.28,-0.03
361.87,-0.05
365.49,-0.07
369.14,-0.09
372.83,-0.10
376.56,-0.11
380.33,-0.12
384.13,-0.12
387.97,-0.13
391.85,-0.14
395.77,-0.15
399.73,-0.16
403.72,-0.17
407.76,-0.18
411.84,-0.19
415.96,-0.19
420.12,-0.19
424.32,-0.21
428.56,-0.22
432.85,-0.23
437.18,-0.23
441.55,-0.24
445.96,-0.25
450.42,-0.25
454.93,-0.25
459.48,-0.26
464.07,-0.27
468.71,-0.27
473.40,-0.27
478.13,-0.28
482.91,-0.29
487.74,-0.29
492.62,-0.31
497.55,-0.33
502.52,-0.33
507.55,-0.33
512.62,-0.34
517.75,-0.34
522.93,-0.35
528.16,-0.36
533.44,-0.36
538.77,-0.36
544.16,-0.36
549.60,-0.36
555.10,-0.36
560.65,-0.35
566.25,-0.35
571.92,-0.35
577.64,-0.34
583.41,-0.34
589.25,-0.33
595.14,-0.33
601.09,-0.33
607.10,-0.32
613.17,-0.32
619.30,-0.31
625.50,-0.30
631.75,-0.29
638.07,-0.30
644.45,-0.29
650.89,-0.28
657.40,-0.29
663.98,-0.28
670.62,-0.28
677.32,-0.26
684.10,-0.25
690.94,-0.24
697.85,-0.23
704.83,-0.22
711.87,-0.21
718.99,-0.20
726.18,-0.19
733.44,-0.19
740.78,-0.19
748.19,-0.19
755.67,-0.19
763.23,-0.18
770.86,-0.17
778.57,-0.17
786.35,-0.16
794.22,-0.14
802.16,-0.13
810.18,-0.12
818.28,-0.10
826.46,-0.09
834.73,-0.08
843.08,-0.06
851.51,-0.05
860.02,-0.04
868.62,-0.04
877.31,-0.03
886.08,-0.03
894.94,-0.04
903.89,-0.05
912.93,-0.05
922.06,-0.06
931.28,-0.06
940.59,-0.06
950.00,-0.06
959.50,-0.05
969.09,-0.04
978.78,-0.03
988.57,-0.02
998.46,-0.00
1008.44,0.01
1018.53,0.02
1028.71,0.02
1039.00,0.03
1049.39,0.04
1059.88,0.04
1070.48,0.04
1081.19,0.05
1092.00,0.06
1102.92,0.08
1113.95,0.10
1125.09,0.11
1136.34,0.12
1147.70,0.14
1159.18,0.16
1170.77,0.18
1182.48,0.20
1194.30,0.23
1206.25,0.26
1218.31,0.28
1230.49,0.31
1242.80,0.34
1255.22,0.37
1267.78,0.40
1280.45,0.44
1293.26,0.47
1306.19,0.50
1319.25,0.53
1332.45,0.55
1345.77,0.57
1359.23,0.59
1372.82,0.61
1386.55,0.63
1400.41,0.65
1414.42,0.67
1428.56,0.69
1442.85,0.72
1457.28,0.74
1471.85,0.77
1486.57,0.80
1501.43,0.84
1516.45,0.87
1531.61,0.92
1546.93,0.99
1562.40,1.06
1578.02,1.14
1593.80,1.24
1609.74,1.34
1625.84,1.46
1642.10,1.60
1658.52,1.75
1675.10,1.90
1691.85,2.07
1708.77,2.24
1725.86,2.43
1743.12,2.64
1760.55,2.86
1778.15,3.09
1795.94,3.33
1813.90,3.58
1832.03,3.82
1850.36,4.07
1868.86,4.33
1887.55,4.59
1906.42,4.85
1925.49,5.11
1944.74,5.38
1964.19,5.65
1983.83,5.92
2003.67,6.19
2023.71,6.46
2043.94,6.74
2064.38,7.02
2085.03,7.28
2105.88,7.54
2126.94,7.81
2148.20,8.08
2169.69,8.33
2191.38,8.58
2213.30,8.83
2235.43,9.07
2257.78,9.31
2280.36,9.55
2303.17,9.77
2326.20,10.00
2349.46,10.22
2372.95,10.44
2396.68,10.66
2420.65,10.89
2444.86,11.11
2469.31,11.34
2494.00,11.57
2518.94,11.81
2544.13,12.04
2569.57,12.26
2595.27,12.49
2621.22,12.73
2647.43,12.94
2673.90,13.15
2700.64,13.35
2727.65,13.54
2754.93,13.72
2782.48,13.87
2810.30,14.01
2838.40,14.14
2866.79,14.23
2895.46,14.30
2924.41,14.35
2953.65,14.39
2983.19,14.38
3013.02,14.39
3043.15,14.40
3073.58,14.36
3104.32,14.33
3135.36,14.26
3166.72,14.19
3198.38,14.12
3230.37,14.03
3262.67,13.93
3295.30,13.80
3328.25,13.67
3361.53,13.55
3395.15,13.43
3429.10,13.31
3463.39,13.18
3498.03,13.03
3533.01,12.91
3568.34,12.78
3604.02,12.65
3640.06,12.53
3676.46,12.40
3713.22,12.28
3750.36,12.14
3787.86,12.04
3825.74,11.93
3864.00,11.84
3902.64,11.74
3941.66,11.64
3981.08,11.50
4020.89,11.39
4061.10,11.31
4101.71,11.20
4142.73,11.11
4184.15,11.02
4226.00,10.92
4268.26,10.82
4310.94,10.72
4354.05,10.59
4397.59,10.49
4441.56,10.40
4485.98,10.23
4530.84,10.13
4576.15,10.02
4621.91,9.88
4668.13,9.74
4714.81,9.61
4761.96,9.49
4809.58,9.38
4857.67,9.31
4906.25,9.19
4955.31,9.08
5004.87,9.05
5054.91,8.88
5105.46,8.68
5156.52,8.47
5208.08,8.30
5260.16,8.17
5312.77,8.07
5365.89,8.01
5419.55,8.10
5473.75,8.17
5528.49,8.15
5583.77,8.23
5639.61,8.21
5696.00,8.14
5752.96,8.17
5810.49,8.22
5868.60,8.39
5927.28,8.60
5986.56,8.87
6046.42,9.32
6106.89,9.79
6167.96,10.22
6229.64,10.60
6291.93,10.88
6354.85,11.06
6418.40,11.19
6482.58,11.21
6547.41,11.19
6612.88,11.14
6679.01,11.00
6745.80,10.93
6813.26,10.88
6881.39,10.80
6950.21,10.79
7019.71,10.83
7089.91,10.89
7160.81,11.01
7232.41,11.13
7304.74,11.25
7377.79,11.29
7451.56,11.27
7526.08,11.12
7601.34,10.76
7677.35,10.17
7754.13,9.49
7831.67,8.54
7909.98,7.55
7989.08,6.53
8068.98,5.54
8149.67,4.53
8231.16,3.47
8313.47,2.42
8396.61,1.37
8480.57,0.36
8565.38,-0.66
8651.03,-1.68
8737.54,-2.68
8824.92,-3.64
8913.17,-4.55
9002.30,-5.44
9092.32,-6.20
9183.25,-6.93
9275.08,-7.61
9367.83,-8.18
9461.51,-8.45
9556.12,-8.57
9651.68,-8.59
9748.20,-8.57
9845.68,-8.30
9944.14,-8.07
10043.58,-7.88
10144.02,-7.72
10245.46,-6.16
10347.91,-4.84
10451.39,-3.92
10555.91,-3.27
10661.46,-2.86
10768.08,-2.71
10875.76,-2.95
10984.52,-3.41
11094.36,-4.12
11205.31,-5.24
11317.36,-6.31
11430.53,-7.02
11544.84,-6.97
11660.29,-6.38
11776.89,-5.63
11894.66,-4.80
12013.60,-4.01
12133.74,-3.36
12255.08,-2.79
12377.63,-2.19
12501.41,-1.43
12626.42,-0.70
12752.68,0.06
12880.21,0.79
13009.01,1.50
13139.10,2.22
13270.49,2.48
13403.20,2.50
13537.23,1.97
13672.60,1.19
13809.33,0.17
13947.42,-1.15
14086.90,-2.55
14227.77,-4.00
14370.04,-5.44
14513.74,-6.87
14658.88,-8.15
14805.47,-9.38
14953.52,-10.53
15103.06,-11.72
