frequency,raw
20.00,4.18
20.20,4.24
20.40,4.30
20.61,4.36
20.81,4.42
21.02,4.48
21.23,4.53
21.44,4.59
21.66,4.65
21.87,4.70
22.09,4.76
22.31,4.81
22.54,4.87
22.76,4.92
22.99,4.97
23.22,5.03
23.45,5.08
23.69,5.13
23.92,5.18
24.16,5.23
24.40,5.28
24.65,5.32
24.89,5.37
25.14,5.42
25.39,5.46
25.65,5.51
25.91,5.55
26.16,5.59
26.43,5.64
26.69,5.68
26.96,5.72
27.23,5.76
27.50,5.80
27.77,5.84
28.05,5.88
28.33,5.92
28.62,5.96
28.90,5.99
29.19,6.03
29.48,6.07
29.78,6.10
30.08,6.14
30.38,6.17
30.68,6.20
30.99,6.23
31.30,6.26
31.61,6.29
31.93,6.32
32.24,6.35
32.57,6.37
32.89,6.40
33.22,6.43
33.55,6.45
33.89,6.47
34.23,6.49
34.57,6.52
34.92,6.54
35.27,6.56
35.62,6.58
35.97,6.60
36.33,6.61
36.70,6.63
37.06,6.65
37.43,6.66
37.81,6.67
38.19,6.69
38.57,6.70
38.95,6.71
39.34,6.73
39.74,6.74
40.14,6.74
40.54,6.75
40.94,6.76
41.35,6.77
41.76,6.77
42.18,6.77
42.60,6.78
43.03,6.78
43.46,6.78
43.90,6.79
44.33,6.79
44.78,6.78
45.23,6.78
45.68,6.77
46.13,6.77
46.60,6.77
47.06,6.76
47.53,6.75
48.01,6.74
48.49,6.73
48.97,6.72
49.46,6.71
49.96,6.70
50.46,6.69
50.96,6.67
51.47,6.66
51.99,6.64
52.51,6.62
53.03,6.61
53.56,6.59
54.10,6.57
54.64,6.55
55.18,6.52
55.74,6.50
56.29,6.48
56.86,6.45
57.42,6.43
58.00,6.40
58.58,6.37
59.16,6.34
59.76,6.31
60.35,6.27
60.96,6.24
61.57,6.21
62.18,6.17
62.80,6.14
63.43,6.10
64.07,6.06
64.71,6.03
65.35,5.99
66.01,5.94
66.67,5.90
67.33,5.86
68.01,5.82
68.69,5.77
69.37,5.72
70.07,5.68
70.77,5.63
71.48,5.58
72.19,5.53
72.91,5.48
73.64,5.43
74.38,5.37
75.12,5.32
75.87,5.26
76.63,5.21
77.40,5.15
78.17,5.09
78.95,5.03
79.74,4.97
80.54,4.91
81.35,4.85
82.16,4.79
82.98,4.72
83.81,4.66
84.65,4.59
85.50,4.52
86.35,4.46
87.22,4.39
88.09,4.32
88.97,4.25
89.86,4.18
90.76,4.11
91.66,4.04
92.58,3.96
93.51,3.89
94.44,3.81
95.39,3.74
96.34,3.66
97.30,3.59
98.28,3.51
99.26,3.43
100.25,3.35
101.25,3.28
102.27,3.20
103.29,3.12
104.32,3.04
105.37,2.96
106.42,2.88
107.48,2.80
108.56,2.72
109.64,2.64
110.74,2.56
111.85,2.48
112.97,2.40
114.10,2.32
115.24,2.24
116.39,2.16
117.55,2.08
118.73,2.00
119.92,1.92
121.12,1.84
122.33,1.77
123.55,1.69
124.79,1.61
126.03,1.54
127.29,1.46
128.57,1.39
129.85,1.32
131.15,1.25
132.46,1.18
133.79,1.11
135.12,1.04
136.48,0.98
137.84,0.92
139.22,0.85
140.61,0.79
142.02,0.73
143.44,0.68
144.87,0.62
146.32,0.57
147.78,0.52
149.26,0.47
150.75,0.42
152.26,0.37
153.78,0.33
155.32,0.29
156.88,0.25
158.44,0.21
160.03,0.18
161.63,0.14
163.24,0.11
164.88,0.08
166.53,0.05
168.19,0.03
169.87,0.00
171.57,-0.02
173.29,-0.04
175.02,-0.06
176.77,-0.09
178.54,-0.11
180.32,-0.13
182.13,-0.14
183.95,-0.16
185.79,-0.18
187.65,-0.20
189.52,-0.20
191.42,-0.20
193.33,-0.19
195.27,-0.17
197.22,-0.15
199.19,-0.13
201.18,-0.11
203.19,-0.09
205.23,-0.07
207.28,-0.06
209.35,-0.04
211.44,-0.03
213.56,-0.02
215.69,-0.01
217.85,0.01
220.03,0.02
222.23,0.02
224.45,0.03
226.70,0.04
228.96,0.05
231.25,0.07
233.57,0.08
235.90,0.08
238.26,0.09
240.64,0.09
243.05,0.10
245.48,0.11
247.93,0.11
250.41,0.12
252.92,0.13
255.45,0.14
258.00,0.14
260.58,0.15
263.19,0.16
265.82,0.17
268.48,0.18
271.16,0.18
273.87,0.19
276.61,0.20
279.38,0.21
282.17,0.21
284.99,0.22
287.84,0.22
290.72,0.22
293.63,0.23
296.57,0.23
299.53,0.22
302.53,0.22
305.55,0.22
308.61,0.21
311.69,0.21
314.81,0.20
317.96,0.20
321.14,0.19
324.35,0.18
327.59,0.18
330.87,0.17
334.18,0.16
337.52,0.15
340.90,0.14
344.30,0.13
347.75,0.12
351.23,0.11
354.74,0.10
358.28,0.09
361.87,0.08
365.49,0.07
369.14,0.06
372.83,0.05
376.56,0.04
380.33,0.03
384.13,0.02
387.97,0.01
391.85,-0.00
395.77,-0.02
399.73,-0.03
403.72,-0.04
407.76,-0.05
411.84,-0.06
415.96,-0.08
420.12,-0.09
424.32,-0.10
428.56,-0.11
432.85,-0.11
437.18,-0.12
441.55,-0.13
445.96,-0.13
450.42,-0.14
454.93,-0.15
459.48,-0.15
464.07,-0.16
468.71,-0.17
473.40,-0.17
478.13,-0.18
482.91,-0.18
487.74,-0.19
492.62,-0.20
497.55,-0.20
502.52,-0.21
507.55,-0.21
512.62,-0.22
517.75,-0.22
522.93,-0.22
528.16,-0.23
533.44,-0.23
538.77,-0.23
544.16,-0.24
549.60,-0.24
555.10,-0.24
560.65,-0.25
566.25,-0.25
571.92,-0.25
577.64,-0.26
583.41,-0.26
589.25,-0.26
595.14,-0.27
601.09,-0.27
607.10,-0.28
613.17,-0.28
619.30,-0.29
625.50,-0.29
631.75,-0.29
638.07,-0.30
644.45,-0.30
650.89,-0.31
657.40,-0.32
663.98,-0.32
670.62,-0.33
677.32,-0.33
684.10,-0.34
690.94,-0.35
697.85,-0.35
704.83,-0.36
711.87,-0.36
718.99,-0.37
726.18,-0.37
733.44,-0.37
740.78,-0.37
748.19,-0.36
755.67,-0.35
763.23,-0.34
770.86,-0.31
778.57,-0.28
786.35,-0.25
794.22,-0.21
802.16,-0.17
810.18,-0.13
818.28,-0.10
826.46,-0.07
834.73,-0.06
843.08,-0.06
851.51,-0.06
860.02,-0.07
868.62,-0.08
877.31,-0.09
886.08,-0.09
894.94,-0.10
903.89,-0.11
912.93,-0.11
922.06,-0.11
931.28,-0.11
940.59,-0.10
950.00,-0.10
959.50,-0.09
969.09,-0.07
978.78,-0.06
988.57,-0.03
998.46,-0.01
1008.44,0.03
1018.53,0.07
1028.71,0.11
1039.00,0.15
1049.39,0.20
1059.88,0.25
1070.48,0.31
1081.19,0.36
1092.00,0.42
1102.92,0.48
1113.95,0.54
1125.09,0.59
1136.34,0.65
1147.70,0.71
1159.18,0.76
1170.77,0.82
1182.48,0.87
1194.30,0.92
1206.25,0.97
1218.31,1.02
1230.49,1.07
1242.80,1.12
1255.22,1.16
1267.78,1.20
1280.45,1.24
1293.26,1.27
1306.19,1.30
1319.25,1.33
1332.45,1.36
1345.77,1.39
1359.23,1.41
1372.82,1.43
1386.55,1.45
1400.41,1.47
1414.42,1.48
1428.56,1.50
1442.85,1.51
1457.28,1.52
1471.85,1.53
1486.57,1.54
1501.43,1.54
1516.45,1.55
1531.61,1.56
1546.93,1.57
