frequency,raw
20.00,8.42
20.20,8.44
20.40,8.45
20.61,8.47
20.81,8.48
21.02,8.48
21.23,8.49
21.44,8.49
21.66,8.50
21.87,8.50
22.09,8.51
22.31,8.52
22.54,8.53
22.76,8.54
22.99,8.55
23.22,8.56
23.45,8.57
23.69,8.58
23.92,8.59
24.16,8.60
24.40,8.60
24.65,8.61
24.89,8.61
25.14,8.61
25.39,8.60
25.65,8.60
25.91,8.59
26.16,8.59
26.43,8.59
26.69,8.59
26.96,8.60
27.23,8.61
27.50,8.62
27.77,8.63
28.05,8.63
28.33,8.62
28.62,8.61
28.90,8.61
29.19,8.60
29.48,8.60
29.78,8.60
30.08,8.59
30.38,8.59
30.68,8.59
30.99,8.59
31.30,8.58
31.61,8.58
31.93,8.57
32.24,8.56
32.57,8.56
32.89,8.55
33.22,8.54
33.55,8.53
33.89,8.52
34.23,8.51
34.57,8.51
34.92,8.50
35.27,8.49
35.62,8.48
35.97,8.47
36.33,8.46
36.70,8.45
37.06,8.44
37.43,8.42
37.81,8.41
38.19,8.40
38.57,8.38
38.95,8.37
39.34,8.35
39.74,8.34
40.14,8.32
40.54,8.30
40.94,8.29
41.35,8.27
41.76,8.25
42.18,8.23
42.60,8.21
43.03,8.19
43.46,8.17
43.90,8.15
44.33,8.13
44.78,8.11
45.23,8.09
45.68,8.07
46.13,8.05
46.60,8.02
47.06,7.99
47.53,7.96
48.01,7.94
48.49,7.92
48.97,7.89
49.46,7.87
49.96,7.83
50.46,7.81
50.96,7.78
51.47,7.77
51.99,7.73
52.51,7.68
53.03,7.64
53.56,7.61
54.10,7.59
54.64,7.57
55.18,7.54
55.74,7.52
56.29,7.49
56.86,7.46
57.42,7.42
58.00,7.38
58.58,7.34
59.16,7.30
59.76,7.27
60.35,7.23
60.96,7.20
61.57,7.15
62.18,7.10
62.80,7.07
63.43,7.03
64.07,6.99
64.71,6.95
65.35,6.90
66.01,6.86
66.67,6.81
67.33,6.77
68.01,6.72
68.69,6.68
69.37,6.63
70.07,6.58
70.77,6.54
71.48,6.49
72.19,6.43
72.91,6.37
73.64,6.33
74.38,6.28
75.12,6.22
75.87,6.18
76.63,6.13
77.40,6.08
78.17,6.02
78.95,5.97
79.74,5.91
80.54,5.85
81.35,5.80
82.16,5.74
82.98,5.69
83.81,5.63
84.65,5.57
85.50,5.51
86.35,5.44
87.22,5.39
88.09,5.32
88.97,5.26
89.86,5.20
90.76,5.14
91.66,5.07
92.58,5.01
93.51,4.95
94.44,4.88
95.39,4.81
96.34,4.75
97.30,4.68
98.28,4.62
99.26,4.55
100.25,4.48
101.25,4.41
102.27,4.34
103.29,4.27
104.32,4.20
105.37,4.13
106.42,4.06
107.48,3.99
108.56,3.92
109.64,3.85
110.74,3.78
111.85,3.71
112.97,3.63
114.10,3.56
115.24,3.49
116.39,3.41
117.55,3.34
118.73,3.27
119.92,3.19
121.12,3.12
122.33,3.05
123.55,2.97
124.79,2.89
126.03,2.82
127.29,2.75
128.57,2.68
129.85,2.61
131.15,2.53
132.46,2.46
133.79,2.39
135.12,2.32
136.48,2.25
137.84,2.18
139.22,2.11
140.61,2.04
142.02,1.97
143.44,1.91
144.87,1.84
146.32,1.76
147.78,1.69
149.26,1.62
150.75,1.55
152.26,1.49
153.78,1.42
155.32,1.35
156.88,1.28
158.44,1.22
160.03,1.15
161.63,1.08
163.24,1.02
164.88,0.96
166.53,0.90
168.19,0.84
169.87,0.78
171.57,0.73
173.29,0.68
175.02,0.64
176.77,0.59
178.54,0.55
180.32,0.51
182.13,0.46
183.95,0.42
185.79,0.37
187.65,0.33
189.52,0.29
191.42,0.24
193.33,0.20
195.27,0.16
197.22,0.12
199.19,0.07
201.18,0.03
203.19,-0.01
205.23,-0.05
207.28,-0.08
209.35,-0.12
211.44,-0.16
213.56,-0.19
215.69,-0.23
217.85,-0.26
220.03,-0.30
222.23,-0.33
224.45,-0.36
226.70,-0.39
228.96,-0.42
231.25,-0.45
233.57,-0.48
235.90,-0.51
238.26,-0.53
240.64,-0.55
243.05,-0.58
245.48,-0.60
247.93,-0.62
250.41,-0.64
252.92,-0.66
255.45,-0.68
258.00,-0.70
260.58,-0.72
263.19,-0.74
265.82,-0.76
268.48,-0.77
271.16,-0.79
273.87,-0.80
276.61,-0.82
279.38,-0.84
282.17,-0.85
284.99,-0.87
287.84,-0.88
290.72,-0.89
293.63,-0.90
296.57,-0.92
299.53,-0.93
302.53,-0.94
305.55,-0.95
308.61,-0.96
311.69,-0.97
314.81,-0.98
317.96,-1.00
321.14,-1.01
324.35,-1.02
327.59,-1.03
330.87,-1.04
334.18,-1.04
337.52,-1.05
340.90,-1.06
