frequency,raw
20.00,0.56
20.20,0.60
20.40,0.64
20.61,0.68
20.81,0.71
21.02,0.75
21.23,0.78
21.44,0.82
21.66,0.86
21.87,0.90
22.09,0.95
22.31,0.99
22.54,1.03
22.76,1.07
22.99,1.10
23.22,1.14
23.45,1.18
23.69,1.22
23.92,1.26
24.16,1.30
24.40,1.34
24.65,1.39
24.89,1.42
25.14,1.46
25.39,1.50
25.65,1.54
25.91,1.57
26.16,1.61
26.43,1.65
26.69,1.69
26.96,1.72
27.23,1.76
27.50,1.79
27.77,1.82
28.05,1.85
28.33,1.88
28.62,1.91
28.90,1.95
29.19,1.97
29.48,2.00
29.78,2.03
30.08,2.05
30.38,2.08
30.68,2.12
30.99,2.15
31.30,2.19
31.61,2.21
31.93,2.23
32.24,2.25
32.57,2.27
32.89,2.30
33.22,2.33
33.55,2.37
33.89,2.40
34.23,2.42
34.57,2.44
34.92,2.45
35.27,2.47
35.62,2.49
35.97,2.52
36.33,2.54
36.70,2.56
37.06,2.58
37.43,2.60
37.81,2.62
38.19,2.65
38.57,2.67
38.95,2.69
39.34,2.71
39.74,2.73
40.14,2.75
40.54,2.77
40.94,2.79
41.35,2.81
41.76,2.83
42.18,2.85
42.60,2.86
43.03,2.88
43.46,2.89
43.90,2.92
44.33,2.94
44.78,2.96
45.23,2.98
45.68,2.99
46.13,3.00
46.60,3.02
47.06,3.04
47.53,3.06
48.01,3.07
48.49,3.09
48.97,3.10
49.46,3.12
49.96,3.14
50.46,3.15
50.96,3.16
51.47,3.17
51.99,3.17
52.51,3.17
53.03,3.17
53.56,3.19
54.10,3.22
54.64,3.24
55.18,3.27
55.74,3.28
56.29,3.29
56.86,3.29
57.42,3.31
58.00,3.32
58.58,3.33
59.16,3.34
59.76,3.35
60.35,3.36
60.96,3.38
61.57,3.39
62.18,3.39
62.80,3.40
63.43,3.41
64.07,3.42
64.71,3.43
65.35,3.43
66.01,3.43
66.67,3.45
67.33,3.46
68.01,3.46
68.69,3.47
69.37,3.48
70.07,3.49
70.77,3.49
71.48,3.50
72.19,3.51
72.91,3.51
73.64,3.52
74.38,3.53
75.12,3.54
75.87,3.53
76.63,3.54
77.40,3.55
78.17,3.55
78.95,3.55
79.74,3.56
80.54,3.57
81.35,3.57
82.16,3.58
82.98,3.59
83.81,3.60
84.65,3.60
85.50,3.60
