frequency,raw
20.00,4.94
20.20,4.95
20.40,4.97
20.61,4.98
20.81,5.00
21.02,5.01
21.23,5.03
21.44,5.05
21.66,5.06
21.87,5.08
22.09,5.10
22.31,5.11
22.54,5.12
22.76,5.12
22.99,5.13
23.22,5.14
23.45,5.14
23.69,5.15
23.92,5.16
24.16,5.18
24.40,5.19
24.65,5.21
24.89,5.22
25.14,5.24
25.39,5.25
25.65,5.26
25.91,5.27
26.16,5.28
26.43,5.28
26.69,5.29
26.96,5.30
27.23,5.31
27.50,5.32
27.77,5.33
28.05,5.33
28.33,5.34
28.62,5.35
28.90,5.35
29.19,5.36
29.48,5.37
29.78,5.38
30.08,5.39
30.38,5.40
30.68,5.41
30.99,5.42
31.30,5.42
31.61,5.42
31.93,5.41
32.24,5.41
32.57,5.40
32.89,5.41
33.22,5.41
33.55,5.41
33.89,5.42
34.23,5.42
34.57,5.43
34.92,5.43
35.27,5.43
35.62,5.43
35.97,5.43
36.33,5.43
36.70,5.43
37.06,5.43
37.43,5.43
37.81,5.43
38.19,5.43
38.57,5.43
38.95,5.42
39.34,5.42
39.74,5.41
40.14,5.41
40.54,5.40
40.94,5.40
41.35,5.40
41.76,5.39
42.18,5.39
42.60,5.38
43.03,5.38
43.46,5.37
43.90,5.37
44.33,5.37
44.78,5.36
45.23,5.36
45.68,5.36
46.13,5.35
46.60,5.34
47.06,5.33
47.53,5.33
48.01,5.32
48.49,5.31
48.97,5.31
49.46,5.30
49.96,5.29
50.46,5.27
50.96,5.26
51.47,5.25
51.99,5.24
52.51,5.23
53.03,5.22
53.56,5.21
54.10,5.21
54.64,5.20
55.18,5.19
55.74,5.17
56.29,5.15
56.86,5.14
57.42,5.13
58.00,5.12
58.58,5.11
59.16,5.11
59.76,5.12
60.35,5.10
60.96,5.07
61.57,5.03
62.18,5.01
62.80,5.01
63.43,4.99
64.07,4.98
64.71,4.96
65.35,4.95
66.01,4.93
66.67,4.91
67.33,4.90
68.01,4.88
68.69,4.85
69.37,4.83
70.07,4.82
70.77,4.81
71.48,4.78
72.19,4.76
72.91,4.73
73.64,4.72
74.38,4.70
75.12,4.69
75.87,4.66
76.63,4.65
77.40,4.63
78.17,4.61
78.95,4.58
79.74,4.56
80.54,4.54
81.35,4.52
82.16,4.50
82.98,4.47
83.81,4.45
84.65,4.43
85.50,4.40
86.35,4.38
87.22,4.35
88.09,4.33
88.97,4.30
89.86,4.28
90.76,4.25
91.66,4.22
92.58,4.20
93.51,4.17
94.44,4.14
95.39,4.11
96.34,4.09
97.30,4.06
98.28,4.03
99.26,4.00
100.25,3.97
101.25,3.94
102.27,3.91
103.29,3.88
104.32,3.85
105.37,3.82
106.42,3.79
107.48,3.75
108.56,3.72
109.64,3.69
110.74,3.66
111.85,3.63
112.97,3.60
114.10,3.56
115.24,3.52
116.39,3.48
117.55,3.44
118.73,3.40
119.92,3.37
121.12,3.35
122.33,3.34
123.55,3.29
124.79,3.26
126.03,3.22
127.29,3.19
128.57,3.15
129.85,3.11
131.15,3.07
132.46,3.04
133.79,2.99
135.12,2.96
136.48,2.92
137.84,2.88
139.22,2.87
140.61,2.86
142.02,2.83
143.44,2.80
144.87,2.78
146.32,2.76
147.78,2.74
149.26,2.71
150.75,2.68
152.26,2.67
153.78,2.63
