frequency,raw
20.00,4.91
20.20,4.92
20.40,4.94
20.61,4.96
20.81,4.96
21.02,4.96
21.23,4.96
21.44,4.96
21.66,4.97
21.87,4.98
22.09,5.00
22.31,5.02
22.54,5.05
22.76,5.08
22.99,5.11
23.22,5.14
23.45,5.16
23.69,5.17
23.92,5.18
24.16,5.18
24.40,5.18
24.65,5.18
24.89,5.18
25.14,5.18
25.39,5.19
25.65,5.21
25.91,5.23
26.16,5.25
26.43,5.27
26.69,5.28
26.96,5.29
27.23,5.30
27.50,5.30
27.77,5.31
28.05,5.31
28.33,5.32
28.62,5.33
28.90,5.34
29.19,5.34
29.48,5.35
29.78,5.35
30.08,5.35
30.38,5.36
30.68,5.36
30.99,5.36
31.30,5.37
31.61,5.37
31.93,5.38
32.24,5.38
32.57,5.39
32.89,5.39
33.22,5.40
33.55,5.40
33.89,5.40
34.23,5.40
34.57,5.40
34.92,5.40
35.27,5.40
35.62,5.40
35.97,5.40
36.33,5.40
36.70,5.40
37.06,5.40
37.43,5.41
37.81,5.42
38.19,5.43
38.57,5.43
38.95,5.43
39.34,5.43
39.74,5.42
40.14,5.41
40.54,5.41
40.94,5.40
41.35,5.40
41.76,5.39
42.18,5.39
42.60,5.39
43.03,5.38
43.46,5.38
43.90,5.38
44.33,5.38
44.78,5.38
45.23,5.38
45.68,5.37
46.13,5.35
46.60,5.34
47.06,5.33
47.53,5.32
48.01,5.32
48.49,5.32
48.97,5.31
49.46,5.30
49.96,5.29
50.46,5.28
50.96,5.27
51.47,5.27
51.99,5.25
52.51,5.24
53.03,5.23
53.56,5.22
54.10,5.22
54.64,5.21
55.18,5.19
55.74,5.18
56.29,5.17
56.86,5.16
57.42,5.15
58.00,5.13
58.58,5.13
59.16,5.13
59.76,5.12
60.35,5.10
60.96,5.07
61.57,5.06
62.18,5.05
62.80,5.03
63.43,5.02
64.07,5.00
64.71,4.99
65.35,4.97
66.01,4.95
66.67,4.94
67.33,4.92
68.01,4.91
68.69,4.89
69.37,4.87
70.07,4.85
70.77,4.84
71.48,4.81
72.19,4.79
72.91,4.78
73.64,4.77
74.38,4.74
75.12,4.72
75.87,4.70
76.63,4.69
77.40,4.67
78.17,4.64
78.95,4.61
79.74,4.59
80.54,4.57
81.35,4.55
82.16,4.52
82.98,4.50
83.81,4.48
84.65,4.47
85.50,4.44
86.35,4.41
87.22,4.38
88.09,4.36
88.97,4.33
89.86,4.31
90.76,4.29
91.66,4.27
92.58,4.24
93.51,4.21
94.44,4.19
95.39,4.17
96.34,4.14
97.30,4.11
98.28,4.08
99.26,4.06
100.25,4.03
101.25,4.00
102.27,3.97
103.29,3.94
104.32,3.90
105.37,3.88
106.42,3.85
107.48,3.82
108.56,3.78
109.64,3.75
110.74,3.72
111.85,3.67
112.97,3.63
114.10,3.60
115.24,3.58
116.39,3.54
117.55,3.50
118.73,3.48
119.92,3.47
121.12,3.43
122.33,3.36
123.55,3.34
124.79,3.32
126.03,3.28
127.29,3.25
128.57,3.21
129.85,3.19
131.15,3.16
132.46,3.14
133.79,3.12
135.12,3.08
136.48,3.03
137.84,2.98
139.22,2.94
140.61,2.92
142.02,2.90
143.44,2.87
144.87,2.83
146.32,2.81
147.78,2.80
149.26,2.78
150.75,2.75
152.26,2.73
153.78,2.71
155.32,2.68
156.88,2.64
158.44,2.60
160.03,2.58
161.63,2.56
163.24,2.54
164.88,2.50
166.53,2.50
168.19,2.48
169.87,2.46
171.57,2.43
173.29,2.41
175.02,2.38
176.77,2.35
178.54,2.31
180.32,2.27
182.13,2.24
183.95,2.21
185.79,2.18
187.65,2.14
189.52,2.10
191.42,2.07
193.33,2.03
195.27,2.00
197.22,1.97
199.19,1.93
201.18,1.90
203.19,1.87
205.23,1.83
207.28,1.80
209.35,1.76
211.44,1.73
213.56,1.69
215.69,1.66
217.85,1.63
220.03,1.59
222.23,1.56
224.45,1.53
226.70,1.49
228.96,1.46
231.25,1.43
233.57,1.39
235.90,1.36
238.26,1.33
240.64,1.30
243.05,1.27
245.48,1.23
247.93,1.20
250.41,1.17
252.92,1.14
255.45,1.10
258.00,1.07
260.58,1.04
263.19,1.01
265.82,0.98
268.48,0.95
271.16,0.92
273.87,0.89
276.61,0.87
279.38,0.84
282.17,0.81
284.99,0.78
287.84,0.75
290.72,0.72
293.63,0.69
296.57,0.67
299.53,0.64
302.53,0.61
305.55,0.58
308.61,0.56
311.69,0.53
314.81,0.51
317.96,0.48
321.14,0.46
324.35,0.43
327.59,0.41
330.87,0.38
334.18,0.36
337.52,0.34
340.90,0.31
344.30,0.29
347.75,0.26
351.23,0.24
354.74,0.21
358.28,0.19
361.87,0.16
365.49,0.14
369.14,0.12
372.83,0.09
376.56,0.07
380.33,0.05
384.13,0.03
387.97,0.00
391.85,-0.02
395.77,-0.04
399.73,-0.06
403.72,-0.08
407.76,-0.10
411.84,-0.13
415.96,-0.15
420.12,-0.17
424.32,-0.19
428.56,-0.21
432.85,-0.23
437.18,-0.25
441.55,-0.27
445.96,-0.29
450.42,-0.31
454.93,-0.33
459.48,-0.35
464.07,-0.37
468.71,-0.39
473.40,-0.41
478.13,-0.43
482.91,-0.44
487.74,-0.46
492.62,-0.48
497.55,-0.50
502.52,-0.51
507.55,-0.53
512.62,-0.55
517.75,-0.56
522.93,-0.58
528.16,-0.59
533.44,-0.61
538.77,-0.62
544.16,-0.64
549.60,-0.65
555.10,-0.67
560.65,-0.68
566.25,-0.70
571.92,-0.71
577.64,-0.72
583.41,-0.73
589.25,-0.75
595.14,-0.76
601.09,-0.77
607.10,-0.78
613.17,-0.79
619.30,-0.80
625.50,-0.81
631.75,-0.82
638.07,-0.83
644.45,-0.84
650.89,-0.85
657.40,-0.85
663.98,-0.86
670.62,-0.87
677.32,-0.87
684.10,-0.88
690.94,-0.88
697.85,-0.89
704.83,-0.89
711.87,-0.89
718.99,-0.89
726.18,-0.89
733.44,-0.89
740.78,-0.89
748.19,-0.89
755.67,-0.88
763.23,-0.88
770.86,-0.87
778.57,-0.87
786.35,-0.86
794.22,-0.85
802.16,-0.83
810.18,-0.82
818.28,-0.81
826.46,-0.79
834.73,-0.77
843.08,-0.75
851.51,-0.72
860.02,-0.70
868.62,-0.67
877.31,-0.64
886.08,-0.61
894.94,-0.57
903.89,-0.53
912.93,-0.49
922.06,-0.45
931.28,-0.40
940.59,-0.36
950.00,-0.31
959.50,-0.25
969.09,-0.20
978.78,-0.14
988.57,-0.07
998.46,-0.01
1008.44,0.06
1018.53,0.12
1028.71,0.20
1039.00,0.27
1049.39,0.35
1059.88,0.43
1070.48,0.51
1081.19,0.60
1092.00,0.68
1102.92,0.77
1113.95,0.86
1125.09,0.95
1136.34,1.04
1147.70,1.13
