frequency,raw
20.00,4.93
20.20,4.95
20.40,4.98
20.61,5.00
20.81,5.01
21.02,5.03
21.23,5.04
21.44,5.06
21.66,5.07
21.87,5.08
22.09,5.09
22.31,5.10
22.54,5.11
22.76,5.12
22.99,5.13
23.22,5.14
23.45,5.16
23.69,5.17
23.92,5.19
24.16,5.21
24.40,5.23
24.65,5.24
24.89,5.26
25.14,5.27
25.39,5.28
25.65,5.28
25.91,5.29
26.16,5.30
26.43,5.30
26.69,5.31
26.96,5.32
27.23,5.32
27.50,5.33
27.77,5.34
28.05,5.34
28.33,5.35
28.62,5.35
28.90,5.36
29.19,5.37
29.48,5.37
29.78,5.38
30.08,5.38
30.38,5.38
30.68,5.39
30.99,5.39
31.30,5.40
31.61,5.40
31.93,5.41
32.24,5.42
32.57,5.42
32.89,5.42
33.22,5.42
33.55,5.42
33.89,5.43
34.23,5.43
34.57,5.43
34.92,5.43
35.27,5.43
35.62,5.43
35.97,5.42
36.33,5.42
36.70,5.42
37.06,5.42
37.43,5.41
37.81,5.41
38.19,5.41
38.57,5.41
38.95,5.41
39.34,5.41
39.74,5.41
40.14,5.41
40.54,5.41
40.94,5.41
41.35,5.40
41.76,5.40
42.18,5.40
42.60,5.39
43.03,5.39
43.46,5.38
43.90,5.38
44.33,5.37
44.78,5.37
45.23,5.36
45.68,5.35
46.13,5.35
46.60,5.34
47.06,5.33
47.53,5.32
48.01,5.32
48.49,5.31
48.97,5.30
49.46,5.29
49.96,5.29
50.46,5.28
50.96,5.27
51.47,5.26
51.99,5.24
52.51,5.23
53.03,5.23
53.56,5.21
54.10,5.20
54.64,5.18
55.18,5.18
55.74,5.17
56.29,5.15
56.86,5.13
57.42,5.12
58.00,5.11
58.58,5.11
59.16,5.11
59.76,5.11
60.35,5.10
60.96,5.07
61.57,5.04
62.18,5.02
62.80,5.01
63.43,5.00
64.07,4.99
64.71,4.97
65.35,4.95
66.01,4.93
66.67,4.92
67.33,4.90
68.01,4.88
68.69,4.87
69.37,4.85
70.07,4.84
70.77,4.82
71.48,4.80
72.19,4.77
72.91,4.74
73.64,4.73
74.38,4.72
75.12,4.70
75.87,4.67
76.63,4.65
77.40,4.63
78.17,4.61
78.95,4.59
79.74,4.57
80.54,4.54
81.35,4.52
82.16,4.50
82.98,4.48
83.81,4.46
84.65,4.43
85.50,4.41
86.35,4.39
87.22,4.36
88.09,4.33
88.97,4.31
89.86,4.29
90.76,4.27
91.66,4.24
92.58,4.20
93.51,4.18
94.44,4.15
95.39,4.13
96.34,4.10
97.30,4.07
98.28,4.04
99.26,4.02
100.25,3.99
101.25,3.96
102.27,3.93
103.29,3.90
104.32,3.88
105.37,3.85
106.42,3.81
107.48,3.79
108.56,3.76
109.64,3.72
110.74,3.69
111.85,3.68
112.97,3.63
114.10,3.59
115.24,3.56
116.39,3.53
117.55,3.50
118.73,3.46
119.92,3.42
121.12,3.39
122.33,3.37
123.55,3.34
124.79,3.30
126.03,3.27
127.29,3.23
128.57,3.20
129.85,3.16
131.15,3.13
132.46,3.09
133.79,3.07
135.12,3.04
136.48,3.01
137.84,2.97
139.22,2.94
140.61,2.90
142.02,2.87
143.44,2.84
144.87,2.78
146.32,2.75
147.78,2.71
149.26,2.66
150.75,2.62
152.26,2.60
153.78,2.56
155.32,2.53
156.88,2.50
158.44,2.49
160.03,2.47
161.63,2.46
163.24,2.45
164.88,2.44
166.53,2.43
168.19,2.41
169.87,2.39
171.57,2.36
173.29,2.33
175.02,2.30
176.77,2.27
178.54,2.24
180.32,2.20
182.13,2.18
183.95,2.16
185.79,2.12
187.65,2.09
189.52,2.06
191.42,2.03
193.33,2.00
195.27,1.97
197.22,1.93
199.19,1.90
201.18,1.87
203.19,1.83
205.23,1.80
207.28,1.77
209.35,1.73
211.44,1.70
213.56,1.67
215.69,1.63
217.85,1.60
220.03,1.57
222.23,1.53
224.45,1.50
226.70,1.47
228.96,1.43
231.25,1.40
233.57,1.37
235.90,1.33
238.26,1.30
240.64,1.26
243.05,1.23
245.48,1.20
247.93,1.17
250.41,1.14
252.92,1.11
255.45,1.08
258.00,1.05
260.58,1.03
263.19,1.00
265.82,0.97
268.48,0.94
271.16,0.92
273.87,0.89
276.61,0.86
279.38,0.83
282.17,0.81
284.99,0.78
287.84,0.75
290.72,0.72
293.63,0.69
296.57,0.66
299.53,0.64
302.53,0.61
305.55,0.58
308.61,0.55
311.69,0.53
314.81,0.50
317.96,0.47
321.14,0.45
324.35,0.42
327.59,0.40
330.87,0.37
334.18,0.34
337.52,0.32
340.90,0.29
344.30,0.27
347.75,0.25
351.23,0.22
354.74,0.20
358.28,0.18
361.87,0.16
365.49,0.14
369.14,0.11
372.83,0.09
376.56,0.07
380.33,0.04
384.13,0.02
387.97,-0.00
391.85,-0.02
395.77,-0.04
399.73,-0.06
403.72,-0.09
407.76,-0.11
411.84,-0.13
415.96,-0.15
420.12,-0.17
424.32,-0.19
428.56,-0.21
432.85,-0.23
437.18,-0.25
441.55,-0.28
445.96,-0.30
450.42,-0.31
454.93,-0.33
459.48,-0.35
464.07,-0.37
468.71,-0.39
473.40,-0.41
478.13,-0.42
482.91,-0.44
487.74,-0.46
492.62,-0.48
497.55,-0.49
502.52,-0.51
507.55,-0.53
512.62,-0.54
517.75,-0.56
522.93,-0.58
528.16,-0.59
533.44,-0.61
538.77,-0.62
544.16,-0.64
549.60,-0.65
555.10,-0.66
560.65,-0.68
566.25,-0.69
571.92,-0.70
577.64,-0.72
583.41,-0.73
589.25,-0.74
595.14,-0.75
601.09,-0.76
607.10,-0.78
613.17,-0.79
619.30,-0.80
625.50,-0.81
631.75,-0.82
638.07,-0.82
644.45,-0.83
650.89,-0.84
657.40,-0.84
663.98,-0.85
670.62,-0.86
677.32,-0.87
684.10,-0.87
690.94,-0.87
697.85,-0.88
704.83,-0.88
711.87,-0.88
718.99,-0.88
726.18,-0.88
733.44,-0.88
740.78,-0.88
748.19,-0.88
755.67,-0.87
763.23,-0.87
770.86,-0.86
778.57,-0.85
786.35,-0.84
794.22,-0.83
802.16,-0.81
810.18,-0.80
818.28,-0.78
826.46,-0.76
834.73,-0.74
843.08,-0.72
851.51,-0.70
860.02,-0.67
868.62,-0.64
877.31,-0.61
886.08,-0.58
894.94,-0.55
903.89,-0.51
912.93,-0.47
922.06,-0.43
931.28,-0.39
940.59,-0.34
950.00,-0.29
959.50,-0.24
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.20
1039.00,0.28
1049.39,0.36
1059.88,0.44
1070.48,0.52
1081.19,0.61
1092.00,0.69
1102.92,0.78
1113.95,0.87
1125.09,0.96
1136.34,1.05
1147.70,1.15
1159.18,1.24
1170.77,1.33
1182.48,1.42
1194.30,1.51
1206.25,1.60
1218.31,1.69
1230.49,1.78
1242.80,1.86
1255.22,1.95
1267.78,2.03
1280.45,2.11
1293.26,2.19
1306.19,2.27
1319.25,2.35
1332.45,2.42
1345.77,2.50
1359.23,2.57
1372.82,2.64
1386.55,2.71
1400.41,2.78
1414.42,2.85
1428.56,2.91
1442.85,2.98
1457.28,3.05
1471.85,3.11
1486.57,3.18
1501.43,3.24
1516.45,3.31
1531.61,3.39
1546.93,3.46
1562.40,3.53
1578.02,3.59
1593.80,3.66
1609.74,3.73
1625.84,3.80
1642.10,3.86
1658.52,3.93
1675.10,4.00
1691.85,4.07
1708.77,4.14
1725.86,4.21
1743.12,4.29
1760.55,4.36
1778.15,4.44
1795.94,4.53
1813.90,4.61
1832.03,4.70
1850.36,4.80
1868.86,4.90
1887.55,5.01
1906.42,5.11
1925.49,5.22
1944.74,5.32
1964.19,5.42
1983.83,5.52
2003.67,5.62
2023.71,5.72
2043.94,5.81
2064.38,5.90
2085.03,6.00
2105.88,6.09
2126.94,6.18
2148.20,6.27
2169.69,6.36
2191.38,6.45
2213.30,6.54
2235.43,6.63
2257.78,6.72
2280.36,6.81
2303.17,6.89
2326.20,6.97
2349.46,7.05
2372.95,7.13
2396.68,7.20
2420.65,7.27
2444.86,7.34
2469.31,7.40
2494.00,7.46
2518.94,7.52
2544.13,7.58
2569.57,7.63
2595.27,7.68
2621.22,7.73
2647.43,7.77
2673.90,7.80
2700.64,7.83
2727.65,7.86
2754.93,7.88
2782.48,7.90
2810.30,7.92
2838.40,7.93
2866.79,7.93
2895.46,7.94
2924.41,7.94
2953.65,7.94
2983.19,7.93
3013.02,7.92
3043.15,7.91
3073.58,7.90
3104.32,7.88
3135.36,7.86
3166.72,7.84
3198.38,7.81
3230.37,7.78
3262.67,7.75
3295.30,7.72
3328.25,7.68
3361.53,7.65
3395.15,7.61
3429.10,7.57
3463.39,7.53
3498.03,7.49
3533.01,7.45
3568.34,7.41
3604.02,7.37
3640.06,7.32
3676.46,7.27
3713.22,7.22
3750.36,7.17
3787.86,7.12
3825.74,7.06
3864.00,7.00
3902.64,6.94
3941.66,6.88
3981.08,6.82
4020.89,6.76
4061.10,6.69
4101.71,6.63
4142.73,6.56
4184.15,6.49
4226.00,6.42
4268.26,6.35
4310.94,6.27
4354.05,6.20
4397.59,6.12
4441.56,6.04
4485.98,5.96
4530.84,5.88
4576.15,5.79
4621.91,5.70
4668.13,5.61
4714.81,5.52
4761.96,5.43
4809.58,5.33
4857.67,5.24
4906.25,5.14
4955.31,5.04
5004.87,4.94
5054.91,4.84
5105.46,4.74
5156.52,4.63
5208.08,4.54
5260.16,4.44
5312.77,4.34
5365.89,4.24
5419.55,4.15
5473.75,4.05
5528.49,3.96
5583.77,3.87
5639.61,3.78
5696.00,3.69
5752.96,3.61
5810.49,3.53
5868.60,3.45
5927.28,3.38
5986.56,3.31
6046.42,3.25
6106.89,3.19
6167.96,3.14
6229.64,3.10
6291.93,3.07
6354.85,3.05
6418.40,3.03
6482.58,3.03
6547.41,3.04
6612.88,3.06
6679.01,3.09
6745.80,3.13
6813.26,3.19
6881.39,3.26
6950.21,3.35
7019.71,3.46
7089.91,3.58
7160.81,3.73
7232.41,3.90
7304.74,4.08
7377.79,4.29
7451.56,4.50
7526.08,4.73
7601.34,4.97
7677.35,5.20
7754.13,5.43
7831.67,5.62
7909.98,5.78
7989.08,5.88
8068.98,5.85
8149.67,5.75
8231.16,5.54
8313.47,5.19
8396.61,4.77
8480.57,4.25
8565.38,3.64
8651.03,2.98
8737.54,2.27
8824.92,1.52
8913.17,0.76
9002.30,0.00
9092.32,-0.74
9183.25,-1.45
9275.08,-2.15
9367.83,-2.81
9461.51,-3.43
9556.12,-4.03
9651.68,-4.61
9748.20,-5.15
9845.68,-5.66
9944.14,-6.15
10043.58,-6.60
10144.02,-7.03
10245.46,-7.44
10347.91,-7.83
10451.39,-8.19
10555.91,-8.53
10661.46,-8.84
10768.08,-9.12
10875.76,-9.39
10984.52,-9.62
11094.36,-9.83
11205.31,-10.02
11317.36,-10.18
11430.53,-10.33
11544.84,-10.44
11660.29,-10.53
11776.89,-10.59
11894.66,-10.62
12013.60,-10.64
12133.74,-10.62
12255.08,-10.57
12377.63,-10.51
12501.41,-10.42
12626.42,-10.30
12752.68,-10.16
12880.21,-9.97
13009.01,-9.76
13139.10,-9.54
13270.49,-9.23
13403.20,-8.86
13537.23,-8.35
13672.60,-7.74
13809.33,-7.03
13947.42,-6.13
14086.90,-5.07
14227.77,-3.91
14370.04,-2.60
14513.74,-1.14
14658.88,0.27
14805.47,1.31
14953.52,1.71
15103.06,1.13
15254.09,0.09
15406.63,-1.30
15560.70,-2.61
15716.30,-3.79
15873.47,-4.79
16032.20,-5.69
16192.52,-6.42
16354.45,-7.06
16517.99,-7.64
16683.17,-8.15
16850.01,-8.64
17018.51,-9.13
17188.69,-9.67
17360.58,-10.28
17534.18,-10.96
17709.53,-11.74
17886.62,-12.56
18065.49,-13.40
18246.14,-14.24
18428.60,-15.12
18612.89,-15.96
18799.02,-16.79
18987.01,-17.67
19176.88,-18.33
19368.65,-19.19
19562.33,-20.33
19757.96,-21.79
19955.54,-23.24
