frequency,raw
20.00,8.04
20.20,8.03
20.40,8.02
20.61,8.00
20.81,7.99
21.02,7.97
21.23,7.96
21.44,7.94
21.66,7.93
21.87,7.92
22.09,7.91
22.31,7.90
22.54,7.89
22.76,7.88
22.99,7.86
23.22,7.85
23.45,7.83
23.69,7.81
23.92,7.79
24.16,7.76
24.40,7.74
24.65,7.72
24.89,7.70
25.14,7.68
25.39,7.66
25.65,7.64
25.91,7.62
26.16,7.61
26.43,7.59
26.69,7.57
26.96,7.55
27.23,7.53
27.50,7.50
27.77,7.48
28.05,7.45
28.33,7.42
28.62,7.39
28.90,7.37
29.19,7.35
29.48,7.33
29.78,7.31
30.08,7.28
30.38,7.26
30.68,7.23
30.99,7.20
31.30,7.17
31.61,7.14
31.93,7.11
32.24,7.09
32.57,7.06
32.89,7.04
33.22,7.01
33.55,6.99
33.89,6.95
34.23,6.92
34.57,6.88
34.92,6.85
35.27,6.82
35.62,6.79
35.97,6.76
36.33,6.73
36.70,6.70
37.06,6.68
37.43,6.65
37.81,6.61
38.19,6.58
38.57,6.54
38.95,6.51
39.34,6.48
39.74,6.44
40.14,6.41
40.54,6.37
40.94,6.34
41.35,6.30
41.76,6.27
42.18,6.23
42.60,6.20
43.03,6.16
43.46,6.12
43.90,6.08
44.33,6.04
44.78,6.01
45.23,5.97
45.68,5.93
46.13,5.89
46.60,5.86
47.06,5.82
47.53,5.79
48.01,5.74
48.49,5.70
48.97,5.66
49.46,5.62
49.96,5.59
50.46,5.54
50.96,5.49
51.47,5.44
51.99,5.41
52.51,5.37
53.03,5.34
53.56,5.29
54.10,5.25
54.64,5.20
55.18,5.16
55.74,5.12
56.29,5.09
56.86,5.05
57.42,5.01
58.00,4.97
58.58,4.91
59.16,4.86
59.76,4.82
60.35,4.78
60.96,4.75
61.57,4.70
62.18,4.65
62.80,4.61
63.43,4.57
64.07,4.53
64.71,4.48
65.35,4.43
66.01,4.39
66.67,4.34
67.33,4.29
68.01,4.25
68.69,4.20
69.37,4.16
70.07,4.11
70.77,4.07
71.48,4.02
72.19,3.97
72.91,3.93
73.64,3.89
74.38,3.84
75.12,3.79
75.87,3.74
76.63,3.70
77.40,3.66
78.17,3.61
78.95,3.57
79.74,3.52
80.54,3.46
81.35,3.41
82.16,3.37
82.98,3.32
83.81,3.28
84.65,3.23
85.50,3.19
86.35,3.15
87.22,3.09
88.09,3.04
88.97,3.00
89.86,2.95
