frequency,raw
20.00,8.36
20.20,8.34
20.40,8.33
20.61,8.31
20.81,8.29
21.02,8.27
21.23,8.26
21.44,8.24
21.66,8.23
21.87,8.21
22.09,8.20
22.31,8.19
22.54,8.18
22.76,8.16
22.99,8.15
23.22,8.14
23.45,8.13
23.69,8.12
23.92,8.10
24.16,8.09
24.40,8.07
24.65,8.05
24.89,8.03
25.14,8.01
25.39,7.98
25.65,7.96
25.91,7.93
26.16,7.91
26.43,7.88
26.69,7.85
26.96,7.83
27.23,7.80
27.50,7.78
27.77,7.76
28.05,7.73
28.33,7.71
28.62,7.70
28.90,7.68
29.19,7.66
29.48,7.64
29.78,7.62
30.08,7.60
30.38,7.57
30.68,7.54
30.99,7.51
31.30,7.48
31.61,7.45
31.93,7.43
32.24,7.40
32.57,7.38
32.89,7.36
33.22,7.33
33.55,7.30
33.89,7.27
34.23,7.24
34.57,7.21
34.92,7.18
35.27,7.15
35.62,7.11
35.97,7.08
36.33,7.04
36.70,7.01
37.06,6.98
37.43,6.95
37.81,6.92
38.19,6.89
38.57,6.86
38.95,6.82
39.34,6.78
39.74,6.74
40.14,6.70
40.54,6.66
40.94,6.62
41.35,6.59
41.76,6.56
42.18,6.53
42.60,6.49
43.03,6.45
43.46,6.41
43.90,6.38
44.33,6.34
44.78,6.30
45.23,6.26
45.68,6.22
46.13,6.18
46.60,6.13
47.06,6.09
47.53,6.06
48.01,6.03
48.49,6.00
48.97,5.97
49.46,5.92
49.96,5.87
50.46,5.83
50.96,5.79
51.47,5.76
51.99,5.71
52.51,5.66
53.03,5.60
53.56,5.56
54.10,5.53
54.64,5.50
55.18,5.45
55.74,5.41
56.29,5.37
56.86,5.33
57.42,5.27
58.00,5.22
58.58,5.19
59.16,5.15
59.76,5.11
60.35,5.05
60.96,4.98
61.57,4.94
62.18,4.92
62.80,4.87
63.43,4.82
64.07,4.77
64.71,4.74
65.35,4.71
66.01,4.66
66.67,4.61
67.33,4.56
68.01,4.51
68.69,4.45
69.37,4.40
70.07,4.35
70.77,4.31
71.48,4.26
72.19,4.22
72.91,4.17
73.64,4.13
74.38,4.08
75.12,4.03
75.87,3.98
76.63,3.93
77.40,3.88
78.17,3.83
78.95,3.77
79.74,3.73
80.54,3.69
81.35,3.64
82.16,3.59
82.98,3.54
83.81,3.49
84.65,3.44
85.50,3.40
86.35,3.35
87.22,3.30
88.09,3.25
88.97,3.20
89.86,3.15
90.76,3.10
91.66,3.05
92.58,3.00
93.51,2.95
94.44,2.90
95.39,2.85
96.34,2.80
97.30,2.76
98.28,2.72
99.26,2.66
100.25,2.61
101.25,2.56
102.27,2.51
103.29,2.46
104.32,2.41
105.37,2.37
106.42,2.32
107.48,2.27
108.56,2.22
109.64,2.17
110.74,2.11
111.85,2.07
112.97,2.02
114.10,1.97
115.24,1.93
116.39,1.88
117.55,1.83
118.73,1.78
119.92,1.73
121.12,1.69
122.33,1.65
123.55,1.60
124.79,1.56
126.03,1.51
127.29,1.46
128.57,1.42
129.85,1.37
131.15,1.32
132.46,1.27
133.79,1.22
135.12,1.18
136.48,1.13
137.84,1.08
139.22,1.03
140.61,0.98
142.02,0.93
143.44,0.89
144.87,0.85
146.32,0.81
147.78,0.77
149.26,0.75
150.75,0.73
152.26,0.71
153.78,0.69
155.32,0.67
156.88,0.64
158.44,0.61
160.03,0.58
161.63,0.55
163.24,0.51
164.88,0.48
166.53,0.45
168.19,0.42
169.87,0.39
171.57,0.36
173.29,0.34
175.02,0.32
176.77,0.29
178.54,0.26
180.32,0.23
182.13,0.21
183.95,0.18
185.79,0.15
187.65,0.12
189.52,0.08
191.42,0.04
193.33,0.01
195.27,-0.02
197.22,-0.05
199.19,-0.08
201.18,-0.12
203.19,-0.15
205.23,-0.18
207.28,-0.21
209.35,-0.23
211.44,-0.26
213.56,-0.29
215.69,-0.32
217.85,-0.34
220.03,-0.37
222.23,-0.39
224.45,-0.41
226.70,-0.44
228.96,-0.47
231.25,-0.49
233.57,-0.52
235.90,-0.54
238.26,-0.57
240.64,-0.60
243.05,-0.61
245.48,-0.64
247.93,-0.66
250.41,-0.67
252.92,-0.69
255.45,-0.71
258.00,-0.73
260.58,-0.75
263.19,-0.76
265.82,-0.78
268.48,-0.81
271.16,-0.82
273.87,-0.84
276.61,-0.86
279.38,-0.88
282.17,-0.90
284.99,-0.92
287.84,-0.94
290.72,-0.95
293.63,-0.97
296.57,-0.99
299.53,-1.01
302.53,-1.02
305.55,-1.04
308.61,-1.05
311.69,-1.06
314.81,-1.07
317.96,-1.08
321.14,-1.09
324.35,-1.09
327.59,-1.08
330.87,-1.08
334.18,-1.08
337.52,-1.08
340.90,-1.08
344.30,-1.08
347.75,-1.08
351.23,-1.08
354.74,-1.09
358.28,-1.10
361.87,-1.10
365.49,-1.11
369.14,-1.12
372.83,-1.12
376.56,-1.13
380.33,-1.14
384.13,-1.15
387.97,-1.16
391.85,-1.16
395.77,-1.17
399.73,-1.17
403.72,-1.18
407.76,-1.18
411.84,-1.19
415.96,-1.20
420.12,-1.20
424.32,-1.20
428.56,-1.21
432.85,-1.22
437.18,-1.22
441.55,-1.23
445.96,-1.23
450.42,-1.23
454.93,-1.24
459.48,-1.24
464.07,-1.25
468.71,-1.25
473.40,-1.25
478.13,-1.25
482.91,-1.26
487.74,-1.26
492.62,-1.26
497.55,-1.27
502.52,-1.27
507.55,-1.27
512.62,-1.27
517.75,-1.28
522.93,-1.28
528.16,-1.28
533.44,-1.28
538.77,-1.29
544.16,-1.29
549.60,-1.29
555.10,-1.29
560.65,-1.29
566.25,-1.30
571.92,-1.30
577.64,-1.30
583.41,-1.30
589.25,-1.31
595.14,-1.30
601.09,-1.31
607.10,-1.31
613.17,-1.31
619.30,-1.31
625.50,-1.32
631.75,-1.32
638.07,-1.32
644.45,-1.32
650.89,-1.32
657.40,-1.32
663.98,-1.33
670.62,-1.33
677.32,-1.33
684.10,-1.33
690.94,-1.33
697.85,-1.33
704.83,-1.33
711.87,-1.32
718.99,-1.32
726.18,-1.32
733.44,-1.32
740.78,-1.31
748.19,-1.31
755.67,-1.31
763.23,-1.30
770.86,-1.29
778.57,-1.27
786.35,-1.26
794.22,-1.24
802.16,-1.23
810.18,-1.21
818.28,-1.18
826.46,-1.15
834.73,-1.12
843.08,-1.09
851.51,-1.05
860.02,-1.00
868.62,-0.96
877.31,-0.91
886.08,-0.86
894.94,-0.80
903.89,-0.75
912.93,-0.68
922.06,-0.62
931.28,-0.55
940.59,-0.48
950.00,-0.41
959.50,-0.34
969.09,-0.26
978.78,-0.18
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.35
1049.39,0.45
1059.88,0.54
1070.48,0.65
1081.19,0.75
1092.00,0.85
1102.92,0.95
1113.95,1.06
1125.09,1.16
1136.34,1.27
1147.70,1.37
1159.18,1.47
1170.77,1.57
1182.48,1.67
1194.30,1.76
1206.25,1.86
1218.31,1.94
1230.49,2.03
1242.80,2.12
1255.22,2.20
1267.78,2.27
1280.45,2.35
1293.26,2.41
1306.19,2.48
1319.25,2.55
1332.45,2.61
1345.77,2.67
1359.23,2.72
1372.82,2.77
1386.55,2.83
1400.41,2.88
1414.42,2.92
1428.56,2.97
1442.85,3.01
1457.28,3.05
1471.85,3.09
1486.57,3.13
1501.43,3.17
1516.45,3.20
1531.61,3.24
1546.93,3.28
1562.40,3.31
1578.02,3.35
1593.80,3.38
1609.74,3.42
1625.84,3.46
1642.10,3.49
1658.52,3.53
1675.10,3.57
1691.85,3.60
1708.77,3.64
1725.86,3.68
1743.12,3.73
1760.55,3.77
1778.15,3.81
1795.94,3.86
1813.90,3.90
1832.03,3.95
1850.36,4.00
1868.86,4.06
1887.55,4.11
1906.42,4.17
1925.49,4.22
1944.74,4.28
1964.19,4.35
1983.83,4.41
2003.67,4.48
2023.71,4.55
2043.94,4.62
2064.38,4.70
2085.03,4.78
