frequency,raw
20.00,3.03
20.20,3.03
20.40,3.03
20.61,3.02
20.81,3.02
21.02,3.02
21.23,3.03
21.44,3.03
21.66,3.04
21.87,3.04
22.09,3.03
22.31,3.02
22.54,3.00
22.76,2.98
22.99,2.95
23.22,2.93
23.45,2.92
23.69,2.91
23.92,2.92
24.16,2.94
24.40,2.95
24.65,2.97
24.89,2.97
25.14,2.97
25.39,2.96
25.65,2.95
25.91,2.94
26.16,2.93
26.43,2.93
26.69,2.93
26.96,2.93
27.23,2.93
27.50,2.93
27.77,2.92
28.05,2.91
28.33,2.90
28.62,2.89
28.90,2.87
29.19,2.86
29.48,2.85
29.78,2.85
30.08,2.85
30.38,2.85
30.68,2.85
30.99,2.84
31.30,2.84
31.61,2.84
31.93,2.84
32.24,2.85
32.57,2.85
32.89,2.85
33.22,2.84
33.55,2.83
33.89,2.82
34.23,2.82
34.57,2.81
34.92,2.81
35.27,2.81
35.62,2.82
35.97,2.82
36.33,2.82
36.70,2.82
37.06,2.82
37.43,2.81
37.81,2.81
38.19,2.80
38.57,2.80
38.95,2.80
39.34,2.79
39.74,2.78
40.14,2.77
40.54,2.76
40.94,2.77
41.35,2.77
41.76,2.77
42.18,2.78
42.60,2.78
43.03,2.78
43.46,2.78
43.90,2.78
44.33,2.77
44.78,2.76
45.23,2.75
45.68,2.75
46.13,2.75
46.60,2.75
47.06,2.75
47.53,2.74
48.01,2.74
48.49,2.74
48.97,2.74
49.46,2.75
49.96,2.74
50.46,2.73
50.96,2.72
51.47,2.70
51.99,2.70
52.51,2.70
53.03,2.70
53.56,2.70
54.10,2.71
54.64,2.72
55.18,2.73
55.74,2.70
56.29,2.68
56.86,2.67
57.42,2.67
58.00,2.67
58.58,2.67
59.16,2.67
59.76,2.68
60.35,2.68
60.96,2.66
61.57,2.65
62.18,2.65
62.80,2.66
63.43,2.65
64.07,2.64
64.71,2.64
65.35,2.64
66.01,2.64
66.67,2.62
67.33,2.60
68.01,2.58
68.69,2.59
69.37,2.59
70.07,2.59
70.77,2.58
71.48,2.56
72.19,2.54
72.91,2.53
73.64,2.53
74.38,2.54
75.12,2.54
75.87,2.51
76.63,2.49
77.40,2.48
