frequency,raw
20.00,6.76
20.20,6.76
20.40,6.75
20.61,6.75
20.81,6.74
21.02,6.73
21.23,6.72
21.44,6.71
21.66,6.69
21.87,6.68
22.09,6.67
22.31,6.66
22.54,6.65
22.76,6.65
22.99,6.65
23.22,6.65
23.45,6.65
23.69,6.64
23.92,6.62
24.16,6.61
24.40,6.58
24.65,6.55
24.89,6.53
25.14,6.51
25.39,6.49
25.65,6.47
25.91,6.46
26.16,6.45
26.43,6.44
26.69,6.42
26.96,6.41
27.23,6.39
27.50,6.37
27.77,6.35
28.05,6.33
28.33,6.31
28.62,6.29
28.90,6.27
29.19,6.25
29.48,6.23
29.78,6.21
30.08,6.19
30.38,6.17
30.68,6.15
30.99,6.13
31.30,6.11
31.61,6.09
31.93,6.07
32.24,6.05
32.57,6.03
32.89,6.01
33.22,5.99
33.55,5.98
33.89,5.96
34.23,5.95
34.57,5.94
34.92,5.93
35.27,5.92
35.62,5.90
35.97,5.88
36.33,5.87
36.70,5.85
37.06,5.83
37.43,5.82
37.81,5.80
38.19,5.78
38.57,5.76
38.95,5.74
39.34,5.73
39.74,5.72
40.14,5.70
40.54,5.68
40.94,5.66
41.35,5.64
41.76,5.63
42.18,5.63
42.60,5.62
43.03,5.61
43.46,5.59
43.90,5.57
44.33,5.55
44.78,5.54
45.23,5.52
45.68,5.50
46.13,5.48
46.60,5.46
47.06,5.45
47.53,5.44
48.01,5.44
48.49,5.45
48.97,5.44
49.46,5.44
49.96,5.42
50.46,5.40
50.96,5.38
51.47,5.37
51.99,5.36
52.51,5.34
53.03,5.32
53.56,5.31
54.10,5.30
54.64,5.29
55.18,5.29
55.74,5.29
56.29,5.28
56.86,5.27
57.42,5.24
58.00,5.21
58.58,5.21
59.16,5.20
59.76,5.20
60.35,5.18
60.96,5.16
61.57,5.14
62.18,5.15
62.80,5.18
63.43,5.18
64.07,5.16
64.71,5.13
65.35,5.10
66.01,5.09
66.67,5.08
67.33,5.08
68.01,5.08
68.69,5.07
69.37,5.05
70.07,5.01
70.77,5.02
71.48,5.04
72.19,5.06
72.91,5.05
73.64,5.02
74.38,4.99
75.12,4.97
75.87,4.97
76.63,4.97
77.40,4.97
78.17,4.96
78.95,4.94
79.74,4.90
80.54,4.87
81.35,4.85
82.16,4.84
82.98,4.82
83.81,4.79
84.65,4.79
85.50,4.78
86.35,4.77
87.22,4.77
88.09,4.75
88.97,4.74
89.86,4.74
90.76,4.70
91.66,4.67
92.58,4.66
93.51,4.66
94.44,4.64
95.39,4.62
96.34,4.59
97.30,4.57
98.28,4.56
99.26,4.54
100.25,4.52
101.25,4.49
102.27,4.48
103.29,4.46
104.32,4.42
105.37,4.40
106.42,4.38
107.48,4.36
108.56,4.31
109.64,4.28
110.74,4.25
111.85,4.21
112.97,4.19
114.10,4.16
115.24,4.12
116.39,4.10
117.55,4.07
118.73,4.05
119.92,4.04
121.12,4.01
122.33,3.98
123.55,3.95
124.79,3.91
126.03,3.85
127.29,3.81
128.57,3.78
129.85,3.75
131.15,3.72
132.46,3.68
133.79,3.62
