frequency,raw
20.00,8.85
20.20,8.80
20.40,8.75
20.61,8.70
20.81,8.65
21.02,8.60
21.23,8.54
21.44,8.49
21.66,8.44
21.87,8.38
22.09,8.33
22.31,8.28
22.54,8.23
22.76,8.18
22.99,8.14
23.22,8.10
23.45,8.05
23.69,8.01
23.92,7.97
24.16,7.92
24.40,7.88
24.65,7.83
24.89,7.78
25.14,7.73
25.39,7.68
25.65,7.63
25.91,7.57
26.16,7.52
26.43,7.47
26.69,7.41
26.96,7.36
27.23,7.31
27.50,7.27
27.77,7.22
28.05,7.18
28.33,7.14
28.62,7.10
28.90,7.05
29.19,7.01
29.48,6.96
29.78,6.92
30.08,6.87
30.38,6.82
30.68,6.78
30.99,6.74
31.30,6.69
31.61,6.65
31.93,6.61
32.24,6.57
32.57,6.53
32.89,6.49
33.22,6.44
33.55,6.40
33.89,6.36
34.23,6.32
34.57,6.29
34.92,6.25
35.27,6.20
35.62,6.15
35.97,6.11
36.33,6.07
36.70,6.03
37.06,6.00
37.43,5.97
37.81,5.93
38.19,5.89
38.57,5.84
38.95,5.80
39.34,5.77
39.74,5.73
40.14,5.70
40.54,5.66
40.94,5.62
41.35,5.58
41.76,5.54
42.18,5.51
42.60,5.48
43.03,5.44
43.46,5.40
43.90,5.36
44.33,5.32
44.78,5.29
45.23,5.26
45.68,5.22
46.13,5.19
46.60,5.15
47.06,5.12
47.53,5.08
48.01,5.05
48.49,5.02
48.97,4.98
49.46,4.95
49.96,4.91
50.46,4.88
50.96,4.85
51.47,4.82
51.99,4.79
52.51,4.76
53.03,4.74
53.56,4.71
54.10,4.67
54.64,4.62
55.18,4.58
55.74,4.55
56.29,4.51
56.86,4.48
57.42,4.45
58.00,4.42
58.58,4.39
59.16,4.36
59.76,4.32
60.35,4.29
60.96,4.26
61.57,4.23
62.18,4.20
62.80,4.17
63.43,4.13
64.07,4.09
64.71,4.06
65.35,4.02
66.01,3.99
66.67,3.96
67.33,3.93
68.01,3.90
68.69,3.87
69.37,3.83
70.07,3.80
70.77,3.75
71.48,3.72
72.19,3.70
72.91,3.66
73.64,3.62
74.38,3.60
75.12,3.58
75.87,3.54
76.63,3.50
77.40,3.47
78.17,3.43
78.95,3.40
79.74,3.36
80.54,3.33
81.35,3.29
82.16,3.26
82.98,3.23
83.81,3.19
84.65,3.15
85.50,3.12
86.35,3.08
87.22,3.05
88.09,3.01
88.97,2.97
89.86,2.94
90.76,2.90
91.66,2.86
92.58,2.83
93.51,2.79
94.44,2.75
95.39,2.71
96.34,2.68
97.30,2.65
98.28,2.61
99.26,2.56
100.25,2.52
101.25,2.48
102.27,2.44
103.29,2.40
104.32,2.36
105.37,2.32
106.42,2.28
107.48,2.24
108.56,2.19
109.64,2.15
110.74,2.11
111.85,2.07
112.97,2.02
114.10,1.98
115.24,1.93
116.39,1.89
117.55,1.86
118.73,1.81
119.92,1.76
121.12,1.72
122.33,1.67
123.55,1.63
124.79,1.58
126.03,1.53
127.29,1.48
128.57,1.43
129.85,1.39
131.15,1.35
132.46,1.31
133.79,1.25
135.12,1.21
136.48,1.16
137.84,1.11
139.22,1.07
140.61,1.03
142.02,0.98
143.44,0.93
144.87,0.88
146.32,0.84
147.78,0.79
149.26,0.74
150.75,0.69
152.26,0.65
153.78,0.61
155.32,0.57
156.88,0.52
158.44,0.47
160.03,0.43
161.63,0.39
163.24,0.35
164.88,0.31
166.53,0.28
168.19,0.24
169.87,0.20
171.57,0.16
173.29,0.12
175.02,0.09
176.77,0.05
178.54,0.02
180.32,-0.00
182.13,-0.03
183.95,-0.05
185.79,-0.08
187.65,-0.11
189.52,-0.14
191.42,-0.16
193.33,-0.18
195.27,-0.20
197.22,-0.22
199.19,-0.23
201.18,-0.24
203.19,-0.27
205.23,-0.28
207.28,-0.30
209.35,-0.30
211.44,-0.31
213.56,-0.32
215.69,-0.32
217.85,-0.32
220.03,-0.33
222.23,-0.33
224.45,-0.34
226.70,-0.34
228.96,-0.34
231.25,-0.34
233.57,-0.33
235.90,-0.34
238.26,-0.34
240.64,-0.33
243.05,-0.33
245.48,-0.32
247.93,-0.32
250.41,-0.31
252.92,-0.30
255.45,-0.29
258.00,-0.29
260.58,-0.28
263.19,-0.28
