frequency,raw
20.00,11.52
20.20,11.52
20.40,11.51
20.61,11.51
20.81,11.50
21.02,11.49
21.23,11.48
21.44,11.47
21.66,11.46
21.87,11.45
22.09,11.45
22.31,11.44
22.54,11.43
22.76,11.43
22.99,11.42
23.22,11.41
23.45,11.40
23.69,11.40
23.92,11.39
24.16,11.37
24.40,11.36
24.65,11.35
24.89,11.33
25.14,11.32
25.39,11.31
25.65,11.29
25.91,11.28
26.16,11.27
26.43,11.26
26.69,11.24
26.96,11.22
27.23,11.21
27.50,11.19
27.77,11.17
28.05,11.16
28.33,11.14
28.62,11.12
28.90,11.11
29.19,11.09
29.48,11.07
29.78,11.05
30.08,11.03
30.38,11.01
30.68,10.99
30.99,10.97
31.30,10.95
31.61,10.93
31.93,10.91
32.24,10.89
32.57,10.86
32.89,10.84
33.22,10.82
33.55,10.80
33.89,10.77
34.23,10.75
34.57,10.73
34.92,10.70
35.27,10.68
35.62,10.65
35.97,10.62
36.33,10.60
36.70,10.57
37.06,10.55
37.43,10.52
37.81,10.49
38.19,10.47
38.57,10.43
38.95,10.40
39.34,10.37
39.74,10.35
40.14,10.32
40.54,10.29
40.94,10.27
41.35,10.24
41.76,10.20
42.18,10.17
42.60,10.13
43.03,10.10
43.46,10.07
43.90,10.03
44.33,10.00
44.78,9.97
45.23,9.93
45.68,9.90
46.13,9.86
46.60,9.83
47.06,9.80
47.53,9.77
48.01,9.73
48.49,9.69
48.97,9.65
49.46,9.62
49.96,9.58
50.46,9.54
50.96,9.50
51.47,9.46
51.99,9.42
52.51,9.39
53.03,9.35
53.56,9.31
54.10,9.27
54.64,9.23
55.18,9.19
55.74,9.15
56.29,9.10
56.86,9.06
57.42,9.02
58.00,8.98
58.58,8.93
59.16,8.89
59.76,8.85
60.35,8.81
60.96,8.77
61.57,8.72
62.18,8.68
62.80,8.63
63.43,8.59
64.07,8.54
64.71,8.49
65.35,8.45
66.01,8.40
66.67,8.36
67.33,8.31
68.01,8.26
68.69,8.22
69.37,8.17
70.07,8.13
70.77,8.08
71.48,8.03
72.19,7.98
72.91,7.93
73.64,7.88
74.38,7.83
75.12,7.78
75.87,7.74
76.63,7.69
77.40,7.64
78.17,7.59
78.95,7.54
79.74,7.49
80.54,7.43
81.35,7.38
82.16,7.33
82.98,7.28
83.81,7.23
84.65,7.18
85.50,7.13
86.35,7.08
87.22,7.03
88.09,6.97
88.97,6.92
89.86,6.87
90.76,6.82
91.66,6.76
92.58,6.71
93.51,6.66
94.44,6.60
95.39,6.55
96.34,6.50
97.30,6.44
98.28,6.39
99.26,6.34
100.25,6.28
101.25,6.23
102.27,6.18
103.29,6.12
104.32,6.07
105.37,6.01
106.42,5.96
107.48,5.91
108.56,5.85
109.64,5.80
110.74,5.74
111.85,5.69
112.97,5.64
114.10,5.58
115.24,5.52
116.39,5.47
117.55,5.42
118.73,5.36
119.92,5.30
121.12,5.25
122.33,5.20
123.55,5.15
124.79,5.09
126.03,5.04
127.29,4.98
128.57,4.93
129.85,4.87
131.15,4.82
132.46,4.76
133.79,4.71
135.12,4.65
136.48,4.60
137.84,4.54
139.22,4.49
140.61,4.44
