frequency,raw
20.00,5.95
20.20,5.94
20.40,5.93
20.61,5.92
20.81,5.91
21.02,5.91
21.23,5.90
21.44,5.90
21.66,5.90
21.87,5.90
22.09,5.89
22.31,5.89
22.54,5.88
22.76,5.87
22.99,5.86
23.22,5.85
23.45,5.83
23.69,5.82
23.92,5.82
24.16,5.81
24.40,5.81
24.65,5.81
24.89,5.82
25.14,5.82
25.39,5.82
25.65,5.83
25.91,5.83
26.16,5.82
26.43,5.82
26.69,5.82
26.96,5.81
27.23,5.81
27.50,5.81
27.77,5.81
28.05,5.81
28.33,5.82
28.62,5.82
28.90,5.81
29.19,5.81
29.48,5.81
29.78,5.81
30.08,5.82
30.38,5.82
30.68,5.83
30.99,5.83
31.30,5.83
31.61,5.84
31.93,5.83
32.24,5.83
32.57,5.83
32.89,5.84
33.22,5.84
33.55,5.84
33.89,5.85
34.23,5.85
34.57,5.85
34.92,5.86
35.27,5.86
35.62,5.87
35.97,5.88
36.33,5.89
36.70,5.89
37.06,5.90
37.43,5.90
37.81,5.90
38.19,5.90
38.57,5.89
38.95,5.88
39.34,5.87
39.74,5.87
40.14,5.88
40.54,5.90
40.94,5.92
41.35,5.94
41.76,5.96
42.18,5.97
42.60,5.97
43.03,5.97
43.46,5.97
43.90,5.97
44.33,5.97
44.78,5.97
45.23,5.97
45.68,5.97
46.13,5.98
46.60,5.99
47.06,5.99
47.53,5.98
48.01,5.99
48.49,6.00
48.97,6.01
49.46,6.00
49.96,5.99
50.46,5.99
50.96,5.99
51.47,6.00
51.99,6.00
52.51,6.00
53.03,5.99
53.56,5.99
54.10,5.99
54.64,5.98
55.18,5.98
55.74,5.98
56.29,5.98
56.86,5.98
57.42,5.97
58.00,5.97
58.58,5.96
59.16,5.96
59.76,5.95
60.35,5.95
60.96,5.95
61.57,5.94
62.18,5.94
62.80,5.93
63.43,5.92
64.07,5.91
64.71,5.90
65.35,5.89
66.01,5.88
66.67,5.87
67.33,5.86
68.01,5.85
68.69,5.84
69.37,5.83
70.07,5.83
70.77,5.81
71.48,5.80
72.19,5.80
72.91,5.78
73.64,5.76
74.38,5.74
75.12,5.72
75.87,5.70
76.63,5.68
77.40,5.67
78.17,5.65
78.95,5.63
79.74,5.62
80.54,5.60
81.35,5.58
82.16,5.56
82.98,5.54
83.81,5.52
84.65,5.50
85.50,5.47
86.35,5.45
87.22,5.42
88.09,5.40
88.97,5.38
89.86,5.35
90.76,5.32
91.66,5.30
92.58,5.27
93.51,5.25
94.44,5.22
95.39,5.19
96.34,5.16
97.30,5.13
98.28,5.10
99.26,5.07
100.25,5.04
101.25,5.00
102.27,4.98
103.29,4.95
104.32,4.91
105.37,4.88
106.42,4.85
107.48,4.81
108.56,4.78
109.64,4.74
110.74,4.71
111.85,4.67
112.97,4.64
114.10,4.60
115.24,4.56
116.39,4.52
117.55,4.48
118.73,4.44
119.92,4.41
121.12,4.37
122.33,4.34
123.55,4.29
124.79,4.25
126.03,4.21
127.29,4.17
128.57,4.13
129.85,4.09
131.15,4.05
132.46,4.00
133.79,3.97
135.12,3.92
136.48,3.88
137.84,3.84
139.22,3.80
140.61,3.75
142.02,3.70
143.44,3.66
144.87,3.62
146.32,3.57
147.78,3.53
149.26,3.49
150.75,3.45
152.26,3.41
153.78,3.36
155.32,3.32
156.88,3.30
158.44,3.26
160.03,3.23
161.63,3.28
163.24,3.25
164.88,3.13
166.53,3.09
168.19,3.07
169.87,3.03
171.57,2.99
173.29,2.95
175.02,2.91
176.77,2.87
178.54,2.83
180.32,2.79
182.13,2.75
183.95,2.71
185.79,2.68
187.65,2.64
189.52,2.60
191.42,2.56
193.33,2.52
195.27,2.49
197.22,2.45
199.19,2.41
201.18,2.38
203.19,2.34
205.23,2.31
207.28,2.27
209.35,2.24
211.44,2.20
213.56,2.17
215.69,2.14
217.85,2.10
220.03,2.07
222.23,2.04
224.45,2.01
226.70,1.98
228.96,1.95
231.25,1.91
233.57,1.89
235.90,1.86
238.26,1.83
240.64,1.80
243.05,1.77
245.48,1.75
247.93,1.72
250.41,1.70
252.92,1.67
255.45,1.64
258.00,1.62
260.58,1.59
263.19,1.57
265.82,1.55
268.48,1.53
271.16,1.50
273.87,1.48
276.61,1.46
279.38,1.44
282.17,1.42
284.99,1.40
287.84,1.38
290.72,1.36
293.63,1.34
296.57,1.32
299.53,1.30
302.53,1.29
305.55,1.27
308.61,1.25
311.69,1.24
314.81,1.22
317.96,1.21
321.14,1.19
324.35,1.18
327.59,1.17
330.87,1.15
334.18,1.14
337.52,1.13
340.90,1.11
344.30,1.10
347.75,1.09
351.23,1.08
354.74,1.06
358.28,1.05
361.87,1.04
365.49,1.03
369.14,1.02
372.83,1.01
376.56,1.00
380.33,0.99
384.13,0.98
387.97,0.97
391.85,0.96
395.77,0.95
399.73,0.95
403.72,0.94
407.76,0.93
411.84,0.92
415.96,0.91
420.12,0.91
424.32,0.90
428.56,0.90
432.85,0.90
437.18,0.89
441.55,0.89
445.96,0.88
450.42,0.87
454.93,0.87
459.48,0.86
464.07,0.85
468.71,0.84
473.40,0.83
478.13,0.82
482.91,0.81
487.74,0.80
492.62,0.79
497.55,0.78
502.52,0.77
507.55,0.76
512.62,0.75
517.75,0.74
522.93,0.73
528.16,0.72
533.44,0.71
538.77,0.70
544.16,0.69
549.60,0.68
555.10,0.67
560.65,0.66
566.25,0.65
571.92,0.64
577.64,0.62
583.41,0.61
589.25,0.60
595.14,0.59
601.09,0.57
607.10,0.56
613.17,0.55
619.30,0.53
625.50,0.52
631.75,0.51
638.07,0.49
644.45,0.48
650.89,0.46
657.40,0.45
663.98,0.44
670.62,0.42
677.32,0.40
684.10,0.39
690.94,0.37
697.85,0.36
704.83,0.34
711.87,0.32
718.99,0.31
726.18,0.29
733.44,0.28
740.78,0.26
748.19,0.24
755.67,0.23
763.23,0.21
770.86,0.19
778.57,0.17
786.35,0.16
794.22,0.14
802.16,0.13
810.18,0.11
818.28,0.10
826.46,0.08
834.73,0.06
843.08,0.05
851.51,0.03
860.02,0.02
868.62,0.01
877.31,-0.01
886.08,-0.02
894.94,-0.02
903.89,-0.03
912.93,-0.04
922.06,-0.04
931.28,-0.04
940.59,-0.04
950.00,-0.04
959.50,-0.04
969.09,-0.03
978.78,-0.03
988.57,-0.02
998.46,-0.00
1008.44,0.01
1018.53,0.03
1028.71,0.05
1039.00,0.07
1049.39,0.10
1059.88,0.13
1070.48,0.16
1081.19,0.19
1092.00,0.23
1102.92,0.26
1113.95,0.30
1125.09,0.34
1136.34,0.39
1147.70,0.44
1159.18,0.49
1170.77,0.54
1182.48,0.59
1194.30,0.65
1206.25,0.71
1218.31,0.77
1230.49,0.84
1242.80,0.90
1255.22,0.97
1267.78,1.05
1280.45,1.12
1293.26,1.20
1306.19,1.27
1319.25,1.35
1332.45,1.43
1345.77,1.52
1359.23,1.60
1372.82,1.69
1386.55,1.78
1400.41,1.86
1414.42,1.95
1428.56,2.04
1442.85,2.13
1457.28,2.22
1471.85,2.31
1486.57,2.41
1501.43,2.50
1516.45,2.59
1531.61,2.69
1546.93,2.78
1562.40,2.88
1578.02,2.98
1593.80,3.08
1609.74,3.18
1625.84,3.28
1642.10,3.38
1658.52,3.48
1675.10,3.58
1691.85,3.68
1708.77,3.78
1725.86,3.89
1743.12,3.99
1760.55,4.09
1778.15,4.20
1795.94,4.30
1813.90,4.40
1832.03,4.50
1850.36,4.60
1868.86,4.71
1887.55,4.81
1906.42,4.90
1925.49,5.00
1944.74,5.10
1964.19,5.19
1983.83,5.29
2003.67,5.38
2023.71,5.47
2043.94,5.56
2064.38,5.65
2085.03,5.73
2105.88,5.81
2126.94,5.89
2148.20,5.97
2169.69,6.04
2191.38,6.11
2213.30,6.18
2235.43,6.24
2257.78,6.31
2280.36,6.36
2303.17,6.42
2326.20,6.47
2349.46,6.52
2372.95,6.56
2396.68,6.60
2420.65,6.64
2444.86,6.67
2469.31,6.70
2494.00,6.73
2518.94,6.76
2544.13,6.78
2569.57,6.80
2595.27,6.81
2621.22,6.83
2647.43,6.84
2673.90,6.85
2700.64,6.87
2727.65,6.88
