frequency,raw
20.00,2.41
20.20,2.42
20.40,2.43
20.61,2.45
20.81,2.46
21.02,2.47
21.23,2.49
21.44,2.51
21.66,2.53
21.87,2.55
22.09,2.56
22.31,2.58
22.54,2.59
22.76,2.60
22.99,2.60
23.22,2.60
23.45,2.61
23.69,2.61
23.92,2.62
24.16,2.63
24.40,2.63
24.65,2.64
24.89,2.64
25.14,2.65
25.39,2.65
25.65,2.66
25.91,2.66
26.16,2.67
26.43,2.68
26.69,2.69
26.96,2.70
27.23,2.70
27.50,2.71
27.77,2.71
28.05,2.70
28.33,2.70
28.62,2.70
28.90,2.70
29.19,2.70
29.48,2.71
29.78,2.71
30.08,2.71
30.38,2.72
30.68,2.72
30.99,2.72
31.30,2.72
31.61,2.73
31.93,2.73
32.24,2.73
32.57,2.72
32.89,2.70
33.22,2.69
33.55,2.68
33.89,2.67
34.23,2.67
34.57,2.67
34.92,2.68
35.27,2.67
35.62,2.66
35.97,2.65
36.33,2.65
36.70,2.64
37.06,2.64
37.43,2.64
37.81,2.64
38.19,2.63
38.57,2.62
38.95,2.61
39.34,2.61
39.74,2.60
40.14,2.60
40.54,2.59
40.94,2.57
41.35,2.56
41.76,2.55
42.18,2.55
42.60,2.55
43.03,2.55
43.46,2.54
43.90,2.53
44.33,2.51
44.78,2.50
45.23,2.50
45.68,2.50
46.13,2.49
46.60,2.48
47.06,2.46
47.53,2.44
48.01,2.42
48.49,2.40
48.97,2.39
49.46,2.38
49.96,2.36
50.46,2.35
50.96,2.35
51.47,2.35
51.99,2.35
52.51,2.33
53.03,2.30
53.56,2.27
54.10,2.24
54.64,2.22
55.18,2.20
55.74,2.19
56.29,2.19
56.86,2.18
57.42,2.16
58.00,2.13
58.58,2.10
59.16,2.07
59.76,2.05
60.35,2.04
60.96,2.06
61.57,2.08
62.18,2.05
62.80,2.02
63.43,2.00
64.07,1.99
64.71,1.96
65.35,1.94
66.01,1.92
66.67,1.91
67.33,1.89
68.01,1.87
68.69,1.85
69.37,1.84
70.07,1.83
70.77,1.81
71.48,1.79
72.19,1.77
72.91,1.75
73.64,1.72
74.38,1.69
75.12,1.65
75.87,1.64
76.63,1.62
77.40,1.59
78.17,1.58
78.95,1.58
79.74,1.56
80.54,1.54
81.35,1.52
82.16,1.50
82.98,1.48
83.81,1.46
84.65,1.45
85.50,1.44
86.35,1.42
87.22,1.40
88.09,1.38
88.97,1.36
89.86,1.33
90.76,1.31
91.66,1.28
92.58,1.25
93.51,1.23
94.44,1.21
95.39,1.20
96.34,1.19
97.30,1.18
98.28,1.15
99.26,1.13
100.25,1.12
101.25,1.11
102.27,1.09
103.29,1.06
104.32,1.03
105.37,0.99
106.42,0.97
107.48,0.97
108.56,0.95
109.64,0.93
110.74,0.91
111.85,0.91
112.97,0.90
114.10,0.87
115.24,0.84
116.39,0.84
117.55,0.82
118.73,0.77
119.92,0.74
121.12,0.73
122.33,0.74
123.55,0.70
124.79,0.69
126.03,0.68
127.29,0.65
128.57,0.62
129.85,0.60
131.15,0.58
132.46,0.56
133.79,0.57
135.12,0.57
136.48,0.57
137.84,0.54
139.22,0.54
140.61,0.53
142.02,0.49
143.44,0.46
144.87,0.44
146.32,0.43
147.78,0.42
149.26,0.42
150.75,0.41
152.26,0.39
153.78,0.37
155.32,0.35
156.88,0.36
158.44,0.35
160.03,0.33
161.63,0.32
163.24,0.30
164.88,0.28
166.53,0.27
168.19,0.26
169.87,0.24
171.57,0.24
173.29,0.23
175.02,0.20
176.77,0.20
178.54,0.19
180.32,0.18
182.13,0.18
183.95,0.16
185.79,0.14
187.65,0.13
189.52,0.10
191.42,0.10
193.33,0.09
195.27,0.07
197.22,0.05
199.19,0.03
201.18,0.01
203.19,-0.01
205.23,-0.01
207.28,-0.01
209.35,-0.01
211.44,-0.00
213.56,0.01
215.69,0.01
217.85,0.01
220.03,-0.01
222.23,-0.00
224.45,0.00
226.70,-0.00
228.96,-0.01
231.25,-0.02
233.57,-0.02
235.90,-0.03
238.26,-0.01
240.64,0.00
243.05,-0.03
245.48,-0.04
247.93,-0.04
250.41,-0.03
252.92,-0.03
255.45,-0.03
258.00,-0.04
260.58,-0.05
263.19,-0.05
265.82,-0.05
268.48,-0.06
271.16,-0.06
273.87,-0.07
276.61,-0.07
279.38,-0.07
282.17,-0.07
284.99,-0.07
287.84,-0.08
290.72,-0.08
293.63,-0.08
296.57,-0.09
299.53,-0.09
302.53,-0.08
305.55,-0.07
308.61,-0.07
311.69,-0.07
314.81,-0.07
317.96,-0.07
321.14,-0.06
324.35,-0.05
327.59,-0.02
330.87,-0.01
334.18,0.00
337.52,0.01
340.90,0.01
344.30,0.01
347.75,-0.00
351.23,-0.02
354.74,-0.03
358.28,-0.03
361.87,-0.03
365.49,-0.02
