frequency,raw
20.00,3.15
20.20,3.15
20.40,3.16
20.61,3.16
20.81,3.16
21.02,3.16
21.23,3.16
21.44,3.17
21.66,3.19
21.87,3.20
22.09,3.22
22.31,3.24
22.54,3.25
22.76,3.27
22.99,3.28
23.22,3.28
23.45,3.28
23.69,3.28
23.92,3.28
24.16,3.28
24.40,3.28
24.65,3.28
24.89,3.28
25.14,3.27
25.39,3.27
25.65,3.27
25.91,3.27
26.16,3.27
26.43,3.28
26.69,3.28
26.96,3.29
27.23,3.29
27.50,3.29
27.77,3.30
28.05,3.30
28.33,3.30
28.62,3.30
28.90,3.30
29.19,3.30
29.48,3.29
29.78,3.28
30.08,3.28
30.38,3.27
30.68,3.27
30.99,3.27
31.30,3.27
31.61,3.27
31.93,3.27
32.24,3.27
32.57,3.27
32.89,3.26
33.22,3.26
33.55,3.25
33.89,3.24
34.23,3.23
34.57,3.22
34.92,3.22
35.27,3.21
35.62,3.20
35.97,3.20
36.33,3.19
36.70,3.19
37.06,3.18
37.43,3.16
37.81,3.16
38.19,3.15
38.57,3.14
38.95,3.14
39.34,3.13
39.74,3.12
40.14,3.11
40.54,3.10
40.94,3.10
41.35,3.09
41.76,3.08
42.18,3.07
42.60,3.05
43.03,3.04
43.46,3.03
43.90,3.02
44.33,3.01
44.78,2.99
45.23,2.98
45.68,2.97
46.13,2.96
46.60,2.95
47.06,2.93
47.53,2.92
48.01,2.91
48.49,2.90
48.97,2.89
49.46,2.87
49.96,2.85
50.46,2.83
50.96,2.82
51.47,2.81
51.99,2.79
52.51,2.78
53.03,2.76
53.56,2.75
54.10,2.73
54.64,2.72
55.18,2.70
55.74,2.68
56.29,2.66
56.86,2.63
57.42,2.62
58.00,2.62
58.58,2.60
59.16,2.59
59.76,2.56
60.35,2.53
60.96,2.52
61.57,2.51
62.18,2.49
62.80,2.47
63.43,2.44
64.07,2.42
64.71,2.39
65.35,2.38
66.01,2.36
66.67,2.36
67.33,2.35
68.01,2.33
68.69,2.30
69.37,2.27
70.07,2.24
70.77,2.23
71.48,2.21
72.19,2.20
72.91,2.17
73.64,2.15
74.38,2.13
75.12,2.11
75.87,2.09
76.63,2.07
77.40,2.05
78.17,2.02
78.95,2.00
79.74,1.98
80.54,1.95
81.35,1.93
82.16,1.92
82.98,1.90
83.81,1.88
84.65,1.86
85.50,1.84
86.35,1.83
87.22,1.80
88.09,1.77
88.97,1.74
89.86,1.73
90.76,1.72
91.66,1.70
92.58,1.67
93.51,1.65
94.44,1.63
95.39,1.61
96.34,1.58
97.30,1.57
98.28,1.55
99.26,1.53
100.25,1.50
101.25,1.48
102.27,1.47
103.29,1.45
104.32,1.41
105.37,1.38
106.42,1.36
107.48,1.35
108.56,1.33
109.64,1.31
110.74,1.29
111.85,1.26
112.97,1.25
114.10,1.23
115.24,1.21
116.39,1.19
117.55,1.18
118.73,1.15
119.92,1.11
121.12,1.10
122.33,1.11
123.55,1.07
124.79,1.06
126.03,1.05
127.29,1.02
128.57,0.98
129.85,0.97
131.15,0.96
132.46,0.95
133.79,0.94
135.12,0.92
136.48,0.90
137.84,0.88
139.22,0.86
140.61,0.83
142.02,0.81
143.44,0.79
144.87,0.78
146.32,0.78
147.78,0.76
149.26,0.73
150.75,0.71
152.26,0.70
153.78,0.68
155.32,0.66
156.88,0.66
158.44,0.64
160.03,0.61
161.63,0.61
163.24,0.60
164.88,0.57
166.53,0.56
168.19,0.55
169.87,0.53
171.57,0.52
173.29,0.51
175.02,0.49
176.77,0.48
178.54,0.46
180.32,0.43
182.13,0.44
183.95,0.43
185.79,0.41
187.65,0.38
189.52,0.37
191.42,0.34
193.33,0.32
195.27,0.31
197.22,0.30
199.19,0.28
201.18,0.26
203.19,0.24
205.23,0.25
207.28,0.24
209.35,0.24
211.44,0.24
213.56,0.24
215.69,0.23
217.85,0.21
220.03,0.20
222.23,0.19
224.45,0.18
226.70,0.18
228.96,0.17
231.25,0.17
233.57,0.17
235.90,0.17
238.26,0.15
240.64,0.13
243.05,0.14
245.48,0.14
247.93,0.14
250.41,0.14
252.92,0.13
255.45,0.12
258.00,0.11
260.58,0.09
263.19,0.09
265.82,0.09
268.48,0.08
271.16,0.07
273.87,0.07
276.61,0.07
279.38,0.07
282.17,0.06
284.99,0.05
287.84,0.04
290.72,0.03
293.63,0.03
296.57,0.03
299.53,0.03
302.53,0.02
305.55,0.02
308.61,0.02
311.69,0.01
314.81,0.02
317.96,0.02
321.14,0.02
324.35,0.01
327.59,0.01
330.87,0.01
334.18,0.00
337.52,0.00
340.90,0.01
344.30,0.01
347.75,0.00
351.23,-0.00
354.74,-0.00
358.28,-0.00
361.87,-0.01
365.49,-0.02
369.14,-0.02
372.83,-0.02
376.56,-0.02
380.33,-0.03
384.13,-0.04
387.97,-0.05
391.85,-0.05
395.77,-0.05
399.73,-0.06
403.72,-0.05
407.76,-0.04
411.84,-0.03
415.96,-0.04
420.12,-0.03
424.32,-0.02
428.56,-0.02
432.85,-0.03
437.18,-0.04
441.55,-0.02
445.96,-0.02
450.42,-0.02
454.93,-0.02
459.48,-0.02
464.07,-0.02
468.71,-0.02
473.40,-0.02
