frequency,raw
20.00,3.62
20.20,3.57
20.40,3.52
20.61,3.47
20.81,3.40
21.02,3.33
21.23,3.26
21.44,3.19
21.66,3.13
21.87,3.08
22.09,3.05
22.31,3.03
22.54,3.02
22.76,3.02
22.99,3.03
23.22,3.02
23.45,3.00
23.69,2.97
23.92,2.92
24.16,2.87
24.40,2.83
24.65,2.79
24.89,2.76
25.14,2.76
25.39,2.76
25.65,2.78
25.91,2.80
26.16,2.81
26.43,2.80
26.69,2.79
26.96,2.77
27.23,2.75
27.50,2.74
27.77,2.74
28.05,2.76
28.33,2.80
28.62,2.84
28.90,2.87
29.19,2.89
29.48,2.89
29.78,2.86
30.08,2.82
30.38,2.76
30.68,2.71
30.99,2.67
31.30,2.66
31.61,2.66
31.93,2.67
32.24,2.69
32.57,2.71
32.89,2.71
33.22,2.70
33.55,2.69
33.89,2.68
34.23,2.68
34.57,2.69
34.92,2.70
35.27,2.70
35.62,2.70
35.97,2.70
36.33,2.68
36.70,2.67
37.06,2.65
37.43,2.62
37.81,2.61
38.19,2.60
38.57,2.60
38.95,2.60
39.34,2.60
39.74,2.59
40.14,2.56
40.54,2.54
40.94,2.52
41.35,2.51
41.76,2.51
42.18,2.50
42.60,2.49
43.03,2.49
43.46,2.49
43.90,2.48
44.33,2.46
44.78,2.45
45.23,2.43
45.68,2.42
46.13,2.41
46.60,2.38
47.06,2.35
47.53,2.33
48.01,2.32
48.49,2.31
48.97,2.30
49.46,2.28
49.96,2.26
50.46,2.24
50.96,2.22
51.47,2.20
51.99,2.19
52.51,2.18
53.03,2.16
53.56,2.13
54.10,2.10
54.64,2.08
55.18,2.07
55.74,2.05
56.29,2.02
56.86,2.00
57.42,1.98
58.00,1.96
58.58,1.93
59.16,1.89
59.76,1.86
60.35,1.83
60.96,1.81
61.57,1.80
62.18,1.79
62.80,1.76
63.43,1.74
64.07,1.72
64.71,1.70
65.35,1.67
66.01,1.64
66.67,1.62
67.33,1.61
68.01,1.58
68.69,1.54
69.37,1.51
70.07,1.50
70.77,1.48
71.48,1.46
72.19,1.43
72.91,1.42
73.64,1.39
74.38,1.36
75.12,1.33
75.87,1.31
76.63,1.29
77.40,1.26
78.17,1.23
78.95,1.21
79.74,1.18
80.54,1.16
81.35,1.13
82.16,1.11
82.98,1.09
83.81,1.07
84.65,1.05
85.50,1.02
86.35,0.99
87.22,0.96
88.09,0.93
88.97,0.90
89.86,0.88
90.76,0.86
91.66,0.83
92.58,0.79
93.51,0.79
94.44,0.77
95.39,0.74
96.34,0.72
97.30,0.69
98.28,0.67
99.26,0.65
100.25,0.62
101.25,0.59
102.27,0.56
103.29,0.54
104.32,0.52
105.37,0.50
106.42,0.47
107.48,0.44
108.56,0.42
109.64,0.39
110.74,0.37
111.85,0.32
112.97,0.31
114.10,0.29
115.24,0.26
116.39,0.24
117.55,0.21
118.73,0.18
119.92,0.14
121.12,0.12
122.33,0.11
123.55,0.08
124.79,0.05
126.03,0.02
127.29,-0.01
128.57,-0.04
129.85,-0.06
131.15,-0.09
132.46,-0.12
133.79,-0.16
135.12,-0.18
136.48,-0.21
137.84,-0.23
139.22,-0.26
140.61,-0.29
142.02,-0.32
143.44,-0.35
144.87,-0.38
146.32,-0.40
147.78,-0.43
149.26,-0.46
150.75,-0.49
152.26,-0.51
153.78,-0.54
155.32,-0.57
156.88,-0.60
158.44,-0.63
160.03,-0.65
161.63,-0.67
163.24,-0.70
164.88,-0.74
166.53,-0.75
168.19,-0.77
169.87,-0.81
171.57,-0.83
173.29,-0.86
175.02,-0.89
176.77,-0.91
178.54,-0.93
180.32,-0.96
182.13,-0.97
183.95,-1.00
185.79,-1.03
187.65,-1.05
189.52,-1.08
191.42,-1.10
193.33,-1.13
195.27,-1.16
197.22,-1.19
199.19,-1.23
201.18,-1.27
203.19,-1.29
205.23,-1.33
207.28,-1.36
209.35,-1.38
211.44,-1.36
213.56,-1.34
215.69,-1.33
217.85,-1.32
220.03,-1.34
222.23,-1.35
224.45,-1.36
226.70,-1.37
228.96,-1.39
231.25,-1.40
233.57,-1.41
235.90,-1.42
238.26,-1.44
240.64,-1.45
243.05,-1.45
245.48,-1.46
247.93,-1.47
250.41,-1.49
252.92,-1.50
255.45,-1.51
258.00,-1.52
260.58,-1.53
263.19,-1.54
265.82,-1.55
268.48,-1.55
271.16,-1.57
273.87,-1.57
276.61,-1.58
279.38,-1.58
282.17,-1.58
284.99,-1.59
287.84,-1.60
