frequency,raw
20.00,9.29
20.20,9.29
20.40,9.29
20.61,9.28
20.81,9.28
21.02,9.27
21.23,9.25
21.44,9.24
21.66,9.22
21.87,9.20
22.09,9.18
22.31,9.16
22.54,9.14
22.76,9.12
22.99,9.10
23.22,9.08
23.45,9.06
23.69,9.04
23.92,9.02
24.16,9.00
24.40,8.98
24.65,8.96
24.89,8.94
25.14,8.92
25.39,8.91
25.65,8.90
25.91,8.88
26.16,8.87
26.43,8.86
26.69,8.84
26.96,8.82
27.23,8.81
27.50,8.79
27.77,8.77
28.05,8.74
28.33,8.72
28.62,8.69
28.90,8.67
29.19,8.64
29.48,8.61
29.78,8.59
30.08,8.57
30.38,8.55
30.68,8.53
30.99,8.50
31.30,8.48
31.61,8.45
31.93,8.42
32.24,8.39
32.57,8.37
32.89,8.34
33.22,8.32
33.55,8.29
33.89,8.26
34.23,8.22
34.57,8.18
34.92,8.14
35.27,8.09
35.62,8.05
35.97,8.02
36.33,7.98
36.70,7.95
37.06,7.92
37.43,7.89
37.81,7.85
38.19,7.81
38.57,7.77
38.95,7.73
39.34,7.69
39.74,7.65
40.14,7.61
40.54,7.57
40.94,7.52
41.35,7.48
41.76,7.45
42.18,7.41
42.60,7.37
43.03,7.33
43.46,7.29
43.90,7.24
44.33,7.20
44.78,7.16
45.23,7.12
45.68,7.07
46.13,7.03
46.60,6.99
47.06,6.94
47.53,6.90
48.01,6.86
48.49,6.82
48.97,6.77
49.46,6.72
49.96,6.67
50.46,6.64
50.96,6.60
51.47,6.55
51.99,6.48
52.51,6.43
53.03,6.39
53.56,6.36
54.10,6.32
54.64,6.27
55.18,6.21
55.74,6.16
56.29,6.12
56.86,6.07
57.42,6.01
58.00,5.95
58.58,5.90
59.16,5.86
59.76,5.81
60.35,5.76
60.96,5.71
61.57,5.66
62.18,5.60
62.80,5.55
63.43,5.49
64.07,5.44
64.71,5.39
65.35,5.33
66.01,5.27
66.67,5.22
67.33,5.16
68.01,5.10
68.69,5.05
69.37,5.00
70.07,4.94
70.77,4.89
71.48,4.84
72.19,4.79
72.91,4.73
73.64,4.66
74.38,4.60
75.12,4.55
75.87,4.49
76.63,4.43
77.40,4.38
78.17,4.32
78.95,4.26
79.74,4.20
80.54,4.15
81.35,4.10
82.16,4.03
82.98,3.97
83.81,3.91
84.65,3.85
85.50,3.79
86.35,3.73
87.22,3.67
88.09,3.61
88.97,3.54
89.86,3.48
90.76,3.42
91.66,3.36
92.58,3.30
93.51,3.24
94.44,3.18
95.39,3.12
96.34,3.06
97.30,2.99
98.28,2.93
99.26,2.88
100.25,2.82
101.25,2.75
102.27,2.69
103.29,2.63
104.32,2.58
105.37,2.52
106.42,2.46
107.48,2.40
108.56,2.35
109.64,2.29
110.74,2.22
111.85,2.16
112.97,2.10
114.10,2.04
115.24,1.98
116.39,1.92
117.55,1.86
118.73,1.81
119.92,1.74
121.12,1.68
122.33,1.62
123.55,1.57
124.79,1.51
126.03,1.45
127.29,1.39
128.57,1.33
129.85,1.28
131.15,1.22
132.46,1.16
133.79,1.11
135.12,1.06
136.48,1.00
137.84,0.95
139.22,0.90
140.61,0.85
142.02,0.80
143.44,0.74
144.87,0.68
