frequency,raw
20.00,8.08
20.20,8.11
20.40,8.14
20.61,8.16
20.81,8.19
21.02,8.21
21.23,8.24
21.44,8.26
21.66,8.29
21.87,8.31
22.09,8.34
22.31,8.37
22.54,8.40
22.76,8.42
22.99,8.45
23.22,8.47
23.45,8.50
23.69,8.52
23.92,8.54
24.16,8.56
24.40,8.58
24.65,8.60
24.89,8.62
25.14,8.63
25.39,8.65
25.65,8.67
25.91,8.68
26.16,8.70
26.43,8.71
26.69,8.73
26.96,8.75
27.23,8.76
27.50,8.78
27.77,8.79
28.05,8.81
28.33,8.82
28.62,8.84
28.90,8.85
29.19,8.87
29.48,8.88
29.78,8.89
30.08,8.90
30.38,8.91
30.68,8.92
30.99,8.94
31.30,8.95
31.61,8.96
31.93,8.97
32.24,8.98
32.57,8.99
32.89,9.00
33.22,9.01
33.55,9.02
33.89,9.03
34.23,9.03
34.57,9.04
34.92,9.05
35.27,9.06
35.62,9.07
35.97,9.07
36.33,9.08
36.70,9.08
37.06,9.09
37.43,9.09
37.81,9.10
38.19,9.11
38.57,9.11
38.95,9.12
39.34,9.12
39.74,9.12
40.14,9.13
40.54,9.13
40.94,9.13
41.35,9.13
41.76,9.13
42.18,9.13
42.60,9.14
43.03,9.14
43.46,9.14
43.90,9.14
44.33,9.14
44.78,9.14
45.23,9.14
45.68,9.14
46.13,9.15
46.60,9.15
47.06,9.15
47.53,9.15
48.01,9.15
48.49,9.14
48.97,9.14
49.46,9.13
49.96,9.13
50.46,9.13
50.96,9.13
51.47,9.12
51.99,9.11
52.51,9.11
53.03,9.10
53.56,9.10
54.10,9.10
54.64,9.09
55.18,9.09
55.74,9.08
56.29,9.07
56.86,9.06
57.42,9.06
58.00,9.06
58.58,9.06
59.16,9.05
59.76,9.02
60.35,9.01
60.96,9.00
61.57,9.01
62.18,9.00
62.80,8.99
63.43,8.97
64.07,8.96
64.71,8.95
65.35,8.94
66.01,8.93
66.67,8.92
67.33,8.91
68.01,8.90
68.69,8.89
69.37,8.88
70.07,8.86
70.77,8.85
71.48,8.84
72.19,8.82
72.91,8.81
73.64,8.80
74.38,8.78
75.12,8.77
75.87,8.75
76.63,8.73
77.40,8.71
78.17,8.70
78.95,8.69
79.74,8.67
80.54,8.65
81.35,8.63
82.16,8.61
82.98,8.60
83.81,8.58
84.65,8.56
85.50,8.54
86.35,8.53
87.22,8.51
88.09,8.49
88.97,8.46
89.86,8.44
90.76,8.42
91.66,8.40
92.58,8.38
93.51,8.36
94.44,8.33
95.39,8.30
96.34,8.28
97.30,8.26
98.28,8.23
99.26,8.21
100.25,8.18
101.25,8.16
102.27,8.14
103.29,8.11
104.32,8.09
105.37,8.06
106.42,8.03
107.48,8.00
108.56,7.97
109.64,7.95
110.74,7.92
111.85,7.89
112.97,7.86
114.10,7.83
115.24,7.79
116.39,7.76
117.55,7.73
118.73,7.69
119.92,7.65
121.12,7.62
122.33,7.59
123.55,7.56
124.79,7.52
126.03,7.49
127.29,7.45
128.57,7.41
129.85,7.38
131.15,7.34
132.46,7.30
133.79,7.26
135.12,7.22
136.48,7.18
137.84,7.14
139.22,7.12
140.61,7.08
142.02,7.04
143.44,6.99
144.87,6.97
146.32,6.93
147.78,6.89
149.26,6.87
150.75,6.83
152.26,6.79
153.78,6.75
155.32,6.72
156.88,6.69
158.44,6.63
160.03,6.57
161.63,6.54
163.24,6.50
164.88,6.46
166.53,6.40
168.19,6.34
169.87,6.31
171.57,6.27
173.29,6.23
175.02,6.18
176.77,6.15
178.54,6.03
180.32,5.90
182.13,6.01
183.95,5.98
185.79,5.93
187.65,5.90
189.52,5.87
191.42,5.84
193.33,5.82
195.27,5.81
197.22,5.78
199.19,5.75
201.18,5.72
203.19,5.69
205.23,5.64
207.28,5.59
209.35,5.54
211.44,5.50
213.56,5.45
215.69,5.40
217.85,5.35
220.03,5.30
222.23,5.25
224.45,5.21
226.70,5.15
228.96,5.10
231.25,5.05
233.57,5.00
235.90,4.95
238.26,4.91
240.64,4.87
243.05,4.81
245.48,4.76
247.93,4.71
250.41,4.65
252.92,4.61
255.45,4.56
258.00,4.51
260.58,4.46
263.19,4.40
265.82,4.35
268.48,4.30
271.16,4.24
273.87,4.19
276.61,4.14
279.38,4.08
282.17,4.03
284.99,3.98
287.84,3.92
290.72,3.87
293.63,3.81
296.57,3.76
299.53,3.71
302.53,3.66
305.55,3.62
308.61,3.57
311.69,3.52
314.81,3.48
317.96,3.43
321.14,3.39
324.35,3.34
327.59,3.29
330.87,3.24
334.18,3.19
337.52,3.14
340.90,3.08
344.30,3.04
347.75,2.98
351.23,2.93
354.74,2.88
358.28,2.82
361.87,2.77
365.49,2.72
369.14,2.67
372.83,2.61
376.56,2.56
380.33,2.51
384.13,2.45
387.97,2.40
391.85,2.35
395.77,2.30
399.73,2.24
403.72,2.19
407.76,2.14
411.84,2.09
415.96,2.04
420.12,1.99
424.32,1.94
428.56,1.89
432.85,1.84
437.18,1.79
441.55,1.74
445.96,1.69
450.42,1.64
454.93,1.59
459.48,1.54
464.07,1.49
468.71,1.44
473.40,1.39
478.13,1.34
482.91,1.30
487.74,1.25
492.62,1.20
497.55,1.16
502.52,1.11
507.55,1.06
512.62,1.02
517.75,0.97
522.93,0.92
528.16,0.88
533.44,0.83
538.77,0.79
544.16,0.74
549.60,0.70
555.10,0.66
560.65,0.61
566.25,0.57
571.92,0.53
577.64,0.49
583.41,0.45
589.25,0.40
595.14,0.36
601.09,0.32
607.10,0.28
613.17,0.24
619.30,0.20
625.50,0.16
631.75,0.12
638.07,0.09
644.45,0.05
650.89,0.02
657.40,-0.02
663.98,-0.05
670.62,-0.09
677.32,-0.12
684.10,-0.15
690.94,-0.19
697.85,-0.22
704.83,-0.25
711.87,-0.28
718.99,-0.30
726.18,-0.33
733.44,-0.35
740.78,-0.38
748.19,-0.41
755.67,-0.43
763.23,-0.44
770.86,-0.46
778.57,-0.47
786.35,-0.48
794.22,-0.49
802.16,-0.50
810.18,-0.50
818.28,-0.50
826.46,-0.50
834.73,-0.50
843.08,-0.50
851.51,-0.49
860.02,-0.48
868.62,-0.48
877.31,-0.47
886.08,-0.45
894.94,-0.43
903.89,-0.41
912.93,-0.39
922.06,-0.36
931.28,-0.33
940.59,-0.29
950.00,-0.26
959.50,-0.21
969.09,-0.17
978.78,-0.12
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.34
1059.88,0.42
1070.48,0.50
1081.19,0.59
1092.00,0.68
1102.92,0.77
1113.95,0.86
1125.09,0.96
1136.34,1.05
1147.70,1.15
1159.18,1.25
1170.77,1.35
1182.48,1.45
1194.30,1.54
1206.25,1.64
1218.31,1.73
