frequency,raw
20.00,6.79
20.20,6.82
20.40,6.85
20.61,6.88
20.81,6.90
21.02,6.93
21.23,6.95
21.44,6.98
21.66,7.01
21.87,7.03
22.09,7.06
22.31,7.08
22.54,7.11
22.76,7.14
22.99,7.16
23.22,7.19
23.45,7.21
23.69,7.24
23.92,7.26
24.16,7.29
24.40,7.31
24.65,7.33
24.89,7.34
25.14,7.36
25.39,7.38
25.65,7.41
25.91,7.43
26.16,7.45
26.43,7.48
26.69,7.50
26.96,7.51
27.23,7.53
27.50,7.55
27.77,7.56
28.05,7.57
28.33,7.59
28.62,7.61
28.90,7.62
29.19,7.64
29.48,7.66
29.78,7.67
30.08,7.68
30.38,7.70
30.68,7.71
30.99,7.72
31.30,7.73
31.61,7.74
31.93,7.75
32.24,7.77
32.57,7.78
32.89,7.79
33.22,7.81
33.55,7.82
33.89,7.83
34.23,7.84
34.57,7.84
34.92,7.85
35.27,7.86
35.62,7.87
35.97,7.88
36.33,7.90
36.70,7.91
37.06,7.92
37.43,7.93
37.81,7.93
38.19,7.94
38.57,7.94
38.95,7.95
39.34,7.96
39.74,7.96
40.14,7.97
40.54,7.97
40.94,7.98
41.35,7.99
41.76,7.99
42.18,8.00
42.60,8.01
43.03,8.01
43.46,8.01
43.90,8.02
44.33,8.02
44.78,8.02
45.23,8.02
45.68,8.03
46.13,8.03
46.60,8.03
47.06,8.03
47.53,8.03
48.01,8.04
48.49,8.04
48.97,8.04
49.46,8.04
49.96,8.03
50.46,8.04
50.96,8.04
51.47,8.04
51.99,8.03
52.51,8.03
53.03,8.03
53.56,8.03
54.10,8.03
54.64,8.03
55.18,8.02
55.74,8.03
56.29,8.02
56.86,8.02
57.42,8.01
58.00,8.01
58.58,8.00
59.16,8.00
59.76,8.00
60.35,7.99
60.96,7.99
61.57,7.99
62.18,7.98
62.80,7.97
63.43,7.96
64.07,7.96
64.71,7.96
65.35,7.95
66.01,7.94
66.67,7.93
67.33,7.93
68.01,7.93
68.69,7.92
69.37,7.91
70.07,7.89
70.77,7.89
71.48,7.88
72.19,7.87
72.91,7.86
73.64,7.85
74.38,7.84
75.12,7.83
75.87,7.82
76.63,7.81
77.40,7.80
78.17,7.79
78.95,7.77
79.74,7.77
80.54,7.76
81.35,7.75
82.16,7.73
82.98,7.71
83.81,7.70
84.65,7.69
85.50,7.68
86.35,7.67
87.22,7.65
88.09,7.64
88.97,7.62
89.86,7.60
90.76,7.59
91.66,7.57
92.58,7.55
93.51,7.54
94.44,7.52
95.39,7.50
96.34,7.48
97.30,7.48
98.28,7.46
99.26,7.44
100.25,7.42
101.25,7.39
102.27,7.37
103.29,7.35
104.32,7.33
105.37,7.31
106.42,7.28
107.48,7.27
108.56,7.24
109.64,7.22
110.74,7.20
111.85,7.18
112.97,7.15
114.10,7.12
115.24,7.10
116.39,7.08
117.55,7.05
118.73,7.03
119.92,7.01
121.12,6.98
122.33,6.94
123.55,6.91
124.79,6.88
126.03,6.85
127.29,6.83
128.57,6.80
129.85,6.77
131.15,6.73
132.46,6.69
133.79,6.66
135.12,6.63
136.48,6.60
137.84,6.56
139.22,6.52
140.61,6.49
142.02,6.45
143.44,6.41
144.87,6.38
146.32,6.37
147.78,6.36
149.26,6.34
150.75,6.32
152.26,6.29
153.78,6.27
155.32,6.24
156.88,6.21
158.44,6.17
160.03,6.12
161.63,6.10
163.24,6.07
164.88,6.02
166.53,5.98
168.19,5.94
169.87,5.91
171.57,5.86
173.29,5.82
175.02,5.80
176.77,5.79
178.54,5.70
180.32,5.60
182.13,5.68
183.95,5.67
185.79,5.64
187.65,5.61
189.52,5.57
191.42,5.54
193.33,5.51
195.27,5.47
197.22,5.43
199.19,5.39
201.18,5.35
203.19,5.31
205.23,5.27
207.28,5.23
209.35,5.20
211.44,5.16
213.56,5.13
215.69,5.09
217.85,5.05
220.03,5.02
222.23,4.98
224.45,4.93
226.70,4.89
228.96,4.85
231.25,4.81
233.57,4.76
235.90,4.71
238.26,4.66
240.64,4.61
243.05,4.58
245.48,4.53
247.93,4.48
250.41,4.43
252.92,4.39
255.45,4.34
258.00,4.29
260.58,4.24
263.19,4.20
265.82,4.15
268.48,4.11
271.16,4.06
273.87,4.01
276.61,3.95
279.38,3.91
282.17,3.87
284.99,3.82
287.84,3.77
290.72,3.72
293.63,3.68
296.57,3.63
299.53,3.58
302.53,3.53
305.55,3.49
308.61,3.44
311.69,3.39
314.81,3.34
317.96,3.30
321.14,3.25
324.35,3.21
327.59,3.16
330.87,3.11
334.18,3.07
337.52,3.02
340.90,2.98
344.30,2.93
347.75,2.88
351.23,2.83
354.74,2.78
358.28,2.73
361.87,2.68
365.49,2.63
369.14,2.58
372.83,2.53
376.56,2.48
380.33,2.44
384.13,2.39
387.97,2.34
391.85,2.29
395.77,2.24
399.73,2.19
403.72,2.14
407.76,2.09
411.84,2.04
415.96,1.99
420.12,1.95
424.32,1.90
428.56,1.85
432.85,1.80
437.18,1.75
441.55,1.70
445.96,1.66
450.42,1.61
454.93,1.56
459.48,1.51
464.07,1.47
468.71,1.42
473.40,1.37
478.13,1.32
482.91,1.28
487.74,1.23
492.62,1.19
497.55,1.14
502.52,1.09
507.55,1.05
512.62,1.00
517.75,0.96
522.93,0.91
528.16,0.87
533.44,0.83
538.77,0.78
544.16,0.74
549.60,0.69
555.10,0.65
560.65,0.61
566.25,0.57
571.92,0.52
577.64,0.48
583.41,0.44
589.25,0.40
595.14,0.36
601.09,0.32
607.10,0.28
613.17,0.25
619.30,0.21
625.50,0.17
631.75,0.13
638.07,0.09
644.45,0.06
650.89,0.02
657.40,-0.01
663.98,-0.05
670.62,-0.08
677.32,-0.11
684.10,-0.14
690.94,-0.17
697.85,-0.21
704.83,-0.24
711.87,-0.27
718.99,-0.29
726.18,-0.32
733.44,-0.35
740.78,-0.37
748.19,-0.39
755.67,-0.41
763.23,-0.43
770.86,-0.45
778.57,-0.46
786.35,-0.48
794.22,-0.49
802.16,-0.50
810.18,-0.51
818.28,-0.51
826.46,-0.51
834.73,-0.51
843.08,-0.50
851.51,-0.50
860.02,-0.49
868.62,-0.48
877.31,-0.47
886.08,-0.45
894.94,-0.43
903.89,-0.41
912.93,-0.38
922.06,-0.36
931.28,-0.33
940.59,-0.29
950.00,-0.26
959.50,-0.22
969.09,-0.17
978.78,-0.12
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.34
1059.88,0.42
1070.48,0.50
1081.19,0.59
1092.00,0.67
1102.92,0.77
1113.95,0.86
1125.09,0.96
1136.34,1.05
1147.70,1.15
1159.18,1.25
1170.77,1.35
1182.48,1.45
1194.30,1.55
1206.25,1.64
1218.31,1.74
1230.49,1.84
1242.80,1.94
1255.22,2.03
1267.78,2.12
1280.45,2.21
1293.26,2.30
1306.19,2.39
1319.25,2.47
1332.45,2.56
1345.77,2.64
1359.23,2.72
1372.82,2.80
1386.55,2.88
1400.41,2.95
1414.42,3.02
1428.56,3.09
1442.85,3.16
1457.28,3.23
1471.85,3.30
1486.57,3.37
1501.43,3.43
1516.45,3.50
1531.61,3.57
1546.93,3.63
1562.40,3.70
1578.02,3.76
1593.80,3.83
1609.74,3.89
1625.84,3.96
1642.10,4.03
1658.52,4.10
1675.10,4.17
1691.85,4.24
1708.77,4.31
1725.86,4.39
1743.12,4.46
1760.55,4.54
1778.15,4.62
1795.94,4.70
1813.90,4.78
1832.03,4.87
1850.36,4.95
1868.86,5.04
1887.55,5.13
1906.42,5.22
1925.49,5.32
1944.74,5.42
1964.19,5.52
1983.83,5.62
2003.67,5.72
2023.71,5.83
2043.94,5.94
2064.38,6.05
2085.03,6.16
2105.88,6.27
2126.94,6.39
2148.20,6.51
2169.69,6.63
2191.38,6.76
2213.30,6.89
2235.43,7.01
2257.78,7.14
2280.36,7.27
2303.17,7.40
2326.20,7.53
2349.46,7.66
2372.95,7.78
2396.68,7.91
2420.65,8.04
2444.86,8.16
2469.31,8.28
2494.00,8.41
2518.94,8.52
2544.13,8.64
2569.57,8.76
2595.27,8.87
2621.22,8.97
2647.43,9.07
2673.90,9.17
2700.64,9.26
2727.65,9.35
2754.93,9.43
2782.48,9.51
2810.30,9.58
2838.40,9.65
2866.79,9.71
2895.46,9.76
2924.41,9.81
2953.65,9.86
2983.19,9.90
3013.02,9.93
3043.15,9.97
3073.58,10.00
3104.32,10.02
3135.36,10.04
3166.72,10.06
3198.38,10.08
3230.37,10.10
3262.67,10.12
3295.30,10.14
3328.25,10.16
3361.53,10.18
3395.15,10.20
3429.10,10.21
3463.39,10.23
3498.03,10.24
3533.01,10.26
3568.34,10.27
3604.02,10.28
3640.06,10.29
3676.46,10.31
3713.22,10.33
3750.36,10.35
3787.86,10.38
3825.74,10.41
3864.00,10.45
3902.64,10.50
3941.66,10.54
3981.08,10.59
4020.89,10.64
4061.10,10.69
4101.71,10.75
4142.73,10.81
4184.15,10.87
4226.00,10.94
4268.26,11.02
4310.94,11.10
4354.05,11.19
4397.59,11.26
4441.56,11.32
4485.98,11.39
4530.84,11.53
4576.15,11.69
4621.91,11.85
4668.13,11.99
4714.81,12.14
4761.96,12.29
4809.58,12.44
4857.67,12.59
4906.25,12.74
4955.31,12.89
5004.87,13.03
5054.91,13.16
5105.46,13.27
5156.52,13.38
5208.08,13.46
5260.16,13.52
5312.77,13.56
5365.89,13.59
5419.55,13.63
5473.75,13.68
5528.49,13.71
5583.77,13.70
5639.61,13.65
5696.00,13.57
5752.96,13.43
5810.49,13.28
5868.60,13.09
5927.28,12.89
5986.56,12.67
6046.42,12.44
6106.89,12.21
6167.96,11.98
6229.64,11.75
6291.93,11.53
6354.85,11.32
6418.40,11.12
6482.58,10.94
6547.41,10.78
6612.88,10.62
6679.01,10.49
6745.80,10.38
6813.26,10.28
6881.39,10.19
6950.21,10.17
7019.71,10.20
7089.91,10.31
7160.81,10.42
7232.41,10.56
7304.74,10.74
7377.79,10.99
7451.56,11.29
7526.08,11.63
7601.34,12.02
7677.35,12.44
7754.13,12.88
7831.67,13.28
7909.98,13.63
7989.08,13.87
8068.98,13.84
8149.67,13.63
8231.16,13.17
8313.47,12.48
8396.61,11.69
8480.57,10.78
8565.38,9.84
8651.03,8.88
8737.54,7.92
8824.92,6.98
8913.17,6.09
9002.30,5.21
9092.32,4.41
9183.25,3.64
9275.08,2.91
9367.83,2.23
9461.51,1.59
9556.12,1.00
9651.68,0.44
9748.20,-0.09
9845.68,-0.58
9944.14,-1.03
10043.58,-1.45
10144.02,-1.85
10245.46,-2.20
10347.91,-2.52
10451.39,-2.83
10555.91,-3.10
10661.46,-3.36
10768.08,-3.59
10875.76,-3.77
10984.52,-3.92
11094.36,-4.05
11205.31,-4.13
11317.36,-4.17
11430.53,-4.21
11544.84,-4.21
11660.29,-4.17
11776.89,-4.05
11894.66,-3.88
12013.60,-3.71
12133.74,-3.50
12255.08,-3.22
12377.63,-2.88
12501.41,-2.50
12626.42,-2.02
12752.68,-1.46
12880.21,-0.76
13009.01,0.01
13139.10,0.77
13270.49,1.76
13403.20,2.81
13537.23,4.00
13672.60,5.16
13809.33,6.28
13947.42,7.02
14086.90,7.21
14227.77,7.07
14370.04,6.66
14513.74,5.95
14658.88,5.20
14805.47,4.51
14953.52,3.95
15103.06,3.55
15254.09,3.22
15406.63,3.14
15560.70,3.14
15716.30,3.26
15873.47,3.48
16032.20,3.70
16192.52,3.83
16354.45,3.68
16517.99,3.32
16683.17,2.49
16850.01,1.48
17018.51,0.33
17188.69,-0.90
17360.58,-2.19
17534.18,-3.62
17709.53,-5.55
17886.62,-6.89
18065.49,-8.03
18246.14,-9.13
18428.60,-10.97
18612.89,-11.64
18799.02,-11.50
18987.01,-11.22
19176.88,-11.62
19368.65,-12.52
19562.33,-13.98
19757.96,-16.01
19955.54,-18.05
