frequency,raw
20.00,10.18
20.20,10.17
20.40,10.16
20.61,10.16
20.81,10.15
21.02,10.15
21.23,10.14
21.44,10.13
21.66,10.12
21.87,10.11
22.09,10.09
22.31,10.08
22.54,10.07
22.76,10.05
22.99,10.04
23.22,10.03
23.45,10.01
23.69,10.00
23.92,9.99
24.16,9.97
24.40,9.96
24.65,9.94
24.89,9.93
25.14,9.91
25.39,9.90
25.65,9.88
25.91,9.87
26.16,9.85
26.43,9.84
26.69,9.82
26.96,9.81
27.23,9.79
27.50,9.77
27.77,9.75
28.05,9.73
28.33,9.71
28.62,9.69
28.90,9.67
29.19,9.65
29.48,9.63
29.78,9.61
30.08,9.59
30.38,9.57
30.68,9.55
30.99,9.53
31.30,9.50
31.61,9.48
31.93,9.46
32.24,9.44
32.57,9.41
32.89,9.39
33.22,9.36
33.55,9.34
33.89,9.31
34.23,9.29
34.57,9.26
34.92,9.24
35.27,9.21
35.62,9.18
35.97,9.16
36.33,9.13
36.70,9.10
37.06,9.08
37.43,9.05
37.81,9.02
38.19,8.99
38.57,8.96
38.95,8.93
39.34,8.90
39.74,8.87
40.14,8.85
40.54,8.81
40.94,8.78
41.35,8.75
41.76,8.72
42.18,8.69
42.60,8.66
43.03,8.62
43.46,8.59
43.90,8.55
44.33,8.52
44.78,8.48
45.23,8.45
45.68,8.42
46.13,8.39
46.60,8.36
47.06,8.32
47.53,8.28
48.01,8.24
48.49,8.20
48.97,8.17
49.46,8.14
49.96,8.11
50.46,8.06
50.96,8.02
51.47,7.98
51.99,7.95
52.51,7.91
53.03,7.86
53.56,7.82
54.10,7.79
54.64,7.76
55.18,7.72
55.74,7.68
56.29,7.64
56.86,7.60
57.42,7.56
58.00,7.51
58.58,7.47
59.16,7.43
59.76,7.39
60.35,7.35
60.96,7.31
61.57,7.26
62.18,7.22
62.80,7.18
63.43,7.14
64.07,7.09
64.71,7.05
65.35,7.00
66.01,6.96
66.67,6.92
67.33,6.87
68.01,6.83
68.69,6.78
69.37,6.74
70.07,6.69
70.77,6.65
71.48,6.60
72.19,6.56
72.91,6.51
73.64,6.46
74.38,6.42
75.12,6.37
75.87,6.33
76.63,6.28
77.40,6.23
78.17,6.19
78.95,6.14
79.74,6.09
80.54,6.04
81.35,5.99
82.16,5.95
82.98,5.90
83.81,5.85
84.65,5.80
85.50,5.75
86.35,5.70
87.22,5.66
88.09,5.61
88.97,5.56
89.86,5.51
90.76,5.46
91.66,5.41
92.58,5.36
93.51,5.32
94.44,5.27
95.39,5.22
96.34,5.17
97.30,5.12
98.28,5.07
99.26,5.02
100.25,4.97
101.25,4.92
102.27,4.87
103.29,4.82
104.32,4.77
105.37,4.72
106.42,4.67
107.48,4.62
108.56,4.57
109.64,4.52
110.74,4.47
111.85,4.42
112.97,4.37
114.10,4.32
115.24,4.27
116.39,4.22
117.55,4.17
118.73,4.12
119.92,4.07
121.12,4.02
122.33,3.97
123.55,3.92
124.79,3.87
126.03,3.82
127.29,3.77
128.57,3.72
129.85,3.67
131.15,3.62
132.46,3.57
133.79,3.52
135.12,3.48
136.48,3.43
137.84,3.38
139.22,3.33
140.61,3.28
142.02,3.23
143.44,3.18
144.87,3.13
146.32,3.08
147.78,3.03
149.26,2.98
150.75,2.93
152.26,2.88
153.78,2.83
155.32,2.78
156.88,2.73
158.44,2.68
160.03,2.63
161.63,2.58
163.24,2.52
164.88,2.47
166.53,2.42
168.19,2.37
169.87,2.31
171.57,2.27
173.29,2.22
175.02,2.17
176.77,2.14
178.54,2.12
180.32,2.10
182.13,2.08
183.95,2.06
185.79,2.03
187.65,2.00
189.52,1.97
191.42,1.94
193.33,1.91
195.27,1.87
197.22,1.83
199.19,1.79
201.18,1.75
203.19,1.71
205.23,1.67
207.28,1.63
209.35,1.59
211.44,1.55
213.56,1.50
215.69,1.46
217.85,1.42
220.03,1.38
222.23,1.34
224.45,1.31
226.70,1.27
228.96,1.23
231.25,1.19
233.57,1.15
235.90,1.12
238.26,1.08
240.64,1.05
243.05,1.01
245.48,0.97
247.93,0.94
250.41,0.90
252.92,0.87
255.45,0.83
258.00,0.80
260.58,0.76
263.19,0.73
265.82,0.69
268.48,0.66
271.16,0.62
273.87,0.59
276.61,0.56
279.38,0.52
282.17,0.49
284.99,0.46
287.84,0.44
290.72,0.41
293.63,0.38
296.57,0.36
299.53,0.34
302.53,0.31
305.55,0.28
308.61,0.26
311.69,0.23
314.81,0.20
317.96,0.17
321.14,0.14
324.35,0.11
327.59,0.09
330.87,0.06
334.18,0.03
337.52,0.00
340.90,-0.02
344.30,-0.05
347.75,-0.07
351.23,-0.10
354.74,-0.12
358.28,-0.14
361.87,-0.16
365.49,-0.18
369.14,-0.20
372.83,-0.21
376.56,-0.23
380.33,-0.25
384.13,-0.27
387.97,-0.29
391.85,-0.31
395.77,-0.33
399.73,-0.35
403.72,-0.37
407.76,-0.40
411.84,-0.41
415.96,-0.44
420.12,-0.46
424.32,-0.48
428.56,-0.50
432.85,-0.52
437.18,-0.54
441.55,-0.56
445.96,-0.57
450.42,-0.59
454.93,-0.61
459.48,-0.63
464.07,-0.65
468.71,-0.66
473.40,-0.68
478.13,-0.70
482.91,-0.71
487.74,-0.73
492.62,-0.74
497.55,-0.76
502.52,-0.77
507.55,-0.79
512.62,-0.80
517.75,-0.82
