frequency,raw
20.00,10.86
20.20,10.85
20.40,10.84
20.61,10.83
20.81,10.82
21.02,10.81
21.23,10.80
21.44,10.80
21.66,10.79
21.87,10.78
22.09,10.77
22.31,10.76
22.54,10.75
22.76,10.74
22.99,10.73
23.22,10.72
23.45,10.71
23.69,10.69
23.92,10.68
24.16,10.67
24.40,10.65
24.65,10.64
24.89,10.62
25.14,10.61
25.39,10.60
25.65,10.58
25.91,10.57
26.16,10.55
26.43,10.53
26.69,10.52
26.96,10.50
27.23,10.48
27.50,10.47
27.77,10.45
28.05,10.44
28.33,10.42
28.62,10.40
28.90,10.38
29.19,10.36
29.48,10.33
29.78,10.31
30.08,10.29
30.38,10.27
30.68,10.25
30.99,10.23
31.30,10.20
31.61,10.18
31.93,10.16
32.24,10.13
32.57,10.11
32.89,10.09
33.22,10.06
33.55,10.03
33.89,10.01
34.23,9.98
34.57,9.95
34.92,9.93
35.27,9.90
35.62,9.88
35.97,9.85
36.33,9.82
36.70,9.79
37.06,9.76
37.43,9.73
37.81,9.70
38.19,9.67
38.57,9.64
38.95,9.60
39.34,9.57
39.74,9.54
40.14,9.51
40.54,9.48
40.94,9.45
41.35,9.42
41.76,9.38
42.18,9.34
42.60,9.30
43.03,9.27
43.46,9.24
43.90,9.21
44.33,9.17
44.78,9.12
45.23,9.08
45.68,9.04
46.13,9.01
46.60,8.97
47.06,8.93
47.53,8.89
48.01,8.85
48.49,8.82
48.97,8.78
49.46,8.74
49.96,8.70
50.46,8.66
50.96,8.62
51.47,8.58
51.99,8.54
52.51,8.50
53.03,8.45
53.56,8.41
54.10,8.37
54.64,8.33
55.18,8.29
55.74,8.24
56.29,8.19
56.86,8.15
57.42,8.10
58.00,8.06
58.58,8.02
59.16,7.98
59.76,7.93
60.35,7.88
60.96,7.84
61.57,7.79
62.18,7.74
62.80,7.70
63.43,7.65
64.07,7.60
64.71,7.55
65.35,7.51
66.01,7.46
66.67,7.41
67.33,7.36
68.01,7.31
68.69,7.26
69.37,7.22
70.07,7.17
70.77,7.12
71.48,7.07
72.19,7.02
72.91,6.97
73.64,6.92
74.38,6.87
75.12,6.82
75.87,6.77
76.63,6.72
77.40,6.67
78.17,6.62
78.95,6.57
79.74,6.52
80.54,6.47
81.35,6.41
82.16,6.36
82.98,6.31
83.81,6.26
84.65,6.21
85.50,6.16
86.35,6.11
87.22,6.06
88.09,6.00
88.97,5.95
89.86,5.90
90.76,5.85
91.66,5.80
92.58,5.75
93.51,5.69
94.44,5.64
95.39,5.59
96.34,5.54
97.30,5.49
98.28,5.44
99.26,5.38
100.25,5.33
101.25,5.28
102.27,5.23
103.29,5.18
104.32,5.13
105.37,5.07
106.42,5.02
107.48,4.97
108.56,4.92
109.64,4.87
110.74,4.82
111.85,4.77
112.97,4.72
114.10,4.66
115.24,4.61
116.39,4.56
117.55,4.51
118.73,4.46
119.92,4.40
121.12,4.36
122.33,4.31
123.55,4.26
124.79,4.21
126.03,4.16
127.29,4.11
128.57,4.06
129.85,4.01
131.15,3.97
132.46,3.92
133.79,3.87
135.12,3.83
136.48,3.78
137.84,3.73
139.22,3.68
140.61,3.63
142.02,3.58
143.44,3.54
144.87,3.49
146.32,3.44
147.78,3.39
149.26,3.35
150.75,3.30
152.26,3.25
153.78,3.20
155.32,3.16
156.88,3.11
158.44,3.07
160.03,3.02
161.63,2.98
163.24,2.93
164.88,2.89
166.53,2.84
168.19,2.80
169.87,2.76
171.57,2.73
173.29,2.69
175.02,2.66
176.77,2.63
178.54,2.60
180.32,2.57
182.13,2.54
183.95,2.51
185.79,2.49
187.65,2.46
189.52,2.43
191.42,2.40
193.33,2.36
195.27,2.33
197.22,2.29
199.19,2.25
201.18,2.22
203.19,2.18
205.23,2.14
207.28,2.11
209.35,2.07
211.44,2.04
213.56,2.01
215.69,1.97
217.85,1.94
220.03,1.91
222.23,1.87
224.45,1.84
226.70,1.80
228.96,1.77
231.25,1.73
233.57,1.70
235.90,1.67
238.26,1.63
240.64,1.60
243.05,1.57
245.48,1.54
247.93,1.51
250.41,1.47
252.92,1.44
255.45,1.41
258.00,1.38
260.58,1.35
263.19,1.32
265.82,1.29
268.48,1.27
271.16,1.24
273.87,1.21
276.61,1.18
279.38,1.15
282.17,1.12
284.99,1.09
287.84,1.06
290.72,1.03
293.63,1.01
296.57,0.98
299.53,0.96
302.53,0.93
305.55,0.91
308.61,0.89
311.69,0.86
314.81,0.84
317.96,0.81
321.14,0.79
324.35,0.76
327.59,0.73
330.87,0.71
334.18,0.68
337.52,0.66
340.90,0.64
344.30,0.61
347.75,0.59
351.23,0.56
354.74,0.54
358.28,0.52
361.87,0.49
365.49,0.47
369.14,0.45
372.83,0.42
376.56,0.40
380.33,0.38
384.13,0.36
387.97,0.34
391.85,0.32
395.77,0.30
399.73,0.28
403.72,0.26
407.76,0.24
411.84,0.22
415.96,0.20
420.12,0.17
424.32,0.15
428.56,0.13
432.85,0.11
437.18,0.09
441.55,0.08
445.96,0.06
450.42,0.04
454.93,0.02
459.48,0.01
464.07,-0.01
468.71,-0.02
473.40,-0.04
478.13,-0.05
482.91,-0.06
487.74,-0.08
492.62,-0.10
497.55,-0.12
502.52,-0.13
507.55,-0.15
512.62,-0.17
517.75,-0.19
522.93,-0.21
528.16,-0.23
533.44,-0.25
538.77,-0.27
544.16,-0.28
549.60,-0.30
555.10,-0.32
560.65,-0.34
566.25,-0.35
571.92,-0.37
577.64,-0.39
583.41,-0.40
589.25,-0.42
595.14,-0.43
601.09,-0.44
607.10,-0.46
613.17,-0.47
619.30,-0.49
625.50,-0.50
631.75,-0.51
638.07,-0.52
644.45,-0.54
650.89,-0.55
657.40,-0.56
663.98,-0.57
670.62,-0.59
677.32,-0.60
684.10,-0.61
690.94,-0.63
697.85,-0.64
704.83,-0.67
711.87,-0.69
718.99,-0.71
726.18,-0.73
733.44,-0.75
740.78,-0.77
748.19,-0.79
755.67,-0.81
763.23,-0.83
770.86,-0.84
778.57,-0.85
786.35,-0.85
794.22,-0.85
802.16,-0.84
810.18,-0.83
818.28,-0.81
826.46,-0.79
834.73,-0.76
843.08,-0.73
851.51,-0.69
860.02,-0.66
868.62,-0.63
877.31,-0.60
886.08,-0.58
894.94,-0.55
903.89,-0.52
912.93,-0.48
922.06,-0.45
931.28,-0.41
940.59,-0.36
950.00,-0.31
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.29
1049.39,0.37
1059.88,0.45
1070.48,0.54
1081.19,0.63
1092.00,0.72
1102.92,0.82
1113.95,0.91
1125.09,1.00
1136.34,1.10
1147.70,1.20
1159.18,1.29
1170.77,1.39
1182.48,1.49
1194.30,1.58
1206.25,1.68
1218.31,1.77
1230.49,1.86
1242.80,1.96
1255.22,2.05
1267.78,2.14
1280.45,2.22
1293.26,2.31
1306.19,2.39
1319.25,2.48
1332.45,2.56
1345.77,2.64
1359.23,2.71
1372.82,2.79
1386.55,2.87
1400.41,2.94
1414.42,3.02
1428.56,3.09
1442.85,3.16
1457.28,3.24
1471.85,3.31
1486.57,3.38
1501.43,3.45
1516.45,3.53
1531.61,3.60
1546.93,3.67
1562.40,3.74
1578.02,3.81
1593.80,3.89
1609.74,3.96
1625.84,4.03
1642.10,4.11
1658.52,4.18
1675.10,4.25
1691.85,4.33
1708.77,4.40
1725.86,4.47
1743.12,4.54
1760.55,4.62
1778.15,4.69
1795.94,4.75
1813.90,4.82
1832.03,4.88
1850.36,4.95
1868.86,5.00
1887.55,5.05
1906.42,5.10
1925.49,5.14
1944.74,5.18
1964.19,5.21
1983.83,5.23
2003.67,5.24
2023.71,5.24
2043.94,5.23
2064.38,5.22
2085.03,5.19
2105.88,5.14
2126.94,5.08
2148.20,5.01
2169.69,4.92
2191.38,4.81
2213.30,4.69
2235.43,4.55
2257.78,4.40
2280.36,4.22
2303.17,4.04
2326.20,3.84
2349.46,3.63
2372.95,3.42
2396.68,3.22
2420.65,3.03
2444.86,2.88
2469.31,2.75
2494.00,2.70
2518.94,2.72
2544.13,2.78
2569.57,2.93
2595.27,3.13
2621.22,3.36
2647.43,3.63
2673.90,3.91
2700.64,4.18
2727.65,4.43
2754.93,4.66
2782.48,4.85
2810.30,5.01
2838.40,5.14
2866.79,5.25
2895.46,5.33
2924.41,5.39
2953.65,5.44
2983.19,5.48
3013.02,5.52
3043.15,5.54
3073.58,5.57
3104.32,5.60
3135.36,5.63
3166.72,5.66
3198.38,5.70
3230.37,5.75
3262.67,5.80
3295.30,5.87
3328.25,5.94
3361.53,6.02
3395.15,6.12
3429.10,6.23
3463.39,6.35
3498.03,6.48
3533.01,6.64
3568.34,6.80
3604.02,6.98
3640.06,7.18
3676.46,7.40
3713.22,7.63
3750.36,7.87
3787.86,8.13
3825.74,8.40
3864.00,8.68
3902.64,8.97
3941.66,9.26
3981.08,9.55
4020.89,9.85
4061.10,10.15
4101.71,10.43
4142.73,10.70
4184.15,10.94
4226.00,11.15
4268.26,11.32
4310.94,11.45
4354.05,11.49
4397.59,11.47
4441.56,11.40
4485.98,11.21
4530.84,10.96
4576.15,10.75
4621.91,10.58
4668.13,10.41
4714.81,10.04
4761.96,9.58
4809.58,9.08
4857.67,8.58
4906.25,8.08
4955.31,7.58
5004.87,7.10
5054.91,6.63
5105.46,6.19
5156.52,5.76
5208.08,5.36
5260.16,4.99
5312.77,4.63
5365.89,4.30
5419.55,4.00
5473.75,3.71
5528.49,3.45
5583.77,3.22
5639.61,3.01
5696.00,2.81
5752.96,2.65
5810.49,2.50
5868.60,2.38
5927.28,2.28
5986.56,2.20
6046.42,2.15
6106.89,2.12
6167.96,2.12
6229.64,2.14
6291.93,2.18
6354.85,2.27
6418.40,2.36
6482.58,2.50
6547.41,2.68
6612.88,2.89
6679.01,3.13
6745.80,3.34
6813.26,3.56
6881.39,3.86
6950.21,4.22
7019.71,4.61
7089.91,5.03
7160.81,5.49
7232.41,5.98
7304.74,6.48
7377.79,7.00
7451.56,7.47
7526.08,7.92
7601.34,8.33
7677.35,8.71
7754.13,9.09
7831.67,9.40
7909.98,9.65
7989.08,9.83
8068.98,9.88
8149.67,9.86
8231.16,9.77
8313.47,9.62
8396.61,9.44
8480.57,9.25
8565.38,9.08
8651.03,8.91
8737.54,8.78
8824.92,8.69
8913.17,8.66
9002.30,8.64
9092.32,8.68
9183.25,8.72
9275.08,8.75
9367.83,8.74
9461.51,8.62
9556.12,8.35
9651.68,7.92
9748.20,7.30
9845.68,6.40
9944.14,5.35
10043.58,4.14
10144.02,2.85
10245.46,1.50
10347.91,0.14
10451.39,-1.19
10555.91,-2.47
10661.46,-3.70
10768.08,-4.87
10875.76,-5.95
10984.52,-6.95
11094.36,-7.90
11205.31,-8.77
11317.36,-9.54
11430.53,-10.26
11544.84,-10.89
11660.29,-11.46
11776.89,-11.98
11894.66,-12.33
12013.60,-12.65
12133.74,-12.89
12255.08,-13.01
12377.63,-13.04
12501.41,-12.98
12626.42,-12.75
12752.68,-12.31
12880.21,-11.48
13009.01,-10.46
13139.10,-9.44
13270.49,-8.09
13403.20,-6.70
13537.23,-6.07
13672.60,-6.08
13809.33,-6.73
13947.42,-8.30
14086.90,-9.96
14227.77,-11.68
14370.04,-13.25
14513.74,-14.61
14658.88,-15.65
14805.47,-16.60
14953.52,-17.38
15103.06,-17.93
15254.09,-18.38
15406.63,-18.79
15560.70,-19.40
15716.30,-20.32
15873.47,-22.04
16032.20,-23.85
16192.52,-25.13
16354.45,-25.74
16517.99,-25.96
16683.17,-26.07
16850.01,-26.20
17018.51,-26.36
17188.69,-26.55
17360.58,-26.82
17534.18,-27.15
17709.53,-27.50
17886.62,-27.84
18065.49,-28.16
18246.14,-28.44
18428.60,-28.53
18612.89,-28.31
18799.02,-27.75
18987.01,-26.87
19176.88,-25.95
19368.65,-26.17
19562.33,-27.57
19757.96,-29.94
19955.54,-32.32
