frequency,raw
20.00,9.52
20.20,9.53
20.40,9.54
20.61,9.54
20.81,9.55
21.02,9.55
21.23,9.55
21.44,9.55
21.66,9.55
21.87,9.55
22.09,9.55
22.31,9.54
22.54,9.54
22.76,9.54
22.99,9.54
23.22,9.54
23.45,9.54
23.69,9.54
23.92,9.54
24.16,9.55
24.40,9.55
24.65,9.54
24.89,9.54
25.14,9.53
25.39,9.52
25.65,9.51
25.91,9.51
26.16,9.50
26.43,9.49
26.69,9.49
26.96,9.48
27.23,9.47
27.50,9.46
27.77,9.45
28.05,9.43
28.33,9.42
28.62,9.41
28.90,9.40
29.19,9.40
29.48,9.39
29.78,9.38
30.08,9.36
30.38,9.35
30.68,9.33
30.99,9.32
31.30,9.30
31.61,9.29
31.93,9.27
32.24,9.26
32.57,9.24
32.89,9.22
33.22,9.20
33.55,9.18
33.89,9.17
34.23,9.15
34.57,9.13
34.92,9.11
35.27,9.09
35.62,9.08
35.97,9.06
36.33,9.03
36.70,9.01
37.06,8.99
37.43,8.96
37.81,8.94
38.19,8.92
38.57,8.89
38.95,8.87
39.34,8.84
39.74,8.82
40.14,8.79
40.54,8.77
40.94,8.74
41.35,8.71
41.76,8.69
42.18,8.67
42.60,8.64
43.03,8.61
43.46,8.58
43.90,8.55
44.33,8.51
44.78,8.48
45.23,8.45
45.68,8.42
46.13,8.39
46.60,8.36
47.06,8.33
47.53,8.30
48.01,8.27
48.49,8.23
48.97,8.19
49.46,8.16
49.96,8.13
50.46,8.09
50.96,8.06
51.47,8.02
51.99,7.99
52.51,7.95
53.03,7.92
53.56,7.88
54.10,7.84
54.64,7.80
55.18,7.76
55.74,7.72
56.29,7.69
56.86,7.65
57.42,7.61
58.00,7.57
58.58,7.53
59.16,7.49
59.76,7.45
60.35,7.41
60.96,7.37
61.57,7.33
62.18,7.29
62.80,7.25
63.43,7.20
64.07,7.16
64.71,7.12
65.35,7.08
66.01,7.03
66.67,6.99
67.33,6.95
68.01,6.90
68.69,6.86
69.37,6.81
70.07,6.77
70.77,6.72
71.48,6.68
72.19,6.63
72.91,6.59
73.64,6.54
74.38,6.49
75.12,6.45
75.87,6.40
76.63,6.35
77.40,6.31
78.17,6.26
78.95,6.21
79.74,6.16
80.54,6.11
81.35,6.07
82.16,6.02
82.98,5.97
83.81,5.92
84.65,5.87
85.50,5.82
86.35,5.77
87.22,5.72
88.09,5.67
88.97,5.62
89.86,5.57
90.76,5.52
91.66,5.47
92.58,5.42
93.51,5.37
94.44,5.32
95.39,5.27
96.34,5.22
97.30,5.17
98.28,5.12
99.26,5.07
100.25,5.01
101.25,4.96
102.27,4.91
103.29,4.86
104.32,4.81
105.37,4.75
106.42,4.70
107.48,4.65
108.56,4.60
109.64,4.55
110.74,4.49
111.85,4.44
112.97,4.39
114.10,4.34
115.24,4.28
116.39,4.23
117.55,4.18
118.73,4.13
119.92,4.07
121.12,4.02
122.33,3.97
123.55,3.92
124.79,3.86
126.03,3.81
127.29,3.76
128.57,3.71
129.85,3.65
131.15,3.60
132.46,3.55
133.79,3.50
135.12,3.44
136.48,3.39
137.84,3.34
139.22,3.28
140.61,3.23
142.02,3.18
143.44,3.12
144.87,3.07
146.32,3.02
147.78,2.97
149.26,2.91
150.75,2.86
152.26,2.80
153.78,2.75
155.32,2.70
156.88,2.64
158.44,2.58
160.03,2.53
161.63,2.48
163.24,2.43
164.88,2.36
166.53,2.31
168.19,2.25
169.87,2.19
171.57,2.13
173.29,2.07
175.02,2.00
176.77,1.94
178.54,1.88
180.32,1.82
182.13,1.76
183.95,1.72
185.79,1.68
187.65,1.65
189.52,1.65
191.42,1.66
193.33,1.66
195.27,1.67
197.22,1.66
199.19,1.64
201.18,1.62
203.19,1.59
205.23,1.56
207.28,1.54
209.35,1.50
211.44,1.47
213.56,1.43
215.69,1.39
217.85,1.35
220.03,1.31
222.23,1.26
224.45,1.21
226.70,1.17
228.96,1.12
231.25,1.08
233.57,1.03
235.90,0.99
238.26,0.95
240.64,0.91
243.05,0.87
245.48,0.83
247.93,0.79
250.41,0.75
252.92,0.71
255.45,0.66
258.00,0.62
260.58,0.58
263.19,0.54
265.82,0.50
268.48,0.46
271.16,0.42
273.87,0.38
276.61,0.34
279.38,0.30
282.17,0.26
284.99,0.23
287.84,0.19
290.72,0.16
293.63,0.12
296.57,0.09
299.53,0.05
302.53,0.02
305.55,-0.02
308.61,-0.05
311.69,-0.09
314.81,-0.12
317.96,-0.16
321.14,-0.19
324.35,-0.22
327.59,-0.26
330.87,-0.29
334.18,-0.32
337.52,-0.35
340.90,-0.38
344.30,-0.41
347.75,-0.44
351.23,-0.47
354.74,-0.50
358.28,-0.53
361.87,-0.56
365.49,-0.59
369.14,-0.62
372.83,-0.65
376.56,-0.68
380.33,-0.71
384.13,-0.73
387.97,-0.76
391.85,-0.79
395.77,-0.82
399.73,-0.85
403.72,-0.87
407.76,-0.90
411.84,-0.92
415.96,-0.95
420.12,-0.96
424.32,-0.97
428.56,-0.98
432.85,-0.98
437.18,-0.98
441.55,-0.99
445.96,-1.01
450.42,-1.02
454.93,-1.04
459.48,-1.06
464.07,-1.08
468.71,-1.10
473.40,-1.12
478.13,-1.14
482.91,-1.16
487.74,-1.18
492.62,-1.20
497.55,-1.22
502.52,-1.23
507.55,-1.25
512.62,-1.27
517.75,-1.28
522.93,-1.30
528.16,-1.31
533.44,-1.33
538.77,-1.34
544.16,-1.36
549.60,-1.37
555.10,-1.38
560.65,-1.39
566.25,-1.40
571.92,-1.41
577.64,-1.43
583.41,-1.44
589.25,-1.45
595.14,-1.45
601.09,-1.46
607.10,-1.47
613.17,-1.47
619.30,-1.48
625.50,-1.49
631.75,-1.49
638.07,-1.50
644.45,-1.50
650.89,-1.50
657.40,-1.51
663.98,-1.51
670.62,-1.51
677.32,-1.52
684.10,-1.52
690.94,-1.52
697.85,-1.51
704.83,-1.49
711.87,-1.47
718.99,-1.46
726.18,-1.45
733.44,-1.45
740.78,-1.44
748.19,-1.44
755.67,-1.43
763.23,-1.42
770.86,-1.41
778.57,-1.40
786.35,-1.39
794.22,-1.37
802.16,-1.36
810.18,-1.34
818.28,-1.32
826.46,-1.29
834.73,-1.25
843.08,-1.20
851.51,-1.14
860.02,-1.06
868.62,-0.96
877.31,-0.86
886.08,-0.75
894.94,-0.65
903.89,-0.56
912.93,-0.47
922.06,-0.39
931.28,-0.32
940.59,-0.26
950.00,-0.20
959.50,-0.14
969.09,-0.10
978.78,-0.06
988.57,-0.03
998.46,-0.00
