frequency,raw
20.00,9.00
20.20,9.00
20.40,9.01
20.61,9.01
20.81,9.02
21.02,9.02
21.23,9.03
21.44,9.03
21.66,9.04
21.87,9.05
22.09,9.05
22.31,9.05
22.54,9.06
22.76,9.06
22.99,9.06
23.22,9.06
23.45,9.07
23.69,9.07
23.92,9.08
24.16,9.09
24.40,9.10
24.65,9.10
24.89,9.09
25.14,9.08
25.39,9.06
25.65,9.05
25.91,9.05
26.16,9.04
26.43,9.05
26.69,9.06
26.96,9.06
27.23,9.07
27.50,9.07
27.77,9.07
28.05,9.06
28.33,9.05
28.62,9.05
28.90,9.04
29.19,9.04
29.48,9.03
29.78,9.02
30.08,9.00
30.38,8.99
30.68,8.98
30.99,8.97
31.30,8.97
31.61,8.97
31.93,8.97
32.24,8.97
32.57,8.96
32.89,8.95
33.22,8.93
33.55,8.91
33.89,8.90
34.23,8.89
34.57,8.88
34.92,8.88
35.27,8.86
35.62,8.85
35.97,8.83
36.33,8.81
36.70,8.79
37.06,8.78
37.43,8.76
37.81,8.75
38.19,8.73
38.57,8.71
38.95,8.69
39.34,8.67
39.74,8.65
40.14,8.64
40.54,8.62
40.94,8.61
41.35,8.59
41.76,8.58
42.18,8.55
42.60,8.53
43.03,8.51
43.46,8.48
43.90,8.47
44.33,8.45
44.78,8.43
45.23,8.40
45.68,8.37
46.13,8.35
46.60,8.34
47.06,8.33
47.53,8.31
48.01,8.26
48.49,8.22
48.97,8.20
49.46,8.19
49.96,8.18
50.46,8.14
50.96,8.11
51.47,8.07
51.99,8.04
52.51,8.01
53.03,7.98
53.56,7.96
54.10,7.94
54.64,7.91
55.18,7.88
55.74,7.86
56.29,7.83
56.86,7.80
57.42,7.76
58.00,7.73
58.58,7.71
59.16,7.68
59.76,7.65
60.35,7.62
60.96,7.59
61.57,7.55
62.18,7.51
62.80,7.48
63.43,7.44
64.07,7.38
64.71,7.34
65.35,7.34
66.01,7.36
66.67,7.31
67.33,7.28
68.01,7.24
68.69,7.20
69.37,7.15
70.07,7.10
70.77,7.07
71.48,7.03
72.19,6.99
72.91,6.97
73.64,6.95
74.38,6.90
75.12,6.82
75.87,6.82
76.63,6.79
77.40,6.74
78.17,6.70
78.95,6.66
79.74,6.61
80.54,6.58
81.35,6.55
82.16,6.40
82.98,6.41
83.81,6.50
84.65,6.22
85.50,6.24
86.35,6.40
87.22,6.27
88.09,6.23
88.97,6.20
89.86,6.13
90.76,6.11
91.66,6.08
92.58,6.02
93.51,5.96
94.44,5.92
95.39,5.89
96.34,5.85
97.30,5.77
98.28,5.71
99.26,5.64
100.25,5.58
101.25,5.63
102.27,5.60
103.29,5.54
104.32,5.49
105.37,5.48
106.42,5.44
107.48,5.35
108.56,5.34
109.64,5.33
110.74,5.30
111.85,5.20
112.97,5.17
114.10,5.11
115.24,5.00
116.39,4.95
117.55,4.91
118.73,4.89
119.92,4.85
121.12,4.83
122.33,4.79
123.55,4.71
124.79,4.67
126.03,4.65
127.29,4.60
128.57,4.54
129.85,4.48
131.15,4.42
132.46,4.40
133.79,4.36
135.12,4.30
136.48,4.25
137.84,4.21
