frequency,raw
20.00,6.75
20.20,6.78
20.40,6.81
20.61,6.84
20.81,6.86
21.02,6.89
21.23,6.92
21.44,6.95
21.66,6.97
21.87,7.00
22.09,7.03
22.31,7.06
22.54,7.09
22.76,7.12
22.99,7.15
23.22,7.18
23.45,7.21
23.69,7.23
23.92,7.25
24.16,7.27
24.40,7.28
24.65,7.30
24.89,7.32
25.14,7.34
25.39,7.36
25.65,7.39
25.91,7.41
26.16,7.43
26.43,7.45
26.69,7.46
26.96,7.48
27.23,7.49
27.50,7.51
27.77,7.53
28.05,7.54
28.33,7.56
28.62,7.58
28.90,7.60
29.19,7.61
29.48,7.63
29.78,7.64
30.08,7.65
30.38,7.66
30.68,7.67
30.99,7.69
31.30,7.70
31.61,7.71
31.93,7.72
32.24,7.73
32.57,7.74
32.89,7.75
33.22,7.76
33.55,7.76
33.89,7.77
34.23,7.78
34.57,7.79
34.92,7.79
35.27,7.80
35.62,7.81
35.97,7.81
36.33,7.81
36.70,7.82
37.06,7.82
37.43,7.82
37.81,7.82
38.19,7.83
38.57,7.84
38.95,7.84
39.34,7.84
39.74,7.84
40.14,7.83
40.54,7.83
40.94,7.83
41.35,7.83
41.76,7.83
42.18,7.83
42.60,7.82
43.03,7.81
43.46,7.81
43.90,7.81
44.33,7.82
44.78,7.82
45.23,7.81
45.68,7.80
46.13,7.78
46.60,7.77
47.06,7.76
47.53,7.76
48.01,7.76
48.49,7.75
48.97,7.75
49.46,7.74
49.96,7.73
50.46,7.72
50.96,7.72
51.47,7.73
51.99,7.73
52.51,7.72
53.03,7.70
53.56,7.69
54.10,7.68
54.64,7.66
55.18,7.63
55.74,7.61
56.29,7.61
56.86,7.62
57.42,7.61
58.00,7.59
58.58,7.56
59.16,7.52
59.76,7.49
60.35,7.47
60.96,7.47
61.57,7.47
62.18,7.46
62.80,7.43
63.43,7.41
64.07,7.40
64.71,7.38
65.35,7.37
66.01,7.35
66.67,7.33
67.33,7.31
68.01,7.29
68.69,7.26
69.37,7.24
70.07,7.22
70.77,7.19
71.48,7.17
72.19,7.15
72.91,7.13
73.64,7.10
74.38,7.08
75.12,7.06
75.87,7.03
76.63,7.01
77.40,6.98
78.17,6.96
78.95,6.93
79.74,6.90
80.54,6.88
81.35,6.85
82.16,6.82
82.98,6.79
83.81,6.76
84.65,6.74
85.50,6.71
