frequency,raw
20.00,5.12
20.20,5.13
20.40,5.14
20.61,5.14
20.81,5.15
21.02,5.16
21.23,5.16
21.44,5.17
21.66,5.17
21.87,5.18
22.09,5.19
22.31,5.19
22.54,5.20
22.76,5.21
22.99,5.21
23.22,5.22
23.45,5.22
23.69,5.23
23.92,5.23
24.16,5.23
24.40,5.24
24.65,5.24
24.89,5.25
25.14,5.25
25.39,5.26
25.65,5.26
25.91,5.26
26.16,5.27
26.43,5.27
26.69,5.27
26.96,5.28
27.23,5.28
27.50,5.28
27.77,5.28
28.05,5.28
28.33,5.28
28.62,5.28
28.90,5.28
29.19,5.29
29.48,5.29
29.78,5.30
30.08,5.30
30.38,5.31
30.68,5.31
30.99,5.30
31.30,5.30
31.61,5.30
31.93,5.29
32.24,5.29
32.57,5.29
32.89,5.29
33.22,5.29
33.55,5.29
33.89,5.29
34.23,5.29
34.57,5.28
34.92,5.28
35.27,5.28
35.62,5.28
35.97,5.28
36.33,5.28
36.70,5.28
37.06,5.28
37.43,5.27
37.81,5.27
38.19,5.27
38.57,5.27
38.95,5.27
39.34,5.26
39.74,5.26
40.14,5.25
40.54,5.25
40.94,5.25
41.35,5.24
41.76,5.24
42.18,5.23
42.60,5.23
43.03,5.22
43.46,5.21
43.90,5.20
44.33,5.20
44.78,5.20
45.23,5.19
45.68,5.19
46.13,5.18
46.60,5.17
47.06,5.16
47.53,5.16
48.01,5.15
48.49,5.13
48.97,5.13
49.46,5.12
49.96,5.12
50.46,5.11
50.96,5.10
51.47,5.08
51.99,5.09
52.51,5.10
53.03,5.10
53.56,5.08
54.10,5.07
54.64,5.07
55.18,5.07
55.74,5.06
56.29,5.04
56.86,5.03
57.42,5.03
58.00,5.03
58.58,5.02
59.16,5.00
59.76,4.99
60.35,4.98
60.96,4.97
61.57,4.96
62.18,4.95
62.80,4.94
63.43,4.93
64.07,4.92
64.71,4.91
65.35,4.90
66.01,4.89
66.67,4.88
67.33,4.86
68.01,4.84
68.69,4.83
69.37,4.82
70.07,4.81
70.77,4.80
71.48,4.79
72.19,4.77
72.91,4.76
73.64,4.75
74.38,4.74
75.12,4.73
75.87,4.71
76.63,4.69
77.40,4.68
78.17,4.67
78.95,4.65
79.74,4.64
80.54,4.62
81.35,4.61
82.16,4.59
82.98,4.58
83.81,4.56
84.65,4.55
85.50,4.53
86.35,4.52
87.22,4.50
88.09,4.48
88.97,4.47
89.86,4.45
90.76,4.43
91.66,4.42
92.58,4.40
93.51,4.38
94.44,4.36
95.39,4.34
96.34,4.33
97.30,4.31
98.28,4.29
99.26,4.27
100.25,4.26
101.25,4.24
102.27,4.22
103.29,4.20
104.32,4.18
105.37,4.15
106.42,4.13
107.48,4.11
108.56,4.09
109.64,4.07
110.74,4.05
111.85,4.03
112.97,4.01
114.10,3.99
115.24,3.96
116.39,3.94
117.55,3.92
118.73,3.90
119.92,3.87
121.12,3.85
122.33,3.84
123.55,3.82
124.79,3.80
126.03,3.77
127.29,3.75
128.57,3.72
129.85,3.70
131.15,3.67
132.46,3.64
133.79,3.61
135.12,3.58
136.48,3.55
137.84,3.52
139.22,3.49
140.61,3.46
142.02,3.44
143.44,3.42
144.87,3.41
146.32,3.42
147.78,3.43
149.26,3.43
150.75,3.43
152.26,3.43
153.78,3.41
155.32,3.38
156.88,3.35
158.44,3.32
160.03,3.29
161.63,3.26
163.24,3.24
164.88,3.21
166.53,3.18
168.19,3.16
169.87,3.13
171.57,3.10
173.29,3.08
175.02,3.06
176.77,3.03
178.54,3.00
180.32,2.97
182.13,2.95
183.95,2.92
185.79,2.89
187.65,2.86
189.52,2.83
191.42,2.80
193.33,2.77
195.27,2.74
197.22,2.71
199.19,2.68
201.18,2.65
203.19,2.62
205.23,2.59
207.28,2.56
209.35,2.53
211.44,2.50
213.56,2.47
215.69,2.44
217.85,2.41
220.03,2.38
222.23,2.35
224.45,2.32
226.70,2.29
228.96,2.26
231.25,2.23
233.57,2.19
235.90,2.16
238.26,2.13
240.64,2.10
243.05,2.07
245.48,2.04
247.93,2.01
250.41,1.98
252.92,1.95
255.45,1.92
258.00,1.88
260.58,1.85
263.19,1.82
265.82,1.79
268.48,1.76
271.16,1.73
273.87,1.70
276.61,1.67
279.38,1.63
282.17,1.60
284.99,1.57
287.84,1.54
290.72,1.51
293.63,1.48
296.57,1.45
299.53,1.41
302.53,1.38
305.55,1.35
308.61,1.32
311.69,1.29
314.81,1.26
317.96,1.22
321.14,1.19
324.35,1.16
327.59,1.13
330.87,1.10
334.18,1.07
337.52,1.03
340.90,1.00
344.30,0.97
347.75,0.94
351.23,0.91
354.74,0.88
358.28,0.85
361.87,0.82
365.49,0.80
369.14,0.78
372.83,0.77
376.56,0.75
380.33,0.73
384.13,0.71
387.97,0.69
391.85,0.66
395.77,0.64
399.73,0.61
403.72,0.58
407.76,0.55
411.84,0.52
415.96,0.49
420.12,0.46
424.32,0.43
428.56,0.41
432.85,0.38
437.18,0.34
441.55,0.31
445.96,0.28
450.42,0.26
454.93,0.24
459.48,0.22
464.07,0.19
468.71,0.16
473.40,0.14
478.13,0.11
482.91,0.09
487.74,0.06
492.62,0.04
497.55,0.01
502.52,-0.01
507.55,-0.04
512.62,-0.06
517.75,-0.08
522.93,-0.11
528.16,-0.13
533.44,-0.15
538.77,-0.17
544.16,-0.19
549.60,-0.21
555.10,-0.23
560.65,-0.26
566.25,-0.28
571.92,-0.30
577.64,-0.32
583.41,-0.34
589.25,-0.36
595.14,-0.37
601.09,-0.39
607.10,-0.41
613.17,-0.43
619.30,-0.44
625.50,-0.46
631.75,-0.47
638.07,-0.48
644.45,-0.49
650.89,-0.51
657.40,-0.53
663.98,-0.54
670.62,-0.56
677.32,-0.57
684.10,-0.58
690.94,-0.59
697.85,-0.60
704.83,-0.61
711.87,-0.61
718.99,-0.62
726.18,-0.63
733.44,-0.63
740.78,-0.64
748.19,-0.64
755.67,-0.65
763.23,-0.65
770.86,-0.65
778.57,-0.65
786.35,-0.65
794.22,-0.65
802.16,-0.65
810.18,-0.64
818.28,-0.63
826.46,-0.63
834.73,-0.62
843.08,-0.60
851.51,-0.59
860.02,-0.57
868.62,-0.55
877.31,-0.53
886.08,-0.51
894.94,-0.49
903.89,-0.46
912.93,-0.43
922.06,-0.39
931.28,-0.36
940.59,-0.32
950.00,-0.27
959.50,-0.23
969.09,-0.18
978.78,-0.12
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.19
1039.00,0.26
1049.39,0.33
1059.88,0.41
1070.48,0.49
1081.19,0.57
1092.00,0.65
1102.92,0.74
1113.95,0.82
1125.09,0.91
1136.34,1.00
1147.70,1.08
1159.18,1.17
1170.77,1.26
1182.48,1.34
1194.30,1.42
1206.25,1.51
1218.31,1.59
1230.49,1.66
1242.80,1.73
1255.22,1.80
1267.78,1.87
1280.45,1.93
1293.26,1.99
1306.19,2.04
1319.25,2.09
1332.45,2.13
1345.77,2.17
1359.23,2.21
1372.82,2.24
1386.55,2.26
1400.41,2.28
1414.42,2.30
1428.56,2.31
1442.85,2.32
1457.28,2.32
1471.85,2.32
1486.57,2.32
1501.43,2.31
1516.45,2.30
1531.61,2.29
1546.93,2.27
1562.40,2.26
1578.02,2.24
1593.80,2.22
1609.74,2.20
1625.84,2.18
1642.10,2.15
1658.52,2.13
1675.10,2.11
1691.85,2.08
1708.77,2.06
1725.86,2.04
1743.12,2.02
1760.55,2.00
1778.15,1.99
1795.94,1.98
1813.90,1.98
1832.03,1.98
1850.36,1.99
1868.86,2.00
1887.55,2.02
1906.42,2.04
1925.49,2.07
1944.74,2.10
1964.19,2.14
1983.83,2.19
2003.67,2.23
2023.71,2.29
2043.94,2.35
2064.38,2.42
2085.03,2.50
2105.88,2.59
2126.94,2.68
2148.20,2.80
2169.69,2.92
2191.38,3.05
2213.30,3.19
2235.43,3.33
2257.78,3.49
2280.36,3.65
2303.17,3.81
2326.20,3.98
2349.46,4.15
2372.95,4.33
2396.68,4.52
2420.65,4.70
2444.86,4.90
2469.31,5.09
2494.00,5.29
2518.94,5.49
2544.13,5.69
2569.57,5.90
2595.27,6.10
2621.22,6.31
2647.43,6.53
2673.90,6.74
2700.64,6.95
2727.65,7.15
2754.93,7.33
2782.48,7.49
2810.30,7.63
2838.40,7.75
2866.79,7.85
2895.46,7.93
2924.41,7.96
2953.65,7.98
2983.19,7.95
3013.02,7.89
3043.15,7.82
3073.58,7.72
3104.32,7.60
3135.36,7.47
3166.72,7.34
3198.38,7.20
3230.37,7.07
3262.67,6.93
3295.30,6.81
3328.25,6.69
3361.53,6.57
3395.15,6.46
3429.10,6.35
3463.39,6.26
3498.03,6.17
3533.01,6.11
3568.34,6.07
3604.02,6.04
3640.06,6.05
3676.46,6.07
3713.22,6.11
3750.36,6.16
3787.86,6.24
3825.74,6.32
3864.00,6.42
3902.64,6.55
3941.66,6.68
3981.08,6.84
4020.89,7.01
4061.10,7.20
4101.71,7.42
4142.73,7.64
4184.15,7.88
4226.00,8.13
4268.26,8.37
4310.94,8.61
4354.05,8.80
4397.59,8.94
4441.56,9.05
4485.98,9.02
4530.84,8.91
4576.15,8.72
4621.91,8.49
4668.13,8.27
4714.81,8.10
4761.96,7.94
4809.58,7.78
4857.67,7.58
4906.25,7.31
4955.31,6.99
5004.87,6.62
5054.91,6.20
5105.46,5.77
5156.52,5.33
5208.08,4.88
5260.16,4.45
5312.77,4.02
5365.89,3.61
5419.55,3.23
5473.75,2.86
5528.49,2.51
5583.77,2.20
5639.61,1.92
5696.00,1.65
5752.96,1.42
5810.49,1.21
5868.60,1.04
5927.28,0.90
5986.56,0.78
6046.42,0.71
6106.89,0.66
