frequency,raw
20.00,6.27
20.20,6.27
20.40,6.28
20.61,6.29
20.81,6.30
21.02,6.31
21.23,6.31
21.44,6.32
21.66,6.32
21.87,6.33
22.09,6.33
22.31,6.34
22.54,6.34
22.76,6.35
22.99,6.36
23.22,6.37
23.45,6.37
23.69,6.38
23.92,6.39
24.16,6.39
24.40,6.39
24.65,6.39
24.89,6.38
25.14,6.38
25.39,6.38
25.65,6.38
25.91,6.38
26.16,6.39
26.43,6.39
26.69,6.39
26.96,6.39
27.23,6.39
27.50,6.39
27.77,6.39
28.05,6.39
28.33,6.39
28.62,6.39
28.90,6.40
29.19,6.40
29.48,6.40
29.78,6.40
30.08,6.39
30.38,6.39
30.68,6.39
30.99,6.39
31.30,6.39
31.61,6.39
31.93,6.39
32.24,6.39
32.57,6.38
32.89,6.38
33.22,6.38
33.55,6.38
33.89,6.38
34.23,6.38
34.57,6.38
34.92,6.38
35.27,6.37
35.62,6.36
35.97,6.36
36.33,6.35
36.70,6.35
37.06,6.34
37.43,6.34
37.81,6.33
38.19,6.32
38.57,6.32
38.95,6.32
39.34,6.31
39.74,6.31
40.14,6.30
40.54,6.29
40.94,6.29
41.35,6.28
41.76,6.28
42.18,6.27
42.60,6.27
43.03,6.26
43.46,6.25
43.90,6.25
44.33,6.24
44.78,6.23
45.23,6.22
45.68,6.21
46.13,6.20
46.60,6.19
47.06,6.19
47.53,6.18
48.01,6.17
48.49,6.16
48.97,6.15
49.46,6.13
49.96,6.12
50.46,6.11
50.96,6.10
51.47,6.09
51.99,6.08
52.51,6.07
53.03,6.06
53.56,6.06
54.10,6.04
54.64,6.03
55.18,6.02
55.74,6.01
56.29,5.99
56.86,5.98
57.42,5.97
58.00,5.96
58.58,5.94
59.16,5.93
59.76,5.91
60.35,5.89
60.96,5.88
61.57,5.87
62.18,5.85
62.80,5.84
63.43,5.82
64.07,5.81
64.71,5.79
65.35,5.77
66.01,5.76
66.67,5.74
67.33,5.73
68.01,5.71
68.69,5.69
69.37,5.67
70.07,5.66
70.77,5.64
71.48,5.62
72.19,5.60
72.91,5.58
73.64,5.56
74.38,5.54
75.12,5.53
75.87,5.51
76.63,5.49
77.40,5.47
78.17,5.45
78.95,5.43
79.74,5.40
80.54,5.38
81.35,5.36
82.16,5.34
82.98,5.32
83.81,5.30
84.65,5.28
85.50,5.25
86.35,5.23
87.22,5.21
88.09,5.19
88.97,5.16
89.86,5.14
90.76,5.11
91.66,5.09
92.58,5.07
93.51,5.04
94.44,5.02
95.39,4.99
96.34,4.97
97.30,4.94
98.28,4.91
99.26,4.89
100.25,4.86
101.25,4.83
102.27,4.80
103.29,4.78
104.32,4.75
105.37,4.72
106.42,4.69
107.48,4.66
108.56,4.63
109.64,4.60
110.74,4.57
111.85,4.54
112.97,4.51
114.10,4.48
115.24,4.45
116.39,4.42
117.55,4.39
118.73,4.36
119.92,4.33
121.12,4.30
122.33,4.28
123.55,4.25
124.79,4.22
126.03,4.20
127.29,4.17
128.57,4.14
129.85,4.12
131.15,4.09
132.46,4.07
133.79,4.04
135.12,4.03
136.48,4.02
137.84,4.01
139.22,4.03
140.61,4.08
142.02,4.16
143.44,4.26
144.87,4.42
146.32,4.58
147.78,4.71
149.26,4.74
150.75,4.67
152.26,4.52
153.78,4.33
155.32,4.15
156.88,4.01
158.44,3.89
160.03,3.80
161.63,3.72
163.24,3.65
164.88,3.58
166.53,3.52
168.19,3.47
169.87,3.41
171.57,3.37
173.29,3.32
175.02,3.27
176.77,3.23
178.54,3.18
180.32,3.14
182.13,3.10
183.95,3.06
185.79,3.02
187.65,2.98
189.52,2.94
191.42,2.90
193.33,2.85
195.27,2.81
197.22,2.78
199.19,2.73
201.18,2.69
203.19,2.65
205.23,2.61
207.28,2.58
209.35,2.54
211.44,2.50
213.56,2.46
215.69,2.42
217.85,2.38
220.03,2.34
222.23,2.30
224.45,2.26
226.70,2.22
228.96,2.19
231.25,2.15
233.57,2.11
235.90,2.07
238.26,2.03
240.64,1.99
243.05,1.96
245.48,1.92
247.93,1.88
250.41,1.85
252.92,1.81
255.45,1.77
258.00,1.74
260.58,1.70
263.19,1.66
265.82,1.63
268.48,1.59
271.16,1.56
273.87,1.52
276.61,1.49
279.38,1.46
282.17,1.43
284.99,1.39
287.84,1.36
290.72,1.33
293.63,1.30
296.57,1.27
299.53,1.24
302.53,1.21
305.55,1.18
308.61,1.16
311.69,1.13
314.81,1.11
317.96,1.09
321.14,1.07
324.35,1.05
327.59,1.04
330.87,1.03
334.18,1.03
337.52,1.03
340.90,1.04
344.30,1.06
347.75,1.10
351.23,1.14
354.74,1.19
358.28,1.25
361.87,1.30
365.49,1.35
369.14,1.38
372.83,1.39
376.56,1.39
380.33,1.36
384.13,1.32
387.97,1.27
391.85,1.22
395.77,1.16
399.73,1.10
403.72,1.05
407.76,1.01
411.84,0.98
415.96,0.93
420.12,0.91
424.32,0.91
428.56,0.65
432.85,0.25
437.18,-0.28
441.55,-0.66
445.96,-0.99
450.42,-1.37
454.93,-2.78
459.48,-1.56
464.07,-0.78
468.71,-0.58
473.40,-0.48
478.13,-0.39
482.91,-0.31
487.74,-0.25
492.62,-0.22
497.55,-0.20
502.52,-0.19
507.55,-0.18
512.62,-0.18
517.75,-0.17
522.93,-0.17
528.16,-0.14
533.44,-0.27
538.77,-0.63
544.16,-1.82
549.60,-2.38
555.10,-2.05
560.65,-1.20
566.25,-0.97
571.92,-0.79
577.64,-0.71
583.41,-0.66
589.25,-0.64
595.14,-0.72
601.09,-0.86
607.10,-1.24
613.17,-2.10
619.30,-3.03
625.50,-3.29
631.75,-3.12
638.07,-3.13
644.45,-2.99
650.89,-2.94
657.40,-3.97
663.98,-3.99
670.62,-3.34
677.32,-2.61
684.10,-2.13
690.94,-1.83
697.85,-1.64
704.83,-1.51
711.87,-1.40
718.99,-1.33
726.18,-1.26
733.44,-1.21
740.78,-1.17
748.19,-1.12
755.67,-1.09
763.23,-1.06
770.86,-1.02
778.57,-0.99
786.35,-0.95
794.22,-0.92
802.16,-0.89
810.18,-0.86
818.28,-0.83
826.46,-0.80
834.73,-0.78
843.08,-0.75
851.51,-0.73
860.02,-0.71
868.62,-0.68
877.31,-0.66
886.08,-0.63
894.94,-0.60
903.89,-0.56
912.93,-0.52
922.06,-0.48
931.28,-0.43
940.59,-0.38
950.00,-0.32
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.29
1049.39,0.37
1059.88,0.46
1070.48,0.55
1081.19,0.64
1092.00,0.73
1102.92,0.82
1113.95,0.92
1125.09,1.01
1136.34,1.11
1147.70,1.20
1159.18,1.30
1170.77,1.40
1182.48,1.49
1194.30,1.58
1206.25,1.67
1218.31,1.76
1230.49,1.84
1242.80,1.92
1255.22,2.00
1267.78,2.07
1280.45,2.14
1293.26,2.21
1306.19,2.27
1319.25,2.33
1332.45,2.38
1345.77,2.42
1359.23,2.47
1372.82,2.51
1386.55,2.54
1400.41,2.57
1414.42,2.60
1428.56,2.62
1442.85,2.63
1457.28,2.65
1471.85,2.66
1486.57,2.66
1501.43,2.66
1516.45,2.66
1531.61,2.66
1546.93,2.66
1562.40,2.65
