frequency,raw
20.00,16.20
20.20,16.22
20.40,16.24
20.61,16.26
20.81,16.28
21.02,16.30
21.23,16.32
21.44,16.34
21.66,16.36
21.87,16.38
22.09,16.41
22.31,16.43
22.54,16.46
22.76,16.49
22.99,16.51
23.22,16.54
23.45,16.56
23.69,16.58
23.92,16.60
24.16,16.62
24.40,16.63
24.65,16.65
24.89,16.67
25.14,16.68
25.39,16.70
25.65,16.72
25.91,16.74
26.16,16.75
26.43,16.77
26.69,16.79
26.96,16.81
27.23,16.83
27.50,16.84
27.77,16.86
28.05,16.88
28.33,16.89
28.62,16.91
28.90,16.92
29.19,16.94
29.48,16.95
29.78,16.97
30.08,16.98
30.38,17.00
30.68,17.01
30.99,17.03
31.30,17.04
31.61,17.05
31.93,17.07
32.24,17.08
32.57,17.09
32.89,17.10
33.22,17.12
33.55,17.13
33.89,17.14
34.23,17.15
34.57,17.16
34.92,17.17
35.27,17.18
35.62,17.19
35.97,17.20
36.33,17.21
36.70,17.22
37.06,17.23
37.43,17.23
37.81,17.24
38.19,17.25
38.57,17.26
38.95,17.26
39.34,17.27
39.74,17.27
40.14,17.28
40.54,17.28
40.94,17.29
41.35,17.29
41.76,17.30
42.18,17.30
42.60,17.30
43.03,17.30
43.46,17.31
43.90,17.31
44.33,17.31
44.78,17.31
45.23,17.31
45.68,17.31
46.13,17.31
46.60,17.31
47.06,17.31
47.53,17.31
48.01,17.31
48.49,17.30
48.97,17.30
49.46,17.30
49.96,17.29
50.46,17.29
50.96,17.28
51.47,17.28
51.99,17.28
52.51,17.27
53.03,17.26
53.56,17.25
54.10,17.25
54.64,17.24
55.18,17.23
55.74,17.22
56.29,17.21
56.86,17.20
57.42,17.19
58.00,17.18
58.58,17.18
59.16,17.18
59.76,17.18
60.35,17.16
60.96,17.13
61.57,17.10
62.18,17.09
62.80,17.08
63.43,17.06
64.07,17.05
64.71,17.03
65.35,17.01
66.01,17.00
66.67,16.98
67.33,16.96
68.01,16.94
68.69,16.92
69.37,16.90
70.07,16.88
70.77,16.86
71.48,16.84
72.19,16.82
72.91,16.80
73.64,16.77
74.38,16.75
75.12,16.73
75.87,16.70
76.63,16.68
77.40,16.66
78.17,16.63
78.95,16.60
79.74,16.58
80.54,16.55
81.35,16.52
82.16,16.50
82.98,16.47
83.81,16.44
84.65,16.41
85.50,16.38
86.35,16.35
87.22,16.31
88.09,16.28
88.97,16.25
89.86,16.22
90.76,16.19
91.66,16.15
92.58,16.12
93.51,16.08
94.44,16.05
95.39,16.02
96.34,15.98
97.30,15.94
98.28,15.91
99.26,15.87
100.25,15.83
101.25,15.79
102.27,15.75
103.29,15.71
104.32,15.67
105.37,15.64
106.42,15.60
107.48,15.55
108.56,15.51
109.64,15.47
110.74,15.43
111.85,15.38
112.97,15.34
114.10,15.30
115.24,15.25
116.39,15.21
117.55,15.16
118.73,15.12
119.92,15.07
121.12,15.03
122.33,14.98
123.55,14.93
124.79,14.88
126.03,14.83
127.29,14.78
128.57,14.74
129.85,14.69
131.15,14.64
132.46,14.59
133.79,14.53
135.12,14.48
136.48,14.43
137.84,14.38
139.22,14.33
140.61,14.28
142.02,14.22
143.44,14.17
144.87,14.11
146.32,14.06
147.78,14.00
149.26,13.95
150.75,13.89
152.26,13.84
153.78,13.78
155.32,13.72
156.88,13.67
158.44,13.61
160.03,13.55
161.63,13.48
163.24,13.43
164.88,13.37
166.53,13.32
168.19,13.26
169.87,13.20
171.57,13.14
173.29,13.08
175.02,13.02
176.77,12.96
178.54,12.90
180.32,12.83
182.13,12.77
183.95,12.71
185.79,12.65
187.65,12.59
189.52,12.52
191.42,12.46
193.33,12.39
195.27,12.32
197.22,12.25
199.19,12.18
201.18,12.12
203.19,12.05
205.23,11.98
207.28,11.92
209.35,11.86
211.44,11.80
213.56,11.74
215.69,11.68
217.85,11.62
220.03,11.57
222.23,11.51
224.45,11.45
226.70,11.39
228.96,11.33
231.25,11.26
233.57,11.19
235.90,11.13
238.26,11.06
240.64,10.99
243.05,10.93
245.48,10.85
247.93,10.77
250.41,10.70
252.92,10.63
255.45,10.55
258.00,10.48
260.58,10.41
263.19,10.34
265.82,10.26
268.48,10.19
271.16,10.12
273.87,10.04
276.61,9.97
279.38,9.90
282.17,9.82
284.99,9.74
287.84,9.66
290.72,9.58
293.63,9.51
296.57,9.43
299.53,9.36
302.53,9.28
305.55,9.20
308.61,9.12
311.69,9.05
314.81,8.97
317.96,8.89
321.14,8.81
324.35,8.73
327.59,8.65
330.87,8.58
334.18,8.50
337.52,8.42
340.90,8.33
344.30,8.25
347.75,8.17
351.23,8.10
354.74,8.01
358.28,7.93
361.87,7.85
365.49,7.77
369.14,7.69
372.83,7.61
376.56,7.53
380.33,7.45
384.13,7.37
387.97,7.28
391.85,7.20
395.77,7.12
399.73,7.04
403.72,6.96
407.76,6.87
411.84,6.79
415.96,6.71
420.12,6.62
424.32,6.54
428.56,6.46
432.85,6.37
437.18,6.29
441.55,6.21
445.96,6.12
450.42,6.03
454.93,5.95
459.48,5.86
464.07,5.78
468.71,5.69
473.40,5.60
478.13,5.52
482.91,5.43
487.74,5.35
492.62,5.28
497.55,5.20
502.52,5.13
507.55,5.06
512.62,4.98
517.75,4.91
522.93,4.86
528.16,4.81
533.44,4.74
538.77,4.67
544.16,4.60
549.60,4.51
555.10,4.43
560.65,4.34
566.25,4.26
571.92,4.17
577.64,4.08
583.41,3.98
589.25,3.89
595.14,3.80
601.09,3.71
607.10,3.62
613.17,3.53
619.30,3.44
625.50,3.35
631.75,3.26
638.07,3.17
644.45,3.08
650.89,2.99
657.40,2.89
663.98,2.81
670.62,2.73
677.32,2.64
684.10,2.56
690.94,2.47
697.85,2.39
704.83,2.30
711.87,2.22
718.99,2.14
726.18,2.06
733.44,1.98
740.78,1.90
748.19,1.83
755.67,1.75
763.23,1.66
770.86,1.58
778.57,1.50
786.35,1.42
794.22,1.34
802.16,1.27
810.18,1.19
818.28,1.12
826.46,1.04
834.73,0.97
843.08,0.90
851.51,0.83
860.02,0.76
868.62,0.70
877.31,0.63
886.08,0.57
894.94,0.51
903.89,0.45
912.93,0.39
922.06,0.33
931.28,0.28
940.59,0.23
950.00,0.18
959.50,0.13
969.09,0.09
978.78,0.05
988.57,0.02
998.46,0.00
1008.44,-0.01
1018.53,-0.03
1028.71,-0.05
1039.00,-0.11
1049.39,-0.19
1059.88,-0.31
1070.48,-0.39
1081.19,-0.44
1092.00,-0.46
1102.92,-0.46
1113.95,-0.48
1125.09,-0.59
1136.34,-0.79
1147.70,-1.02
1159.18,-1.16
1170.77,-1.28
1182.48,-1.31
1194.30,-1.30
1206.25,-1.28
1218.31,-1.23
1230.49,-1.16
1242.80,-1.08
1255.22,-0.96
1267.78,-0.82
1280.45,-0.65
1293.26,-0.44
1306.19,-0.23
1319.25,-0.01
1332.45,0.23
1345.77,0.48
1359.23,0.74
1372.82,0.99
1386.55,1.25
1400.41,1.50
1414.42,1.73
1428.56,1.96
1442.85,2.18
1457.28,2.38
1471.85,2.57
1486.57,2.75
1501.43,2.93
1516.45,3.08
1531.61,3.22
1546.93,3.36
1562.40,3.49
1578.02,3.61
1593.80,3.73
1609.74,3.84
1625.84,3.95
1642.10,4.05
1658.52,4.16
1675.10,4.26
1691.85,4.36
1708.77,4.47
1725.86,4.57
1743.12,4.67
1760.55,4.78
1778.15,4.89
1795.94,5.01
1813.90,5.13
1832.03,5.25
1850.36,5.37
1868.86,5.50
1887.55,5.64
1906.42,5.77
1925.49,5.91
1944.74,6.05
1964.19,6.20
1983.83,6.35
2003.67,6.50
2023.71,6.66
2043.94,6.82
2064.38,6.98
2085.03,7.14
2105.88,7.30
2126.94,7.47
2148.20,7.64
2169.69,7.80
2191.38,7.97
2213.30,8.13
2235.43,8.29
2257.78,8.45
2280.36,8.60
2303.17,8.76
2326.20,8.90
2349.46,9.04
2372.95,9.18
2396.68,9.31
2420.65,9.43
2444.86,9.54
2469.31,9.65
2494.00,9.75
2518.94,9.83
2544.13,9.92
2569.57,9.99
2595.27,10.05
2621.22,10.10
2647.43,10.15
2673.90,10.19
2700.64,10.22
2727.65,10.25
2754.93,10.26
2782.48,10.28
2810.30,10.29
2838.40,10.29
2866.79,10.30
2895.46,10.30
2924.41,10.29
2953.65,10.29
2983.19,10.28
3013.02,10.27
3043.15,10.26
3073.58,10.25
3104.32,10.24
3135.36,10.23
3166.72,10.22
3198.38,10.20
3230.37,10.18
3262.67,10.17
3295.30,10.15
3328.25,10.13
3361.53,10.11
3395.15,10.10
3429.10,10.09
3463.39,10.09
3498.03,10.09
3533.01,10.11
3568.34,10.13
3604.02,10.14
3640.06,10.14
3676.46,10.14
3713.22,10.12
3750.36,10.10
3787.86,10.07
3825.74,10.03
3864.00,9.98
3902.64,9.92
3941.66,9.86
3981.08,9.78
4020.89,9.69
4061.10,9.60
4101.71,9.49
4142.73,9.37
4184.15,9.23
4226.00,9.08
4268.26,8.91
4310.94,8.73
4354.05,8.55
