frequency,raw
20.00,9.79
20.20,9.78
20.40,9.78
20.61,9.78
20.81,9.78
21.02,9.77
21.23,9.77
21.44,9.76
21.66,9.76
21.87,9.76
22.09,9.76
22.31,9.76
22.54,9.76
22.76,9.76
22.99,9.76
23.22,9.77
23.45,9.77
23.69,9.77
23.92,9.77
24.16,9.77
24.40,9.76
24.65,9.75
24.89,9.74
25.14,9.72
25.39,9.71
25.65,9.70
25.91,9.70
26.16,9.69
26.43,9.69
26.69,9.69
26.96,9.69
27.23,9.68
27.50,9.67
27.77,9.66
28.05,9.65
28.33,9.63
28.62,9.62
28.90,9.60
29.19,9.58
29.48,9.57
29.78,9.55
30.08,9.54
30.38,9.52
30.68,9.51
30.99,9.50
31.30,9.48
31.61,9.47
31.93,9.45
32.24,9.43
32.57,9.41
32.89,9.39
33.22,9.37
33.55,9.34
33.89,9.32
34.23,9.30
34.57,9.27
34.92,9.25
35.27,9.23
35.62,9.21
35.97,9.19
36.33,9.17
36.70,9.15
37.06,9.12
37.43,9.09
37.81,9.06
38.19,9.03
38.57,9.00
38.95,8.98
39.34,8.95
39.74,8.93
40.14,8.90
40.54,8.87
40.94,8.84
41.35,8.81
41.76,8.79
42.18,8.77
42.60,8.74
43.03,8.71
43.46,8.68
43.90,8.65
44.33,8.62
44.78,8.58
45.23,8.54
45.68,8.50
46.13,8.46
46.60,8.43
47.06,8.40
47.53,8.37
48.01,8.34
48.49,8.31
48.97,8.27
49.46,8.23
49.96,8.19
50.46,8.15
50.96,8.11
51.47,8.07
51.99,8.03
52.51,7.99
53.03,7.95
53.56,7.92
54.10,7.88
54.64,7.84
55.18,7.80
55.74,7.77
56.29,7.73
56.86,7.69
57.42,7.65
58.00,7.60
58.58,7.55
59.16,7.51
59.76,7.46
60.35,7.41
60.96,7.36
61.57,7.33
62.18,7.29
62.80,7.24
63.43,7.18
64.07,7.12
64.71,7.08
65.35,7.04
66.01,7.00
66.67,6.96
67.33,6.90
68.01,6.85
68.69,6.80
69.37,6.75
70.07,6.71
70.77,6.66
71.48,6.61
72.19,6.55
72.91,6.50
73.64,6.45
74.38,6.40
75.12,6.35
75.87,6.29
76.63,6.24
77.40,6.18
78.17,6.13
78.95,6.08
79.74,6.02
80.54,5.97
81.35,5.92
82.16,5.87
82.98,5.82
83.81,5.77
84.65,5.74
85.50,5.70
86.35,5.66
87.22,5.62
88.09,5.57
88.97,5.53
89.86,5.49
90.76,5.44
91.66,5.39
92.58,5.33
93.51,5.28
94.44,5.23
95.39,5.18
96.34,5.12
97.30,5.07
98.28,5.02
99.26,4.96
100.25,4.91
101.25,4.86
102.27,4.80
103.29,4.75
104.32,4.69
105.37,4.64
106.42,4.59
107.48,4.54
108.56,4.49
109.64,4.44
110.74,4.39
111.85,4.34
