frequency,raw
20.00,6.78
20.20,6.75
20.40,6.73
20.61,6.70
20.81,6.68
21.02,6.65
21.23,6.62
21.44,6.59
21.66,6.56
21.87,6.54
22.09,6.52
22.31,6.49
22.54,6.47
22.76,6.44
22.99,6.41
23.22,6.38
23.45,6.36
23.69,6.33
23.92,6.30
24.16,6.27
24.40,6.24
24.65,6.21
24.89,6.18
25.14,6.15
25.39,6.12
25.65,6.09
25.91,6.06
26.16,6.03
26.43,5.99
26.69,5.96
26.96,5.93
27.23,5.90
27.50,5.87
27.77,5.84
28.05,5.80
28.33,5.77
28.62,5.73
28.90,5.70
29.19,5.66
29.48,5.63
29.78,5.59
30.08,5.56
30.38,5.52
30.68,5.49
30.99,5.45
31.30,5.42
31.61,5.38
31.93,5.34
32.24,5.31
32.57,5.27
32.89,5.23
33.22,5.20
33.55,5.16
33.89,5.12
34.23,5.08
34.57,5.04
34.92,5.01
35.27,4.97
35.62,4.93
35.97,4.89
36.33,4.85
36.70,4.81
37.06,4.78
37.43,4.74
37.81,4.70
38.19,4.66
38.57,4.62
38.95,4.58
39.34,4.54
39.74,4.50
40.14,4.46
40.54,4.42
40.94,4.38
41.35,4.34
41.76,4.30
42.18,4.26
42.60,4.22
43.03,4.18
43.46,4.14
43.90,4.09
44.33,4.05
44.78,4.01
45.23,3.97
45.68,3.93
46.13,3.89
46.60,3.85
47.06,3.81
47.53,3.77
48.01,3.73
48.49,3.69
48.97,3.65
49.46,3.60
49.96,3.56
50.46,3.52
50.96,3.48
51.47,3.44
51.99,3.40
52.51,3.35
53.03,3.31
53.56,3.27
54.10,3.23
54.64,3.19
55.18,3.15
55.74,3.11
56.29,3.07
56.86,3.03
57.42,2.99
58.00,2.94
58.58,2.90
59.16,2.86
59.76,2.83
60.35,2.79
60.96,2.75
61.57,2.70
62.18,2.66
62.80,2.62
63.43,2.58
64.07,2.54
64.71,2.50
65.35,2.46
66.01,2.42
66.67,2.38
67.33,2.34
68.01,2.31
68.69,2.27
69.37,2.23
70.07,2.19
70.77,2.15
71.48,2.11
72.19,2.07
72.91,2.03
73.64,2.00
74.38,1.96
75.12,1.92
75.87,1.88
76.63,1.85
77.40,1.81
78.17,1.77
78.95,1.73
79.74,1.70
80.54,1.66
81.35,1.62
82.16,1.59
82.98,1.55
83.81,1.51
84.65,1.48
85.50,1.44
86.35,1.41
87.22,1.37
88.09,1.34
88.97,1.30
89.86,1.27
90.76,1.23
91.66,1.20
92.58,1.16
93.51,1.13
94.44,1.09
95.39,1.06
96.34,1.03
97.30,0.99
98.28,0.96
99.26,0.93
100.25,0.90
101.25,0.86
102.27,0.83
103.29,0.80
104.32,0.77
105.37,0.74
106.42,0.70
107.48,0.67
108.56,0.64
109.64,0.61
110.74,0.58
111.85,0.55
112.97,0.52
114.10,0.49
115.24,0.46
116.39,0.43
117.55,0.40
118.73,0.37
119.92,0.34
121.12,0.31
122.33,0.28
123.55,0.26
124.79,0.23
126.03,0.20
127.29,0.17
128.57,0.14
129.85,0.12
131.15,0.09
132.46,0.06
133.79,0.03
135.12,0.01
136.48,-0.02
137.84,-0.04
139.22,-0.07
140.61,-0.10
142.02,-0.12
143.44,-0.15
144.87,-0.17
146.32,-0.20
147.78,-0.22
149.26,-0.25
150.75,-0.27
152.26,-0.30
153.78,-0.32
155.32,-0.35
156.88,-0.37
158.44,-0.40
160.03,-0.42
161.63,-0.45
163.24,-0.47
164.88,-0.50
166.53,-0.52
168.19,-0.55
169.87,-0.57
171.57,-0.58
173.29,-0.60
175.02,-0.60
176.77,-0.61
178.54,-0.61
180.32,-0.62
182.13,-0.61
183.95,-0.60
185.79,-0.60
187.65,-0.60
189.52,-0.61
191.42,-0.62
193.33,-0.63
195.27,-0.65
197.22,-0.67
199.19,-0.69
201.18,-0.71
203.19,-0.73
205.23,-0.74
207.28,-0.76
209.35,-0.78
211.44,-0.80
213.56,-0.82
215.69,-0.83
217.85,-0.84
220.03,-0.85
222.23,-0.86
224.45,-0.86
226.70,-0.87
228.96,-0.88
231.25,-0.88
233.57,-0.89
235.90,-0.90
238.26,-0.91
240.64,-0.93
243.05,-0.94
245.48,-0.96
247.93,-0.97
250.41,-0.99
252.92,-1.00
255.45,-1.01
258.00,-1.03
260.58,-1.04
263.19,-1.05
265.82,-1.07
268.48,-1.08
271.16,-1.09
273.87,-1.10
276.61,-1.12
279.38,-1.13
282.17,-1.14
284.99,-1.15
287.84,-1.16
290.72,-1.17
293.63,-1.18
296.57,-1.19
299.53,-1.20
302.53,-1.21
305.55,-1.22
308.61,-1.23
311.69,-1.23
314.81,-1.24
317.96,-1.25
321.14,-1.26
324.35,-1.27
327.59,-1.28
330.87,-1.29
334.18,-1.29
337.52,-1.30
340.90,-1.31
344.30,-1.32
347.75,-1.33
351.23,-1.33
354.74,-1.34
358.28,-1.35
361.87,-1.35
365.49,-1.36
369.14,-1.36
372.83,-1.37
376.56,-1.37
380.33,-1.38
384.13,-1.38
387.97,-1.38
391.85,-1.39
395.77,-1.39
399.73,-1.39
403.72,-1.40
407.76,-1.40
411.84,-1.40
415.96,-1.41
420.12,-1.41
424.32,-1.42
428.56,-1.42
432.85,-1.42
437.18,-1.43
441.55,-1.43
445.96,-1.43
450.42,-1.44
454.93,-1.44
459.48,-1.44
464.07,-1.44
468.71,-1.45
473.40,-1.45
478.13,-1.45
482.91,-1.45
487.74,-1.45
492.62,-1.45
497.55,-1.45
502.52,-1.46
507.55,-1.46
512.62,-1.46
517.75,-1.46
522.93,-1.46
528.16,-1.46
533.44,-1.45
538.77,-1.45
544.16,-1.45
549.60,-1.45
555.10,-1.45
560.65,-1.45
566.25,-1.44
571.92,-1.44
577.64,-1.44
583.41,-1.43
589.25,-1.43
595.14,-1.43
601.09,-1.42
607.10,-1.42
613.17,-1.41
619.30,-1.41
625.50,-1.40
631.75,-1.40
638.07,-1.39
644.45,-1.38
650.89,-1.37
657.40,-1.36
663.98,-1.35
670.62,-1.35
677.32,-1.34
684.10,-1.33
690.94,-1.32
697.85,-1.31
704.83,-1.30
711.87,-1.28
718.99,-1.27
726.18,-1.26
733.44,-1.24
740.78,-1.23
748.19,-1.21
755.67,-1.19
763.23,-1.17
770.86,-1.15
778.57,-1.13
786.35,-1.11
794.22,-1.08
802.16,-1.06
810.18,-1.03
818.28,-1.00
826.46,-0.97
834.73,-0.94
843.08,-0.91
851.51,-0.87
860.02,-0.83
868.62,-0.79
877.31,-0.75
886.08,-0.71
894.94,-0.66
903.89,-0.62
912.93,-0.57
922.06,-0.51
931.28,-0.46
940.59,-0.40
950.00,-0.34
959.50,-0.28
969.09,-0.22
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.29
1049.39,0.38
1059.88,0.46
1070.48,0.54
1081.19,0.63
1092.00,0.71
1102.92,0.80
1113.95,0.88
1125.09,0.97
1136.34,1.06
1147.70,1.15
1159.18,1.23
1170.77,1.32
1182.48,1.40
1194.30,1.49
1206.25,1.57
1218.31,1.65
1230.49,1.73
1242.80,1.81
1255.22,1.89
1267.78,1.96
1280.45,2.03
1293.26,2.10
1306.19,2.17
1319.25,2.24
1332.45,2.31
1345.77,2.37
1359.23,2.43
1372.82,2.49
1386.55,2.55
1400.41,2.60
1414.42,2.65
1428.56,2.71
1442.85,2.76
1457.28,2.81
1471.85,2.85
1486.57,2.90
1501.43,2.94
1516.45,2.98
1531.61,3.02
1546.93,3.06
1562.40,3.10
1578.02,3.13
1593.80,3.16
1609.74,3.19
1625.84,3.22
1642.10,3.25
1658.52,3.27
1675.10,3.29
1691.85,3.31
1708.77,3.33
1725.86,3.34
1743.12,3.35
1760.55,3.36
1778.15,3.37
1795.94,3.37
1813.90,3.36
1832.03,3.36
1850.36,3.35
1868.86,3.34
1887.55,3.32
1906.42,3.30
1925.49,3.28
1944.74,3.25
1964.19,3.22
1983.83,3.19
2003.67,3.15
2023.71,3.11
2043.94,3.07
2064.38,3.02
2085.03,2.97
2105.88,2.92
2126.94,2.86
2148.20,2.80
2169.69,2.74
2191.38,2.67
2213.30,2.60
2235.43,2.53
2257.78,2.46
2280.36,2.38
2303.17,2.30
2326.20,2.21
2349.46,2.13
2372.95,2.04
2396.68,1.95
2420.65,1.86
2444.86,1.77
2469.31,1.68
2494.00,1.59
2518.94,1.50
2544.13,1.40
2569.57,1.31
2595.27,1.22
2621.22,1.14
2647.43,1.05
2673.90,0.97
2700.64,0.89
2727.65,0.81
2754.93,0.74
2782.48,0.67
2810.30,0.60
2838.40,0.55
2866.79,0.49
2895.46,0.45
2924.41,0.41
2953.65,0.37
2983.19,0.35
3013.02,0.33
3043.15,0.32
3073.58,0.31
3104.32,0.32
3135.36,0.33
3166.72,0.35
3198.38,0.38
3230.37,0.42
3262.67,0.46
3295.30,0.50
3328.25,0.56
3361.53,0.62
3395.15,0.69
3429.10,0.76
3463.39,0.84
3498.03,0.92
3533.01,1.00
3568.34,1.09
3604.02,1.18
3640.06,1.28
3676.46,1.38
3713.22,1.49
3750.36,1.60
3787.86,1.72
3825.74,1.84
3864.00,1.97
3902.64,2.11
3941.66,2.24
3981.08,2.38
4020.89,2.51
4061.10,2.64
4101.71,2.75
4142.73,2.85
4184.15,2.93
4226.00,2.99
4268.26,3.03
4310.94,3.04
4354.05,3.02
4397.59,2.95
4441.56,2.85
4485.98,2.68
4530.84,2.45
4576.15,2.16
4621.91,1.83
4668.13,1.44
4714.81,1.02
4761.96,0.60
4809.58,0.19
4857.67,-0.18
4906.25,-0.46
4955.31,-0.67
5004.87,-0.76
5054.91,-0.70
5105.46,-0.55
5156.52,-0.30
5208.08,0.08
5260.16,0.52
5312.77,1.01
5365.89,1.53
5419.55,2.05
5473.75,2.54
5528.49,2.98
5583.77,3.33
5639.61,3.55
5696.00,3.73
5752.96,3.72
5810.49,3.66
5868.60,3.47
5927.28,3.23
5986.56,2.94
6046.42,2.62
6106.89,2.29
6167.96,1.95
6229.64,1.63
6291.93,1.32
6354.85,1.04
6418.40,0.79
6482.58,0.56
6547.41,0.38
6612.88,0.22
6679.01,0.10
6745.80,0.02
6813.26,-0.02
6881.39,-0.02
6950.21,0.01
7019.71,0.08
7089.91,0.18
7160.81,0.34
7232.41,0.54
7304.74,0.78
7377.79,1.10
7451.56,1.46
7526.08,1.89
