frequency,raw
20.00,7.17
20.20,7.16
20.40,7.15
20.61,7.14
20.81,7.12
21.02,7.10
21.23,7.09
21.44,7.07
21.66,7.05
21.87,7.04
22.09,7.02
22.31,7.00
22.54,6.99
22.76,6.97
22.99,6.95
23.22,6.93
23.45,6.91
23.69,6.89
23.92,6.87
24.16,6.85
24.40,6.82
24.65,6.80
24.89,6.78
25.14,6.75
25.39,6.73
25.65,6.70
25.91,6.68
26.16,6.65
26.43,6.62
26.69,6.60
26.96,6.57
27.23,6.55
27.50,6.52
27.77,6.49
28.05,6.46
28.33,6.43
28.62,6.40
28.90,6.36
29.19,6.34
29.48,6.31
29.78,6.28
30.08,6.25
30.38,6.22
30.68,6.18
30.99,6.15
31.30,6.11
31.61,6.07
31.93,6.03
32.24,5.99
32.57,5.95
32.89,5.92
33.22,5.88
33.55,5.85
33.89,5.81
34.23,5.77
34.57,5.73
34.92,5.69
35.27,5.65
35.62,5.61
35.97,5.57
36.33,5.52
36.70,5.48
37.06,5.44
37.43,5.40
37.81,5.36
38.19,5.32
38.57,5.27
38.95,5.23
39.34,5.18
39.74,5.13
40.14,5.09
40.54,5.04
40.94,5.00
41.35,4.95
41.76,4.90
42.18,4.86
42.60,4.81
43.03,4.76
43.46,4.71
43.90,4.66
44.33,4.62
44.78,4.58
45.23,4.54
45.68,4.49
46.13,4.43
46.60,4.37
47.06,4.32
47.53,4.26
48.01,4.21
48.49,4.16
48.97,4.11
49.46,4.06
49.96,4.01
50.46,3.97
50.96,3.92
51.47,3.88
51.99,3.82
52.51,3.77
53.03,3.72
53.56,3.67
54.10,3.62
54.64,3.57
55.18,3.52
55.74,3.47
56.29,3.42
56.86,3.37
57.42,3.32
58.00,3.27
58.58,3.20
59.16,3.13
59.76,3.07
60.35,3.03
60.96,2.99
61.57,2.95
62.18,2.91
62.80,2.87
63.43,2.82
64.07,2.77
64.71,2.72
65.35,2.67
66.01,2.63
66.67,2.58
67.33,2.53
68.01,2.48
68.69,2.43
69.37,2.39
70.07,2.34
70.77,2.29
71.48,2.25
72.19,2.20
72.91,2.16
73.64,2.12
74.38,2.07
75.12,2.03
75.87,1.98
76.63,1.94
77.40,1.90
78.17,1.86
78.95,1.81
79.74,1.77
80.54,1.73
81.35,1.69
82.16,1.65
82.98,1.61
83.81,1.57
84.65,1.53
85.50,1.50
86.35,1.46
87.22,1.42
88.09,1.39
88.97,1.35
89.86,1.31
90.76,1.28
91.66,1.25
92.58,1.21
93.51,1.18
94.44,1.15
95.39,1.11
96.34,1.08
97.30,1.05
98.28,1.02
99.26,0.99
100.25,0.96
101.25,0.93
102.27,0.90
103.29,0.87
104.32,0.84
105.37,0.82
106.42,0.79
107.48,0.76
108.56,0.74
109.64,0.71
110.74,0.69
111.85,0.66
112.97,0.64
114.10,0.62
115.24,0.59
116.39,0.57
117.55,0.55
118.73,0.52
119.92,0.50
121.12,0.48
122.33,0.46
123.55,0.44
124.79,0.42
126.03,0.40
127.29,0.38
128.57,0.36
129.85,0.35
131.15,0.33
132.46,0.31
133.79,0.30
135.12,0.28
136.48,0.26
137.84,0.25
139.22,0.23
140.61,0.21
142.02,0.20
143.44,0.18
144.87,0.17
146.32,0.16
147.78,0.14
149.26,0.13
150.75,0.11
152.26,0.10
153.78,0.09
155.32,0.07
156.88,0.06
158.44,0.05
160.03,0.04
161.63,0.02
163.24,0.01
164.88,-0.00
166.53,-0.02
168.19,-0.03
169.87,-0.04
171.57,-0.05
173.29,-0.07
175.02,-0.08
176.77,-0.10
178.54,-0.11
180.32,-0.12
182.13,-0.13
183.95,-0.13
185.79,-0.13
187.65,-0.12
189.52,-0.11
191.42,-0.10
193.33,-0.10
195.27,-0.10
197.22,-0.11
199.19,-0.12
201.18,-0.13
203.19,-0.14
205.23,-0.14
207.28,-0.14
209.35,-0.14
211.44,-0.12
213.56,-0.10
215.69,-0.10
217.85,-0.09
220.03,-0.10
222.23,-0.11
224.45,-0.12
226.70,-0.13
228.96,-0.14
231.25,-0.15
233.57,-0.16
235.90,-0.17
238.26,-0.18
240.64,-0.19
243.05,-0.19
245.48,-0.20
247.93,-0.21
250.41,-0.22
252.92,-0.22
255.45,-0.23
258.00,-0.24
260.58,-0.24
263.19,-0.25
265.82,-0.26
268.48,-0.26
271.16,-0.27
273.87,-0.27
276.61,-0.28
279.38,-0.28
282.17,-0.29
284.99,-0.29
287.84,-0.29
290.72,-0.30
293.63,-0.30
296.57,-0.31
299.53,-0.31
302.53,-0.32
305.55,-0.33
308.61,-0.33
311.69,-0.33
314.81,-0.34
317.96,-0.34
321.14,-0.34
324.35,-0.34
327.59,-0.35
330.87,-0.35
334.18,-0.36
337.52,-0.37
