frequency,raw
20.00,7.11
20.20,7.10
20.40,7.09
20.61,7.08
20.81,7.06
21.02,7.05
21.23,7.03
21.44,7.02
21.66,7.00
21.87,6.98
22.09,6.96
22.31,6.95
22.54,6.93
22.76,6.91
22.99,6.89
23.22,6.87
23.45,6.85
23.69,6.83
23.92,6.81
24.16,6.79
24.40,6.76
24.65,6.74
24.89,6.72
25.14,6.69
25.39,6.66
25.65,6.64
25.91,6.61
26.16,6.59
26.43,6.56
26.69,6.53
26.96,6.50
27.23,6.48
27.50,6.45
27.77,6.42
28.05,6.40
28.33,6.37
28.62,6.34
28.90,6.30
29.19,6.27
29.48,6.24
29.78,6.21
30.08,6.18
30.38,6.15
30.68,6.11
30.99,6.08
31.30,6.05
31.61,6.01
31.93,5.97
32.24,5.93
32.57,5.89
32.89,5.86
33.22,5.82
33.55,5.78
33.89,5.74
34.23,5.70
34.57,5.66
34.92,5.62
35.27,5.58
35.62,5.54
35.97,5.50
36.33,5.46
36.70,5.42
37.06,5.38
37.43,5.33
37.81,5.29
38.19,5.25
38.57,5.20
38.95,5.16
39.34,5.11
39.74,5.07
40.14,5.02
40.54,4.98
40.94,4.93
41.35,4.89
41.76,4.84
42.18,4.79
42.60,4.74
43.03,4.70
43.46,4.65
43.90,4.61
44.33,4.56
44.78,4.51
45.23,4.46
45.68,4.41
46.13,4.36
46.60,4.31
47.06,4.26
47.53,4.21
48.01,4.16
48.49,4.11
48.97,4.06
49.46,4.01
49.96,3.96
50.46,3.91
50.96,3.86
51.47,3.81
51.99,3.76
52.51,3.71
53.03,3.66
53.56,3.61
54.10,3.56
54.64,3.51
55.18,3.46
55.74,3.41
56.29,3.36
56.86,3.31
57.42,3.26
58.00,3.21
58.58,3.16
59.16,3.11
59.76,3.06
60.35,3.01
60.96,2.96
61.57,2.91
62.18,2.86
62.80,2.81
63.43,2.77
64.07,2.72
64.71,2.67
65.35,2.62
66.01,2.57
66.67,2.52
67.33,2.48
68.01,2.43
68.69,2.39
69.37,2.34
70.07,2.29
70.77,2.25
71.48,2.20
72.19,2.16
72.91,2.11
73.64,2.07
74.38,2.03
75.12,1.98
75.87,1.94
76.63,1.90
77.40,1.86
78.17,1.81
78.95,1.77
79.74,1.73
80.54,1.69
81.35,1.65
82.16,1.62
82.98,1.58
83.81,1.54
84.65,1.50
85.50,1.46
86.35,1.43
87.22,1.39
88.09,1.35
88.97,1.32
89.86,1.28
90.76,1.25
91.66,1.22
92.58,1.18
93.51,1.15
94.44,1.12
95.39,1.09
96.34,1.06
97.30,1.03
98.28,1.00
99.26,0.97
100.25,0.94
101.25,0.91
102.27,0.88
103.29,0.85
104.32,0.83
105.37,0.80
106.42,0.77
107.48,0.75
108.56,0.72
109.64,0.70
110.74,0.68
111.85,0.65
112.97,0.63
114.10,0.61
115.24,0.58
116.39,0.56
117.55,0.54
118.73,0.52
119.92,0.50
121.12,0.48
122.33,0.46
123.55,0.44
124.79,0.43
126.03,0.41
127.29,0.39
128.57,0.37
129.85,0.35
131.15,0.34
132.46,0.32
133.79,0.30
135.12,0.29
136.48,0.27
137.84,0.26
139.22,0.24
140.61,0.23
142.02,0.22
143.44,0.20
144.87,0.19
146.32,0.18
147.78,0.16
149.26,0.15
150.75,0.14
152.26,0.13
153.78,0.11
155.32,0.10
156.88,0.09
158.44,0.08
160.03,0.07
161.63,0.06
163.24,0.05
164.88,0.04
166.53,0.03
168.19,0.02
169.87,0.01
171.57,0.00
173.29,-0.01
175.02,-0.01
176.77,-0.02
178.54,-0.03
180.32,-0.04
182.13,-0.05
183.95,-0.06
185.79,-0.06
187.65,-0.07
189.52,-0.08
191.42,-0.09
193.33,-0.09
195.27,-0.10
197.22,-0.11
199.19,-0.12
201.18,-0.12
203.19,-0.13
205.23,-0.14
207.28,-0.14
209.35,-0.15
211.44,-0.16
213.56,-0.16
215.69,-0.17
217.85,-0.17
220.03,-0.18
222.23,-0.19
224.45,-0.19
226.70,-0.20
228.96,-0.21
231.25,-0.21
233.57,-0.22
235.90,-0.22
238.26,-0.23
240.64,-0.24
243.05,-0.24
245.48,-0.25
247.93,-0.25
250.41,-0.26
252.92,-0.26
255.45,-0.27
258.00,-0.27
260.58,-0.27
263.19,-0.27
265.82,-0.27
268.48,-0.28
271.16,-0.28
273.87,-0.28
276.61,-0.28
279.38,-0.28
282.17,-0.28
284.99,-0.28
287.84,-0.29
290.72,-0.29
293.63,-0.29
296.57,-0.30
299.53,-0.30
302.53,-0.31
305.55,-0.31
308.61,-0.32
311.69,-0.32
314.81,-0.32
317.96,-0.33
321.14,-0.33
324.35,-0.34
327.59,-0.34
330.87,-0.35
334.18,-0.36
337.52,-0.36
340.90,-0.36
344.30,-0.37
347.75,-0.38
351.23,-0.38
354.74,-0.39
358.28,-0.40
361.87,-0.40
365.49,-0.41
369.14,-0.41
372.83,-0.42
376.56,-0.42
380.33,-0.43
384.13,-0.43
387.97,-0.44
391.85,-0.44
395.77,-0.44
399.73,-0.45
403.72,-0.45
407.76,-0.46
411.84,-0.46
415.96,-0.47
420.12,-0.47
424.32,-0.48
428.56,-0.48
432.85,-0.49
437.18,-0.49
441.55,-0.50
445.96,-0.50
450.42,-0.51
454.93,-0.52
459.48,-0.52
464.07,-0.53
468.71,-0.53
473.40,-0.54
478.13,-0.54
482.91,-0.55
487.74,-0.56
492.62,-0.56
497.55,-0.57
502.52,-0.57
507.55,-0.58
512.62,-0.59
517.75,-0.59
522.93,-0.60
528.16,-0.60
533.44,-0.61
538.77,-0.62
544.16,-0.62
549.60,-0.63
555.10,-0.63
560.65,-0.64
566.25,-0.65
571.92,-0.65
577.64,-0.66
583.41,-0.66
589.25,-0.67
595.14,-0.67
601.09,-0.68
607.10,-0.68
613.17,-0.69
619.30,-0.69
625.50,-0.70
631.75,-0.70
638.07,-0.71
644.45,-0.71
650.89,-0.72
657.40,-0.72
663.98,-0.72
670.62,-0.73
677.32,-0.73
684.10,-0.73
690.94,-0.73
697.85,-0.74
704.83,-0.74
711.87,-0.74
718.99,-0.74
726.18,-0.74
733.44,-0.74
740.78,-0.74
748.19,-0.73
755.67,-0.73
763.23,-0.72
770.86,-0.72
778.57,-0.71
786.35,-0.70
794.22,-0.70
802.16,-0.69
810.18,-0.68
818.28,-0.66
826.46,-0.65
834.73,-0.64
843.08,-0.62
851.51,-0.60
860.02,-0.58
868.62,-0.56
877.31,-0.54
886.08,-0.51
894.94,-0.48
903.89,-0.45
912.93,-0.42
922.06,-0.38
931.28,-0.35
940.59,-0.31
950.00,-0.26
959.50,-0.22
969.09,-0.17
978.78,-0.12
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.24
1049.39,0.30
1059.88,0.37
1070.48,0.44
1081.19,0.51
1092.00,0.58
1102.92,0.66
1113.95,0.73
1125.09,0.80
1136.34,0.88
1147.70,0.95
1159.18,1.02
1170.77,1.09
1182.48,1.16
1194.30,1.23
1206.25,1.30
1218.31,1.36
1230.49,1.42
1242.80,1.48
1255.22,1.54
1267.78,1.60
1280.45,1.65
1293.26,1.70
1306.19,1.75
1319.25,1.80
1332.45,1.84
1345.77,1.88
1359.23,1.92
1372.82,1.96
1386.55,2.00
1400.41,2.03
1414.42,2.06
1428.56,2.10
1442.85,2.13
1457.28,2.16
1471.85,2.19
1486.57,2.22
1501.43,2.25
1516.45,2.28
1531.61,2.32
1546.93,2.35
1562.40,2.39
1578.02,2.43
1593.80,2.47
1609.74,2.52
1625.84,2.56
1642.10,2.60
1658.52,2.64
1675.10,2.69
1691.85,2.73
1708.77,2.78
1725.86,2.82
1743.12,2.87
1760.55,2.92
1778.15,2.97
1795.94,3.02
1813.90,3.07
1832.03,3.13
1850.36,3.19
1868.86,3.25
1887.55,3.31
1906.42,3.37
1925.49,3.44
1944.74,3.51
1964.19,3.58
1983.83,3.65
2003.67,3.73
2023.71,3.81
2043.94,3.89
2064.38,3.97
2085.03,4.06
2105.88,4.15
2126.94,4.24
2148.20,4.33
2169.69,4.42
