frequency,raw
20.00,7.18
20.20,7.17
20.40,7.16
20.61,7.14
20.81,7.13
21.02,7.11
21.23,7.09
21.44,7.07
21.66,7.05
21.87,7.04
22.09,7.02
22.31,7.00
22.54,6.98
22.76,6.96
22.99,6.95
23.22,6.93
23.45,6.91
23.69,6.89
23.92,6.87
24.16,6.85
24.40,6.83
24.65,6.80
24.89,6.78
25.14,6.75
25.39,6.73
25.65,6.70
25.91,6.67
26.16,6.65
26.43,6.62
26.69,6.59
26.96,6.57
27.23,6.54
27.50,6.50
27.77,6.47
28.05,6.44
28.33,6.41
28.62,6.38
28.90,6.35
29.19,6.32
29.48,6.29
29.78,6.26
30.08,6.22
30.38,6.18
30.68,6.14
30.99,6.11
31.30,6.08
31.61,6.05
31.93,6.01
32.24,5.98
32.57,5.94
32.89,5.90
33.22,5.87
33.55,5.83
33.89,5.80
34.23,5.76
34.57,5.73
34.92,5.68
35.27,5.64
35.62,5.60
35.97,5.55
36.33,5.51
36.70,5.47
37.06,5.42
37.43,5.38
37.81,5.34
38.19,5.29
38.57,5.25
38.95,5.21
39.34,5.16
39.74,5.12
40.14,5.07
40.54,5.02
40.94,4.98
41.35,4.93
41.76,4.89
42.18,4.84
42.60,4.79
43.03,4.74
43.46,4.70
43.90,4.65
44.33,4.60
44.78,4.54
45.23,4.49
45.68,4.44
46.13,4.40
46.60,4.36
47.06,4.30
47.53,4.25
48.01,4.20
48.49,4.16
48.97,4.11
49.46,4.06
49.96,4.00
50.46,3.96
50.96,3.91
51.47,3.87
51.99,3.81
52.51,3.76
53.03,3.70
53.56,3.65
54.10,3.60
54.64,3.56
55.18,3.51
55.74,3.45
56.29,3.39
56.86,3.33
57.42,3.29
58.00,3.25
58.58,3.21
59.16,3.17
59.76,3.11
60.35,3.06
60.96,3.01
61.57,2.95
62.18,2.90
62.80,2.85
63.43,2.80
64.07,2.75
64.71,2.70
65.35,2.65
66.01,2.61
66.67,2.56
67.33,2.51
68.01,2.47
68.69,2.42
69.37,2.37
70.07,2.33
70.77,2.28
71.48,2.24
72.19,2.19
72.91,2.15
73.64,2.10
74.38,2.06
75.12,2.02
75.87,1.97
76.63,1.93
77.40,1.89
78.17,1.85
78.95,1.80
79.74,1.76
80.54,1.72
81.35,1.68
82.16,1.64
82.98,1.60
83.81,1.57
84.65,1.53
85.50,1.49
86.35,1.45
87.22,1.42
88.09,1.38
88.97,1.35
89.86,1.31
90.76,1.28
91.66,1.24
92.58,1.21
93.51,1.18
94.44,1.14
95.39,1.11
96.34,1.07
97.30,1.05
98.28,1.02
99.26,0.99
100.25,0.96
101.25,0.93
102.27,0.90
103.29,0.87
104.32,0.85
105.37,0.82
106.42,0.79
107.48,0.77
108.56,0.74
109.64,0.72
110.74,0.69
111.85,0.67
112.97,0.64
114.10,0.62
115.24,0.60
116.39,0.58
117.55,0.55
118.73,0.53
119.92,0.51
121.12,0.49
122.33,0.47
123.55,0.45
124.79,0.43
126.03,0.41
127.29,0.39
128.57,0.37
129.85,0.36
131.15,0.34
132.46,0.32
133.79,0.30
135.12,0.29
136.48,0.27
137.84,0.25
139.22,0.24
140.61,0.22
142.02,0.21
143.44,0.19
144.87,0.18
146.32,0.16
147.78,0.15
149.26,0.14
150.75,0.12
152.26,0.11
153.78,0.09
155.32,0.08
156.88,0.07
158.44,0.05
160.03,0.04
161.63,0.03
163.24,0.01
164.88,-0.00
166.53,-0.02
168.19,-0.03
169.87,-0.05
171.57,-0.06
173.29,-0.08
175.02,-0.09
176.77,-0.11
178.54,-0.13
180.32,-0.14
182.13,-0.16
183.95,-0.18
185.79,-0.20
187.65,-0.21
189.52,-0.22
191.42,-0.20
193.33,-0.18
195.27,-0.13
197.22,-0.09
199.19,-0.05
201.18,-0.03
203.19,-0.02
205.23,-0.03
207.28,-0.03
209.35,-0.03
211.44,-0.02
213.56,-0.00
215.69,0.01
217.85,0.02
220.03,0.03
222.23,0.02
224.45,0.01
226.70,-0.00
228.96,-0.01
231.25,-0.02
233.57,-0.04
235.90,-0.05
238.26,-0.06
240.64,-0.07
243.05,-0.08
245.48,-0.09
247.93,-0.10
250.41,-0.11
252.92,-0.12
255.45,-0.13
258.00,-0.13
260.58,-0.14
263.19,-0.15
265.82,-0.16
268.48,-0.17
271.16,-0.17
273.87,-0.18
276.61,-0.19
279.38,-0.19
282.17,-0.20
284.99,-0.21
287.84,-0.21
290.72,-0.22
293.63,-0.23
296.57,-0.23
299.53,-0.24
302.53,-0.25
305.55,-0.25
308.61,-0.26
311.69,-0.26
314.81,-0.27
317.96,-0.28
321.14,-0.28
324.35,-0.29
327.59,-0.29
330.87,-0.30
334.18,-0.31
337.52,-0.32
340.90,-0.32
344.30,-0.33
347.75,-0.34
351.23,-0.34
354.74,-0.35
358.28,-0.36
361.87,-0.36
365.49,-0.37
369.14,-0.37
372.83,-0.38
376.56,-0.38
380.33,-0.38
384.13,-0.38
387.97,-0.37
391.85,-0.37
395.77,-0.38
399.73,-0.38
403.72,-0.38
407.76,-0.38
411.84,-0.38
415.96,-0.39
420.12,-0.39
424.32,-0.40
428.56,-0.41
432.85,-0.41
437.18,-0.42
441.55,-0.43
445.96,-0.44
450.42,-0.44
454.93,-0.45
459.48,-0.46
464.07,-0.46
468.71,-0.47
473.40,-0.47
478.13,-0.48
482.91,-0.48
487.74,-0.49
492.62,-0.50
497.55,-0.50
502.52,-0.51
507.55,-0.52
512.62,-0.52
517.75,-0.53
522.93,-0.54
528.16,-0.54
533.44,-0.55
538.77,-0.56
544.16,-0.56
549.60,-0.57
555.10,-0.58
560.65,-0.58
566.25,-0.59
571.92,-0.60
577.64,-0.60
583.41,-0.61
589.25,-0.61
595.14,-0.62
601.09,-0.63
607.10,-0.63
613.17,-0.64
619.30,-0.64
625.50,-0.65
631.75,-0.65
638.07,-0.66
644.45,-0.66
650.89,-0.67
657.40,-0.67
663.98,-0.68
670.62,-0.68
677.32,-0.68
684.10,-0.69
690.94,-0.69
697.85,-0.69
704.83,-0.70
711.87,-0.70
718.99,-0.70
726.18,-0.70
733.44,-0.70
740.78,-0.70
748.19,-0.70
755.67,-0.69
763.23,-0.69
770.86,-0.69
778.57,-0.68
786.35,-0.67
794.22,-0.67
802.16,-0.66
810.18,-0.65
818.28,-0.64
826.46,-0.63
834.73,-0.61
843.08,-0.60
851.51,-0.58
860.02,-0.56
868.62,-0.54
877.31,-0.52
886.08,-0.49
894.94,-0.46
903.89,-0.43
912.93,-0.40
922.06,-0.37
931.28,-0.33
940.59,-0.30
950.00,-0.25
959.50,-0.21
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.23
1049.39,0.30
1059.88,0.36
1070.48,0.43
1081.19,0.50
1092.00,0.57
1102.92,0.64
1113.95,0.71
1125.09,0.79
1136.34,0.86
1147.70,0.93
1159.18,1.00
1170.77,1.07
1182.48,1.13
1194.30,1.20
1206.25,1.27
1218.31,1.33
1230.49,1.39
1242.80,1.45
1255.22,1.50
1267.78,1.56
1280.45,1.61
1293.26,1.65
1306.19,1.70
1319.25,1.75
1332.45,1.79
1345.77,1.83
1359.23,1.86
1372.82,1.90
1386.55,1.93
1400.41,1.96
1414.42,2.00
1428.56,2.03
1442.85,2.05
1457.28,2.08
1471.85,2.11
1486.57,2.14
1501.43,2.17
1516.45,2.20
1531.61,2.23
1546.93,2.26
1562.40,2.30
1578.02,2.33
1593.80,2.37
1609.74,2.41
1625.84,2.45
1642.10,2.49
1658.52,2.53
1675.10,2.56
1691.85,2.61
1708.77,2.65
1725.86,2.69
1743.12,2.73
1760.55,2.77
1778.15,2.82
1795.94,2.87
1813.90,2.92
1832.03,2.97
1850.36,3.02
1868.86,3.08
1887.55,3.14
1906.42,3.19
1925.49,3.26
1944.74,3.32
1964.19,3.39
1983.83,3.46
2003.67,3.53
2023.71,3.60
2043.94,3.68
2064.38,3.76
2085.03,3.84
2105.88,3.92
2126.94,4.01
2148.20,4.09
2169.69,4.18
2191.38,4.27
2213.30,4.36
2235.43,4.44
2257.78,4.53
2280.36,4.62
2303.17,4.70
2326.20,4.78
2349.46,4.85
2372.95,4.91
2396.68,4.97
2420.65,5.02
2444.86,5.06
2469.31,5.08
2494.00,5.08
2518.94,5.07
2544.13,5.04
2569.57,4.98
2595.27,4.91
2621.22,4.82
2647.43,4.71
2673.90,4.59
2700.64,4.46
2727.65,4.34
2754.93,4.22
2782.48,4.14
2810.30,4.09
2838.40,4.07
2866.79,4.09
2895.46,4.14
2924.41,4.22
2953.65,4.31
2983.19,4.43
3013.02,4.54
3043.15,4.66
3073.58,4.77
3104.32,4.88
3135.36,4.98
3166.72,5.08
3198.38,5.17
3230.37,5.24
3262.67,5.31
3295.30,5.37
3328.25,5.41
3361.53,5.46
3395.15,5.49
3429.10,5.52
3463.39,5.53
3498.03,5.55
3533.01,5.55
3568.34,5.54
3604.02,5.53
3640.06,5.51
3676.46,5.48
3713.22,5.44
3750.36,5.40
3787.86,5.35
3825.74,5.30
3864.00,5.23
3902.64,5.17
3941.66,5.10
3981.08,5.03
4020.89,4.95
4061.10,4.87
4101.71,4.79
4142.73,4.70
4184.15,4.62
4226.00,4.53
4268.26,4.44
4310.94,4.35
4354.05,4.26
4397.59,4.17
4441.56,4.07
4485.98,3.98
4530.84,3.89
4576.15,3.81
4621.91,3.72
4668.13,3.63
4714.81,3.55
4761.96,3.47
4809.58,3.38
4857.67,3.30
4906.25,3.23
4955.31,3.15
5004.87,3.08
5054.91,3.01
5105.46,2.95
5156.52,2.88
5208.08,2.82
5260.16,2.76
5312.77,2.70
5365.89,2.65
5419.55,2.59
5473.75,2.54
5528.49,2.49
5583.77,2.44
5639.61,2.40
5696.00,2.36
5752.96,2.37
5810.49,2.39
5868.60,2.41
5927.28,2.42
5986.56,2.42
6046.42,2.40
6106.89,2.37
6167.96,2.34
6229.64,2.32
6291.93,2.31
6354.85,2.30
6418.40,2.29
6482.58,2.29
6547.41,2.30
6612.88,2.32
6679.01,2.35
6745.80,2.39
6813.26,2.44
6881.39,2.50
6950.21,2.57
7019.71,2.65
7089.91,2.75
7160.81,2.88
7232.41,3.02
7304.74,3.19
7377.79,3.38
7451.56,3.58
7526.08,3.79
7601.34,4.01
7677.35,4.23
7754.13,4.44
7831.67,4.62
7909.98,4.77
7989.08,4.87
8068.98,4.88
8149.67,4.84
