frequency,raw
20.00,7.71
20.20,7.74
20.40,7.76
20.61,7.79
20.81,7.82
21.02,7.84
21.23,7.86
21.44,7.89
21.66,7.92
21.87,7.95
22.09,7.97
22.31,8.00
22.54,8.02
22.76,8.05
22.99,8.07
23.22,8.10
23.45,8.12
23.69,8.15
23.92,8.17
24.16,8.20
24.40,8.22
24.65,8.25
24.89,8.27
25.14,8.29
25.39,8.30
25.65,8.32
25.91,8.34
26.16,8.35
26.43,8.37
26.69,8.39
26.96,8.41
27.23,8.42
27.50,8.44
27.77,8.45
28.05,8.46
28.33,8.48
28.62,8.49
28.90,8.51
29.19,8.52
29.48,8.53
29.78,8.54
30.08,8.54
30.38,8.55
30.68,8.55
30.99,8.56
31.30,8.57
31.61,8.58
31.93,8.58
32.24,8.59
32.57,8.60
32.89,8.61
33.22,8.62
33.55,8.62
33.89,8.63
34.23,8.63
34.57,8.63
34.92,8.63
35.27,8.64
35.62,8.64
35.97,8.64
36.33,8.64
36.70,8.65
37.06,8.65
37.43,8.65
37.81,8.65
38.19,8.65
38.57,8.65
38.95,8.64
39.34,8.64
39.74,8.63
40.14,8.63
40.54,8.62
40.94,8.62
41.35,8.62
41.76,8.61
42.18,8.60
42.60,8.59
43.03,8.59
43.46,8.58
43.90,8.57
44.33,8.56
44.78,8.56
45.23,8.55
45.68,8.54
46.13,8.52
46.60,8.51
47.06,8.50
47.53,8.49
48.01,8.48
48.49,8.46
48.97,8.45
49.46,8.44
49.96,8.43
50.46,8.41
50.96,8.40
51.47,8.38
51.99,8.36
52.51,8.35
53.03,8.33
53.56,8.31
54.10,8.29
54.64,8.28
55.18,8.26
55.74,8.23
56.29,8.21
56.86,8.20
57.42,8.17
58.00,8.15
58.58,8.13
59.16,8.11
59.76,8.09
60.35,8.06
60.96,8.03
61.57,8.01
62.18,8.01
62.80,7.97
63.43,7.95
64.07,7.93
64.71,7.92
65.35,7.88
66.01,7.84
66.67,7.81
67.33,7.79
68.01,7.76
68.69,7.73
69.37,7.70
70.07,7.68
70.77,7.64
71.48,7.61
72.19,7.58
72.91,7.55
73.64,7.52
74.38,7.48
75.12,7.45
75.87,7.42
76.63,7.39
77.40,7.36
78.17,7.32
78.95,7.29
79.74,7.25
80.54,7.22
81.35,7.18
82.16,7.14
82.98,7.11
83.81,7.07
84.65,7.04
85.50,7.00
86.35,6.96
87.22,6.93
88.09,6.89
88.97,6.85
89.86,6.81
90.76,6.77
91.66,6.73
92.58,6.69
93.51,6.65
94.44,6.61
95.39,6.56
96.34,6.52
97.30,6.48
98.28,6.44
99.26,6.40
100.25,6.36
101.25,6.31
102.27,6.27
103.29,6.23
104.32,6.18
105.37,6.14
106.42,6.10
107.48,6.05
108.56,6.00
109.64,5.96
110.74,5.91
111.85,5.87
112.97,5.82
114.10,5.78
115.24,5.73
116.39,5.68
117.55,5.63
118.73,5.59
119.92,5.55
121.12,5.50
122.33,5.44
123.55,5.39
124.79,5.35
126.03,5.30
127.29,5.25
128.57,5.20
129.85,5.15
131.15,5.10
132.46,5.05
133.79,5.00
135.12,4.95
136.48,4.90
137.84,4.85
139.22,4.80
140.61,4.75
142.02,4.70
143.44,4.65
144.87,4.60
146.32,4.55
147.78,4.50
149.26,4.45
150.75,4.39
152.26,4.34
153.78,4.29
155.32,4.24
156.88,4.18
158.44,4.13
160.03,4.08
161.63,4.03
163.24,3.97
164.88,3.92
166.53,3.87
168.19,3.81
169.87,3.76
171.57,3.71
173.29,3.66
175.02,3.60
176.77,3.55
178.54,3.49
180.32,3.42
182.13,3.38
183.95,3.32
185.79,3.26
187.65,3.20
189.52,3.14
191.42,3.08
193.33,3.02
195.27,2.97
197.22,2.93
199.19,2.91
201.18,2.90
203.19,2.89
205.23,2.87
207.28,2.83
209.35,2.78
211.44,2.73
213.56,2.69
215.69,2.65
217.85,2.61
220.03,2.57
222.23,2.53
224.45,2.49
226.70,2.44
228.96,2.39
231.25,2.34
233.57,2.29
235.90,2.24
238.26,2.19
240.64,2.14
243.05,2.09
245.48,2.04
247.93,1.99
250.41,1.94
252.92,1.89
255.45,1.84
258.00,1.80
260.58,1.75
263.19,1.70
265.82,1.65
268.48,1.60
271.16,1.56
273.87,1.51
276.61,1.46
279.38,1.41
282.17,1.37
284.99,1.32
287.84,1.28
290.72,1.23
293.63,1.19
296.57,1.14
299.53,1.10
302.53,1.06
305.55,1.01
308.61,0.97
311.69,0.93
314.81,0.88
317.96,0.85
321.14,0.80
324.35,0.76
327.59,0.72
330.87,0.68
334.18,0.64
337.52,0.60
340.90,0.56
344.30,0.52
347.75,0.48
351.23,0.44
354.74,0.40
358.28,0.36
361.87,0.32
365.49,0.29
369.14,0.25
372.83,0.21
376.56,0.18
380.33,0.14
384.13,0.10
387.97,0.06
391.85,0.03
395.77,-0.00
399.73,-0.04
403.72,-0.07
407.76,-0.10
411.84,-0.13
415.96,-0.16
420.12,-0.19
