frequency,raw
20.00,9.76
20.20,9.78
20.40,9.79
20.61,9.81
20.81,9.82
21.02,9.84
21.23,9.86
21.44,9.87
21.66,9.88
21.87,9.89
22.09,9.90
22.31,9.90
22.54,9.91
22.76,9.91
22.99,9.92
23.22,9.93
23.45,9.94
23.69,9.95
23.92,9.96
24.16,9.97
24.40,9.98
24.65,9.98
24.89,9.98
25.14,9.99
25.39,9.99
25.65,9.99
25.91,9.99
26.16,10.00
26.43,10.00
26.69,10.00
26.96,10.00
27.23,10.00
27.50,10.00
27.77,10.00
28.05,10.00
28.33,9.99
28.62,9.99
28.90,9.99
29.19,9.98
29.48,9.98
29.78,9.98
30.08,9.97
30.38,9.97
30.68,9.96
30.99,9.96
31.30,9.95
31.61,9.95
31.93,9.94
32.24,9.93
32.57,9.93
32.89,9.92
33.22,9.91
33.55,9.90
33.89,9.90
34.23,9.89
34.57,9.88
34.92,9.87
35.27,9.85
35.62,9.84
35.97,9.83
36.33,9.82
36.70,9.80
37.06,9.79
37.43,9.78
37.81,9.76
38.19,9.75
38.57,9.73
38.95,9.72
39.34,9.70
39.74,9.69
40.14,9.67
40.54,9.65
40.94,9.63
41.35,9.62
41.76,9.60
42.18,9.58
42.60,9.56
43.03,9.54
43.46,9.52
43.90,9.50
44.33,9.48
44.78,9.46
45.23,9.43
45.68,9.41
46.13,9.39
46.60,9.37
47.06,9.35
47.53,9.33
48.01,9.30
48.49,9.28
48.97,9.26
49.46,9.23
49.96,9.21
50.46,9.17
50.96,9.14
51.47,9.12
51.99,9.09
52.51,9.06
53.03,9.02
53.56,8.99
54.10,8.97
54.64,8.95
55.18,8.92
55.74,8.88
56.29,8.85
56.86,8.82
57.42,8.79
58.00,8.76
58.58,8.73
59.16,8.70
59.76,8.67
60.35,8.64
60.96,8.60
61.57,8.56
62.18,8.53
62.80,8.50
63.43,8.47
64.07,8.43
64.71,8.39
65.35,8.35
66.01,8.32
66.67,8.28
67.33,8.25
68.01,8.21
68.69,8.17
69.37,8.13
70.07,8.09
70.77,8.05
71.48,8.01
72.19,7.97
72.91,7.93
73.64,7.89
74.38,7.85
75.12,7.81
75.87,7.77
76.63,7.73
77.40,7.69
78.17,7.65
78.95,7.61
79.74,7.56
80.54,7.52
81.35,7.48
82.16,7.43
82.98,7.39
83.81,7.35
84.65,7.30
85.50,7.26
86.35,7.21
87.22,7.17
88.09,7.12
88.97,7.08
89.86,7.03
90.76,6.98
91.66,6.94
92.58,6.89
93.51,6.84
94.44,6.80
95.39,6.75
