frequency,raw
20.00,11.24
20.20,11.23
20.40,11.23
20.61,11.22
20.81,11.21
21.02,11.20
21.23,11.18
21.44,11.17
21.66,11.15
21.87,11.13
22.09,11.12
22.31,11.10
22.54,11.08
22.76,11.06
22.99,11.04
23.22,11.03
23.45,11.02
23.69,11.00
23.92,10.99
24.16,10.98
24.40,10.96
24.65,10.95
24.89,10.93
25.14,10.90
25.39,10.88
25.65,10.86
25.91,10.84
26.16,10.83
26.43,10.81
26.69,10.79
26.96,10.77
27.23,10.75
27.50,10.73
27.77,10.70
28.05,10.68
28.33,10.65
28.62,10.63
28.90,10.60
29.19,10.58
29.48,10.56
29.78,10.53
30.08,10.50
30.38,10.47
30.68,10.45
30.99,10.42
31.30,10.39
31.61,10.36
31.93,10.34
32.24,10.31
32.57,10.28
32.89,10.26
33.22,10.23
33.55,10.20
33.89,10.17
34.23,10.14
34.57,10.11
34.92,10.08
35.27,10.05
35.62,10.01
35.97,9.98
36.33,9.95
36.70,9.91
37.06,9.88
37.43,9.84
37.81,9.81
38.19,9.77
38.57,9.74
38.95,9.71
39.34,9.67
39.74,9.64
40.14,9.60
40.54,9.57
40.94,9.53
41.35,9.49
41.76,9.45
42.18,9.41
42.60,9.37
43.03,9.33
43.46,9.29
43.90,9.25
44.33,9.21
44.78,9.17
45.23,9.13
45.68,9.09
46.13,9.05
46.60,9.00
47.06,8.96
47.53,8.92
48.01,8.87
48.49,8.83
48.97,8.79
49.46,8.74
49.96,8.70
50.46,8.65
50.96,8.61
51.47,8.56
51.99,8.51
52.51,8.47
53.03,8.42
53.56,8.37
54.10,8.32
54.64,8.28
55.18,8.23
55.74,8.18
56.29,8.13
56.86,8.08
57.42,8.03
58.00,7.98
58.58,7.93
59.16,7.88
59.76,7.84
60.35,7.79
60.96,7.73
61.57,7.67
62.18,7.62
62.80,7.56
63.43,7.51
64.07,7.46
64.71,7.41
65.35,7.35
66.01,7.30
66.67,7.24
67.33,7.19
68.01,7.13
68.69,7.08
69.37,7.02
70.07,6.97
70.77,6.91
71.48,6.85
72.19,6.79
72.91,6.74
73.64,6.68
74.38,6.63
75.12,6.57
75.87,6.51
76.63,6.45
77.40,6.39
78.17,6.33
78.95,6.27
79.74,6.21
80.54,6.15
81.35,6.09
82.16,6.04
82.98,5.98
83.81,5.92
84.65,5.86
85.50,5.80
86.35,5.73
87.22,5.67
88.09,5.61
88.97,5.55
89.86,5.49
90.76,5.43
91.66,5.36
92.58,5.30
93.51,5.24
94.44,5.18
95.39,5.11
96.34,5.06
97.30,4.99
98.28,4.93
99.26,4.86
100.25,4.80
101.25,4.74
102.27,4.67
103.29,4.61
104.32,4.55
105.37,4.48
106.42,4.42
107.48,4.36
108.56,4.30
109.64,4.23
110.74,4.17
111.85,4.11
112.97,4.04
114.10,3.98
115.24,3.91
116.39,3.85
117.55,3.79
118.73,3.72
119.92,3.66
121.12,3.59
122.33,3.53
123.55,3.47
124.79,3.40
126.03,3.34
127.29,3.28
128.57,3.21
129.85,3.15
131.15,3.09
132.46,3.02
133.79,2.96
135.12,2.90
136.48,2.84
137.84,2.77
139.22,2.71
140.61,2.65
142.02,2.59
143.44,2.52
144.87,2.46
146.32,2.40
147.78,2.34
149.26,2.28
150.75,2.22
152.26,2.16
153.78,2.09
155.32,2.03
156.88,1.97
158.44,1.91
160.03,1.84
161.63,1.80
163.24,1.74
164.88,1.68
166.53,1.62
168.19,1.56
169.87,1.50
171.57,1.44
173.29,1.38
175.02,1.32
176.77,1.26
178.54,1.20
180.32,1.13
182.13,1.09
183.95,1.03
185.79,0.97
187.65,0.92
189.52,0.86
191.42,0.80
193.33,0.74
195.27,0.69
197.22,0.64
199.19,0.60
201.18,0.57
203.19,0.54
205.23,0.51
207.28,0.49
209.35,0.46
211.44,0.43
213.56,0.41
215.69,0.37
217.85,0.34
220.03,0.30
222.23,0.27
224.45,0.23
226.70,0.19
228.96,0.15
231.25,0.12
233.57,0.08
235.90,0.05
238.26,0.02
240.64,-0.00
243.05,-0.03
245.48,-0.06
247.93,-0.10
250.41,-0.13
252.92,-0.16
255.45,-0.20
258.00,-0.24
260.58,-0.28
263.19,-0.31
265.82,-0.34
268.48,-0.37
271.16,-0.40
273.87,-0.43
276.61,-0.46
279.38,-0.49
282.17,-0.52
284.99,-0.55
287.84,-0.57
290.72,-0.60
293.63,-0.63
296.57,-0.65
299.53,-0.68
302.53,-0.71
305.55,-0.73
308.61,-0.76
311.69,-0.78
314.81,-0.80
317.96,-0.82
321.14,-0.84
324.35,-0.86
327.59,-0.89
330.87,-0.91
334.18,-0.93
337.52,-0.94
340.90,-0.96
344.30,-0.97
347.75,-0.98
351.23,-0.99
354.74,-1.00
358.28,-1.01
361.87,-1.02
365.49,-1.04
369.14,-1.05
372.83,-1.06
376.56,-1.07
380.33,-1.08
384.13,-1.09
387.97,-1.10
391.85,-1.12
395.77,-1.13
399.73,-1.14
403.72,-1.15
407.76,-1.16
411.84,-1.16
415.96,-1.16
420.12,-1.15
424.32,-1.13
428.56,-1.12
432.85,-1.11
437.18,-1.11
441.55,-1.11
445.96,-1.12
450.42,-1.12
454.93,-1.13
459.48,-1.14
464.07,-1.15
468.71,-1.15
473.40,-1.16
478.13,-1.16
482.91,-1.16
487.74,-1.17
492.62,-1.16
497.55,-1.17
502.52,-1.17
507.55,-1.18
512.62,-1.18
517.75,-1.18
522.93,-1.18
528.16,-1.18
533.44,-1.17
538.77,-1.16
544.16,-1.16
549.60,-1.16
555.10,-1.16
560.65,-1.15
566.25,-1.15
571.92,-1.15
577.64,-1.14
583.41,-1.14
589.25,-1.14
595.14,-1.14
601.09,-1.14
607.10,-1.13
613.17,-1.13
619.30,-1.13
625.50,-1.13
631.75,-1.13
638.07,-1.14
644.45,-1.15
650.89,-1.16
657.40,-1.17
663.98,-1.17
670.62,-1.16
677.32,-1.16
684.10,-1.15
690.94,-1.14
697.85,-1.13
704.83,-1.12
711.87,-1.11
718.99,-1.10
726.18,-1.08
733.44,-1.07
740.78,-1.06
748.19,-1.05
755.67,-1.03
763.23,-1.02
770.86,-1.00
778.57,-0.98
786.35,-0.97
794.22,-0.95
802.16,-0.93
810.18,-0.92
818.28,-0.89
826.46,-0.87
834.73,-0.85
843.08,-0.82
851.51,-0.79
860.02,-0.76
868.62,-0.73
877.31,-0.69
886.08,-0.66
894.94,-0.63
903.89,-0.59
912.93,-0.53
922.06,-0.48
931.28,-0.43
940.59,-0.38
950.00,-0.33
959.50,-0.27
969.09,-0.21
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.29
1049.39,0.37
1059.88,0.45
1070.48,0.53
1081.19,0.62
1092.00,0.71
1102.92,0.80
1113.95,0.89
1125.09,0.98
1136.34,1.07
1147.70,1.16
1159.18,1.25
1170.77,1.34
1182.48,1.43
1194.30,1.52
1206.25,1.61
1218.31,1.70
1230.49,1.78
1242.80,1.86
1255.22,1.94
1267.78,2.01
1280.45,2.08
1293.26,2.16
1306.19,2.23
1319.25,2.30
1332.45,2.37
1345.77,2.44
1359.23,2.51
1372.82,2.57
1386.55,2.64
1400.41,2.70
1414.42,2.76
1428.56,2.82
1442.85,2.88
1457.28,2.94
1471.85,3.00
1486.57,3.06
1501.43,3.12
1516.45,3.17
1531.61,3.23
1546.93,3.29
1562.40,3.35
1578.02,3.41
1593.80,3.47
1609.74,3.53
1625.84,3.60
1642.10,3.66
1658.52,3.73
1675.10,3.79
1691.85,3.87
1708.77,3.94
1725.86,4.02
1743.12,4.09
1760.55,4.17
1778.15,4.24
1795.94,4.32
1813.90,4.41
1832.03,4.49
1850.36,4.57
1868.86,4.66
1887.55,4.75
1906.42,4.84
1925.49,4.94
1944.74,5.04
1964.19,5.13
1983.83,5.24
2003.67,5.34
2023.71,5.45
2043.94,5.56
2064.38,5.67
2085.03,5.78
2105.88,5.89
2126.94,6.01
2148.20,6.13
2169.69,6.25
2191.38,6.37
2213.30,6.49
2235.43,6.61
2257.78,6.74
2280.36,6.86
2303.17,6.98
2326.20,7.10
2349.46,7.22
2372.95,7.34
2396.68,7.46
2420.65,7.57
2444.86,7.68
2469.31,7.79
2494.00,7.89
2518.94,7.99
2544.13,8.08
2569.57,8.16
2595.27,8.24
2621.22,8.31
2647.43,8.38
2673.90,8.43
2700.64,8.48
2727.65,8.52
2754.93,8.55
2782.48,8.57
2810.30,8.58
2838.40,8.59
2866.79,8.58
2895.46,8.57
2924.41,8.54
2953.65,8.52
2983.19,8.48
3013.02,8.43
3043.15,8.39
3073.58,8.33
3104.32,8.27
3135.36,8.21
3166.72,8.15
3198.38,8.09
3230.37,8.02
3262.67,7.95
3295.30,7.89
3328.25,7.83
3361.53,7.78
3395.15,7.73
3429.10,7.70
3463.39,7.68
3498.03,7.66
3533.01,7.65
3568.34,7.64
3604.02,7.63
3640.06,7.63
3676.46,7.62
3713.22,7.61
3750.36,7.61
3787.86,7.62
3825.74,7.63
3864.00,7.64
3902.64,7.66
3941.66,7.68
3981.08,7.70
4020.89,7.73
4061.10,7.75
4101.71,7.78
4142.73,7.80
4184.15,7.82
4226.00,7.85
4268.26,7.89
4310.94,7.93
4354.05,7.98
4397.59,8.03
4441.56,8.09
4485.98,8.15
4530.84,8.21
4576.15,8.26
4621.91,8.31
4668.13,8.36
4714.81,8.39
4761.96,8.43
4809.58,8.45
4857.67,8.46
4906.25,8.45
4955.31,8.43
5004.87,8.39
5054.91,8.33
5105.46,8.25
5156.52,8.16
5208.08,8.05
5260.16,7.92
5312.77,7.78
5365.89,7.62
5419.55,7.46
5473.75,7.29
5528.49,7.12
5583.77,6.95
5639.61,6.79
5696.00,6.62
5752.96,6.46
5810.49,6.30
5868.60,6.16
5927.28,6.01
5986.56,5.87
6046.42,5.75
6106.89,5.64
6167.96,5.54
6229.64,5.45
6291.93,5.38
6354.85,5.32
6418.40,5.26
6482.58,5.20
6547.41,5.14
6612.88,5.09
6679.01,5.04
6745.80,4.98
6813.26,4.92
6881.39,4.87
6950.21,4.83
7019.71,4.80
7089.91,4.79
7160.81,4.80
7232.41,4.83
7304.74,4.89
7377.79,4.98
7451.56,5.09
7526.08,5.21
7601.34,5.35
7677.35,5.48
7754.13,5.60
7831.67,5.69
7909.98,5.75
7989.08,5.75
8068.98,5.68
8149.67,5.57
8231.16,5.39
8313.47,5.16
8396.61,4.91
8480.57,4.62
8565.38,4.31
8651.03,3.98
8737.54,3.64
8824.92,3.30
8913.17,2.96
9002.30,2.62
9092.32,2.29
9183.25,1.98
9275.08,1.66
9367.83,1.36
9461.51,1.06
9556.12,0.75
9651.68,0.42
9748.20,0.09
9845.68,-0.24
9944.14,-0.55
10043.58,-0.84
10144.02,-1.10
10245.46,-1.27
10347.91,-1.39
10451.39,-1.45
10555.91,-1.41
10661.46,-1.29
10768.08,-1.10
10875.76,-0.77
10984.52,-0.27
11094.36,0.31
11205.31,1.00
11317.36,1.73
11430.53,2.43
11544.84,2.95
11660.29,3.31
11776.89,3.51
11894.66,3.30
12013.60,3.02
12133.74,2.60
12255.08,2.06
12377.63,1.51
12501.41,0.99
12626.42,0.57
12752.68,0.23
12880.21,0.04
13009.01,-0.06
13139.10,-0.17
13270.49,-0.04
13403.20,0.18
13537.23,0.55
13672.60,0.93
13809.33,1.31
13947.42,1.56
14086.90,1.71
14227.77,1.79
14370.04,1.82
14513.74,1.81
14658.88,1.75
14805.47,1.68
14953.52,1.62
15103.06,1.53
15254.09,1.43
15406.63,1.42
15560.70,1.42
15716.30,1.43
15873.47,1.30
16032.20,1.04
16192.52,0.39
16354.45,-0.63
16517.99,-1.84
16683.17,-2.94
16850.01,-3.48
17018.51,-3.59
17188.69,-3.28
17360.58,-3.01
17534.18,-2.83
17709.53,-2.95
17886.62,-3.44
18065.49,-4.21
18246.14,-5.28
18428.60,-6.64
18612.89,-8.06
18799.02,-9.54
18987.01,-11.07
19176.88,-12.59
19368.65,-14.11
19562.33,-15.65
19757.96,-17.21
19955.54,-18.77
