frequency,raw
20.00,5.75
20.20,5.79
20.40,5.84
20.61,5.88
20.81,5.92
21.02,5.96
21.23,5.99
21.44,6.03
21.66,6.07
21.87,6.10
22.09,6.14
22.31,6.17
22.54,6.21
22.76,6.25
22.99,6.28
23.22,6.32
23.45,6.36
23.69,6.40
23.92,6.44
24.16,6.47
24.40,6.50
24.65,6.53
24.89,6.57
25.14,6.60
25.39,6.63
25.65,6.66
25.91,6.70
26.16,6.73
26.43,6.76
26.69,6.78
26.96,6.81
27.23,6.83
27.50,6.85
27.77,6.88
28.05,6.91
28.33,6.94
28.62,6.97
28.90,7.00
29.19,7.03
29.48,7.05
29.78,7.07
30.08,7.09
30.38,7.11
30.68,7.13
30.99,7.16
31.30,7.18
31.61,7.20
31.93,7.22
32.24,7.24
32.57,7.26
32.89,7.28
33.22,7.30
33.55,7.33
33.89,7.35
34.23,7.36
34.57,7.38
34.92,7.39
35.27,7.41
35.62,7.43
35.97,7.45
36.33,7.46
36.70,7.48
37.06,7.49
37.43,7.51
37.81,7.52
38.19,7.53
38.57,7.55
38.95,7.56
39.34,7.57
39.74,7.58
40.14,7.58
40.54,7.59
40.94,7.60
41.35,7.61
41.76,7.63
42.18,7.64
42.60,7.66
43.03,7.67
43.46,7.67
43.90,7.68
44.33,7.68
44.78,7.69
45.23,7.70
45.68,7.70
46.13,7.71
46.60,7.72
47.06,7.72
47.53,7.73
48.01,7.73
48.49,7.73
48.97,7.73
49.46,7.73
49.96,7.74
50.46,7.74
50.96,7.73
51.47,7.72
51.99,7.74
52.51,7.75
53.03,7.77
53.56,7.76
54.10,7.75
54.64,7.74
55.18,7.73
55.74,7.74
56.29,7.74
56.86,7.74
57.42,7.74
58.00,7.74
58.58,7.73
59.16,7.73
59.76,7.72
60.35,7.72
60.96,7.71
61.57,7.71
62.18,7.70
62.80,7.69
63.43,7.68
64.07,7.67
64.71,7.66
65.35,7.65
66.01,7.65
66.67,7.64
67.33,7.63
68.01,7.62
68.69,7.61
69.37,7.60
70.07,7.59
70.77,7.57
71.48,7.56
72.19,7.55
72.91,7.53
73.64,7.52
74.38,7.51
75.12,7.49
75.87,7.47
76.63,7.46
77.40,7.44
78.17,7.43
78.95,7.41
79.74,7.39
80.54,7.38
81.35,7.36
82.16,7.34
82.98,7.32
83.81,7.30
84.65,7.28
85.50,7.26
86.35,7.24
