frequency,raw
20.00,10.28
20.20,10.27
20.40,10.26
20.61,10.26
20.81,10.25
21.02,10.25
21.23,10.24
21.44,10.24
21.66,10.23
21.87,10.22
22.09,10.20
22.31,10.17
22.54,10.13
22.76,10.09
22.99,10.06
23.22,10.03
23.45,10.02
23.69,10.02
23.92,10.03
24.16,10.05
24.40,10.07
24.65,10.09
24.89,10.10
25.14,10.09
25.39,10.08
25.65,10.07
25.91,10.06
26.16,10.04
26.43,10.04
26.69,10.04
26.96,10.03
27.23,10.03
27.50,10.02
27.77,10.00
28.05,9.98
28.33,9.96
28.62,9.94
28.90,9.93
29.19,9.92
29.48,9.92
29.78,9.92
30.08,9.92
30.38,9.92
30.68,9.92
30.99,9.91
31.30,9.90
31.61,9.89
31.93,9.88
32.24,9.87
32.57,9.85
32.89,9.83
33.22,9.81
33.55,9.79
33.89,9.77
34.23,9.76
34.57,9.75
34.92,9.75
35.27,9.74
35.62,9.72
35.97,9.70
36.33,9.68
36.70,9.66
37.06,9.64
37.43,9.63
37.81,9.61
38.19,9.60
38.57,9.60
38.95,9.59
39.34,9.58
39.74,9.57
40.14,9.56
40.54,9.54
40.94,9.53
41.35,9.52
41.76,9.51
42.18,9.50
42.60,9.49
43.03,9.47
43.46,9.45
43.90,9.43
44.33,9.41
44.78,9.40
45.23,9.39
45.68,9.37
46.13,9.35
46.60,9.33
47.06,9.32
47.53,9.30
48.01,9.28
48.49,9.27
48.97,9.26
49.46,9.24
49.96,9.23
50.46,9.21
50.96,9.19
51.47,9.17
51.99,9.16
52.51,9.14
53.03,9.13
53.56,9.11
54.10,9.09
54.64,9.07
55.18,9.05
55.74,9.02
56.29,9.00
56.86,8.99
57.42,8.98
58.00,8.97
58.58,8.95
59.16,8.92
59.76,8.91
60.35,8.89
60.96,8.87
61.57,8.85
62.18,8.83
62.80,8.81
63.43,8.78
64.07,8.76
64.71,8.75
65.35,8.72
66.01,8.69
66.67,8.67
67.33,8.65
68.01,8.63
68.69,8.60
69.37,8.58
70.07,8.57
70.77,8.53
71.48,8.51
72.19,8.49
72.91,8.47
73.64,8.44
74.38,8.42
75.12,8.40
75.87,8.36
76.63,8.34
77.40,8.32
78.17,8.30
78.95,8.27
79.74,8.25
80.54,8.22
81.35,8.19
82.16,8.16
82.98,8.13
83.81,8.10
84.65,8.07
85.50,8.04
86.35,8.01
87.22,7.98
88.09,7.95
88.97,7.93
89.86,7.90
90.76,7.87
91.66,7.84
92.58,7.79
93.51,7.77
