frequency,raw
20.00,2.09
20.20,2.14
20.40,2.18
20.61,2.22
20.81,2.26
21.02,2.30
21.23,2.34
21.44,2.38
21.66,2.41
21.87,2.45
22.09,2.48
22.31,2.51
22.54,2.55
22.76,2.58
22.99,2.61
23.22,2.65
23.45,2.68
23.69,2.71
23.92,2.74
24.16,2.77
24.40,2.80
24.65,2.82
24.89,2.84
25.14,2.87
25.39,2.89
25.65,2.91
25.91,2.94
26.16,2.96
26.43,2.99
26.69,3.02
26.96,3.04
27.23,3.07
27.50,3.09
27.77,3.12
28.05,3.14
28.33,3.17
28.62,3.19
28.90,3.21
29.19,3.23
29.48,3.25
29.78,3.27
30.08,3.29
30.38,3.31
30.68,3.33
30.99,3.36
31.30,3.38
31.61,3.40
31.93,3.41
32.24,3.43
32.57,3.45
32.89,3.47
33.22,3.49
33.55,3.50
33.89,3.52
34.23,3.54
34.57,3.55
34.92,3.57
35.27,3.58
35.62,3.60
35.97,3.61
36.33,3.63
36.70,3.64
37.06,3.66
37.43,3.67
37.81,3.69
38.19,3.70
38.57,3.71
38.95,3.73
39.34,3.74
39.74,3.75
40.14,3.77
40.54,3.78
40.94,3.79
41.35,3.80
41.76,3.81
42.18,3.83
42.60,3.84
43.03,3.85
43.46,3.86
43.90,3.87
44.33,3.88
44.78,3.89
45.23,3.90
45.68,3.91
46.13,3.92
46.60,3.93
47.06,3.93
47.53,3.94
48.01,3.95
48.49,3.96
48.97,3.97
49.46,3.97
49.96,3.98
50.46,3.99
50.96,4.00
51.47,4.00
51.99,4.01
52.51,4.02
53.03,4.03
53.56,4.03
54.10,4.04
54.64,4.04
55.18,4.05
55.74,4.06
56.29,4.06
56.86,4.07
57.42,4.07
58.00,4.08
58.58,4.08
59.16,4.09
59.76,4.09
60.35,4.09
60.96,4.10
61.57,4.10
62.18,4.11
62.80,4.11
63.43,4.11
64.07,4.12
64.71,4.12
65.35,4.12
66.01,4.13
66.67,4.13
67.33,4.13
68.01,4.14
68.69,4.14
69.37,4.14
70.07,4.14
70.77,4.14
71.48,4.15
72.19,4.15
72.91,4.15
73.64,4.15
74.38,4.15
75.12,4.15
75.87,4.16
76.63,4.16
77.40,4.15
78.17,4.16
78.95,4.16
79.74,4.16
80.54,4.16
81.35,4.16
82.16,4.16
82.98,4.16
83.81,4.16
84.65,4.16
85.50,4.16
86.35,4.16
87.22,4.15
88.09,4.15
88.97,4.15
89.86,4.15
90.76,4.15
91.66,4.15
92.58,4.15
93.51,4.14
94.44,4.14
95.39,4.14
96.34,4.14
97.30,4.14
98.28,4.13
99.26,4.13
100.25,4.13
101.25,4.12
102.27,4.12
103.29,4.12
104.32,4.12
105.37,4.11
106.42,4.11
107.48,4.10
108.56,4.10
109.64,4.10
110.74,4.09
111.85,4.09
112.97,4.08
114.10,4.08
115.24,4.07
116.39,4.07
117.55,4.06
118.73,4.06
119.92,4.05
121.12,4.05
122.33,4.04
123.55,4.04
124.79,4.03
126.03,4.02
127.29,4.02
128.57,4.01
129.85,4.00
131.15,4.00
132.46,3.99
133.79,3.98
135.12,3.98
136.48,3.97
137.84,3.96
139.22,3.95
140.61,3.95
142.02,3.94
143.44,3.93
144.87,3.92
146.32,3.91
147.78,3.90
149.26,3.89
150.75,3.89
152.26,3.88
153.78,3.87
155.32,3.86
156.88,3.85
158.44,3.84
160.03,3.83
161.63,3.82
163.24,3.81
164.88,3.80
166.53,3.78
168.19,3.77
169.87,3.76
171.57,3.75
173.29,3.74
175.02,3.72
176.77,3.71
178.54,3.70
180.32,3.68
182.13,3.67
183.95,3.66
185.79,3.64
187.65,3.63
189.52,3.61
191.42,3.60
193.33,3.58
195.27,3.57
197.22,3.55
199.19,3.53
201.18,3.52
203.19,3.50
205.23,3.48
207.28,3.46
209.35,3.44
211.44,3.42
213.56,3.40
215.69,3.38
217.85,3.36
220.03,3.34
222.23,3.33
224.45,3.31
226.70,3.30
228.96,3.30
231.25,3.30
233.57,3.30
235.90,3.30
238.26,3.30
240.64,3.29
243.05,3.28
245.48,3.27
247.93,3.25
250.41,3.23
252.92,3.21
255.45,3.18
258.00,3.16
260.58,3.14
263.19,3.11
265.82,3.09
268.48,3.06
271.16,3.04
273.87,3.01
276.61,2.99
279.38,2.96
282.17,2.94
284.99,2.91
287.84,2.89
290.72,2.86
293.63,2.83
296.57,2.81
299.53,2.78
302.53,2.75
305.55,2.73
308.61,2.70
311.69,2.68
314.81,2.65
317.96,2.62
321.14,2.59
324.35,2.57
327.59,2.54
330.87,2.51
334.18,2.48
337.52,2.45
340.90,2.42
344.30,2.39
347.75,2.36
351.23,2.33
354.74,2.30
358.28,2.27
361.87,2.23
365.49,2.20
369.14,2.17
