frequency,raw
20.00,5.71
20.20,5.75
20.40,5.78
20.61,5.82
20.81,5.85
21.02,5.88
21.23,5.91
21.44,5.94
21.66,5.97
21.87,5.99
22.09,6.02
22.31,6.05
22.54,6.07
22.76,6.10
22.99,6.12
23.22,6.14
23.45,6.16
23.69,6.17
23.92,6.19
24.16,6.20
24.40,6.21
24.65,6.23
24.89,6.24
25.14,6.25
25.39,6.27
25.65,6.28
25.91,6.30
26.16,6.32
26.43,6.33
26.69,6.35
26.96,6.36
27.23,6.37
27.50,6.38
27.77,6.39
28.05,6.40
28.33,6.41
28.62,6.42
28.90,6.43
29.19,6.43
29.48,6.44
29.78,6.45
30.08,6.45
30.38,6.46
30.68,6.46
30.99,6.47
31.30,6.47
31.61,6.47
31.93,6.47
32.24,6.47
32.57,6.47
32.89,6.47
33.22,6.47
33.55,6.47
33.89,6.47
34.23,6.47
34.57,6.46
34.92,6.46
35.27,6.46
35.62,6.45
35.97,6.44
36.33,6.44
36.70,6.43
37.06,6.42
37.43,6.42
37.81,6.41
38.19,6.40
38.57,6.39
38.95,6.38
39.34,6.37
39.74,6.36
40.14,6.35
40.54,6.34
40.94,6.32
41.35,6.31
41.76,6.29
42.18,6.28
42.60,6.27
43.03,6.25
43.46,6.23
43.90,6.22
44.33,6.20
44.78,6.18
45.23,6.16
45.68,6.14
46.13,6.12
46.60,6.11
47.06,6.09
47.53,6.07
48.01,6.05
48.49,6.02
48.97,6.00
49.46,5.98
49.96,5.95
50.46,5.93
50.96,5.90
51.47,5.88
51.99,5.85
52.51,5.82
53.03,5.80
53.56,5.77
54.10,5.75
54.64,5.72
55.18,5.69
55.74,5.66
56.29,5.63
56.86,5.60
57.42,5.57
58.00,5.54
58.58,5.51
59.16,5.48
59.76,5.45
60.35,5.42
60.96,5.39
61.57,5.35
62.18,5.32
62.80,5.28
63.43,5.25
64.07,5.22
64.71,5.18
65.35,5.15
66.01,5.11
66.67,5.08
67.33,5.04
68.01,5.00
68.69,4.97
69.37,4.93
70.07,4.89
70.77,4.86
71.48,4.82
72.19,4.78
72.91,4.75
73.64,4.71
74.38,4.67
75.12,4.63
75.87,4.59
76.63,4.55
77.40,4.51
78.17,4.47
78.95,4.43
79.74,4.39
80.54,4.35
81.35,4.31
82.16,4.27
82.98,4.23
83.81,4.19
84.65,4.15
85.50,4.11
86.35,4.07
87.22,4.03
88.09,3.99
88.97,3.95
89.86,3.91
90.76,3.87
91.66,3.83
92.58,3.79
93.51,3.75
94.44,3.71
95.39,3.67
96.34,3.62
97.30,3.58
98.28,3.54
99.26,3.50
100.25,3.46
101.25,3.42
102.27,3.38
103.29,3.34
104.32,3.30
105.37,3.26
106.42,3.23
107.48,3.18
108.56,3.14
109.64,3.10
110.74,3.07
111.85,3.03
112.97,2.99
114.10,2.95
115.24,2.91
116.39,2.88
117.55,2.84
118.73,2.81
119.92,2.77
121.12,2.73
122.33,2.69
123.55,2.66
124.79,2.62
126.03,2.58
127.29,2.55
128.57,2.52
129.85,2.48
131.15,2.45
132.46,2.42
133.79,2.38
135.12,2.35
136.48,2.32
137.84,2.29
139.22,2.25
140.61,2.22
142.02,2.19
143.44,2.16
144.87,2.13
146.32,2.10
147.78,2.07
149.26,2.04
150.75,2.01
152.26,1.98
153.78,1.95
155.32,1.92
156.88,1.89
158.44,1.86
160.03,1.83
161.63,1.81
163.24,1.78
164.88,1.75
166.53,1.73
168.19,1.70
169.87,1.68
171.57,1.65
173.29,1.63
175.02,1.60
176.77,1.58
178.54,1.56
180.32,1.53
182.13,1.51
183.95,1.49
185.79,1.46
187.65,1.44
189.52,1.42
191.42,1.40
193.33,1.39
195.27,1.37
197.22,1.36
199.19,1.35
201.18,1.34
203.19,1.33
205.23,1.32
207.28,1.32
209.35,1.32
211.44,1.31
213.56,1.31
215.69,1.30
217.85,1.29
220.03,1.27
222.23,1.26
224.45,1.25
226.70,1.23
228.96,1.22
231.25,1.21
233.57,1.19
235.90,1.18
238.26,1.16
240.64,1.14
243.05,1.14
245.48,1.12
247.93,1.11
250.41,1.10
252.92,1.09
255.45,1.07
258.00,1.07
260.58,1.05
263.19,1.04
265.82,1.03
268.48,1.02
271.16,1.01
273.87,1.00
276.61,0.99
279.38,0.98
282.17,0.97
284.99,0.96
287.84,0.95
290.72,0.93
293.63,0.92
296.57,0.91
299.53,0.90
302.53,0.89
305.55,0.87
308.61,0.86
311.69,0.85
314.81,0.84
317.96,0.82
321.14,0.81
324.35,0.80
327.59,0.78
330.87,0.77
334.18,0.75
337.52,0.74
340.90,0.73
344.30,0.71
347.75,0.70
351.23,0.69
354.74,0.68
358.28,0.66
361.87,0.65
365.49,0.64
369.14,0.62
372.83,0.61
376.56,0.60
380.33,0.58
384.13,0.57
387.97,0.56
391.85,0.54
395.77,0.53
399.73,0.51
403.72,0.50
407.76,0.48
411.84,0.47
415.96,0.45
420.12,0.44
424.32,0.42
428.56,0.41
432.85,0.39
437.18,0.37
441.55,0.36
445.96,0.35
450.42,0.33
454.93,0.32
459.48,0.31
464.07,0.31
468.71,0.30
473.40,0.30
478.13,0.29
482.91,0.29
487.74,0.28
492.62,0.27
497.55,0.26
502.52,0.24
507.55,0.23
512.62,0.21
517.75,0.20
522.93,0.19
528.16,0.18
533.44,0.17
538.77,0.17
544.16,0.17
549.60,0.16
555.10,0.15
560.65,0.14
566.25,0.13
571.92,0.12
577.64,0.10
583.41,0.08
589.25,0.07
595.14,0.05
601.09,0.03
607.10,0.01
613.17,-0.01
619.30,-0.02
625.50,-0.04
631.75,-0.06
638.07,-0.07
644.45,-0.09
650.89,-0.11
657.40,-0.12
663.98,-0.14
670.62,-0.16
677.32,-0.17
684.10,-0.19
690.94,-0.20
697.85,-0.22
704.83,-0.23
711.87,-0.25
718.99,-0.26
726.18,-0.27
733.44,-0.29
740.78,-0.30
748.19,-0.31
755.67,-0.32
763.23,-0.33
770.86,-0.34
778.57,-0.34
786.35,-0.35
794.22,-0.35
802.16,-0.36
810.18,-0.36
818.28,-0.36
826.46,-0.37
834.73,-0.37
843.08,-0.36
851.51,-0.36
860.02,-0.36
868.62,-0.35
877.31,-0.34
886.08,-0.33
894.94,-0.32
903.89,-0.30
912.93,-0.28
922.06,-0.26
931.28,-0.24
940.59,-0.22
