frequency,raw
20.00,5.31
20.20,5.31
20.40,5.32
20.61,5.32
20.81,5.31
21.02,5.30
21.23,5.29
21.44,5.29
21.66,5.28
21.87,5.28
22.09,5.28
22.31,5.29
22.54,5.30
22.76,5.31
22.99,5.32
23.22,5.33
23.45,5.34
23.69,5.34
23.92,5.35
24.16,5.36
24.40,5.37
24.65,5.38
24.89,5.39
25.14,5.40
25.39,5.41
25.65,5.41
25.91,5.41
26.16,5.40
26.43,5.39
26.69,5.37
26.96,5.35
27.23,5.33
27.50,5.32
27.77,5.32
28.05,5.32
28.33,5.34
28.62,5.36
28.90,5.37
29.19,5.38
29.48,5.38
29.78,5.38
30.08,5.37
30.38,5.36
30.68,5.35
30.99,5.36
31.30,5.36
31.61,5.36
31.93,5.36
32.24,5.35
32.57,5.35
32.89,5.35
33.22,5.35
33.55,5.35
33.89,5.35
34.23,5.34
34.57,5.34
34.92,5.32
35.27,5.32
35.62,5.32
35.97,5.32
36.33,5.32
36.70,5.31
37.06,5.30
37.43,5.29
37.81,5.28
38.19,5.28
38.57,5.28
38.95,5.28
39.34,5.28
39.74,5.27
40.14,5.25
40.54,5.24
40.94,5.23
41.35,5.22
41.76,5.21
42.18,5.21
42.60,5.20
43.03,5.20
43.46,5.19
43.90,5.17
44.33,5.16
44.78,5.15
45.23,5.15
45.68,5.15
46.13,5.14
46.60,5.13
47.06,5.12
47.53,5.11
48.01,5.11
48.49,5.10
48.97,5.09
49.46,5.06
49.96,5.03
50.46,5.01
50.96,5.00
51.47,5.02
51.99,5.02
52.51,5.00
53.03,4.96
53.56,4.93
54.10,4.92
54.64,4.93
55.18,4.92
55.74,4.90
56.29,4.88
56.86,4.86
57.42,4.84
58.00,4.82
58.58,4.80
59.16,4.78
59.76,4.77
60.35,4.76
60.96,4.75
61.57,4.74
62.18,4.72
62.80,4.70
63.43,4.67
64.07,4.64
64.71,4.63
65.35,4.62
66.01,4.60
66.67,4.57
67.33,4.55
68.01,4.53
68.69,4.50
69.37,4.49
70.07,4.47
70.77,4.45
71.48,4.43
72.19,4.41
72.91,4.40
73.64,4.37
74.38,4.34
75.12,4.31
75.87,4.30
76.63,4.28
77.40,4.24
78.17,4.21
78.95,4.19
79.74,4.17
80.54,4.14
81.35,4.11
82.16,4.08
82.98,4.06
83.81,4.04
84.65,4.01
85.50,3.98
86.35,3.94
87.22,3.91
88.09,3.89
88.97,3.86
89.86,3.84
90.76,3.80
91.66,3.76
92.58,3.73
93.51,3.70
94.44,3.65
95.39,3.62
96.34,3.60
97.30,3.58
98.28,3.54
99.26,3.51
100.25,3.47
101.25,3.44
102.27,3.40
103.29,3.36
104.32,3.33
105.37,3.29
106.42,3.26
107.48,3.21
108.56,3.18
109.64,3.15
110.74,3.12
111.85,3.06
112.97,3.03
114.10,2.99
115.24,2.93
116.39,2.91
117.55,2.87
118.73,2.80
119.92,2.72
121.12,2.69
122.33,2.72
123.55,2.66
124.79,2.61
126.03,2.57
127.29,2.53
128.57,2.48
129.85,2.44
131.15,2.39
132.46,2.35
133.79,2.30
135.12,2.26
136.48,2.21
137.84,2.16
139.22,2.11
140.61,2.06
142.02,2.02
143.44,1.98
144.87,1.93
146.32,1.89
147.78,1.84
149.26,1.79
150.75,1.73
152.26,1.68
153.78,1.64
155.32,1.59
156.88,1.54
158.44,1.49
160.03,1.43
161.63,1.39
163.24,1.34
164.88,1.27
166.53,1.23
168.19,1.18
169.87,1.12
171.57,1.06
173.29,1.01
175.02,0.96
176.77,0.91
178.54,0.85
180.32,0.80
182.13,0.74
183.95,0.68
185.79,0.62
187.65,0.56
189.52,0.51
191.42,0.46
193.33,0.42
195.27,0.39
197.22,0.34
199.19,0.30
201.18,0.26
203.19,0.20
205.23,0.17
207.28,0.12
209.35,0.07
211.44,0.02
213.56,-0.02
215.69,-0.06
217.85,-0.10
220.03,-0.15
222.23,-0.20
224.45,-0.24
226.70,-0.29
228.96,-0.33
231.25,-0.38
233.57,-0.42
235.90,-0.47
238.26,-0.54
240.64,-0.59
243.05,-0.62
245.48,-0.66
247.93,-0.71
250.41,-0.76
252.92,-0.80
255.45,-0.84
258.00,-0.88
260.58,-0.95
263.19,-0.99
265.82,-1.02
268.48,-1.07
271.16,-1.12
273.87,-1.16
276.61,-1.20
279.38,-1.25
282.17,-1.28
284.99,-1.31
287.84,-1.36
290.72,-1.40
293.63,-1.43
296.57,-1.45
299.53,-1.47
302.53,-1.54
305.55,-1.58
308.61,-1.61
311.69,-1.64
314.81,-1.68
317.96,-1.72
321.14,-1.75
324.35,-1.78
