frequency,raw
20.00,7.08
20.20,7.09
20.40,7.10
20.61,7.10
20.81,7.10
21.02,7.11
21.23,7.11
21.44,7.11
21.66,7.11
21.87,7.12
22.09,7.12
22.31,7.12
22.54,7.13
22.76,7.14
22.99,7.14
23.22,7.15
23.45,7.16
23.69,7.16
23.92,7.17
24.16,7.17
24.40,7.17
24.65,7.17
24.89,7.17
25.14,7.17
25.39,7.17
25.65,7.17
25.91,7.18
26.16,7.18
26.43,7.18
26.69,7.19
26.96,7.19
27.23,7.19
27.50,7.20
27.77,7.20
28.05,7.20
28.33,7.20
28.62,7.20
28.90,7.20
29.19,7.20
29.48,7.20
29.78,7.20
30.08,7.20
30.38,7.20
30.68,7.20
30.99,7.20
31.30,7.19
31.61,7.19
31.93,7.19
32.24,7.19
32.57,7.19
32.89,7.19
33.22,7.19
33.55,7.18
33.89,7.17
34.23,7.17
34.57,7.16
34.92,7.16
35.27,7.16
35.62,7.17
35.97,7.16
36.33,7.16
36.70,7.15
37.06,7.15
37.43,7.14
37.81,7.13
38.19,7.13
38.57,7.13
38.95,7.12
39.34,7.11
39.74,7.10
40.14,7.10
40.54,7.09
40.94,7.09
41.35,7.08
41.76,7.08
42.18,7.07
42.60,7.06
43.03,7.05
43.46,7.04
43.90,7.04
44.33,7.03
44.78,7.02
45.23,7.01
45.68,7.00
46.13,6.99
46.60,6.98
47.06,6.97
47.53,6.96
48.01,6.95
48.49,6.94
48.97,6.93
49.46,6.92
49.96,6.91
50.46,6.89
50.96,6.88
51.47,6.87
51.99,6.87
52.51,6.85
53.03,6.84
53.56,6.83
54.10,6.82
54.64,6.81
55.18,6.79
55.74,6.78
56.29,6.76
56.86,6.75
57.42,6.73
58.00,6.72
58.58,6.70
59.16,6.69
59.76,6.67
60.35,6.66
60.96,6.64
61.57,6.62
62.18,6.60
62.80,6.59
63.43,6.57
64.07,6.55
64.71,6.53
65.35,6.52
66.01,6.50
66.67,6.48
67.33,6.46
68.01,6.44
68.69,6.42
69.37,6.40
70.07,6.38
70.77,6.36
71.48,6.34
72.19,6.32
72.91,6.30
73.64,6.28
74.38,6.25
75.12,6.23
75.87,6.21
76.63,6.19
77.40,6.16
78.17,6.14
78.95,6.12
79.74,6.09
80.54,6.07
81.35,6.04
82.16,6.02
82.98,5.99
83.81,5.97
84.65,5.94
85.50,5.91
86.35,5.88
87.22,5.86
88.09,5.83
88.97,5.80
89.86,5.77
90.76,5.74
91.66,5.71
92.58,5.68
93.51,5.65
94.44,5.62
95.39,5.59
96.34,5.56
97.30,5.53
98.28,5.50
99.26,5.47
100.25,5.44
101.25,5.40
102.27,5.37
103.29,5.34
104.32,5.31
105.37,5.27
106.42,5.24
107.48,5.20
108.56,5.17
109.64,5.13
110.74,5.09
111.85,5.06
112.97,5.02
114.10,4.99
115.24,4.95
116.39,4.91
117.55,4.87
