frequency,raw
20.00,5.62
20.20,5.63
20.40,5.64
20.61,5.65
20.81,5.66
21.02,5.66
21.23,5.66
21.44,5.66
21.66,5.67
21.87,5.67
22.09,5.68
22.31,5.69
22.54,5.69
22.76,5.70
22.99,5.71
23.22,5.71
23.45,5.72
23.69,5.72
23.92,5.72
24.16,5.72
24.40,5.72
24.65,5.72
24.89,5.72
25.14,5.72
25.39,5.72
25.65,5.72
25.91,5.72
26.16,5.72
26.43,5.73
26.69,5.73
26.96,5.74
27.23,5.74
27.50,5.74
27.77,5.73
28.05,5.73
28.33,5.72
28.62,5.71
28.90,5.71
29.19,5.70
29.48,5.70
29.78,5.70
30.08,5.70
30.38,5.70
30.68,5.70
30.99,5.69
31.30,5.68
31.61,5.68
31.93,5.67
32.24,5.66
32.57,5.65
32.89,5.65
33.22,5.64
33.55,5.63
33.89,5.62
34.23,5.61
34.57,5.60
34.92,5.59
35.27,5.59
35.62,5.58
35.97,5.57
36.33,5.56
36.70,5.54
37.06,5.53
37.43,5.51
37.81,5.50
38.19,5.49
38.57,5.47
38.95,5.46
39.34,5.45
39.74,5.44
40.14,5.42
40.54,5.41
40.94,5.39
41.35,5.37
41.76,5.36
42.18,5.34
42.60,5.32
43.03,5.31
43.46,5.29
43.90,5.27
44.33,5.25
44.78,5.23
45.23,5.21
45.68,5.19
46.13,5.17
46.60,5.15
47.06,5.14
47.53,5.12
48.01,5.10
48.49,5.08
48.97,5.06
49.46,5.04
49.96,5.01
50.46,4.99
50.96,4.96
51.47,4.94
51.99,4.91
52.51,4.88
53.03,4.85
53.56,4.82
54.10,4.80
54.64,4.77
55.18,4.75
55.74,4.72
56.29,4.70
56.86,4.67
57.42,4.64
58.00,4.62
58.58,4.58
59.16,4.55
59.76,4.52
60.35,4.50
60.96,4.47
61.57,4.44
62.18,4.40
62.80,4.37
63.43,4.34
64.07,4.31
64.71,4.28
65.35,4.24
66.01,4.21
66.67,4.18
67.33,4.15
68.01,4.12
68.69,4.08
69.37,4.05
70.07,4.01
70.77,3.97
71.48,3.94
72.19,3.90
72.91,3.87
73.64,3.84
74.38,3.80
75.12,3.76
75.87,3.72
76.63,3.68
77.40,3.64
78.17,3.61
78.95,3.57
79.74,3.53
80.54,3.49
81.35,3.45
82.16,3.41
82.98,3.37
83.81,3.33
84.65,3.29
85.50,3.25
86.35,3.21
87.22,3.17
88.09,3.13
88.97,3.08
89.86,3.04
90.76,3.00
91.66,2.96
92.58,2.92
93.51,2.87
94.44,2.83
95.39,2.79
96.34,2.74
97.30,2.70
98.28,2.66
99.26,2.62
100.25,2.57
101.25,2.53
102.27,2.48
103.29,2.44
104.32,2.39
105.37,2.35
106.42,2.31
107.48,2.26
108.56,2.22
109.64,2.17
110.74,2.13
111.85,2.08
112.97,2.04
114.10,1.99
115.24,1.95
116.39,1.90
117.55,1.86
118.73,1.81
119.92,1.77
121.12,1.72
122.33,1.67
123.55,1.63
124.79,1.58
126.03,1.54
127.29,1.49
128.57,1.44
129.85,1.40
131.15,1.35
132.46,1.31
133.79,1.26
135.12,1.22
136.48,1.17
137.84,1.13
139.22,1.09
140.61,1.04
142.02,1.00
143.44,0.95
144.87,0.91
146.32,0.87
147.78,0.82
149.26,0.78
150.75,0.73
152.26,0.69
153.78,0.65
155.32,0.60
156.88,0.56
158.44,0.52
160.03,0.48
161.63,0.43
163.24,0.38
164.88,0.34
166.53,0.30
168.19,0.25
169.87,0.21
171.57,0.17
173.29,0.12
175.02,0.08
176.77,0.04
178.54,-0.00
180.32,-0.05
182.13,-0.09
183.95,-0.13
185.79,-0.18
187.65,-0.22
189.52,-0.27
191.42,-0.31
193.33,-0.35
195.27,-0.40
197.22,-0.44
199.19,-0.47
201.18,-0.50
203.19,-0.53
205.23,-0.55
207.28,-0.57
209.35,-0.58
211.44,-0.59
213.56,-0.60
215.69,-0.62
217.85,-0.64
220.03,-0.67
222.23,-0.70
224.45,-0.73
226.70,-0.76
228.96,-0.80
231.25,-0.83
233.57,-0.86
235.90,-0.90
238.26,-0.93
240.64,-0.96
243.05,-1.00
245.48,-1.04
247.93,-1.07
250.41,-1.11
252.92,-1.14
255.45,-1.17
258.00,-1.20
260.58,-1.23
263.19,-1.26
265.82,-1.29
268.48,-1.32
271.16,-1.34
273.87,-1.37
276.61,-1.39
279.38,-1.41
282.17,-1.44
284.99,-1.46
287.84,-1.48
290.72,-1.51
293.63,-1.54
296.57,-1.57
299.53,-1.61
302.53,-1.62
305.55,-1.64
308.61,-1.66
311.69,-1.69
314.81,-1.71
317.96,-1.74
321.14,-1.76
324.35,-1.78
327.59,-1.81
330.87,-1.83
334.18,-1.85
337.52,-1.87
340.90,-1.89
344.30,-1.91
347.75,-1.93
351.23,-1.95
354.74,-1.97
358.28,-1.99
361.87,-2.01
365.49,-2.03
369.14,-2.05
372.83,-2.07
376.56,-2.09
380.33,-2.11
384.13,-2.13
387.97,-2.15
391.85,-2.17
395.77,-2.19
399.73,-2.21
403.72,-2.22
407.76,-2.24
411.84,-2.26
415.96,-2.27
420.12,-2.28
424.32,-2.30
428.56,-2.31
432.85,-2.33
437.18,-2.34
441.55,-2.35
445.96,-2.36
450.42,-2.37
454.93,-2.38
459.48,-2.39
464.07,-2.40
468.71,-2.41
473.40,-2.41
478.13,-2.42
482.91,-2.42
487.74,-2.43
492.62,-2.43
497.55,-2.44
502.52,-2.44
507.55,-2.45
512.62,-2.45
517.75,-2.46
522.93,-2.46
528.16,-2.46
533.44,-2.45
538.77,-2.45
544.16,-2.45
549.60,-2.44
555.10,-2.44
560.65,-2.43
566.25,-2.42
571.92,-2.41
577.64,-2.40
583.41,-2.40
589.25,-2.39
595.14,-2.37
601.09,-2.36
607.10,-2.35
613.17,-2.34
619.30,-2.32
625.50,-2.31
631.75,-2.29
638.07,-2.27
644.45,-2.25
650.89,-2.23
657.40,-2.20
663.98,-2.18
670.62,-2.17
677.32,-2.15
684.10,-2.12
690.94,-2.10
697.85,-2.07
704.83,-2.04
711.87,-2.01
718.99,-1.98
726.18,-1.95
733.44,-1.91
740.78,-1.88
748.19,-1.84
755.67,-1.80
763.23,-1.76
770.86,-1.72
778.57,-1.68
786.35,-1.63
794.22,-1.59
802.16,-1.54
810.18,-1.49
818.28,-1.44
826.46,-1.39
834.73,-1.33
843.08,-1.28
851.51,-1.22
860.02,-1.16
868.62,-1.09
877.31,-1.03
886.08,-0.96
894.94,-0.90
903.89,-0.83
912.93,-0.75
922.06,-0.67
931.28,-0.60
940.59,-0.52
950.00,-0.44
959.50,-0.36
969.09,-0.28
978.78,-0.19
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.34
1049.39,0.44
1059.88,0.53
1070.48,0.61
1081.19,0.70
1092.00,0.79
1102.92,0.87
1113.95,0.95
1125.09,1.03
1136.34,1.10
1147.70,1.17
1159.18,1.23
1170.77,1.29
1182.48,1.34
1194.30,1.38
1206.25,1.42
1218.31,1.44
1230.49,1.45
1242.80,1.46
1255.22,1.45
1267.78,1.42
1280.45,1.38
1293.26,1.31
1306.19,1.24
1319.25,1.16
1332.45,1.04
1345.77,0.91
1359.23,0.78
1372.82,0.65
1386.55,0.54
1400.41,0.46
1414.42,0.52
1428.56,0.57
1442.85,0.77
1457.28,1.04
1471.85,1.37
1486.57,1.71
1501.43,2.06
1516.45,2.38
1531.61,2.68
1546.93,2.96
1562.40,3.19
1578.02,3.40
1593.80,3.57
1609.74,3.73
1625.84,3.87
1642.10,3.98
1658.52,4.08
1675.10,4.18
1691.85,4.26
1708.77,4.33
1725.86,4.40
1743.12,4.46
1760.55,4.52
1778.15,4.58
1795.94,4.63
1813.90,4.68
1832.03,4.73
1850.36,4.78
1868.86,4.83
1887.55,4.87
1906.42,4.92
1925.49,4.97
1944.74,5.01
1964.19,5.06
1983.83,5.11
2003.67,5.15
2023.71,5.20
2043.94,5.25
2064.38,5.30
2085.03,5.35
2105.88,5.40
2126.94,5.45
2148.20,5.50
2169.69,5.55
2191.38,5.61
2213.30,5.67
2235.43,5.73
2257.78,5.79
2280.36,5.85
2303.17,5.91
2326.20,5.98
2349.46,6.04
2372.95,6.12
2396.68,6.19
2420.65,6.26
2444.86,6.34
2469.31,6.43
2494.00,6.51
2518.94,6.60
2544.13,6.69
2569.57,6.78
2595.27,6.87
2621.22,6.97
2647.43,7.06
2673.90,7.15
2700.64,7.24
2727.65,7.33
2754.93,7.41
2782.48,7.48
2810.30,7.55
2838.40,7.61
2866.79,7.65
2895.46,7.69
2924.41,7.72
2953.65,7.73
2983.19,7.74
3013.02,7.73
3043.15,7.72
3073.58,7.69
3104.32,7.65
3135.36,7.61
