frequency,raw
20.00,7.79
20.20,7.80
20.40,7.80
20.61,7.81
20.81,7.81
21.02,7.82
21.23,7.83
21.44,7.84
21.66,7.85
21.87,7.85
22.09,7.86
22.31,7.86
22.54,7.86
22.76,7.85
22.99,7.84
23.22,7.82
23.45,7.81
23.69,7.79
23.92,7.78
24.16,7.77
24.40,7.76
24.65,7.76
24.89,7.75
25.14,7.74
25.39,7.73
25.65,7.70
25.91,7.67
26.16,7.64
26.43,7.61
26.69,7.59
26.96,7.57
27.23,7.56
27.50,7.54
27.77,7.53
28.05,7.50
28.33,7.48
28.62,7.46
28.90,7.44
29.19,7.44
29.48,7.44
29.78,7.44
30.08,7.44
30.38,7.42
30.68,7.38
30.99,7.31
31.30,7.23
31.61,7.17
31.93,7.12
32.24,7.10
32.57,7.08
32.89,7.09
33.22,7.08
33.55,7.07
33.89,7.04
34.23,7.01
34.57,6.98
34.92,6.94
35.27,6.90
35.62,6.87
35.97,6.83
36.33,6.79
36.70,6.75
37.06,6.71
37.43,6.68
37.81,6.64
38.19,6.60
38.57,6.57
38.95,6.53
39.34,6.48
39.74,6.44
40.14,6.40
40.54,6.35
40.94,6.31
41.35,6.27
41.76,6.23
42.18,6.18
42.60,6.14
43.03,6.09
43.46,6.03
43.90,5.98
44.33,5.94
44.78,5.90
45.23,5.86
45.68,5.81
46.13,5.76
46.60,5.71
47.06,5.65
47.53,5.59
48.01,5.54
48.49,5.48
48.97,5.44
49.46,5.40
49.96,5.35
50.46,5.31
50.96,5.26
51.47,5.21
51.99,5.13
52.51,5.06
53.03,4.98
53.56,4.93
54.10,4.89
54.64,4.85
55.18,4.80
55.74,4.75
56.29,4.69
56.86,4.64
57.42,4.58
58.00,4.53
58.58,4.47
59.16,4.41
59.76,4.33
60.35,4.28
60.96,4.23
61.57,4.17
62.18,4.10
62.80,4.05
63.43,4.00
64.07,3.95
64.71,3.90
65.35,3.86
66.01,3.82
66.67,3.75
67.33,3.68
68.01,3.63
68.69,3.56
69.37,3.49
70.07,3.43
70.77,3.38
71.48,3.31
72.19,3.25
72.91,3.19
73.64,3.13
74.38,3.07
75.12,3.00
75.87,2.93
76.63,2.87
77.40,2.81
78.17,2.74
78.95,2.68
79.74,2.61
80.54,2.54
81.35,2.48
82.16,2.41
82.98,2.35
83.81,2.29
84.65,2.23
85.50,2.17
86.35,2.10
87.22,2.04
88.09,1.98
88.97,1.91
89.86,1.85
90.76,1.79
91.66,1.72
92.58,1.66
93.51,1.60
94.44,1.53
95.39,1.47
96.34,1.40
97.30,1.34
98.28,1.27
99.26,1.21
100.25,1.14
101.25,1.08
102.27,1.02
103.29,0.96
104.32,0.90
105.37,0.83
106.42,0.77
107.48,0.71
108.56,0.65
109.64,0.59
110.74,0.53
111.85,0.46
112.97,0.40
114.10,0.34
115.24,0.28
116.39,0.22
117.55,0.16
118.73,0.10
119.92,0.05
121.12,-0.02
122.33,-0.08
123.55,-0.14
124.79,-0.20
126.03,-0.25
127.29,-0.31
128.57,-0.37
129.85,-0.42
131.15,-0.48
132.46,-0.54
133.79,-0.59
135.12,-0.65
136.48,-0.71
137.84,-0.77
139.22,-0.83
140.61,-0.88
142.02,-0.94
143.44,-0.99
144.87,-1.05
146.32,-1.10
147.78,-1.16
149.26,-1.21
150.75,-1.26
152.26,-1.31
153.78,-1.36
155.32,-1.42
156.88,-1.47
158.44,-1.50
160.03,-1.52
161.63,-1.54
163.24,-1.57
164.88,-1.62
166.53,-1.61
168.19,-1.62
169.87,-1.64
171.57,-1.68
173.29,-1.72
175.02,-1.76
176.77,-1.80
178.54,-1.84
180.32,-1.88
182.13,-1.92
183.95,-1.96
185.79,-2.00
187.65,-2.03
189.52,-2.06
191.42,-2.09
193.33,-2.13
195.27,-2.16
197.22,-2.19
199.19,-2.21
201.18,-2.24
203.19,-2.26
205.23,-2.29
207.28,-2.31
209.35,-2.33
211.44,-2.35
213.56,-2.37
215.69,-2.39
217.85,-2.41
220.03,-2.44
222.23,-2.45
224.45,-2.47
226.70,-2.49
228.96,-2.51
231.25,-2.52
233.57,-2.53
235.90,-2.55
238.26,-2.56
240.64,-2.57
243.05,-2.58
245.48,-2.59
247.93,-2.60
250.41,-2.61
252.92,-2.61
255.45,-2.62
258.00,-2.62
260.58,-2.63
263.19,-2.63
265.82,-2.63
268.48,-2.63
271.16,-2.63
273.87,-2.63
276.61,-2.62
279.38,-2.62
282.17,-2.62
284.99,-2.62
287.84,-2.61
290.72,-2.60
293.63,-2.59
296.57,-2.57
299.53,-2.55
302.53,-2.53
305.55,-2.50
308.61,-2.46
311.69,-2.43
314.81,-2.39
317.96,-2.35
321.14,-2.32
324.35,-2.29
327.59,-2.27
330.87,-2.24
334.18,-2.22
337.52,-2.20
340.90,-2.18
344.30,-2.15
347.75,-2.13
351.23,-2.11
354.74,-2.08
358.28,-2.06
361.87,-2.03
365.49,-2.00
369.14,-1.96
372.83,-1.93
376.56,-1.89
380.33,-1.85
384.13,-1.81
387.97,-1.78
391.85,-1.74
395.77,-1.71
399.73,-1.67
403.72,-1.64
407.76,-1.60
411.84,-1.56
415.96,-1.53
420.12,-1.49
424.32,-1.45
428.56,-1.41
432.85,-1.37
437.18,-1.34
441.55,-1.30
445.96,-1.26
450.42,-1.22
454.93,-1.18
459.48,-1.14
464.07,-1.10
468.71,-1.06
473.40,-1.02
478.13,-0.98
482.91,-0.94
487.74,-0.91
492.62,-0.87
497.55,-0.83
502.52,-0.80
507.55,-0.76
512.62,-0.73
517.75,-0.69
522.93,-0.66
528.16,-0.63
533.44,-0.60
538.77,-0.57
544.16,-0.54
549.60,-0.51
555.10,-0.48
560.65,-0.45
566.25,-0.43
571.92,-0.40
577.64,-0.38
583.41,-0.35
