frequency,raw
20.00,18.72
20.20,18.70
20.40,18.67
20.61,18.65
20.81,18.62
21.02,18.60
21.23,18.58
21.44,18.56
21.66,18.53
21.87,18.51
22.09,18.49
22.31,18.46
22.54,18.43
22.76,18.40
22.99,18.36
23.22,18.33
23.45,18.30
23.69,18.27
23.92,18.24
24.16,18.21
24.40,18.17
24.65,18.14
24.89,18.10
25.14,18.06
25.39,18.03
25.65,17.99
25.91,17.96
26.16,17.93
26.43,17.90
26.69,17.86
26.96,17.82
27.23,17.78
27.50,17.73
27.77,17.67
28.05,17.62
28.33,17.57
28.62,17.53
28.90,17.48
29.19,17.44
29.48,17.40
29.78,17.36
30.08,17.32
30.38,17.27
30.68,17.22
30.99,17.18
31.30,17.13
31.61,17.08
31.93,17.03
32.24,16.97
32.57,16.92
32.89,16.86
33.22,16.80
33.55,16.75
33.89,16.69
34.23,16.63
34.57,16.57
34.92,16.50
35.27,16.43
35.62,16.37
35.97,16.31
36.33,16.26
36.70,16.21
37.06,16.16
37.43,16.10
37.81,16.04
38.19,15.98
38.57,15.91
38.95,15.84
39.34,15.77
39.74,15.69
40.14,15.62
40.54,15.54
40.94,15.47
41.35,15.40
41.76,15.33
42.18,15.26
42.60,15.20
43.03,15.12
43.46,15.05
43.90,14.97
44.33,14.90
44.78,14.82
45.23,14.75
45.68,14.68
46.13,14.60
46.60,14.52
47.06,14.44
47.53,14.36
48.01,14.28
48.49,14.20
48.97,14.12
49.46,14.04
49.96,13.97
50.46,13.88
50.96,13.80
51.47,13.71
51.99,13.62
52.51,13.54
53.03,13.45
53.56,13.37
54.10,13.29
54.64,13.21
55.18,13.12
55.74,13.03
56.29,12.94
56.86,12.85
57.42,12.76
58.00,12.67
58.58,12.57
59.16,12.48
59.76,12.38
60.35,12.29
60.96,12.21
61.57,12.14
62.18,12.05
62.80,11.96
63.43,11.86
64.07,11.77
64.71,11.68
65.35,11.59
66.01,11.51
66.67,11.41
67.33,11.31
68.01,11.21
68.69,11.12
69.37,11.03
70.07,10.94
70.77,10.84
71.48,10.75
72.19,10.66
72.91,10.56
73.64,10.46
74.38,10.36
75.12,10.27
75.87,10.18
76.63,10.08
77.40,9.99
78.17,9.89
78.95,9.79
79.74,9.70
80.54,9.61
81.35,9.52
82.16,9.43
82.98,9.33
83.81,9.22
84.65,9.14
85.50,9.04
86.35,8.95
87.22,8.85
88.09,8.75
88.97,8.66
89.86,8.56
90.76,8.47
91.66,8.37
