frequency,raw
20.00,6.00
20.20,6.01
20.40,6.03
20.61,6.04
20.81,6.05
21.02,6.06
21.23,6.06
21.44,6.06
21.66,6.06
21.87,6.07
22.09,6.07
22.31,6.08
22.54,6.08
22.76,6.09
22.99,6.11
23.22,6.12
23.45,6.13
23.69,6.15
23.92,6.16
24.16,6.18
24.40,6.19
24.65,6.20
24.89,6.22
25.14,6.22
25.39,6.23
25.65,6.24
25.91,6.24
26.16,6.24
26.43,6.25
26.69,6.26
26.96,6.27
27.23,6.29
27.50,6.30
27.77,6.31
28.05,6.32
28.33,6.33
28.62,6.33
28.90,6.32
29.19,6.32
29.48,6.32
29.78,6.33
30.08,6.33
30.38,6.34
30.68,6.35
30.99,6.35
31.30,6.36
31.61,6.36
31.93,6.37
32.24,6.38
32.57,6.39
32.89,6.40
33.22,6.40
33.55,6.40
33.89,6.40
34.23,6.40
34.57,6.39
34.92,6.40
35.27,6.40
35.62,6.40
35.97,6.41
36.33,6.41
36.70,6.41
37.06,6.41
37.43,6.42
37.81,6.42
38.19,6.42
38.57,6.43
38.95,6.43
39.34,6.43
39.74,6.43
40.14,6.43
40.54,6.43
40.94,6.43
41.35,6.44
41.76,6.44
42.18,6.44
42.60,6.44
43.03,6.44
43.46,6.43
43.90,6.43
44.33,6.43
44.78,6.42
45.23,6.41
45.68,6.40
46.13,6.41
46.60,6.42
47.06,6.43
47.53,6.43
48.01,6.44
48.49,6.44
48.97,6.43
49.46,6.43
49.96,6.42
50.46,6.41
50.96,6.40
51.47,6.40
51.99,6.40
52.51,6.40
53.03,6.40
53.56,6.39
54.10,6.38
54.64,6.38
55.18,6.38
55.74,6.39
56.29,6.39
56.86,6.38
57.42,6.37
58.00,6.36
58.58,6.35
59.16,6.35
59.76,6.36
60.35,6.36
60.96,6.35
61.57,6.34
62.18,6.33
62.80,6.32
63.43,6.32
64.07,6.33
64.71,6.33
65.35,6.31
66.01,6.29
66.67,6.28
67.33,6.28
68.01,6.28
68.69,6.28
69.37,6.27
70.07,6.26
70.77,6.25
71.48,6.25
72.19,6.24
72.91,6.24
73.64,6.22
74.38,6.22
75.12,6.21
75.87,6.20
76.63,6.19
77.40,6.17
78.17,6.17
78.95,6.16
79.74,6.15
80.54,6.14
81.35,6.13
82.16,6.12
82.98,6.11
83.81,6.10
84.65,6.09
85.50,6.08
86.35,6.07
87.22,6.06
88.09,6.05
88.97,6.03
89.86,6.02
90.76,6.01
91.66,6.00
92.58,5.98
93.51,5.97
94.44,5.96
95.39,5.94
96.34,5.93
97.30,5.92
98.28,5.90
99.26,5.89
100.25,5.87
101.25,5.86
102.27,5.84
103.29,5.83
104.32,5.81
105.37,5.80
106.42,5.78
107.48,5.76
108.56,5.75
109.64,5.73
110.74,5.71
111.85,5.70
112.97,5.68
114.10,5.66
115.24,5.64
116.39,5.62
117.55,5.60
118.73,5.58
119.92,5.57
121.12,5.54
122.33,5.52
123.55,5.50
124.79,5.48
126.03,5.46
127.29,5.44
128.57,5.42
129.85,5.39
131.15,5.37
132.46,5.34
133.79,5.32
135.12,5.30
136.48,5.27
137.84,5.24
139.22,5.22
140.61,5.19
142.02,5.16
143.44,5.12
144.87,5.09
146.32,5.06
147.78,5.03
149.26,5.01
150.75,4.98
152.26,4.96
153.78,4.95
155.32,4.93
156.88,4.91
158.44,4.88
160.03,4.86
161.63,4.84
163.24,4.81
164.88,4.78
166.53,4.76
168.19,4.73
169.87,4.71
171.57,4.69
173.29,4.66
175.02,4.64
176.77,4.62
178.54,4.60
180.32,4.57
182.13,4.54
183.95,4.51
185.79,4.48
187.65,4.45
189.52,4.43
191.42,4.39
193.33,4.36
195.27,4.33
197.22,4.30
199.19,4.27
201.18,4.24
203.19,4.21
205.23,4.17
207.28,4.14
209.35,4.11
211.44,4.08
213.56,4.04
215.69,4.01
217.85,3.98
220.03,3.95
222.23,3.91
224.45,3.88
226.70,3.84
228.96,3.81
231.25,3.78
233.57,3.74
235.90,3.71
238.26,3.67
240.64,3.63
243.05,3.60
245.48,3.56
247.93,3.53
250.41,3.49
252.92,3.45
255.45,3.41
258.00,3.37
260.58,3.34
263.19,3.30
265.82,3.26
268.48,3.22
271.16,3.18
273.87,3.15
276.61,3.11
279.38,3.07
282.17,3.04
284.99,3.00
287.84,2.96
290.72,2.92
293.63,2.88
296.57,2.84
299.53,2.80
302.53,2.76
305.55,2.72
308.61,2.68
311.69,2.64
314.81,2.60
317.96,2.56
321.14,2.52
324.35,2.48
327.59,2.44
330.87,2.40
334.18,2.36
337.52,2.32
340.90,2.28
344.30,2.23
347.75,2.19
351.23,2.15
354.74,2.11
358.28,2.07
361.87,2.03
365.49,1.99
369.14,1.95
372.83,1.91
376.56,1.87
380.33,1.83
384.13,1.78
387.97,1.74
391.85,1.70
395.77,1.66
399.73,1.63
403.72,1.59
407.76,1.55
411.84,1.51
415.96,1.48
420.12,1.44
424.32,1.41
428.56,1.37
432.85,1.33
437.18,1.29
441.55,1.25
445.96,1.21
450.42,1.17
454.93,1.14
459.48,1.09
464.07,1.06
468.71,1.02
473.40,0.98
478.13,0.94
482.91,0.90
487.74,0.86
492.62,0.82
497.55,0.78
502.52,0.74
507.55,0.71
512.62,0.67
517.75,0.63
522.93,0.60
528.16,0.56
533.44,0.53
538.77,0.49
544.16,0.46
549.60,0.42
555.10,0.39
560.65,0.36
566.25,0.32
571.92,0.29
577.64,0.26
583.41,0.23
589.25,0.19
595.14,0.16
601.09,0.13
607.10,0.10
613.17,0.08
619.30,0.05
625.50,0.02
631.75,-0.01
638.07,-0.04
644.45,-0.07
650.89,-0.09
657.40,-0.12
663.98,-0.15
670.62,-0.17
677.32,-0.20
684.10,-0.22
690.94,-0.24
697.85,-0.27
704.83,-0.29
711.87,-0.31
718.99,-0.33
726.18,-0.35
733.44,-0.36
740.78,-0.38
748.19,-0.40
755.67,-0.41
763.23,-0.43
770.86,-0.44
778.57,-0.45
786.35,-0.46
794.22,-0.46
802.16,-0.47
810.18,-0.47
818.28,-0.48
826.46,-0.48
834.73,-0.48
843.08,-0.47
851.51,-0.47
860.02,-0.46
868.62,-0.45
877.31,-0.44
886.08,-0.42
894.94,-0.40
903.89,-0.38
912.93,-0.36
922.06,-0.33
931.28,-0.30
940.59,-0.27
950.00,-0.24
959.50,-0.20
969.09,-0.15
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.17
1039.00,0.23
1049.39,0.30
1059.88,0.37
1070.48,0.45
1081.19,0.52
1092.00,0.60
1102.92,0.68
1113.95,0.76
1125.09,0.84
1136.34,0.93
1147.70,1.01
1159.18,1.10
1170.77,1.18
1182.48,1.27
1194.30,1.35
1206.25,1.44
1218.31,1.52
1230.49,1.61
1242.80,1.69
1255.22,1.77
1267.78,1.86
1280.45,1.94
1293.26,2.02
1306.19,2.10
1319.25,2.18
1332.45,2.25
1345.77,2.33
1359.23,2.40
1372.82,2.48
1386.55,2.55
1400.41,2.63
1414.42,2.70
1428.56,2.77
1442.85,2.85
1457.28,2.92
1471.85,2.99
1486.57,3.06
1501.43,3.14
1516.45,3.21
1531.61,3.29
1546.93,3.36
1562.40,3.44
1578.02,3.51
1593.80,3.59
1609.74,3.67
1625.84,3.75
1642.10,3.83
1658.52,3.92
1675.10,4.00
1691.85,4.09
1708.77,4.18
1725.86,4.27
1743.12,4.36
1760.55,4.46
1778.15,4.56
1795.94,4.67
1813.90,4.79
1832.03,4.90
1850.36,5.02
1868.86,5.15
1887.55,5.27
1906.42,5.39
1925.49,5.52
1944.74,5.64
1964.19,5.77
1983.83,5.90
2003.67,6.04
2023.71,6.17
2043.94,6.31
2064.38,6.45
2085.03,6.60
2105.88,6.74
2126.94,6.89
2148.20,7.04
2169.69,7.19
2191.38,7.34
2213.30,7.49
2235.43,7.65
2257.78,7.81
2280.36,7.97
2303.17,8.13
2326.20,8.29
2349.46,8.45
2372.95,8.62
2396.68,8.78
2420.65,8.95
2444.86,9.11
2469.31,9.26
2494.00,9.41
2518.94,9.56
2544.13,9.70
2569.57,9.83
2595.27,9.96
2621.22,10.08
2647.43,10.19
2673.90,10.30
2700.64,10.40
2727.65,10.49
2754.93,10.57
2782.48,10.65
2810.30,10.72
2838.40,10.80
2866.79,10.87
2895.46,10.94
2924.41,11.02
2953.65,11.09
2983.19,11.16
3013.02,11.21
3043.15,11.26
3073.58,11.30
3104.32,11.32
3135.36,11.33
3166.72,11.32
3198.38,11.31
3230.37,11.27
3262.67,11.22
3295.30,11.17
3328.25,11.10
3361.53,11.04
3395.15,10.98
3429.10,10.92
3463.39,10.86
3498.03,10.81
3533.01,10.76
3568.34,10.73
3604.02,10.69
3640.06,10.67
3676.46,10.66
3713.22,10.64
3750.36,10.63
3787.86,10.62
3825.74,10.60
3864.00,10.59
3902.64,10.57
3941.66,10.56
3981.08,10.55
4020.89,10.55
4061.10,10.55
