frequency,raw
20.00,5.52
20.20,5.53
20.40,5.53
20.61,5.54
20.81,5.55
21.02,5.55
21.23,5.56
21.44,5.57
21.66,5.59
21.87,5.60
22.09,5.61
22.31,5.62
22.54,5.63
22.76,5.64
22.99,5.65
23.22,5.65
23.45,5.66
23.69,5.66
23.92,5.67
24.16,5.68
24.40,5.69
24.65,5.70
24.89,5.71
25.14,5.72
25.39,5.73
25.65,5.74
25.91,5.74
26.16,5.75
26.43,5.75
26.69,5.75
26.96,5.75
27.23,5.75
27.50,5.76
27.77,5.77
28.05,5.79
28.33,5.80
28.62,5.81
28.90,5.82
29.19,5.83
29.48,5.83
29.78,5.83
30.08,5.83
30.38,5.84
30.68,5.85
30.99,5.85
31.30,5.86
31.61,5.86
31.93,5.86
32.24,5.87
32.57,5.87
32.89,5.88
33.22,5.89
33.55,5.89
33.89,5.89
34.23,5.89
34.57,5.89
34.92,5.89
35.27,5.89
35.62,5.90
35.97,5.90
36.33,5.91
36.70,5.91
37.06,5.91
37.43,5.92
37.81,5.92
38.19,5.92
38.57,5.92
38.95,5.92
39.34,5.91
39.74,5.91
40.14,5.92
40.54,5.92
40.94,5.92
41.35,5.92
41.76,5.93
42.18,5.93
42.60,5.93
43.03,5.93
43.46,5.92
43.90,5.92
44.33,5.92
44.78,5.92
45.23,5.92
45.68,5.92
46.13,5.91
46.60,5.91
47.06,5.92
47.53,5.93
48.01,5.94
48.49,5.94
48.97,5.93
49.46,5.92
49.96,5.91
50.46,5.92
50.96,5.92
51.47,5.93
51.99,5.92
52.51,5.91
53.03,5.90
53.56,5.91
54.10,5.91
54.64,5.90
55.18,5.88
55.74,5.88
56.29,5.89
56.86,5.89
57.42,5.88
58.00,5.87
58.58,5.87
59.16,5.86
59.76,5.86
60.35,5.86
60.96,5.86
61.57,5.85
62.18,5.83
62.80,5.83
63.43,5.84
64.07,5.85
64.71,5.83
65.35,5.82
66.01,5.81
66.67,5.82
67.33,5.81
68.01,5.80
68.69,5.80
69.37,5.79
70.07,5.78
70.77,5.77
71.48,5.76
72.19,5.76
72.91,5.75
73.64,5.74
74.38,5.74
75.12,5.73
75.87,5.72
76.63,5.71
77.40,5.70
78.17,5.69
78.95,5.69
79.74,5.68
80.54,5.67
81.35,5.66
82.16,5.65
82.98,5.65
83.81,5.64
84.65,5.63
85.50,5.62
86.35,5.61
87.22,5.60
88.09,5.58
88.97,5.58
89.86,5.57
90.76,5.56
91.66,5.54
92.58,5.53
93.51,5.52
94.44,5.51
95.39,5.49
96.34,5.48
97.30,5.47
98.28,5.46
99.26,5.45
100.25,5.43
101.25,5.42
102.27,5.40
103.29,5.39
104.32,5.38
105.37,5.36
106.42,5.35
107.48,5.33
108.56,5.32
109.64,5.30
110.74,5.29
111.85,5.27
112.97,5.25
114.10,5.24
115.24,5.22
116.39,5.20
117.55,5.18
118.73,5.17
119.92,5.15
121.12,5.13
122.33,5.11
123.55,5.09
124.79,5.07
