frequency,raw
20.00,7.13
20.20,7.14
20.40,7.16
20.61,7.17
20.81,7.18
21.02,7.19
21.23,7.21
21.44,7.22
21.66,7.23
21.87,7.24
22.09,7.25
22.31,7.26
22.54,7.27
22.76,7.27
22.99,7.27
23.22,7.28
23.45,7.29
23.69,7.30
23.92,7.31
24.16,7.33
24.40,7.34
24.65,7.35
24.89,7.36
25.14,7.36
25.39,7.36
25.65,7.37
25.91,7.37
26.16,7.38
26.43,7.39
26.69,7.40
26.96,7.41
27.23,7.42
27.50,7.42
27.77,7.43
28.05,7.43
28.33,7.43
28.62,7.44
28.90,7.44
29.19,7.44
29.48,7.44
29.78,7.44
30.08,7.44
30.38,7.45
30.68,7.45
30.99,7.45
31.30,7.46
31.61,7.47
31.93,7.48
32.24,7.48
32.57,7.49
32.89,7.49
33.22,7.49
33.55,7.49
33.89,7.49
34.23,7.50
34.57,7.50
34.92,7.50
35.27,7.50
35.62,7.50
35.97,7.50
36.33,7.50
36.70,7.50
37.06,7.50
37.43,7.50
37.81,7.50
38.19,7.49
38.57,7.50
38.95,7.50
39.34,7.50
39.74,7.50
40.14,7.50
40.54,7.49
40.94,7.49
41.35,7.49
41.76,7.49
42.18,7.49
42.60,7.50
43.03,7.50
43.46,7.49
43.90,7.49
44.33,7.49
44.78,7.47
45.23,7.46
45.68,7.46
46.13,7.46
46.60,7.47
47.06,7.47
47.53,7.47
48.01,7.47
48.49,7.47
48.97,7.46
49.46,7.45
49.96,7.45
50.46,7.44
50.96,7.44
51.47,7.43
51.99,7.42
52.51,7.42
53.03,7.41
53.56,7.41
54.10,7.41
54.64,7.40
55.18,7.40
55.74,7.39
56.29,7.39
56.86,7.38
57.42,7.38
58.00,7.38
58.58,7.37
59.16,7.36
59.76,7.35
60.35,7.34
60.96,7.33
61.57,7.32
62.18,7.31
62.80,7.31
63.43,7.30
64.07,7.30
64.71,7.29
65.35,7.28
66.01,7.27
66.67,7.26
67.33,7.25
68.01,7.24
68.69,7.23
69.37,7.22
70.07,7.21
70.77,7.20
71.48,7.19
72.19,7.18
72.91,7.18
73.64,7.16
74.38,7.15
75.12,7.14
75.87,7.13
76.63,7.12
77.40,7.10
78.17,7.08
78.95,7.07
79.74,7.06
80.54,7.05
81.35,7.04
82.16,7.02
82.98,7.01
83.81,7.00
84.65,6.98
85.50,6.97
86.35,6.95
87.22,6.94
88.09,6.92
88.97,6.91
89.86,6.89
90.76,6.88
91.66,6.86
92.58,6.84
93.51,6.83
94.44,6.81
95.39,6.79
96.34,6.77
97.30,6.76
98.28,6.74
99.26,6.72
100.25,6.70
101.25,6.68
102.27,6.66
103.29,6.64
104.32,6.62
105.37,6.60
106.42,6.58
107.48,6.56
108.56,6.54
109.64,6.52
110.74,6.50
111.85,6.48
112.97,6.45
114.10,6.43
115.24,6.41
116.39,6.39
117.55,6.36
118.73,6.34
119.92,6.31
121.12,6.29
122.33,6.26
123.55,6.24
124.79,6.21
126.03,6.19
127.29,6.16
128.57,6.13
129.85,6.10
131.15,6.08
132.46,6.05
133.79,6.02
135.12,5.99
136.48,5.96
137.84,5.93
139.22,5.90
140.61,5.87
142.02,5.83
143.44,5.80
144.87,5.77
146.32,5.74
147.78,5.71
149.26,5.67
150.75,5.64
152.26,5.61
153.78,5.57
155.32,5.53
156.88,5.50
158.44,5.46
160.03,5.42
161.63,5.39
163.24,5.35
164.88,5.32
166.53,5.30
168.19,5.28
169.87,5.26
171.57,5.24
173.29,5.21
175.02,5.18
176.77,5.16
178.54,5.13
180.32,5.10
182.13,5.07
183.95,5.04
185.79,5.02
187.65,4.99
189.52,4.95
191.42,4.92
193.33,4.88
195.27,4.85
197.22,4.81
199.19,4.77
201.18,4.74
203.19,4.70
205.23,4.66
207.28,4.62
209.35,4.59
211.44,4.55
213.56,4.51
215.69,4.47
217.85,4.43
220.03,4.39
222.23,4.35
224.45,4.31
226.70,4.27
228.96,4.22
231.25,4.18
233.57,4.14
235.90,4.10
238.26,4.06
240.64,4.02
243.05,3.98
245.48,3.94
247.93,3.90
250.41,3.86
252.92,3.82
255.45,3.78
258.00,3.74
260.58,3.70
263.19,3.66
265.82,3.61
268.48,3.57
271.16,3.53
273.87,3.49
276.61,3.45
279.38,3.41
282.17,3.36
284.99,3.32
287.84,3.28
290.72,3.23
293.63,3.19
296.57,3.15
299.53,3.10
302.53,3.06
305.55,3.02
308.61,2.97
311.69,2.92
314.81,2.88
317.96,2.84
321.14,2.79
324.35,2.74
327.59,2.70
330.87,2.66
334.18,2.61
337.52,2.57
340.90,2.52
344.30,2.48
347.75,2.44
351.23,2.39
354.74,2.35
358.28,2.31
361.87,2.27
365.49,2.23
369.14,2.19
372.83,2.15
376.56,2.11
380.33,2.07
384.13,2.03
387.97,1.99
391.85,1.95
395.77,1.91
399.73,1.86
403.72,1.82
407.76,1.78
411.84,1.73
415.96,1.69
420.12,1.65
424.32,1.61
428.56,1.56
432.85,1.52
437.18,1.47
441.55,1.43
445.96,1.39
450.42,1.34
454.93,1.30
459.48,1.26
464.07,1.22
468.71,1.17
473.40,1.13
478.13,1.09
482.91,1.04
487.74,1.00
492.62,0.96
497.55,0.92
502.52,0.88
507.55,0.84
512.62,0.80
517.75,0.76
522.93,0.73
528.16,0.69
533.44,0.65
538.77,0.61
544.16,0.57
549.60,0.54
555.10,0.50
560.65,0.46
566.25,0.43
571.92,0.40
577.64,0.36
583.41,0.33
589.25,0.30
595.14,0.26
601.09,0.23
607.10,0.20
613.17,0.17
619.30,0.14
625.50,0.11
631.75,0.08
638.07,0.05
644.45,0.02
650.89,-0.01
657.40,-0.04
663.98,-0.07
670.62,-0.10
677.32,-0.12
684.10,-0.15
690.94,-0.18
697.85,-0.20
704.83,-0.22
711.87,-0.25
718.99,-0.27
726.18,-0.29
733.44,-0.31
740.78,-0.33
748.19,-0.35
755.67,-0.36
763.23,-0.38
770.86,-0.39
778.57,-0.40
786.35,-0.41
794.22,-0.42
802.16,-0.43
810.18,-0.44
818.28,-0.44
826.46,-0.45
834.73,-0.45
843.08,-0.44
851.51,-0.44
860.02,-0.44
868.62,-0.43
877.31,-0.42
886.08,-0.40
894.94,-0.39
903.89,-0.37
912.93,-0.35
922.06,-0.32
931.28,-0.29
940.59,-0.26
950.00,-0.23
959.50,-0.19
969.09,-0.15
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.16
1039.00,0.22
1049.39,0.29
1059.88,0.36
1070.48,0.43
1081.19,0.50
1092.00,0.58
1102.92,0.65
1113.95,0.73
1125.09,0.81
1136.34,0.89
1147.70,0.97
1159.18,1.06
1170.77,1.14
1182.48,1.22
1194.30,1.30
1206.25,1.39
1218.31,1.47
1230.49,1.55
1242.80,1.63
1255.22,1.71
1267.78,1.79
1280.45,1.86
1293.26,1.94
1306.19,2.01
1319.25,2.08
1332.45,2.15
1345.77,2.22
1359.23,2.29
1372.82,2.36
1386.55,2.43
1400.41,2.49
1414.42,2.56
1428.56,2.62
1442.85,2.68
1457.28,2.75
1471.85,2.81
1486.57,2.87
1501.43,2.94
1516.45,3.00
1531.61,3.06
1546.93,3.13
1562.40,3.19
1578.02,3.26
1593.80,3.32
1609.74,3.39
1625.84,3.45
1642.10,3.52
1658.52,3.59
1675.10,3.67
1691.85,3.74
1708.77,3.81
1725.86,3.89
1743.12,3.97
1760.55,4.05
1778.15,4.13
1795.94,4.22
1813.90,4.30
1832.03,4.39
1850.36,4.48
1868.86,4.58
1887.55,4.67
1906.42,4.77
1925.49,4.87
1944.74,4.97
1964.19,5.07
1983.83,5.18
2003.67,5.28
2023.71,5.39
2043.94,5.50
2064.38,5.61
2085.03,5.73
2105.88,5.84
2126.94,5.96
2148.20,6.08
2169.69,6.21
2191.38,6.33
2213.30,6.46
2235.43,6.59
2257.78,6.72
2280.36,6.86
2303.17,7.00
2326.20,7.14
2349.46,7.28
2372.95,7.43
2396.68,7.57
2420.65,7.71
2444.86,7.85
2469.31,7.98
2494.00,8.12
2518.94,8.26
2544.13,8.39
2569.57,8.53
2595.27,8.66
2621.22,8.79
2647.43,8.91
2673.90,9.04
2700.64,9.16
2727.65,9.28
2754.93,9.39
2782.48,9.50
2810.30,9.61
2838.40,9.72
2866.79,9.83
2895.46,9.95
2924.41,10.06
2953.65,10.17
2983.19,10.29
3013.02,10.40
3043.15,10.50
3073.58,10.60
3104.32,10.69
3135.36,10.76
3166.72,10.83
3198.38,10.88
3230.37,10.91
3262.67,10.92
3295.30,10.92
3328.25,10.88
3361.53,10.83
3395.15,10.77
3429.10,10.70
3463.39,10.63
3498.03,10.56
3533.01,10.48
3568.34,10.40
3604.02,10.33
3640.06,10.25
3676.46,10.18
3713.22,10.11
3750.36,10.04
3787.86,9.97
3825.74,9.90
3864.00,9.83
3902.64,9.76
3941.66,9.69
3981.08,9.61
4020.89,9.54
4061.10,9.48
4101.71,9.41
4142.73,9.36
4184.15,9.30
4226.00,9.25
4268.26,9.19
4310.94,9.14
4354.05,9.08
4397.59,9.02
4441.56,8.96
4485.98,8.89
4530.84,8.83
4576.15,8.77
4621.91,8.70
4668.13,8.64
4714.81,8.58
4761.96,8.52
4809.58,8.47
4857.67,8.43
4906.25,8.40
4955.31,8.37
5004.87,8.36
5054.91,8.35
5105.46,8.35
5156.52,8.35
5208.08,8.35
5260.16,8.31
5312.77,8.24
5365.89,8.11
5419.55,7.88
5473.75,7.58
5528.49,7.20
5583.77,6.76
5639.61,6.32
5696.00,5.88
5752.96,5.48
5810.49,5.11
5868.60,4.79
5927.28,4.51
5986.56,4.26
6046.42,4.05
6106.89,3.87
6167.96,3.72
6229.64,3.61
6291.93,3.53
6354.85,3.46
6418.40,3.41
6482.58,3.38
6547.41,3.37
6612.88,3.38
6679.01,3.42
6745.80,3.49
6813.26,3.58
6881.39,3.71
6950.21,3.86
7019.71,4.04
7089.91,4.27
7160.81,4.53
7232.41,4.84
7304.74,5.17
7377.79,5.57
7451.56,5.99
7526.08,6.45
7601.34,6.94
7677.35,7.45
7754.13,7.95
7831.67,8.39
7909.98,8.75
7989.08,8.98
8068.98,8.95
8149.67,8.74
8231.16,8.33
8313.47,7.73
8396.61,7.06
8480.57,6.29
8565.38,5.48
8651.03,4.65
8737.54,3.83
8824.92,3.01
8913.17,2.24
9002.30,1.48
9092.32,0.78
9183.25,0.13
9275.08,-0.49
9367.83,-1.06
9461.51,-1.58
9556.12,-2.07
9651.68,-2.53
9748.20,-2.94
9845.68,-3.31
9944.14,-3.67
10043.58,-3.98
10144.02,-4.23
10245.46,-4.45
10347.91,-4.66
10451.39,-4.83
10555.91,-4.95
10661.46,-5.04
10768.08,-5.10
10875.76,-5.13
10984.52,-5.10
11094.36,-5.05
11205.31,-4.95
11317.36,-4.79
11430.53,-4.59
11544.84,-4.34
11660.29,-4.03
11776.89,-3.68
11894.66,-3.20
12013.60,-2.70
12133.74,-2.12
12255.08,-1.43
12377.63,-0.66
12501.41,0.21
12626.42,1.18
12752.68,2.20
12880.21,3.01
13009.01,3.69
13139.10,4.37
13270.49,4.16
13403.20,3.64
13537.23,2.71
13672.60,1.81
13809.33,0.95
13947.42,0.16
14086.90,-0.51
14227.77,-1.10
14370.04,-1.56
14513.74,-1.87
14658.88,-1.97
14805.47,-1.98
14953.52,-1.84
15103.06,-1.51
15254.09,-1.08
15406.63,-0.48
15560.70,0.12
15716.30,0.69
15873.47,0.85
16032.20,0.72
16192.52,-0.11
16354.45,-1.28
16517.99,-2.63
16683.17,-4.02
16850.01,-5.30
17018.51,-6.51
17188.69,-7.53
17360.58,-8.43
17534.18,-9.21
17709.53,-9.83
17886.62,-10.31
18065.49,-10.67
18246.14,-10.88
18428.60,-10.85
18612.89,-10.65
18799.02,-10.28
18987.01,-9.74
19176.88,-9.33
19368.65,-9.64
19562.33,-10.93
19757.96,-13.41
19955.54,-15.89
