frequency,raw
20.00,7.52
20.20,7.54
20.40,7.56
20.61,7.58
20.81,7.59
21.02,7.60
21.23,7.61
21.44,7.62
21.66,7.63
21.87,7.65
22.09,7.67
22.31,7.70
22.54,7.73
22.76,7.77
22.99,7.79
23.22,7.80
23.45,7.80
23.69,7.79
23.92,7.77
24.16,7.75
24.40,7.73
24.65,7.71
24.89,7.71
25.14,7.71
25.39,7.72
25.65,7.72
25.91,7.73
26.16,7.73
26.43,7.73
26.69,7.74
26.96,7.75
27.23,7.77
27.50,7.79
27.77,7.82
28.05,7.84
28.33,7.84
28.62,7.84
28.90,7.82
29.19,7.80
29.48,7.77
29.78,7.76
30.08,7.75
30.38,7.75
30.68,7.75
30.99,7.76
31.30,7.76
31.61,7.77
31.93,7.78
32.24,7.78
32.57,7.79
32.89,7.80
33.22,7.80
33.55,7.79
33.89,7.77
34.23,7.75
34.57,7.73
34.92,7.71
35.27,7.71
35.62,7.70
35.97,7.70
36.33,7.70
36.70,7.69
37.06,7.68
37.43,7.67
37.81,7.66
38.19,7.65
38.57,7.64
38.95,7.63
39.34,7.63
39.74,7.62
40.14,7.60
40.54,7.58
40.94,7.58
41.35,7.57
41.76,7.57
42.18,7.56
42.60,7.54
43.03,7.52
43.46,7.50
43.90,7.49
44.33,7.47
44.78,7.46
45.23,7.45
45.68,7.44
46.13,7.42
46.60,7.39
47.06,7.36
47.53,7.33
48.01,7.32
48.49,7.31
48.97,7.28
49.46,7.24
49.96,7.22
50.46,7.22
50.96,7.23
51.47,7.23
51.99,7.20
52.51,7.16
53.03,7.11
53.56,7.06
54.10,7.03
54.64,7.02
55.18,7.04
55.74,7.04
56.29,7.03
56.86,7.00
57.42,6.99
58.00,6.99
58.58,6.94
59.16,6.90
59.76,6.87
60.35,6.86
60.96,6.84
61.57,6.80
62.18,6.77
62.80,6.76
63.43,6.74
64.07,6.72
64.71,6.70
65.35,6.67
66.01,6.66
66.67,6.63
67.33,6.60
68.01,6.57
68.69,6.54
69.37,6.52
70.07,6.49
70.77,6.47
71.48,6.44
72.19,6.41
72.91,6.38
73.64,6.36
74.38,6.33
75.12,6.29
75.87,6.26
76.63,6.23
77.40,6.19
78.17,6.16
78.95,6.12
79.74,6.09
80.54,6.07
81.35,6.05
82.16,6.01
82.98,5.97
83.81,5.93
84.65,5.90
85.50,5.86
86.35,5.82
87.22,5.79
88.09,5.75
88.97,5.72
89.86,5.69
90.76,5.65
91.66,5.61
92.58,5.57
93.51,5.53
94.44,5.50
95.39,5.46
96.34,5.42
97.30,5.38
98.28,5.35
99.26,5.30
100.25,5.25
101.25,5.22
102.27,5.18
103.29,5.14
104.32,5.12
105.37,5.08
106.42,5.03
107.48,4.98
108.56,4.95
109.64,4.92
110.74,4.87
111.85,4.83
112.97,4.78
114.10,4.74
115.24,4.71
116.39,4.67
117.55,4.62
118.73,4.59
119.92,4.57
121.12,4.53
122.33,4.45
123.55,4.41
124.79,4.38
126.03,4.33
127.29,4.29
128.57,4.26
129.85,4.22
131.15,4.18
132.46,4.13
133.79,4.08
135.12,4.04
136.48,4.00
137.84,3.95
139.22,3.91
140.61,3.87
142.02,3.83
143.44,3.79
144.87,3.74
146.32,3.70
147.78,3.66
149.26,3.61
150.75,3.57
152.26,3.52
153.78,3.48
155.32,3.44
156.88,3.40
158.44,3.35
160.03,3.31
161.63,3.26
163.24,3.22
164.88,3.18
166.53,3.14
168.19,3.10
169.87,3.06
171.57,3.01
173.29,2.97
175.02,2.93
176.77,2.89
178.54,2.85
180.32,2.80
182.13,2.77
183.95,2.73
185.79,2.69
187.65,2.65
189.52,2.61
191.42,2.57
193.33,2.52
195.27,2.48
197.22,2.44
199.19,2.40
201.18,2.36
203.19,2.32
205.23,2.27
207.28,2.23
209.35,2.19
211.44,2.15
213.56,2.10
215.69,2.06
217.85,2.03
220.03,1.98
222.23,1.94
224.45,1.90
226.70,1.86
228.96,1.82
231.25,1.79
233.57,1.75
235.90,1.71
238.26,1.71
240.64,1.69
243.05,1.62
245.48,1.59
247.93,1.57
250.41,1.54
252.92,1.51
255.45,1.49
258.00,1.46
260.58,1.42
263.19,1.39
265.82,1.36
268.48,1.32
271.16,1.29
273.87,1.26
276.61,1.22
279.38,1.19
282.17,1.15
284.99,1.12
287.84,1.08
290.72,1.04
293.63,1.01
296.57,0.97
299.53,0.94
302.53,0.91
305.55,0.88
308.61,0.85
311.69,0.81
314.81,0.78
317.96,0.75
321.14,0.72
324.35,0.69
327.59,0.66
330.87,0.64
334.18,0.60
337.52,0.57
340.90,0.54
344.30,0.52
347.75,0.49
351.23,0.46
354.74,0.43
358.28,0.40
361.87,0.37
365.49,0.35
369.14,0.32
372.83,0.29
376.56,0.27
380.33,0.24
384.13,0.22
387.97,0.19
391.85,0.17
395.77,0.14
399.73,0.12
403.72,0.10
407.76,0.07
411.84,0.04
415.96,0.01
420.12,-0.01
424.32,-0.03
428.56,-0.05
432.85,-0.08
437.18,-0.10
441.55,-0.12
445.96,-0.14
450.42,-0.17
454.93,-0.19
459.48,-0.21
464.07,-0.23
468.71,-0.25
473.40,-0.27
478.13,-0.29
482.91,-0.31
487.74,-0.33
492.62,-0.35
497.55,-0.37
502.52,-0.39
507.55,-0.41
512.62,-0.42
517.75,-0.44
522.93,-0.46
528.16,-0.48
533.44,-0.49
538.77,-0.51
544.16,-0.52
549.60,-0.54
555.10,-0.56
560.65,-0.57
566.25,-0.58
571.92,-0.60
577.64,-0.61
583.41,-0.63
589.25,-0.64
595.14,-0.65
601.09,-0.67
607.10,-0.68
613.17,-0.69
619.30,-0.70
625.50,-0.71
631.75,-0.72
638.07,-0.73
644.45,-0.74
650.89,-0.75
657.40,-0.75
663.98,-0.76
670.62,-0.78
677.32,-0.78
684.10,-0.79
690.94,-0.79
697.85,-0.79
704.83,-0.80
711.87,-0.80
718.99,-0.80
726.18,-0.80
733.44,-0.80
740.78,-0.80
748.19,-0.80
755.67,-0.80
763.23,-0.79
770.86,-0.79
778.57,-0.78
786.35,-0.77
794.22,-0.76
802.16,-0.76
810.18,-0.74
818.28,-0.73
826.46,-0.72
834.73,-0.70
843.08,-0.68
851.51,-0.66
860.02,-0.64
868.62,-0.61
877.31,-0.59
886.08,-0.56
894.94,-0.52
903.89,-0.48
912.93,-0.46
922.06,-0.42
931.28,-0.38
940.59,-0.33
950.00,-0.29
959.50,-0.24
969.09,-0.19
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.05
1018.53,0.12
1028.71,0.18
1039.00,0.26
1049.39,0.33
1059.88,0.41
1070.48,0.49
1081.19,0.57
1092.00,0.65
1102.92,0.73
1113.95,0.82
1125.09,0.90
1136.34,0.99
1147.70,1.07
1159.18,1.16
1170.77,1.24
1182.48,1.33
1194.30,1.42
1206.25,1.50
1218.31,1.59
1230.49,1.67
1242.80,1.75
1255.22,1.83
1267.78,1.92
1280.45,1.99
1293.26,2.07
1306.19,2.14
1319.25,2.22
1332.45,2.29
1345.77,2.36
1359.23,2.43
1372.82,2.50
1386.55,2.57
1400.41,2.63
1414.42,2.69
1428.56,2.76
1442.85,2.82
1457.28,2.88
1471.85,2.94
1486.57,3.00
1501.43,3.06
1516.45,3.12
1531.61,3.17
1546.93,3.23
1562.40,3.29
1578.02,3.35
1593.80,3.41
1609.74,3.46
1625.84,3.52
1642.10,3.58
1658.52,3.63
1675.10,3.69
1691.85,3.75
1708.77,3.81
1725.86,3.87
1743.12,3.93
1760.55,3.99
1778.15,4.05
1795.94,4.11
1813.90,4.17
1832.03,4.23
1850.36,4.29
1868.86,4.36
1887.55,4.42
1906.42,4.48
1925.49,4.54
1944.74,4.60
1964.19,4.66
1983.83,4.73
2003.67,4.79
2023.71,4.85
2043.94,4.91
2064.38,4.97
2085.03,5.03
2105.88,5.10
2126.94,5.15
2148.20,5.21
2169.69,5.27
2191.38,5.33
2213.30,5.38
2235.43,5.44
2257.78,5.49
2280.36,5.55
2303.17,5.60
2326.20,5.65
2349.46,5.70
2372.95,5.74
2396.68,5.79
2420.65,5.83
2444.86,5.87
2469.31,5.91
2494.00,5.95
2518.94,5.98
2544.13,6.01
2569.57,6.04
2595.27,6.07
2621.22,6.10
2647.43,6.12
2673.90,6.14
2700.64,6.16
2727.65,6.18
2754.93,6.20
2782.48,6.22
2810.30,6.24
2838.40,6.27
2866.79,6.30
2895.46,6.33
2924.41,6.36
2953.65,6.40
2983.19,6.44
3013.02,6.47
3043.15,6.51
3073.58,6.55
3104.32,6.58
3135.36,6.62
3166.72,6.65
3198.38,6.67
3230.37,6.70
3262.67,6.73
3295.30,6.75
3328.25,6.78
3361.53,6.80
3395.15,6.82
3429.10,6.84
3463.39,6.86
3498.03,6.89
3533.01,6.90
3568.34,6.92
3604.02,6.93
3640.06,6.94
3676.46,6.95
3713.22,6.97
3750.36,6.98
3787.86,6.99
3825.74,7.01
3864.00,7.02
3902.64,7.03
3941.66,7.04
3981.08,7.05
4020.89,7.06
4061.10,7.07
4101.71,7.07
4142.73,7.07
4184.15,7.06
4226.00,7.05
4268.26,7.03
4310.94,7.00
4354.05,6.96
4397.59,6.91
4441.56,6.86
4485.98,6.81
4530.84,6.76
4576.15,6.71
4621.91,6.67
4668.13,6.64
4714.81,6.61
4761.96,6.58
4809.58,6.56
4857.67,6.54
4906.25,6.52
4955.31,6.49
5004.87,6.46
5054.91,6.43
5105.46,6.39
5156.52,6.36
5208.08,6.31
5260.16,6.26
5312.77,6.21
5365.89,6.15
5419.55,6.09
5473.75,6.03
5528.49,5.97
5583.77,5.90
5639.61,5.84
5696.00,5.79
5752.96,5.73
5810.49,5.67
5868.60,5.62
5927.28,5.57
5986.56,5.53
6046.42,5.48
6106.89,5.44
6167.96,5.41
6229.64,5.38
6291.93,5.36
6354.85,5.36
6418.40,5.36
6482.58,5.36
6547.41,5.39
6612.88,5.42
6679.01,5.45
6745.80,5.49
6813.26,5.54
6881.39,5.59
6950.21,5.64
7019.71,5.69
7089.91,5.75
7160.81,5.83
7232.41,5.93
7304.74,6.05
7377.79,6.21
7451.56,6.42
7526.08,6.67
7601.34,6.96
7677.35,7.29
7754.13,7.62
7831.67,7.95
7909.98,8.24
7989.08,8.46
8068.98,8.50
8149.67,8.41
8231.16,8.14
8313.47,7.68
8396.61,7.14
8480.57,6.48
8565.38,5.75
8651.03,4.98
8737.54,4.18
8824.92,3.37
8913.17,2.56
9002.30,1.75
9092.32,0.99
9183.25,0.25
9275.08,-0.47
9367.83,-1.16
9461.51,-1.81
9556.12,-2.44
9651.68,-3.03
9748.20,-3.59
9845.68,-4.12
9944.14,-4.64
10043.58,-5.10
10144.02,-5.51
