frequency,raw
20.00,-10.46
20.20,-10.37
20.40,-10.29
20.61,-10.20
20.81,-10.05
21.02,-9.86
21.23,-9.66
21.44,-9.45
21.66,-9.26
21.87,-9.08
22.09,-8.98
22.31,-8.90
22.54,-8.87
22.76,-8.87
22.99,-8.88
23.22,-8.87
23.45,-8.84
23.69,-8.76
23.92,-8.65
24.16,-8.52
24.40,-8.38
24.65,-8.25
24.89,-8.14
25.14,-8.04
25.39,-7.94
25.65,-7.84
25.91,-7.72
26.16,-7.58
26.43,-7.42
26.69,-7.26
26.96,-7.12
27.23,-7.03
27.50,-7.01
27.77,-7.02
28.05,-7.04
28.33,-7.03
28.62,-6.97
28.90,-6.84
29.19,-6.66
29.48,-6.47
29.78,-6.35
30.08,-6.25
30.38,-6.25
30.68,-6.29
30.99,-6.28
31.30,-6.20
31.61,-6.05
31.93,-5.85
32.24,-5.70
32.57,-5.59
32.89,-5.57
33.22,-5.58
33.55,-5.58
33.89,-5.54
34.23,-5.47
34.57,-5.38
34.92,-5.29
35.27,-5.21
35.62,-5.14
35.97,-5.05
36.33,-4.97
36.70,-4.90
37.06,-4.85
37.43,-4.84
37.81,-4.81
38.19,-4.78
38.57,-4.69
38.95,-4.60
39.34,-4.50
39.74,-4.41
40.14,-4.32
40.54,-4.20
40.94,-4.07
41.35,-3.97
41.76,-3.92
42.18,-3.94
42.60,-3.94
43.03,-3.89
43.46,-3.76
43.90,-3.63
44.33,-3.52
44.78,-3.49
45.23,-3.47
45.68,-3.43
46.13,-3.35
46.60,-3.28
47.06,-3.25
47.53,-3.24
48.01,-3.20
48.49,-3.11
48.97,-2.96
49.46,-2.82
49.96,-2.73
50.46,-2.75
50.96,-2.77
51.47,-2.80
51.99,-2.74
52.51,-2.65
53.03,-2.56
53.56,-2.50
54.10,-2.44
54.64,-2.38
55.18,-2.32
55.74,-2.30
56.29,-2.27
56.86,-2.23
57.42,-2.16
58.00,-2.08
58.58,-1.97
59.16,-1.86
59.76,-1.75
60.35,-1.71
60.96,-1.73
61.57,-1.74
62.18,-1.70
62.80,-1.65
63.43,-1.60
64.07,-1.56
64.71,-1.52
65.35,-1.49
66.01,-1.46
66.67,-1.40
67.33,-1.34
68.01,-1.28
68.69,-1.23
69.37,-1.18
70.07,-1.13
70.77,-1.09
71.48,-1.06
72.19,-1.04
72.91,-1.02
73.64,-0.98
74.38,-0.92
75.12,-0.84
75.87,-0.84
76.63,-0.82
77.40,-0.79
78.17,-0.73
78.95,-0.68
79.74,-0.66
80.54,-0.63
81.35,-0.60
82.16,-0.55
82.98,-0.51
83.81,-0.48
84.65,-0.45
85.50,-0.42
86.35,-0.39
87.22,-0.37
88.09,-0.34
88.97,-0.31
89.86,-0.28
90.76,-0.24
91.66,-0.21
92.58,-0.19
93.51,-0.17
94.44,-0.15
95.39,-0.13
96.34,-0.10
97.30,-0.07
98.28,-0.04
99.26,-0.02
100.25,-0.00
101.25,0.01
102.27,0.04
103.29,0.06
104.32,0.08
105.37,0.09
106.42,0.11
107.48,0.13
108.56,0.15
109.64,0.17
110.74,0.18
111.85,0.19
112.97,0.21
114.10,0.22
115.24,0.23
116.39,0.25
117.55,0.27
118.73,0.28
119.92,0.27
121.12,0.28
122.33,0.31
123.55,0.32
124.79,0.33
126.03,0.34
127.29,0.35
128.57,0.36
129.85,0.37
131.15,0.37
132.46,0.38
133.79,0.39
135.12,0.39
136.48,0.40
137.84,0.40
139.22,0.41
140.61,0.41
142.02,0.42
143.44,0.42
144.87,0.42
146.32,0.42
147.78,0.43
149.26,0.43
150.75,0.43
152.26,0.43
153.78,0.43
155.32,0.43
156.88,0.43
158.44,0.43
160.03,0.43
161.63,0.42
163.24,0.42
164.88,0.42
166.53,0.42
168.19,0.41
169.87,0.41
171.57,0.41
173.29,0.40
175.02,0.38
176.77,0.38
178.54,0.37
180.32,0.36
182.13,0.38
183.95,0.38
185.79,0.37
187.65,0.37
189.52,0.36
191.42,0.36
193.33,0.35
195.27,0.33
197.22,0.33
199.19,0.32
201.18,0.31
203.19,0.30
